step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91
1	-740.908703586247043	-739.446621501728146	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.536676563019029	0	0	2	2	3	3	4	7	4	5	7	7	6	7	7	9	9	8	11	9	8	11	9	9	11	11	11	12	12	13	12	13	13	14	13	13	14	16	15	15	16	15	14	17	16	16	16	15	17	17	18	16	16	18	20	18	19	18	17	18	19	18	18	18	19	18	20	20	20	19	20	20	19	21	20	20	21	20	21	21	22	22	21	22	23	24	24	24	25	26	29	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	4	2	3	4	4	3	4	4	5	5	4	6	5	4	6	5	5	6	6	6	6	6	7	6	7	7	7	7	7	7	8	8	8	8	8	7	9	8	8	8	8	9	9	9	8	8	9	10	9	10	9	9	9	10	9	9	9	10	9	10	10	10	10	10	10	10	11	10	10	11	10	11	11	11	11	11	11	12	12	12	12	13	13	15
500	-341.637222998428854	-340.175140913909956	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.459571015043874	0	1	2	1	3	2	4	6	5	4	7	7	6	7	7	9	10	9	12	9	9	11	10	9	12	11	11	12	12	14	12	14	12	15	13	13	14	15	15	14	16	14	14	17	16	17	16	16	18	18	18	16	15	19	21	19	19	17	17	18	20	18	19	19	19	19	21	20	20	18	20	20	17	21	20	20	21	18	21	21	22	20	22	23	23	24	24	24	23	25	29	0	1	2	1	1	1	6	2	4	1	6	13	7	7	1	14	24	15	20	11	7	20	5	7	23	18	24	13	27	24	27	31	11	31	31	17	29	29	25	11	30	31	27	37	35	27	31	35	58	35	32	24	37	37	45	39	45	39	28	19	73	19	73	46	46	62	46	45	35	48	49	63	41	64	63	37	50	45	72	2	61	31	60	73	50	71	74	67	81	86	59	1	1	1	1	1	1	1	2	2	2	2	1	1	1	4	1	1	1	2	1	2	1	3	1	1	1	1	4	1	3	1	1	2	1	1	2	1	2	1	2	1	1	1	1	1	2	1	2	1	2	2	4	1	2	3	2	1	1	3	2	1	3	1	1	2	1	2	2	3	1	1	1	1	1	1	3	1	1	1	10	1	4	2	2	3	2	1	2	1	1	4
1000	-235.897436395547146	-234.435354311028277	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.940659659460897	-1	1	3	3	2	1	5	8	4	5	7	7	6	8	7	9	8	7	11	10	8	12	10	10	10	10	11	12	13	13	11	13	13	15	13	13	15	15	14	13	17	15	15	18	16	17	16	16	16	17	18	16	15	18	20	18	18	19	18	19	19	19	19	17	18	17	19	20	21	19	20	20	19	20	21	21	21	19	21	20	22	21	21	22	23	22	24	25	25	25	29	0	1	6	2	2	1	9	15	5	9	10	9	9	13	10	11	18	7	24	8	10	20	12	16	21	16	16	21	20	26	21	17	19	32	19	31	33	40	30	31	52	32	32	48	43	42	42	39	28	37	49	43	36	47	60	45	43	50	38	66	46	59	48	53	64	47	54	59	60	34	58	67	64	41	65	51	70	66	58	58	70	67	80	68	79	62	75	85	75	86	89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1
1500	-220.783160542815182	-219.321078458296313	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.990682490098044	0	1	2	2	3	3	5	7	4	6	7	6	5	7	7	8	7	8	12	10	8	11	9	9	11	10	12	12	11	13	11	14	11	14	13	12	14	17	14	16	16	15	13	18	16	15	15	15	16	17	18	17	17	19	20	19	20	18	17	19	18	16	18	19	19	19	19	21	20	19	20	20	20	20	21	21	21	21	21	19	22	21	20	21	23	24	23	24	25	26	27	0	1	2	1	1	3	6	9	3	9	10	6	4	12	9	10	6	14	20	21	10	26	18	8	21	18	20	20	23	31	20	19	15	19	19	29	19	62	36	39	35	35	31	38	37	43	39	33	39	40	40	41	48	50	51	59	65	41	47	51	45	39	53	50	46	50	58	67	80	51	44	61	63	70	56	64	74	54	63	63	84	51	67	64	77	85	79	78	81	85	89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-233.158900743413142	-231.696818658894273	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.950856721153474	-1	1	2	2	4	3	5	6	3	4	7	6	5	6	7	9	10	7	10	10	8	11	9	9	11	12	12	12	11	14	12	14	13	14	13	12	13	16	15	16	16	16	14	18	17	17	15	16	17	16	18	15	14	19	20	18	17	18	18	18	18	19	18	19	19	18	19	21	21	19	21	19	20	21	20	19	21	20	20	21	22	22	22	20	23	24	24	24	25	26	27	0	1	1	1	3	2	4	3	2	3	13	10	9	13	7	14	24	12	11	21	14	16	14	11	23	20	29	11	24	19	25	33	22	37	29	23	20	53	36	33	53	35	26	41	52	38	34	35	34	39	48	33	36	50	60	40	27	50	42	45	42	44	42	66	48	45	46	45	73	56	72	49	70	56	59	58	44	56	72	64	54	67	55	61	73	71	83	69	82	87	87	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-233.465049083632920	-232.002966999114051	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.896647845511776	0	1	2	2	3	4	4	6	4	5	5	7	6	6	8	9	9	9	11	9	8	10	8	10	11	11	11	12	11	13	12	14	13	15	13	13	14	16	15	15	16	15	14	18	17	16	16	14	16	17	17	16	16	18	21	19	19	19	17	17	17	19	18	19	20	18	21	20	21	19	20	20	19	21	21	20	21	19	22	22	23	21	21	22	22	25	24	24	26	25	28	0	1	1	1	1	4	3	11	3	7	5	5	4	9	8	21	14	12	17	8	11	17	14	16	22	16	20	27	23	8	29	33	31	30	22	16	36	43	36	36	35	28	19	47	48	42	48	28	40	52	49	48	37	59	56	45	66	41	43	49	40	49	47	66	63	50	54	44	78	63	61	63	59	62	72	63	76	52	55	71	84	70	76	71	71	58	77	81	75	85	89	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1
3000	-235.261397653166995	-233.799315568648126	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.939452620493263	0	1	3	2	3	4	4	7	5	5	6	8	5	7	7	9	8	8	10	10	8	11	8	9	12	11	12	11	13	13	13	13	13	12	11	12	15	16	16	15	15	15	13	16	17	17	17	15	18	17	17	16	17	15	20	19	19	18	17	17	19	16	18	19	19	18	20	18	20	19	20	21	20	22	21	19	21	21	21	21	22	22	22	23	24	24	23	23	25	25	27	0	1	2	2	2	4	5	10	4	7	7	15	1	6	10	8	8	10	16	17	15	12	15	15	19	12	19	12	34	28	35	26	36	19	18	22	25	32	54	32	26	36	28	54	52	37	41	29	45	44	54	43	48	31	46	38	53	53	40	42	66	41	51	60	45	39	66	50	65	51	66	76	70	77	65	51	61	76	73	64	55	73	71	77	69	74	67	72	74	84	84	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-228.524316196264976	-227.062234111746108	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.972959132349244	0	1	2	3	3	3	3	7	4	5	8	6	6	7	7	9	9	9	10	9	6	11	10	9	12	12	11	13	11	12	11	13	14	13	14	14	15	16	15	16	16	14	14	18	17	17	16	15	18	16	18	15	17	18	21	19	20	18	17	19	20	18	18	19	19	18	20	21	20	19	21	18	20	22	21	20	20	21	21	21	21	22	18	23	23	23	24	25	25	25	28	0	1	2	2	3	2	2	12	7	7	21	10	5	21	13	13	8	15	16	8	9	19	20	21	22	23	16	19	20	23	20	31	32	26	31	28	28	32	42	37	35	30	32	45	48	48	28	32	47	42	38	28	52	48	72	41	51	53	48	63	83	33	39	40	46	41	64	76	66	62	63	46	64	75	46	72	65	51	59	58	65	77	47	80	78	74	74	86	84	86	88	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
4000	-244.025990790200638	-242.563908705681769	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.930773136626773	-1	1	3	3	4	4	3	7	5	5	6	7	5	8	6	10	9	9	12	9	9	10	8	10	11	9	10	12	11	12	13	13	13	15	14	13	13	16	15	15	16	15	14	18	16	16	16	16	17	17	18	17	17	19	19	19	18	18	17	18	19	19	19	19	20	18	20	21	21	19	20	20	19	21	20	18	22	20	21	21	22	23	22	22	23	23	25	22	25	27	28	0	1	2	2	3	4	2	9	3	3	4	10	4	11	7	14	8	11	20	12	8	14	10	23	17	23	14	16	26	17	28	22	30	31	30	20	22	34	28	19	37	37	36	45	35	42	32	37	41	45	53	46	47	66	47	50	53	46	46	35	53	34	59	38	51	46	59	62	70	46	50	66	50	66	60	41	70	59	55	72	78	69	62	66	55	75	85	71	72	89	90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
4500	-205.604024176286032	-204.141942091767163	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.992561709054372	-1	1	1	2	3	3	4	5	5	4	7	8	7	7	5	9	9	8	10	9	9	11	7	9	12	11	12	13	13	13	11	13	14	14	12	14	15	16	15	16	15	15	15	16	15	17	16	15	18	17	17	17	16	19	20	18	18	18	18	18	20	18	18	18	20	17	20	19	20	17	20	20	20	21	21	19	22	19	21	22	22	22	22	22	24	23	24	24	26	26	29	0	1	1	2	2	2	5	6	6	4	9	8	8	10	10	18	13	23	14	23	12	21	15	12	20	17	21	26	22	22	23	24	35	29	22	26	32	39	28	33	29	30	27	36	33	39	41	35	39	45	48	39	34	70	57	44	44	53	44	47	63	52	44	48	64	41	63	63	58	44	56	49	47	57	72	46	68	66	73	61	69	73	72	67	77	84	77	84	85	88	90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
