step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89
1	-887.382331947361308	-896.433175327812705	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.437383448883725	1	4	4	7	5	6	10	7	9	10	12	10	9	10	12	10	11	12	11	12	11	14	11	17	11	11	11	12	11	11	12	12	14	12	12	13	14	13	14	13	14	12	14	13	15	13	16	14	14	16	14	15	14	14	16	16	15	14	14	16	14	16	16	15	20	16	16	16	16	15	16	16	15	17	20	19	18	18	17	19	18	18	17	20	19	23	20	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-268.620886118360545	-277.671729498811885	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990663744232024	2	5	3	8	5	7	11	5	9	10	12	9	10	11	12	9	11	12	11	10	9	12	11	17	11	10	11	12	9	12	12	12	14	10	13	13	11	12	14	13	14	11	13	14	12	13	16	14	14	16	13	16	15	13	5	15	15	14	14	17	13	17	13	15	17	14	16	16	16	15	17	16	15	18	20	16	18	15	14	18	15	16	17	18	18	21	20	19	15	0	1	1	8	3	5	8	1	4	16	34	4	6	12	9	6	21	23	16	6	8	34	16	76	16	4	12	29	2	26	23	34	45	16	32	18	16	23	19	13	38	9	30	45	26	21	66	7	11	36	30	38	39	13	3	45	54	11	40	78	17	81	15	39	64	43	79	54	14	32	44	54	61	76	72	36	15	11	35	44	48	44	39	73	52	88	85	81	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-270.958313391586159	-280.009156772037500	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993422280306914	2	3	4	7	5	6	11	7	8	6	12	10	9	8	12	11	12	12	10	12	9	14	12	17	11	12	12	11	11	11	12	12	15	13	11	11	13	13	14	13	15	13	15	10	16	14	13	13	14	13	14	13	15	14	16	15	14	15	15	16	14	16	16	16	20	16	16	13	16	13	16	17	14	17	18	17	17	18	16	16	18	19	15	18	17	21	14	18	20	0	1	2	3	3	1	14	2	8	3	12	13	8	5	36	21	12	19	10	44	9	38	25	55	6	25	28	4	19	44	44	29	40	15	21	13	15	26	29	35	28	18	27	1	25	26	19	29	26	21	27	13	34	20	47	52	47	25	42	54	48	37	87	59	81	73	23	44	27	28	70	61	32	23	56	23	59	80	34	22	41	75	27	71	57	41	11	41	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-265.459143567923036	-274.509986948374376	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999186982714570	1	3	4	7	6	7	9	8	7	9	12	10	10	10	10	8	11	12	12	12	11	15	12	17	12	12	12	10	9	8	12	11	11	11	11	10	14	12	15	13	14	12	14	14	12	12	15	11	13	15	15	15	15	13	17	17	14	15	14	17	14	15	16	16	20	17	16	15	17	13	14	16	15	13	19	19	17	19	17	18	17	18	16	20	19	23	18	19	22	0	1	2	1	3	2	6	9	2	16	21	7	30	9	30	9	36	28	33	48	28	23	30	11	35	36	8	8	6	4	28	9	7	28	13	3	34	15	38	11	31	34	23	31	13	33	59	7	26	46	32	37	43	26	53	62	23	17	20	47	35	49	35	61	56	70	50	38	72	20	42	10	61	32	68	80	39	82	23	60	83	24	41	60	60	84	22	39	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-250.751917983768067	-259.802761364219407	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998856120228014	1	4	4	7	5	3	10	5	10	7	12	10	9	10	8	10	11	12	9	12	11	13	11	17	11	11	12	12	12	11	11	12	14	12	13	10	13	13	14	13	14	12	14	14	15	14	17	15	14	16	13	13	14	15	15	16	15	14	14	15	15	16	13	14	20	17	17	17	11	16	15	17	15	18	16	19	14	16	17	19	17	16	17	16	20	18	19	18	20	0	6	1	5	2	1	5	3	15	8	16	10	4	15	5	13	19	23	10	14	4	29	9	84	36	19	21	69	69	19	16	9	40	16	26	4	42	21	34	30	40	23	28	18	59	11	52	11	34	60	30	21	23	22	38	61	37	23	32	44	44	44	27	11	56	73	71	54	13	39	53	49	63	41	34	88	29	23	60	47	18	61	33	49	76	48	79	84	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-274.990791628445663	-284.041635008897003	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999646607748204	1	3	2	6	5	5	10	7	8	11	12	8	10	9	13	11	11	13	11	12	12	14	12	18	12	9	12	10	6	11	11	13	14	13	10	12	12	12	15	12	13	9	15	13	14	14	16	14	14	14	15	15	14	14	17	16	16	14	15	17	13	14	16	15	18	16	17	15	16	14	16	17	16	16	20	20	18	19	16	11	18	16	15	21	16	22	17	19	17	0	3	1	5	2	3	12	5	6	28	80	4	42	8	17	42	26	80	28	10	28	8	80	79	7	8	42	42	5	13	9	35	40	30	4	5	42	28	50	19	13	6	49	17	30	27	51	20	37	17	22	50	20	25	52	20	39	36	44	59	7	31	61	53	57	51	19	41	46	19	83	74	18	53	71	89	47	28	26	42	51	52	11	43	38	76	39	68	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-269.789351105351784	-278.840194485803124	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991401271475315	1	3	5	8	6	3	10	8	7	10	11	9	6	10	11	10	12	13	9	12	12	15	11	18	11	10	9	12	12	10	12	13	14	11	12	9	15	13	13	14	15	13	14	12	13	13	17	15	11	14	15	16	13	14	16	16	14	11	14	16	13	12	16	16	18	16	17	17	17	16	16	17	11	14	20	19	16	14	17	18	19	18	17	21	14	18	21	20	19	0	1	6	9	3	1	9	9	5	13	10	5	6	27	10	12	13	34	9	10	30	20	16	77	10	12	9	12	10	36	7	19	31	16	73	8	85	35	58	25	62	23	45	4	31	20	51	78	26	38	46	74	26	34	22	41	21	16	46	43	25	14	43	53	71	85	52	55	34	46	22	11	26	34	85	52	43	49	46	55	68	48	33	86	44	71	76	77	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-277.086863718611141	-286.137707099062482	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979933211625133	2	4	5	7	6	7	10	7	9	11	12	11	9	10	10	9	12	12	8	13	9	15	8	13	12	11	10	12	9	10	12	12	14	12	13	13	14	12	13	10	14	12	15	14	15	12	11	14	14	16	15	14	13	12	8	17	16	14	14	14	13	17	17	14	18	14	12	16	17	16	16	17	15	18	18	19	19	16	15	19	17	13	17	20	19	15	21	19	20	0	1	2	3	3	5	19	3	8	4	7	21	19	13	21	19	10	10	8	28	55	46	6	16	13	16	4	26	4	9	13	10	20	14	19	12	9	30	26	29	67	26	54	61	31	30	15	67	18	51	36	10	18	4	8	66	45	20	47	34	17	52	50	18	70	39	40	47	68	52	48	68	64	39	86	71	48	58	61	74	34	54	78	61	75	14	85	65	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-273.281537523493625	-282.332380903944966	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994998429532002	1	4	3	7	5	6	8	8	9	9	12	9	9	10	13	11	11	10	11	12	10	10	11	13	11	12	11	12	12	11	13	12	15	13	13	13	14	13	11	14	13	13	14	14	13	14	12	13	14	16	14	16	12	14	16	15	15	15	14	17	15	16	17	15	20	13	16	16	14	14	16	16	11	17	20	19	16	14	17	20	19	15	14	17	17	24	21	20	21	0	3	1	5	2	5	4	6	2	8	6	7	7	7	19	4	7	4	18	8	10	8	10	39	13	18	22	10	19	14	27	7	37	28	20	9	17	32	10	41	23	32	28	31	16	11	16	32	27	51	38	66	18	10	59	48	59	48	12	27	44	28	43	41	34	32	56	32	34	29	41	82	6	31	62	48	37	41	42	76	74	48	28	44	70	89	85	52	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-271.365293669111225	-280.416137049562565	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992311041365392	2	5	4	7	6	6	10	8	9	10	12	11	10	9	12	10	11	13	11	13	12	13	9	16	8	11	12	13	10	11	11	11	13	7	12	14	14	12	10	14	15	12	15	14	16	14	16	15	11	16	14	15	13	13	16	17	15	14	13	15	15	15	17	14	19	15	16	16	15	16	17	17	15	17	19	14	18	17	17	17	16	16	17	20	20	16	17	17	21	0	3	1	5	1	3	5	34	5	6	2	7	25	4	13	34	14	32	8	26	13	17	2	61	5	13	49	12	4	34	23	14	13	3	19	7	29	8	9	15	11	31	64	22	39	15	40	17	5	48	17	18	27	26	64	57	53	17	16	40	18	15	41	21	72	51	61	62	12	46	48	45	42	44	79	53	76	48	50	50	64	33	41	79	81	33	37	86	27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
