step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91
1	-1743.328470152202044	-1750.183958103161331	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.080591192532751	0	0	2	1	4	4	3	4	4	4	6	5	6	6	4	5	6	5	7	6	7	7	6	7	6	8	8	7	7	9	8	10	9	8	10	9	10	10	10	10	10	11	10	11	12	12	11	12	13	13	14	14	14	13	14	15	14	15	15	15	18	16	17	18	17	18	20	20	19	19	18	19	20	20	20	20	21	22	20	20	20	21	21	22	22	23	25	24	25	25	25	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	2	3	3	3	4	3	4	4	3	4	3	4	4	4	4	5	4	5	5	4	5	5	5	5	5	5	5	6	5	6	6	6	6	6	7	7	7	7	7	7	7	8	7	8	8	8	9	8	9	9	9	9	10	10	10	10	9	10	10	10	10	10	11	11	10	10	10	11	11	11	11	12	13	12	13	13	13
500	-705.834759822156116	-712.690247773115516	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.229569290143238	0	-1	2	1	4	4	4	3	3	3	7	5	5	5	4	6	5	4	7	6	6	7	6	7	7	9	8	7	7	10	8	9	9	7	11	9	9	10	10	10	10	11	9	9	12	11	11	12	13	12	15	13	15	11	15	15	12	14	14	15	18	16	15	18	18	19	19	21	18	20	17	20	21	21	19	20	20	22	21	21	21	22	21	22	22	23	25	25	26	22	25	2	0	1	1	2	2	2	1	3	2	3	4	7	18	8	15	9	2	15	3	2	23	8	8	2	19	34	17	17	11	18	34	21	20	20	23	34	34	27	28	20	29	34	23	36	32	41	43	30	37	52	19	36	37	38	30	38	46	29	45	51	36	57	42	36	60	17	36	50	23	45	42	45	71	52	17	63	17	60	63	60	9	63	17	38	17	57	17	63	42	50	1	1	2	1	3	3	4	2	1	2	2	2	1	1	1	2	2	2	2	2	3	1	2	2	5	1	1	1	1	2	2	1	2	1	4	2	2	2	1	2	2	2	1	2	1	1	1	2	1	2	1	3	3	1	2	3	1	2	4	2	1	4	2	4	5	3	10	6	4	9	3	6	4	2	4	8	3	9	3	5	4	10	4	10	8	11	7	12	8	6	7
1000	-595.742886602572185	-602.598374553531585	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.398135374553194	0	-1	2	1	5	5	3	3	4	5	6	3	7	7	4	5	6	5	7	5	7	6	7	7	6	8	7	8	8	8	8	10	9	8	10	9	10	9	10	11	10	11	10	11	13	13	12	12	13	12	14	14	15	13	14	15	14	15	14	16	18	16	17	17	17	18	21	20	19	19	18	19	21	20	20	20	21	23	20	19	20	22	21	22	23	23	23	25	26	26	25	2	0	1	1	2	7	2	3	3	2	3	4	10	7	8	8	9	2	15	3	25	15	15	16	2	15	15	17	9	11	25	15	18	16	20	23	38	34	27	28	30	29	27	36	36	34	41	37	35	19	36	45	45	37	43	49	50	50	42	51	62	44	32	59	60	52	29	52	50	65	52	59	65	71	66	29	69	29	71	27	65	29	80	29	77	29	63	42	63	59	63	1	1	1	1	2	1	2	1	1	3	2	1	1	2	1	1	1	2	2	1	1	1	2	1	3	2	2	1	3	2	1	3	2	2	2	1	1	1	2	2	2	2	2	1	2	3	2	2	1	2	2	1	1	2	2	2	1	1	1	1	1	3	3	2	1	3	8	3	5	1	2	3	2	1	1	8	1	9	1	5	2	8	1	7	2	9	5	8	7	5	6
1500	-576.518961550585573	-583.374449501544973	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.451548774982040	1	-1	2	2	4	3	2	4	4	4	6	6	7	6	5	5	6	5	7	5	7	8	7	6	4	8	7	7	7	10	8	8	10	8	10	9	10	10	10	10	11	12	11	11	11	12	12	12	14	13	14	14	15	13	15	15	14	16	14	15	17	15	17	18	15	18	20	20	19	19	17	17	20	19	20	18	22	22	21	19	21	21	22	20	22	23	25	22	24	24	25	2	0	1	1	7	2	2	3	3	2	20	4	18	18	8	8	9	25	15	1	25	15	15	8	7	15	8	17	9	11	18	15	21	27	11	23	34	27	27	28	20	29	27	23	36	34	30	38	47	37	44	36	45	37	43	49	39	50	42	52	36	51	57	59	45	52	17	60	57	71	65	59	70	45	60	42	63	59	71	63	68	59	80	42	63	29	69	29	63	42	63	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	2	2	1	2	1	1	3	1	1	2	2	2	2	2	2	2	1	2	2	1	1	1	1	3	3	2	2	1	2	2	2	1	4	1	2	2	2	2	8	2	3	1	1	2	1	3	3	4	3	5	3	1	1	4	1	4	2	8	4	8	3	5	4
2000	-562.193022878582155	-569.048510829541556	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600443700263406	1	-1	2	2	3	3	3	3	4	3	7	5	5	5	5	5	6	3	8	5	6	7	7	8	7	8	5	7	7	9	9	11	8	8	9	10	10	9	11	10	9	12	10	12	11	12	8	12	14	13	14	15	14	13	14	15	14	15	14	15	18	15	17	17	17	18	20	21	19	20	16	20	20	20	20	19	20	21	20	21	18	22	22	20	23	22	25	24	26	24	25	2	0	1	1	2	2	2	3	3	2	12	4	6	18	8	8	9	2	15	3	18	16	15	16	14	16	8	17	17	11	14	38	18	27	20	23	27	27	34	28	20	29	34	23	36	38	20	43	35	46	44	45	36	46	43	35	37	34	17	45	51	51	57	59	52	53	29	60	63	65	45	64	66	71	53	42	69	64	52	63	52	64	80	64	77	42	80	59	80	84	80	1	1	1	1	3	2	2	1	1	2	2	2	2	1	1	2	1	2	2	1	2	1	1	2	1	2	1	1	1	1	2	1	2	2	2	2	3	2	2	2	2	2	1	3	1	1	2	1	2	1	2	2	3	1	1	3	2	4	3	2	2	1	1	2	1	2	7	2	1	2	2	1	1	2	2	4	1	2	3	2	1	3	1	2	2	8	2	5	2	2	2
2500	-530.521686330767920	-537.377174281727321	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635966089469089	0	-1	2	1	3	4	3	3	4	3	6	5	7	7	5	6	6	5	7	5	8	7	7	8	7	8	8	7	8	9	6	11	10	9	11	9	11	9	10	10	9	11	11	11	12	10	10	12	12	13	13	13	15	13	13	14	14	14	15	16	18	17	17	17	17	17	21	19	19	16	18	20	20	21	21	20	21	22	21	20	20	22	22	23	23	24	25	24	24	26	24	2	0	1	1	2	2	2	3	3	2	20	4	6	18	8	8	9	5	15	3	31	15	15	16	18	15	19	17	17	11	7	39	21	27	30	23	27	27	34	28	3	29	38	36	36	27	41	43	20	34	45	23	51	34	43	35	37	27	42	45	62	45	58	59	60	60	42	66	63	45	66	64	65	71	45	42	69	72	68	58	61	59	80	67	77	42	89	84	69	86	80	1	1	1	1	3	2	2	1	1	3	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	1	2	1	1	2	3	2	1	1	2	1	1	1	2	2	1	3	2	2	1	2	1	4	2	2	1	2	2	1	1	1	5	1	1	2	1	2	1	2	3	3	1	1	1	2	1	3	1	1	2	8	1	1	2	1	2
3000	-533.182067828715958	-540.037555779675358	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583055639760010	0	-1	2	2	2	4	3	3	4	4	5	6	6	6	5	5	6	5	6	6	6	8	6	8	6	9	7	8	7	9	9	10	10	9	9	9	11	10	9	10	9	11	11	11	12	11	12	12	14	12	13	14	13	13	12	15	14	15	15	15	18	17	17	18	17	18	20	20	19	18	18	19	21	20	21	20	19	21	21	19	20	20	22	21	23	23	24	25	26	24	23	2	0	1	1	2	5	2	3	3	5	3	4	5	10	8	8	9	7	8	3	7	16	16	19	7	19	16	17	17	20	7	19	25	27	20	23	34	27	27	28	11	29	27	23	23	16	41	38	30	32	45	53	15	46	37	49	50	46	42	52	36	51	58	42	52	52	59	66	63	52	52	59	66	70	71	64	63	67	71	63	51	64	80	72	63	76	80	84	69	86	80	1	1	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	3	2	2	2	1	2	2	1	1	1	2	1	2	3	3	2	2	1	2	1	1	1	3	1	1	1	1	3	1	1	4	2	1	3	1	2	2	1	2	2	2	2	1	1	1	1	1	1	2	1	3	1	2	1	4	1	2	2	4	1	2
3500	-510.428949025911493	-517.284436976870893	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.563551695674376	0	-1	2	2	4	4	3	3	4	5	7	5	6	5	4	5	6	6	6	6	7	8	6	7	7	8	7	8	8	10	9	10	9	8	9	9	10	9	11	10	10	12	10	10	12	12	12	12	12	12	12	14	14	14	14	16	12	15	16	15	17	16	17	19	16	18	20	19	20	19	18	20	20	19	20	20	21	21	21	19	20	22	22	22	23	24	24	25	25	25	25	2	0	1	1	2	2	2	3	3	7	20	4	7	6	8	8	9	14	15	3	18	24	15	8	14	19	8	17	17	3	5	19	21	19	11	23	27	34	43	28	20	29	38	36	36	37	41	43	30	37	36	51	45	46	48	35	37	50	42	51	51	51	57	59	45	52	59	60	80	65	52	59	52	65	74	59	63	72	36	63	52	67	69	72	63	82	80	84	80	84	85	1	1	2	1	2	3	3	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	3	3	2	2	1	1	2	2	1	1	1	2	2	1	1	2	2	1	2	1	1	2	1	1	1	1	3	1	2	2	2	4	2	3	2	2	2	2	2	1	2	3	2	3	2	1	2	2	1	5	1	3	1	1	1	4	1	2	2	3	2	1
4000	-508.403227311877231	-515.258715262836631	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.621457621383287	1	0	2	2	4	5	3	4	4	3	6	4	7	6	5	5	5	6	7	6	8	7	7	8	6	8	9	8	7	6	7	10	10	7	11	9	10	11	11	10	10	11	10	11	12	12	11	12	13	14	15	15	14	14	14	16	13	14	16	16	19	16	16	18	17	18	21	20	19	20	16	19	19	20	20	21	21	22	19	20	19	20	22	21	22	23	25	23	26	25	24	2	0	1	1	2	5	2	3	3	2	3	4	6	7	8	8	9	7	15	3	31	16	15	22	7	15	34	17	17	3	18	19	21	8	11	23	34	34	27	28	20	29	34	36	23	37	20	27	35	27	23	45	45	38	43	49	38	46	29	52	62	45	57	59	51	52	64	60	63	73	52	64	65	65	73	72	69	59	45	69	66	59	69	82	69	84	83	84	91	84	69	1	1	1	1	3	1	2	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	2	1	2	1	2	1	1	2	1	2	2	1	2	3	2	2	1	3	1	3	2	1	3	4	1	1	2	2	2	1	1	3	1	2	2	2	1	2	2	2	2	2	1	1	1	2	2	1	1	1	2	3	1	1	2	2	1	2	1	2	2	2	2	3
4500	-531.954856840886805	-538.810344791846205	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660945649178114	0	-1	1	1	3	4	2	5	3	4	6	5	5	7	3	6	5	3	8	6	7	8	5	7	6	7	7	7	7	8	9	9	9	8	9	8	11	10	11	10	9	11	9	9	12	12	11	13	12	14	13	14	14	13	13	15	13	14	15	16	19	16	17	16	17	16	21	19	20	20	18	19	21	20	19	20	20	23	21	21	20	20	21	21	22	22	25	24	25	25	24	2	0	1	1	2	2	2	15	1	5	3	4	18	18	3	8	9	2	15	3	18	15	15	8	7	8	8	17	17	27	14	15	21	11	20	23	38	22	38	28	20	29	27	23	36	27	41	43	11	37	36	51	45	43	43	35	34	37	42	45	51	51	50	42	60	52	72	60	63	65	52	64	65	68	60	72	63	67	68	69	71	59	69	72	77	82	80	84	91	84	80	1	1	1	1	2	2	2	1	1	1	3	2	1	2	1	1	1	2	2	3	2	2	1	1	2	1	2	1	1	1	1	2	1	2	2	2	1	1	1	1	2	2	1	2	2	3	1	1	3	3	2	1	2	1	2	3	2	2	3	2	2	2	2	2	1	1	2	1	2	2	2	1	2	1	2	1	2	1	2	1	1	2	1	1	1	1	2	2	1	2	1
