step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63
1	-2689.013803733005716	-2687.551721648486819	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.318666688541884	0	1	3	3	3	3	4	5	4	5	5	5	5	6	6	6	6	7	8	9	11	9	11	13	12	12	14	14	13	15	16	14	16	15	15	16	16	15	16	17	16	18	17	17	17	19	19	18	19	19	19	21	20	20	21	22	24	25	26	27	27	27	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	4	3	4	4	4	4	5	5	5	5	6	6	7	8	7	8	10	9	9	11	11	10	11	12	11	12	11	11	12	12	11	12	13	12	13	13	13	13	14	14	13	14	14	14	16	15	15	16	16	18	18	19	20	20	20	21
500	-914.356966835583307	-912.418450028264601	-1.938516807318676	0.000010013679649	0.000021868637587	2.183876292489062	0.178504837257801	0	1	1	3	2	3	3	2	3	5	5	5	3	6	6	3	6	4	8	6	10	9	8	13	9	12	14	14	12	15	13	12	16	15	15	16	16	12	16	17	16	18	17	17	17	19	19	18	18	19	19	21	20	20	21	22	24	25	26	27	27	27	28	0	1	1	2	3	3	1	1	5	4	16	8	8	9	8	3	13	3	16	18	18	19	20	22	20	0	24	23	0	23	25	23	21	25	7	32	32	4	38	25	25	25	26	16	39	29	25	0	33	25	6	25	29	32	0	25	25	50	6	50	25	20	25	1	1	1	2	1	2	3	2	1	2	2	2	1	3	4	2	3	3	4	2	6	1	2	3	3	1	1	4	1	7	2	4	5	6	10	4	3	4	4	6	5	9	3	13	1	6	9	1	2	9	11	10	6	7	1	10	12	5	21	8	15	16	16
1000	-702.437403484538436	-700.386383256372596	-2.051020228165799	0.000010023517569	0.000024805162304	2.474696346098587	0.253698465670740	0	1	2	3	3	3	4	3	4	5	5	4	5	6	6	6	6	4	6	9	11	9	9	13	10	12	14	12	10	14	16	11	16	15	12	16	16	13	15	17	16	18	17	17	17	19	19	18	19	19	19	21	20	20	21	22	23	24	26	26	27	27	28	0	1	2	1	3	3	1	2	5	2	18	4	8	9	10	11	4	3	11	18	11	16	16	22	23	0	24	32	0	23	28	23	26	32	4	28	32	21	35	31	28	28	38	4	33	26	32	0	39	37	37	32	26	50	0	44	32	56	23	52	30	57	41	1	1	1	3	1	1	3	1	1	2	1	1	2	2	1	1	3	2	1	4	4	2	2	4	1	1	1	1	1	3	4	2	2	3	4	2	3	2	3	1	3	5	4	11	1	6	7	1	3	2	3	9	5	1	1	4	9	2	16	4	12	4	10
1500	-481.431438504579944	-479.550142799139905	-1.881295705440058	0.000010052376252	0.000020504247780	2.039741377195828	0.473908231632133	0	1	2	3	3	1	4	4	4	5	4	5	5	6	6	6	4	7	8	9	8	9	11	11	12	12	14	13	10	15	15	12	13	15	14	16	16	14	15	17	15	17	17	17	15	18	19	18	19	17	17	21	20	20	18	22	24	25	26	27	27	27	28	0	1	6	1	6	1	4	1	5	4	3	8	4	9	10	11	4	11	18	21	4	21	20	22	23	0	24	32	0	23	28	23	29	28	29	25	41	33	38	41	28	28	35	28	33	33	37	0	33	37	37	25	46	50	0	54	47	56	21	57	42	57	56	1	1	1	3	2	1	1	3	1	2	2	1	1	2	1	2	1	3	1	1	5	1	2	2	1	1	2	1	1	3	2	1	3	1	4	3	1	1	1	2	2	3	1	3	2	3	3	1	5	1	1	8	2	2	1	2	5	2	13	2	8	3	6
2000	-367.252702850724518	-365.587926725545231	-1.664776125179306	0.000010092827230	0.000015239865408	1.509969908418793	0.570659349342177	0	1	3	3	3	2	4	4	4	5	5	5	4	6	6	6	6	7	8	9	11	9	10	13	12	12	14	14	13	13	16	13	16	15	15	16	15	15	16	17	16	18	17	17	17	19	19	18	18	19	17	21	20	20	21	22	24	25	26	27	27	27	28	0	1	6	2	6	1	6	4	5	4	6	8	2	9	10	11	13	11	11	18	11	19	20	22	23	0	22	32	0	20	32	21	29	28	26	37	28	26	35	31	37	41	33	28	33	38	31	0	39	51	37	50	49	50	0	54	56	56	52	59	57	59	61	1	1	1	2	1	2	2	1	1	1	2	1	3	2	1	1	2	2	2	2	4	1	1	2	1	1	3	1	1	2	3	1	2	1	2	1	1	3	1	1	1	2	1	2	1	4	2	1	1	1	2	2	2	1	1	2	1	1	4	1	3	1	1
2500	-345.508655924651748	-343.696712665682867	-1.811943258968906	0.000010199061617	0.000019050875119	1.867904698835932	0.572571898441059	-1	1	3	3	3	2	4	4	4	5	5	5	5	6	6	3	6	7	8	8	11	9	11	12	12	12	14	14	13	14	15	13	16	15	14	16	15	15	15	16	16	18	15	17	17	19	17	18	19	18	17	20	20	20	21	22	24	24	26	27	26	27	28	0	1	6	2	6	2	4	4	5	4	16	8	8	9	10	6	13	11	11	18	11	19	20	22	23	0	22	32	0	23	32	25	26	28	26	31	28	29	35	31	37	37	29	34	33	33	37	0	38	51	37	41	38	50	0	54	56	56	56	57	57	59	61	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	2	1	4	1	3	2	1	1	5	1	1	2	2	1	2	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2	3	3	1	1	2	2	2	4	2	2	1	2
3000	-331.042463163619516	-329.038045242593739	-2.004417921025765	0.000010182360379	0.000023958584746	2.352949989321587	0.787531680119784	0	1	3	3	3	1	4	4	4	4	4	5	5	6	6	6	6	7	8	9	10	9	11	11	12	11	14	14	13	14	16	13	16	15	15	16	14	15	16	17	16	18	17	17	17	16	18	18	19	19	18	21	19	20	21	22	24	25	26	27	27	27	28	0	1	6	2	6	1	4	4	5	2	6	8	8	9	10	11	13	16	18	18	16	19	20	22	23	0	22	32	0	23	28	25	38	28	29	28	32	29	38	41	37	41	38	34	38	38	37	0	38	47	41	51	33	50	0	54	56	56	57	59	57	59	61	1	1	1	2	2	1	1	1	1	1	3	1	1	2	1	2	1	1	1	2	2	1	1	2	1	1	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	2	1	4	1	2	3	3	1	1	1	2	2	2	1	3	1	1
3500	-338.524201362338999	-336.748551294501624	-1.775650067837377	0.000010348081738	0.000018409293096	1.779005381021799	0.651000984674206	0	1	3	2	3	2	2	4	4	5	5	5	5	5	6	6	6	7	7	9	9	9	11	13	12	12	14	14	12	15	16	13	15	15	14	16	15	14	16	17	16	18	17	16	17	19	18	16	19	19	19	18	20	20	19	22	24	25	26	27	27	27	28	0	1	6	2	6	1	1	2	5	1	6	8	8	9	10	11	13	11	16	18	11	19	20	22	23	0	24	32	0	23	32	25	26	28	29	28	28	26	38	41	37	41	38	34	33	35	41	0	38	47	41	41	46	52	0	54	56	56	57	59	57	59	61	1	1	1	1	1	1	2	1	1	3	2	1	1	1	1	1	1	2	1	1	2	1	2	3	1	1	1	1	1	4	2	1	3	1	2	2	1	2	1	1	1	2	1	1	2	3	1	1	4	1	3	2	1	2	1	2	1	1	2	1	2	1	1
4000	-354.510251774831943	-352.611929268823189	-1.898322506008757	0.000010236435413	0.000021316245711	2.082389508715993	0.506148014517303	0	1	3	3	1	2	4	4	4	5	5	5	4	5	6	6	6	7	7	8	9	9	10	11	11	12	14	13	12	12	16	14	16	15	15	16	14	15	16	17	16	18	16	17	17	19	18	18	19	19	16	20	20	20	21	22	24	24	26	27	27	27	28	0	1	6	6	1	1	4	4	5	1	3	8	4	9	10	11	13	11	16	18	11	19	21	22	23	0	24	25	0	20	28	25	38	28	26	28	28	29	38	32	37	37	38	34	38	33	51	0	33	51	37	47	33	50	0	54	56	56	57	59	57	57	61	1	1	1	1	1	1	1	1	3	3	2	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	2	2	1	2	2	2	1	2	2	3	1	3	1	2	2	2	1	2	2	2	2	1	2	2	2	2	4	1	1	2	2	1	2	1	2	3	1
4500	-338.614179814345619	-336.865840085930870	-1.748339728414727	0.000010616508153	0.000018180454165	1.712470230584621	0.525307923576566	0	1	3	1	3	2	4	4	4	3	5	5	5	6	6	6	6	7	8	8	11	9	11	11	11	12	13	13	13	13	16	14	16	14	15	16	15	15	16	17	16	18	17	17	17	18	19	18	18	19	19	21	19	20	18	22	24	25	26	27	27	27	28	0	1	6	1	6	1	1	4	5	2	6	2	8	9	10	11	12	16	11	11	16	19	20	22	20	0	22	25	0	23	32	28	38	28	29	30	28	29	38	37	37	41	33	34	38	33	37	0	33	37	37	41	46	50	0	50	56	56	57	57	57	59	61	1	1	1	1	1	1	1	3	1	2	2	4	1	1	2	1	1	1	2	2	3	1	2	2	2	1	2	2	1	2	1	1	1	1	2	2	2	2	1	2	1	2	1	2	1	2	3	1	2	4	3	3	1	1	1	2	2	3	2	2	2	1	1
