step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87
1	-592.992409622120249	-602.043253002571646	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.445305953203526	2	3	4	3	8	3	5	5	5	6	5	6	9	8	8	6	9	7	7	7	7	9	10	9	8	10	8	8	8	7	9	8	9	10	8	9	11	8	13	8	17	10	11	10	9	10	11	10	10	9	10	11	9	10	9	10	9	9	12	10	11	14	11	12	11	12	12	11	11	12	13	12	12	13	14	16	12	12	12	14	16	13	14	15	20	16	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-267.509375981100732	-276.560219361552072	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979155076743906	1	3	5	4	7	3	6	6	5	7	3	6	9	8	9	5	8	7	8	7	7	9	11	3	7	10	9	8	7	6	7	5	6	11	9	8	11	7	13	9	7	10	12	10	8	11	12	11	11	10	11	11	9	10	9	10	10	9	9	10	12	10	11	12	12	13	11	12	9	11	11	12	12	13	14	17	12	12	10	15	7	12	14	10	19	15	21	0	1	11	24	2	1	16	9	2	9	1	6	8	30	38	2	3	2	81	9	7	28	40	1	30	58	38	25	16	2	33	24	3	3	29	8	33	3	67	38	2	29	84	10	81	31	50	15	26	28	36	27	10	81	17	59	14	29	8	7	57	14	55	60	35	46	53	42	14	10	36	57	84	46	64	86	20	31	25	56	4	56	61	27	37	66	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-259.842140851202203	-268.892984231653543	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992220695608969	2	4	4	4	9	3	6	6	5	7	6	7	8	6	9	7	10	7	7	8	8	10	11	10	6	11	8	5	8	7	8	8	9	10	8	10	10	8	13	6	17	9	11	10	10	10	11	7	11	10	10	11	6	11	9	11	9	7	12	10	12	13	12	13	11	12	11	10	10	10	13	9	12	13	12	17	11	8	12	13	17	14	14	16	19	15	18	0	6	1	6	38	1	9	3	4	25	9	28	30	1	13	14	31	11	53	7	7	6	58	27	2	55	16	3	19	2	58	58	30	20	4	78	12	40	42	4	63	9	70	20	9	10	50	14	51	12	13	5	2	21	29	70	19	3	34	2	49	69	17	63	27	45	57	42	32	55	59	13	22	63	47	29	50	53	68	50	62	65	79	64	21	64	84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-269.745869482337866	-278.796712862789207	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998863507081465	2	4	5	3	8	4	5	5	6	6	5	7	4	9	8	7	9	8	7	6	8	9	11	10	8	10	8	8	9	7	9	9	9	10	6	9	12	9	14	8	18	10	11	11	10	8	10	9	11	7	10	8	10	10	8	9	9	9	12	11	11	7	11	10	9	12	10	12	12	11	13	10	10	13	10	17	10	10	12	12	10	14	13	8	13	11	21	0	1	4	1	20	1	1	6	3	1	6	10	4	50	50	7	35	16	11	13	12	30	18	33	16	18	62	3	9	2	84	19	5	19	6	40	51	21	77	9	73	36	17	32	17	9	21	50	21	20	22	9	25	19	19	62	62	50	86	33	47	7	57	29	55	24	28	55	72	67	49	40	46	46	7	59	84	5	24	60	33	69	55	35	36	34	49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-252.938856231983152	-261.989699612434492	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985502292432401	2	4	5	3	7	4	5	6	6	6	5	7	8	7	9	7	8	3	7	8	6	8	10	9	8	10	6	9	9	5	10	9	10	10	8	10	12	7	11	9	17	10	12	10	8	9	10	10	10	8	10	9	8	7	9	10	9	9	13	9	7	12	11	13	11	12	12	11	12	11	13	13	12	14	14	17	12	12	9	15	17	13	12	14	19	16	23	0	1	4	1	4	4	18	6	30	11	18	6	4	8	61	11	8	1	11	30	7	61	52	45	12	45	18	20	17	18	45	17	50	24	38	45	48	21	49	38	80	3	50	16	54	45	60	24	38	10	57	5	14	6	13	79	17	35	68	16	4	39	40	45	60	26	47	42	21	58	24	23	25	77	26	86	39	31	38	52	64	37	40	40	86	80	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-260.637768547847486	-269.688611928298826	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978769814423165	0	4	4	2	8	1	6	5	6	7	5	5	9	9	7	7	10	7	6	6	6	8	7	5	7	9	8	8	9	7	9	7	9	7	8	9	11	9	12	8	17	9	10	11	9	9	10	10	10	5	10	11	9	10	7	8	10	7	13	9	11	14	9	11	12	10	11	11	11	12	13	13	12	13	13	15	12	8	11	14	16	10	13	11	20	13	25	0	6	6	6	8	1	8	1	8	19	4	4	58	15	12	7	60	21	11	24	4	32	21	6	24	58	9	32	56	8	11	2	20	8	34	15	24	16	69	18	62	16	31	43	5	9	53	38	28	6	38	26	56	35	11	7	16	20	64	27	36	71	30	17	46	42	10	63	29	31	39	77	61	31	64	59	60	24	45	86	61	9	51	42	41	84	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-261.026299164670377	-270.077142545121717	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995092519354222	1	4	3	4	9	3	6	6	5	6	4	6	10	6	6	5	10	6	8	7	7	7	11	9	8	8	9	7	7	8	9	8	6	11	2	8	10	8	13	8	17	9	11	10	8	10	9	11	11	7	9	11	7	10	9	10	7	9	10	10	11	15	11	12	3	11	12	12	12	11	9	12	12	12	13	16	12	12	10	12	14	12	14	11	19	14	28	0	65	35	65	32	1	1	9	35	3	35	11	40	4	3	6	36	35	57	12	65	12	50	57	22	33	16	3	2	57	18	7	4	42	1	14	30	8	84	8	83	14	5	22	7	51	15	24	31	16	18	56	2	55	38	5	14	16	31	20	42	80	30	37	35	5	84	13	49	27	9	71	79	5	23	81	37	17	22	27	77	46	69	19	62	63	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-261.476006219022111	-270.526849599473451	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981293493249240	1	3	4	4	9	3	5	2	6	7	6	7	9	9	8	5	8	7	7	8	7	9	10	9	8	9	8	8	6	8	5	8	9	9	8	8	6	7	13	9	18	8	12	11	9	10	12	10	9	7	10	10	9	9	8	10	8	10	8	10	11	12	12	6	6	9	12	10	10	11	12	12	13	13	14	15	12	12	12	12	14	13	13	16	21	15	25	0	8	1	2	19	8	3	1	4	29	3	31	10	12	29	8	37	16	16	4	31	50	35	28	64	21	18	19	16	64	3	38	32	18	29	18	16	29	69	27	73	64	25	34	19	18	36	14	25	3	19	19	10	25	2	49	7	27	12	57	13	16	15	7	4	4	26	34	40	53	33	32	56	79	83	43	14	33	46	46	79	69	61	51	84	39	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-253.518903073279716	-262.569746453731057	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996128900897826	-2	3	0	2	9	2	5	6	5	4	6	6	10	8	7	6	8	7	7	7	3	10	11	10	9	9	7	9	7	6	10	6	10	8	8	9	10	8	12	8	17	10	10	9	9	7	12	10	10	10	10	12	9	11	8	7	8	8	12	10	10	9	10	12	8	12	12	11	12	12	13	11	13	13	14	16	10	12	13	14	17	13	13	14	20	16	22	0	1	1	3	18	3	21	21	10	21	7	7	27	27	16	10	7	16	30	9	3	55	55	8	27	15	8	38	9	2	18	21	28	8	19	27	36	29	23	27	47	25	53	40	46	7	23	57	34	15	14	60	27	28	16	9	46	30	63	53	25	29	18	25	16	23	40	5	44	26	31	26	59	45	69	66	12	26	26	42	86	52	44	64	84	83	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-247.875145642896371	-256.925989023347711	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995172548700349	1	3	5	3	8	3	6	5	4	7	4	7	9	5	9	6	9	7	7	7	4	6	11	10	9	10	8	6	9	7	10	8	9	10	5	7	9	5	13	8	18	10	12	11	10	9	11	8	11	9	10	11	9	10	10	10	10	10	13	8	12	10	12	6	12	13	11	8	8	13	13	10	12	13	13	14	11	12	13	14	16	13	12	15	19	14	26	0	1	6	1	64	1	14	6	4	64	6	2	36	4	16	3	64	3	22	22	1	8	5	68	16	48	64	35	64	21	25	20	9	68	6	8	20	9	62	64	81	5	23	37	27	10	25	10	17	60	60	26	7	36	68	30	5	10	58	30	58	25	68	4	58	67	5	20	30	77	23	48	31	44	45	79	5	45	61	55	80	23	62	82	81	58	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
