step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102
1	-1944.262087044326336	-1951.117574995285622	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.368991320891819	0	1	1	2	4	3	4	5	4	5	6	6	7	7	6	6	6	6	7	7	8	9	8	7	9	9	9	8	9	8	11	10	8	10	10	11	11	10	9	10	11	11	10	13	12	11	12	11	12	11	12	13	13	12	12	12	13	13	14	16	15	16	17	16	16	17	15	18	17	17	17	17	20	18	18	19	19	18	19	19	19	20	20	20	20	20	19	21	21	22	26	22	22	24	26	25	25	26	27	29	29	30	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	3	3	3	4	4	3	3	3	3	4	4	4	5	4	4	5	5	5	4	5	4	6	5	4	5	5	6	6	5	5	5	6	6	5	7	6	6	6	6	6	6	6	7	7	6	6	6	7	7	7	8	8	8	9	8	8	9	8	9	9	9	9	9	10	9	9	10	10	9	10	10	10	10	10	10	10	10	10	11	11	11	13	11	11	12	13	13	13	13	14	15	15	15
500	-800.892880498728914	-807.748368449688314	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.291288433887824	-1	2	0	2	3	3	4	5	4	6	7	6	8	7	7	6	7	6	7	7	8	9	8	7	7	9	6	8	9	9	11	9	8	11	9	10	11	10	8	11	11	11	10	14	12	12	13	12	11	10	13	11	13	11	13	10	14	13	13	16	14	17	18	16	16	17	15	19	17	15	17	17	20	19	19	17	20	18	19	20	18	21	18	20	21	21	20	22	22	21	27	23	23	25	26	25	25	26	27	28	28	28	0	1	1	3	1	1	5	9	6	9	5	6	11	7	8	9	10	6	9	5	1	27	18	9	6	12	5	9	18	10	20	12	6	21	14	12	3	23	24	21	26	27	9	9	29	28	42	32	30	27	21	27	25	23	52	0	45	49	12	42	1	38	56	56	70	61	29	12	9	59	43	33	66	12	70	28	63	61	21	65	43	65	21	43	56	50	65	21	37	13	70	28	83	93	42	88	0	43	94	61	38	69	1	1	1	1	3	2	1	1	1	1	2	2	1	2	1	1	1	2	1	2	6	2	1	2	2	2	1	2	2	3	3	2	3	1	1	1	6	2	1	2	1	3	3	6	1	2	1	1	1	2	2	2	3	2	1	1	1	2	4	3	8	3	3	5	1	2	3	6	7	1	4	5	1	10	2	3	1	3	3	2	4	3	6	8	7	6	2	9	8	7	7	5	3	1	8	1	1	8	1	7	14	7
1000	-655.416792100928774	-662.272280051888174	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.510604457868997	-2	1	0	1	3	3	5	5	3	6	7	5	8	7	7	6	6	5	7	7	8	8	8	7	9	10	9	7	8	9	11	9	6	11	11	11	11	9	9	10	12	12	10	14	11	11	12	12	12	11	12	11	13	13	12	11	12	14	14	15	16	16	18	16	15	17	15	19	17	17	18	16	19	19	18	18	19	18	18	18	19	20	19	21	21	21	20	22	21	22	26	22	23	24	27	25	25	27	28	30	28	30	0	1	1	3	1	2	5	9	2	6	7	2	11	7	18	9	9	9	10	7	5	12	16	9	6	22	2	17	28	19	20	12	6	20	18	22	32	23	19	20	12	52	28	29	29	24	26	32	39	12	10	26	21	38	50	0	29	49	41	50	51	24	56	56	50	62	43	60	28	65	66	29	72	50	65	51	63	62	45	65	69	75	53	67	56	68	80	51	68	66	75	66	72	79	82	84	0	83	90	101	83	94	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	3	2	1	2	4	1	5	1	1	1	2	2	2	2	3	1	2	1	1	1	4	1	2	3	2	2	1	2	2	2	2	1	2	2	1	1	2	2	1	2	2	6	3	5	1	1	2	2	5	2	1	3	2	4	2	2	1	2	4	2	1	1	3	4	5	1	2	6	1	3	5	3	3	2	3	2	1	5	3	1	3	4
1500	-610.088464293510583	-616.943952244469983	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.453073055814732	1	2	2	3	4	3	4	6	5	4	7	5	7	8	6	7	5	5	8	6	7	8	8	7	8	10	9	8	9	7	12	10	9	11	10	11	10	10	10	11	12	11	10	13	12	11	13	11	12	11	12	12	14	12	13	13	13	13	14	16	13	14	17	16	16	18	16	19	17	18	17	17	21	17	18	19	20	19	18	20	19	20	20	20	21	21	19	21	22	23	27	21	22	25	25	26	24	27	28	29	29	30	0	1	1	3	1	2	2	9	10	6	7	3	5	5	6	5	10	5	30	7	7	12	18	6	18	12	12	9	24	10	34	12	9	20	21	22	22	23	25	11	26	27	24	43	29	23	52	22	39	12	43	27	57	23	42	0	29	49	50	50	28	6	56	56	27	71	53	42	44	50	62	9	71	50	60	61	63	69	53	75	69	68	69	71	56	75	65	51	75	92	80	71	83	83	86	71	0	92	94	84	98	99	1	1	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	1	2	2	2	2	3	1	2	1	2	1	2	1	2	1	1	1	2	1	3	1	2	1	2	1	1	2	1	2	2	3	5	2	2	3	1	1	4	2	5	1	7	1	4	2	4	1	1	2	2	1	1	2	2	4	2	2	4	2	1	3	2	1	3	2	4	1	3	2	5	1	1
2000	-578.267640620748352	-585.123128571707753	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.582625761156895	0	1	1	2	5	4	2	5	3	6	5	5	7	6	7	5	7	6	5	7	8	9	8	8	9	9	9	7	7	7	12	11	9	10	9	11	11	10	10	11	11	11	11	12	13	10	13	11	12	11	12	13	13	12	13	12	13	14	13	16	16	17	16	16	17	17	15	18	16	16	16	16	20	17	18	18	19	18	20	20	19	21	21	19	21	21	18	22	20	22	26	20	22	24	26	25	26	26	28	29	29	31	0	1	1	3	7	9	1	9	2	6	7	4	5	2	8	9	10	9	9	5	5	12	18	19	30	3	4	18	18	19	20	27	6	20	21	22	26	23	33	20	22	27	9	28	43	24	26	22	43	27	24	22	43	46	50	0	18	25	42	55	43	53	56	56	27	72	53	50	43	50	67	43	71	55	70	51	56	53	67	87	78	75	66	66	77	70	70	76	87	66	82	72	92	66	82	93	0	94	98	98	99	100	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	2	2	1	2	1	3	3	1	1	1	2	1	2	2	1	1	1	1	1	3	1	2	4	2	2	1	2	1	1	1	2	2	1	2	1	1	3	3	1	1	3	2	2	2	4	1	1	3	2	2	1	1	2	3	1	2	3	3	2	1	1	1	2	1	1	3	1	2	2	2	2	2	1	3	2	1	1	1	2	2	1	1
2500	-558.382811092832867	-565.238299043792267	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605865459031092	0	2	1	3	4	3	4	5	5	6	6	6	7	7	7	7	7	6	8	8	8	7	8	7	9	8	10	7	10	8	12	11	9	10	11	9	11	10	10	11	11	12	11	12	11	8	13	11	11	12	13	13	14	12	13	10	13	13	14	16	15	17	17	14	15	18	16	18	16	17	16	17	19	18	17	19	19	19	18	20	19	21	21	20	20	21	18	22	21	21	24	22	22	25	26	25	25	27	26	29	29	31	0	1	1	3	2	2	1	6	6	6	7	3	5	7	8	9	9	6	17	14	5	3	10	6	19	4	26	9	9	18	34	36	9	20	14	22	26	23	25	34	12	27	28	43	24	18	27	22	39	22	6	27	28	46	50	0	45	49	27	50	53	71	56	56	59	71	53	50	53	65	44	71	62	60	65	61	63	62	69	87	79	75	72	66	77	87	70	76	87	66	82	83	66	92	91	84	0	92	83	94	98	100	1	1	1	1	1	1	2	1	1	2	1	3	2	3	1	1	1	2	1	1	2	3	1	2	1	2	1	1	3	1	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	2	2	1	4	3	2	3	2	1	1	1	1	3	2	1	1	4	2	1	1	1	3	1	2	2	1	2	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	2	2	1	2	2	1	2	1	2	3	3	1	1
3000	-593.948918264378221	-600.804406215337622	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.588425661428929	-1	1	1	3	5	2	4	5	4	4	6	5	7	6	6	5	7	4	6	7	8	8	8	8	8	7	9	7	8	6	11	11	8	10	9	12	11	11	9	10	9	11	11	14	11	11	12	12	12	12	12	13	14	12	12	12	13	14	14	16	15	15	17	16	15	17	16	19	16	17	16	18	20	18	18	20	18	19	17	19	19	21	20	20	21	20	20	21	21	23	26	22	20	24	27	25	26	25	27	29	29	30	0	1	1	3	7	2	2	18	6	6	7	3	5	7	18	9	18	6	10	14	5	12	16	6	30	4	12	8	10	10	34	26	18	20	13	32	27	23	25	20	26	22	17	24	24	23	22	22	39	42	33	27	45	23	27	0	29	49	27	42	43	57	56	56	42	71	53	42	28	42	62	66	69	48	65	51	64	72	62	65	69	42	72	66	77	74	80	76	86	84	82	83	72	84	91	84	0	92	72	98	99	100	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	2	1	1	2	2	1	2	1	2	2	1	2	2	1	2	3	2	1	1	1	2	1	1	1	2	3	2	2	1	2	2	2	1	2	1	2	3	1	1	2	1	2	2	2	1	3	3	2	1	1	4	3	3	1	1	2	4	2	5	2	1	1	2	1	5	1	2	1	1	1	1	1	2	2	1	1	2	1	2	1	3	4	1	1	1
3500	-562.530021583004554	-569.385509533963955	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.694320022916963	0	1	1	3	4	2	5	5	4	5	6	6	7	6	7	6	7	6	7	7	8	8	8	7	9	8	10	9	8	8	11	11	7	9	10	11	10	10	10	11	11	10	10	12	11	11	13	12	11	12	11	13	14	13	13	13	12	13	13	17	16	17	17	17	14	17	15	17	16	17	17	16	20	18	15	20	19	18	19	17	19	20	20	20	20	19	19	21	21	21	24	21	22	24	26	26	25	27	26	29	30	31	0	1	1	3	2	1	5	9	6	6	5	4	7	1	10	9	9	6	10	11	14	12	33	9	19	12	26	24	18	19	20	22	9	20	11	37	22	23	30	20	26	26	28	28	29	23	32	37	39	42	33	12	43	23	50	0	29	49	32	42	51	53	56	56	50	72	33	52	53	65	44	67	66	68	65	61	56	62	71	75	67	52	71	66	63	80	80	76	60	66	70	71	84	83	91	92	0	66	94	94	98	100	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	2	2	2	2	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	2	3	2	3	1	1	2	1	2	3	3	2	4	2	1	1	4	1	2	2	2	1	1	1	1	2	3	1	1	1	2	2	1	2	1	1	1	1	2	2	3	2	1	2	1	2	1	3	1	2	2	1
4000	-552.562084281867328	-559.417572232826728	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.665806817938165	0	1	2	3	5	3	4	5	4	5	6	7	7	8	7	6	6	6	8	7	7	9	8	8	10	9	9	9	9	9	12	10	9	10	10	11	12	10	9	10	11	12	10	13	13	12	13	10	11	11	12	11	11	11	12	12	14	12	13	16	15	14	17	15	16	18	15	18	16	17	17	16	21	19	19	16	20	18	17	19	20	21	21	20	21	20	17	20	21	22	24	23	22	24	26	25	26	24	28	29	26	31	0	1	1	3	7	2	1	6	6	9	7	4	7	11	8	9	10	6	10	11	5	12	16	6	39	12	3	24	24	19	34	22	24	20	21	32	12	23	19	20	26	50	18	29	28	23	52	12	39	27	16	27	24	23	50	0	29	49	52	50	44	53	56	56	50	72	62	42	62	65	72	62	72	70	87	53	63	62	28	87	69	75	66	71	63	87	65	76	80	84	82	84	84	72	91	92	0	83	92	101	83	94	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2	2	2	1	2	1	1	4	2	2	2	1	1	2	1	1	3	2	1	2	1	2	1	1	3	1	1	1	1	3	1	1	4	2	2	3	1	1	1	2	2	2	2	1	2	2	2	2	2	1	4	1	1	1	1	2	2	3	6
4500	-556.609643093537784	-563.465131044497184	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.714979125997322	-1	2	1	2	3	4	3	5	3	5	7	6	5	8	7	6	6	5	7	6	8	8	8	6	10	8	8	8	10	8	12	9	8	10	10	11	11	10	10	10	10	10	11	10	12	12	11	12	12	11	12	14	13	12	13	13	12	13	15	17	14	16	17	16	15	16	14	16	17	17	17	18	20	19	17	19	19	19	19	18	19	20	20	20	21	21	19	21	20	22	26	22	22	25	27	26	26	26	28	29	28	30	0	1	1	3	2	9	1	9	1	6	24	3	5	12	8	6	10	6	10	7	13	4	24	9	30	12	12	6	24	19	34	22	24	20	14	22	32	23	28	11	26	27	18	24	43	33	27	32	39	12	24	36	44	23	50	0	44	49	52	65	51	53	56	56	42	67	53	55	53	50	66	66	72	70	65	61	63	53	53	75	69	80	72	72	77	80	75	76	80	79	82	83	71	92	91	90	0	84	98	99	83	98	1	1	1	1	1	1	3	1	2	1	1	3	1	1	1	1	1	1	1	2	2	3	1	2	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	2	1	1	2	2	1	3	2	2	1	3	2	2	2	2	1	1	2	1	1	1	1	2	2	2	2	1	1	2	2	3	1	1	1	1	1	2	1	3	2	1	1	1	1	1	2	2	2	1	1	2	2	1	2	2	1	2	1	3	1	1	3	2
