step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65
10000	-301.748559596097380	-308.604047547056780	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.703540047672167	-1	1	3	3	4	4	4	2	5	6	5	5	5	4	4	6	5	6	6	6	6	6	7	8	9	10	9	9	10	11	10	11	9	10	11	11	11	11	13	11	11	11	10	12	12	11	12	13	13	12	13	11	12	14	14	13	15	13	16	18	17	17	15	17	19	0	1	2	8	8	4	4	2	3	15	6	7	14	4	4	9	3	11	11	13	13	14	19	16	22	33	23	24	24	25	33	43	21	23	24	25	25	25	38	31	26	25	33	32	28	29	46	41	42	46	33	29	31	52	58	47	50	53	63	57	55	56	56	56	62	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	3	1	2	1	2	2	1	1	2	2	2	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	3	1	1	2	1	1	3	1	1	1	3	1	2	1	1
10500	-332.320717949654579	-339.176205900613979	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.634858112111730	0	2	1	4	4	4	4	2	3	6	5	5	5	4	5	6	7	6	6	6	6	3	7	8	8	10	9	9	10	11	9	11	8	8	11	11	11	9	13	11	10	10	9	12	10	12	12	13	10	12	12	12	12	14	14	13	15	13	16	17	16	17	15	17	19	0	1	1	22	22	8	8	1	3	5	6	2	14	22	22	9	9	11	11	13	13	8	19	16	13	33	34	16	28	38	33	43	21	23	29	38	13	25	30	31	31	33	33	26	9	35	45	41	43	35	42	45	41	52	58	47	35	53	63	50	58	56	56	63	63	1	2	1	1	1	2	1	1	1	2	1	2	1	1	1	3	4	1	1	1	1	1	1	2	2	2	1	3	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	2	6	1	2	2	1	1	2	2	1	2	1	1	3	1	1	2	3	2	2	2	3
11000	-308.554530302561147	-315.410018253520548	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.824629125813589	0	1	3	4	3	4	3	2	5	4	5	5	5	6	4	5	5	6	6	6	6	4	7	7	7	10	9	9	10	10	9	11	7	10	11	10	11	12	13	11	11	10	10	12	10	12	12	13	13	13	12	14	12	14	14	15	15	13	16	18	17	17	17	18	18	0	1	2	8	8	8	8	2	3	8	6	4	22	22	7	4	3	11	11	13	8	8	19	9	13	31	23	24	24	25	33	43	21	27	29	21	25	30	38	31	31	31	31	41	24	35	35	41	32	35	41	24	41	46	58	47	50	53	56	50	58	56	56	63	62	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	1	2	2	2	1	2	1	1	1	1	2	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	3	1	1	1	2	2	1	1	2	2	2	2	1	1
11500	-328.508271784870431	-335.363759735829831	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.612293972940425	0	2	3	4	4	3	3	1	5	7	4	5	5	6	5	6	7	5	6	6	4	6	7	8	9	9	8	9	10	11	9	11	7	9	10	11	10	12	13	10	10	11	11	12	12	12	12	13	13	13	12	13	12	14	14	15	14	13	16	16	15	17	17	18	19	0	1	2	8	8	2	8	1	3	4	6	8	21	8	4	9	9	11	18	13	2	4	19	16	24	33	23	24	24	25	33	41	21	27	24	25	14	30	14	31	26	26	31	32	28	29	35	25	43	35	43	45	26	52	58	47	29	53	56	35	58	56	59	62	63	1	2	1	1	1	1	2	1	2	2	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	2	1	1	2	2	2	1	3	1	2	2	3	1	4	1	1	2	2	1	2	1	2	2	2	2	1	1	3	1	1	3	3	1	1	5	2	2	1	1	2
12000	-302.077637958154526	-308.933125909113926	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.799993310167080	0	2	3	4	4	3	4	3	5	7	5	5	5	6	4	5	6	6	6	6	6	5	7	8	7	9	8	9	10	10	10	10	8	10	11	9	11	12	11	11	10	11	11	12	12	12	12	13	13	13	13	13	11	14	13	15	15	12	16	18	17	17	16	18	17	0	1	1	8	8	2	3	2	3	5	6	7	8	22	3	3	16	6	11	13	13	8	19	9	21	33	19	24	28	25	26	26	21	27	29	25	25	39	30	26	26	31	32	32	28	35	35	43	31	35	31	46	33	52	58	50	46	53	56	57	58	63	56	62	56	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	3	1	1	1	1	2	3	1	1	2	4	1	1	1	2
12500	-289.193278330095268	-296.048766281054668	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.704015370831537	0	2	3	4	4	4	4	3	5	7	5	5	5	5	5	6	6	6	6	6	6	5	7	7	8	10	8	9	10	10	10	11	9	10	10	11	11	11	13	11	11	11	9	12	12	12	12	11	12	13	13	13	12	14	14	13	15	13	15	18	17	16	17	18	19	0	1	2	8	8	2	8	1	3	5	6	7	8	4	8	9	3	11	11	13	13	4	19	16	13	43	23	24	24	25	33	26	25	27	24	30	30	30	21	31	31	26	25	32	28	29	29	31	32	29	42	29	48	52	58	47	50	53	56	57	55	56	62	62	62	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	4	1	1	1	1	1	2	1	1	1	1	2	2	3	1	1	1	1	2	1	1	2	2	2	1	2	2
13000	-286.756391657510449	-293.611879608469849	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673868039416363	0	2	3	4	4	3	2	3	4	7	5	5	5	6	4	6	7	6	6	6	6	6	7	8	9	8	8	9	10	10	10	11	10	10	11	11	11	11	10	9	11	11	10	12	11	12	12	13	13	13	12	13	11	14	14	15	15	13	16	17	17	16	17	18	18	0	1	2	7	8	7	1	7	3	5	6	7	4	12	8	3	16	11	11	13	13	8	19	16	21	13	23	24	16	21	13	43	26	27	29	30	30	39	13	26	31	31	26	31	28	35	35	41	44	35	42	46	31	52	58	47	50	53	56	57	55	56	56	63	63	1	2	1	2	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	2	3	1	1	1	1	4	3	1	2	2	1	1	1	1	3	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2	1	1
13500	-280.801161864796711	-287.656649815756111	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.623781276994594	0	2	3	4	4	4	4	3	5	7	5	4	5	6	5	6	6	6	6	6	6	6	7	8	9	8	9	9	10	11	10	10	9	10	11	11	11	12	12	11	11	11	10	11	11	12	12	12	13	12	13	13	13	14	14	15	14	15	16	18	16	17	16	18	17	0	1	2	8	8	8	8	2	3	5	6	8	8	4	1	3	3	11	11	13	13	13	19	16	14	21	19	24	24	25	26	33	26	27	29	25	25	30	37	43	31	43	26	31	24	35	35	41	43	35	42	45	48	52	53	47	50	53	56	46	58	63	56	62	63	1	1	1	1	1	1	1	1	1	2	1	1	2	2	3	2	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	1	1	1	2	2	1	1	1	1	1	2	1	3	1	1	1	2	1	2	2	1	1	1	2	2	2	1	6	1	1	1	1	1
14000	-304.817212654322873	-311.672700605282273	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.658179585424252	0	2	3	4	3	3	4	3	4	7	4	5	5	6	5	6	6	6	6	6	6	4	7	7	9	7	9	9	9	11	10	11	10	8	11	11	9	11	13	10	11	11	10	11	11	12	12	12	13	13	13	12	13	14	14	14	12	15	16	18	17	17	17	16	19	0	1	2	8	2	2	8	2	3	5	6	7	4	4	22	9	9	11	11	13	13	8	19	16	13	21	23	16	24	25	26	26	26	23	29	25	13	25	30	26	43	40	26	31	28	35	45	41	43	57	42	35	48	52	53	47	35	53	56	57	55	64	56	56	63	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	2	1	1	1	2	2	3	2	2	1	1	1	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	3	2	1	3	2	2
14500	-301.706200755425584	-308.561688706384984	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.598886703435296	0	2	3	4	4	4	3	4	5	6	5	5	5	5	4	5	6	6	6	6	6	6	7	8	9	9	9	9	10	8	8	11	9	10	11	10	11	12	13	11	9	10	11	12	12	12	12	11	13	13	13	12	13	14	14	15	15	15	16	18	17	17	17	18	18	0	1	2	7	7	7	1	7	3	5	6	4	7	4	7	2	9	11	11	13	13	4	19	9	30	31	23	24	24	13	21	31	31	23	16	21	30	25	38	31	31	31	26	26	29	29	35	41	32	45	33	35	48	52	53	47	46	55	56	57	58	56	57	63	63	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	3	1	1	1	1	1	2	1	2	1	1	2	1	2	3	2	2	1	2	5	3	1	2	1	2	1	2	2	2	2	2	1	2	2	1	3	1	1	2	1	2	3	1	1	2	2	2	2	1	1
15000	-326.441614288370090	-333.297102239329490	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532839569114693	0	2	3	3	4	3	4	4	5	7	6	5	5	6	5	6	7	6	5	6	4	6	7	8	9	9	9	9	10	10	8	10	10	10	11	11	11	12	13	11	11	11	11	12	11	12	11	13	12	12	13	13	13	14	14	16	15	15	16	18	17	17	15	18	17	0	1	2	1	4	2	2	4	3	5	19	7	21	8	2	9	9	19	6	13	4	8	19	16	14	13	23	9	24	13	21	31	31	27	28	30	30	25	8	26	32	26	31	32	16	35	24	32	32	45	42	45	26	52	26	47	50	55	63	57	58	63	47	62	56	1	1	1	3	1	1	2	1	2	2	1	1	1	2	2	1	1	1	2	1	1	2	1	2	3	3	2	3	2	3	2	2	1	1	2	1	1	3	4	1	1	2	2	2	3	1	3	2	1	1	2	1	2	1	2	4	2	1	1	2	2	2	3	1	1
15500	-333.721747398727018	-340.577235349686418	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.639394343729399	0	1	3	2	4	3	4	4	5	7	4	5	5	5	4	6	7	6	6	6	6	6	7	8	9	8	9	9	9	11	7	11	10	10	11	10	11	12	11	9	11	11	11	12	12	12	12	13	13	13	13	13	12	14	14	13	14	15	15	17	17	17	16	17	19	0	1	2	1	1	4	4	3	2	22	6	7	8	4	3	9	2	11	11	5	13	8	19	16	14	31	23	24	24	8	20	31	31	23	24	25	25	37	22	26	33	26	33	43	28	35	35	41	30	46	32	35	32	52	53	35	50	55	56	57	58	56	47	63	56	1	1	1	2	4	1	2	1	4	1	1	1	1	2	1	1	3	1	2	2	1	2	1	1	2	1	2	1	1	4	1	2	2	2	1	1	2	1	3	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	3	2	1	3
16000	-292.614913868629969	-299.470401819589370	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748670348875696	0	2	3	2	4	3	4	4	5	7	4	5	5	5	5	6	7	6	5	6	6	3	7	8	8	10	9	9	10	11	8	9	10	10	11	11	11	11	10	11	11	11	11	12	12	12	12	13	11	13	13	13	13	14	14	14	14	15	16	18	16	17	15	18	19	0	1	2	1	4	2	22	22	3	21	6	22	8	22	4	3	16	11	11	13	22	4	18	16	13	31	23	16	24	25	21	31	31	27	24	39	39	39	25	26	31	31	32	41	28	35	29	41	32	35	43	47	41	52	53	47	50	55	56	57	58	56	56	62	62	1	2	1	1	2	1	1	1	2	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	2	1	2	2	2	1	1	2	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	2	2	1	3	1	1	1
16500	-294.596565211554548	-301.452053162513948	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.712029848256268	0	2	3	2	4	4	4	4	5	6	5	5	3	5	5	6	7	6	6	6	6	6	7	8	8	9	9	7	10	10	8	11	10	10	11	11	11	12	10	11	11	10	9	10	11	12	12	13	13	13	13	13	13	14	14	15	15	15	16	18	17	17	16	18	19	0	1	1	1	4	4	3	4	3	5	6	7	2	8	4	9	9	11	11	15	13	14	19	28	21	31	19	9	24	25	21	43	31	27	29	30	30	45	25	33	33	31	31	43	24	35	35	41	32	35	42	35	32	52	53	47	47	55	56	57	58	63	56	62	63	1	1	2	2	2	2	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	1	1	1	1	1	2	1	1	2	1	1	3	1	1	1	2	2	2	1	1	1	1	3	3	1	1	2	2	1	1	1	1
17000	-306.751123627025606	-313.606611577985007	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.604006810762061	0	2	3	3	4	4	4	4	5	6	5	5	5	5	5	6	7	6	6	6	6	6	7	7	9	10	9	9	10	9	7	11	10	9	11	11	10	12	13	11	11	11	9	12	12	11	12	13	13	13	13	13	13	14	14	15	15	15	16	17	17	16	17	18	19	0	1	2	2	1	2	4	4	3	4	6	7	8	8	8	2	9	11	11	13	2	8	19	16	13	31	23	24	16	13	13	43	43	23	29	25	30	36	38	26	26	31	31	32	29	29	35	41	26	35	33	29	26	52	53	47	50	55	56	57	58	56	59	63	64	1	1	1	1	3	2	1	1	1	2	1	1	1	1	1	3	2	1	1	1	1	2	1	1	1	3	2	2	2	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	3	2	3	1	1	2	2	1	1	1	2	1	1	1	1
17500	-308.313964273009788	-315.169452223969188	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591616494257158	0	1	3	2	4	4	4	4	5	6	6	5	5	5	4	6	7	5	6	6	5	5	7	8	8	10	9	9	10	9	8	11	10	10	11	8	11	10	13	10	11	11	11	12	12	12	11	13	13	12	13	13	11	14	14	15	14	15	16	18	16	17	17	18	18	0	1	4	1	4	4	4	4	3	5	18	8	8	8	4	9	3	6	6	22	8	4	19	16	13	31	23	24	24	22	21	26	31	27	29	22	30	31	30	31	26	26	31	33	28	29	24	41	44	35	42	46	33	52	48	57	50	55	56	57	58	56	56	62	63	1	1	1	1	2	2	2	1	2	2	1	1	1	1	2	1	3	1	2	1	1	3	1	2	2	2	1	1	2	2	2	1	2	1	1	1	1	1	2	2	1	1	2	2	2	2	3	2	1	1	2	1	1	1	1	1	2	1	1	4	1	1	2	1	1
18000	-290.129769393395406	-296.985257344354807	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.664768374649457	0	2	3	3	4	4	4	4	5	6	6	5	5	6	5	6	7	6	5	5	6	6	7	7	9	10	9	9	10	8	9	10	10	10	11	11	10	12	10	11	11	11	11	11	12	12	12	13	13	12	13	13	13	14	14	16	15	15	16	18	17	17	17	18	19	0	1	2	2	4	2	4	4	3	5	19	7	8	8	8	3	9	19	6	4	13	8	18	2	13	31	23	16	24	21	30	31	31	27	29	30	30	30	13	26	26	26	32	26	28	35	24	40	43	35	42	45	41	52	53	45	50	55	47	57	58	59	56	62	63	1	2	1	1	1	2	1	1	2	2	1	1	1	2	1	3	2	1	1	2	1	2	1	3	1	1	2	2	2	1	1	1	1	1	1	3	2	3	3	1	1	1	1	1	2	1	3	1	1	1	2	1	2	1	1	1	2	1	1	2	2	1	1	1	2
18500	-268.094337411882520	-274.949825362841921	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.831826169501724	0	2	3	3	4	4	4	4	5	7	6	4	5	6	5	6	5	5	6	6	6	6	7	8	8	9	9	9	10	10	10	10	10	10	11	11	11	12	13	11	10	11	11	12	12	12	12	13	12	13	13	12	12	14	13	16	15	14	15	17	17	17	17	18	18	0	1	2	2	4	4	4	4	3	4	6	2	8	8	4	9	3	6	18	15	13	15	19	3	13	25	23	24	28	25	10	26	26	27	29	30	30	30	38	31	26	31	32	31	28	35	35	31	43	46	42	35	31	52	53	59	50	55	47	57	58	56	56	62	63	1	1	1	1	1	1	1	1	2	3	2	1	1	1	2	1	2	1	1	1	1	1	1	3	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	2	1	2	2	1	1	2	1	2	2	2	1	1	1	1
19000	-294.258166309634021	-301.113654260593421	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.640614018145134	0	2	3	3	4	3	2	4	5	7	6	5	4	6	5	5	7	5	6	6	6	5	7	8	9	9	9	9	10	10	10	10	10	10	9	11	11	12	11	11	11	11	11	12	11	12	9	13	12	13	13	13	14	14	14	16	15	15	16	18	17	17	17	18	19	0	1	2	7	7	2	1	4	3	5	18	7	7	8	4	3	9	6	18	13	13	4	19	16	20	21	23	24	28	25	25	26	26	27	24	30	25	30	25	26	31	31	25	32	28	35	24	31	43	46	42	45	48	52	48	57	46	55	57	50	58	56	56	62	63	1	1	1	1	2	1	2	1	2	2	1	3	2	2	2	2	1	2	1	2	1	2	1	3	3	3	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	2	2	1	3	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1	1	1
19500	-294.543579428385442	-301.399067379344842	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.637601598405023	0	2	3	3	4	4	4	4	5	7	6	5	5	5	4	6	6	5	6	6	6	6	7	8	8	9	8	7	10	10	10	8	10	9	10	11	11	12	13	10	11	10	11	11	12	12	12	13	12	11	13	13	13	14	14	16	14	15	15	18	17	17	17	18	19	0	1	2	2	4	4	4	4	3	4	18	7	15	4	2	3	9	6	18	13	13	4	19	28	10	32	23	9	16	25	26	21	32	23	16	30	30	30	30	26	40	26	26	32	28	24	50	41	43	35	42	46	41	52	53	59	50	55	46	45	58	56	56	62	63	1	1	1	1	1	1	1	1	1	4	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	2	2	1	1	2	2	1	1	1	2	1	4	3	1	2	1	1	2	1	2	1	1	1	2	1	3	4	2	1	1	1	2
20000	-282.850983683776462	-289.706471634735863	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746247368393360	0	2	3	3	4	4	4	4	4	7	6	5	5	5	5	6	7	5	6	6	6	6	7	6	9	10	9	9	10	10	10	8	9	10	11	11	11	12	13	11	11	11	11	12	10	12	12	13	13	13	13	14	12	13	14	15	15	15	14	18	17	17	17	18	18	0	1	2	2	4	4	4	4	3	14	18	7	8	4	4	9	9	6	18	13	13	4	19	3	13	33	23	24	28	25	32	21	32	27	28	30	30	30	30	25	26	31	25	40	28	29	28	41	43	35	42	54	43	35	53	59	50	55	47	57	58	59	56	62	63	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	2	1	2	2	1	1	1	2	1	1	2	1	1	2	2	2	1	1	2	1	1	2	3	2	2	1	2	1	1	2	2	1	2	1	1	2	2	2	2	1	1
20500	-266.037827223618876	-272.893315174578277	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.757314180035578	0	2	3	3	4	4	4	4	5	7	6	5	5	6	5	6	7	5	6	6	6	6	7	8	9	9	8	9	10	10	10	8	9	10	11	11	11	12	13	11	11	11	11	12	12	12	12	13	12	13	13	14	13	13	14	15	15	15	13	16	17	17	17	18	19	0	1	2	2	4	4	4	4	3	5	18	7	8	8	8	9	3	6	18	13	13	8	19	16	32	32	23	24	28	25	26	21	32	27	24	30	30	30	30	31	31	26	26	43	28	35	35	41	43	35	41	54	26	35	53	59	50	55	35	50	58	56	56	63	62	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	2	2	1	1	2	2	1	3	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	2	2	2	1	2
21000	-268.267583011889542	-275.123070962848942	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.761690663426259	0	2	3	3	4	4	4	4	5	7	6	5	5	6	5	6	7	5	6	6	6	6	7	8	9	9	8	9	10	10	10	8	10	10	11	11	11	11	13	11	11	11	11	12	12	12	12	12	12	13	13	14	13	12	14	16	15	15	14	18	17	17	17	18	18	0	1	2	2	4	4	4	4	3	5	18	7	4	8	8	3	16	6	18	13	13	15	19	16	22	32	23	24	24	25	32	21	26	27	24	25	25	30	30	31	25	25	26	42	28	35	35	41	43	35	43	54	48	29	53	59	50	55	47	50	58	56	56	56	63	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	2	2	2	1	2	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	3	2	1	1	2	1
21500	-301.326973881206811	-308.182461832166211	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.632579940872857	0	2	3	3	4	4	4	3	5	7	6	5	5	6	5	6	7	5	6	6	4	5	7	8	9	9	9	9	10	10	10	8	10	10	11	11	11	12	13	11	11	11	11	12	11	12	12	13	13	13	13	14	14	11	13	16	15	15	13	17	15	17	17	18	18	0	1	2	2	4	4	4	2	3	5	18	7	7	13	8	3	3	6	18	13	8	4	19	16	22	32	23	24	9	25	26	21	26	27	28	25	30	30	30	31	26	31	32	40	28	35	35	41	44	29	42	54	55	29	44	59	50	55	47	57	55	56	59	56	63	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	4	1	1	1	1	2	1	2	3	1	2	1	2	1	1	2	1	1	2	2	1	2	2	1	1	1	1	1	2	1	1	2	1	2	2	2	1	1	1	2	2	2	1	1	2	1	2	1	1
22000	-275.171486303273355	-282.026974254232755	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616491007339597	0	2	3	3	4	4	4	4	5	7	6	5	5	6	5	6	7	5	6	5	6	5	7	8	9	9	9	8	10	10	10	8	10	10	11	11	11	12	13	10	11	11	11	12	12	12	12	13	13	13	13	14	14	13	14	16	15	15	14	18	17	17	17	18	19	0	1	1	1	4	4	4	4	3	5	18	4	4	8	8	9	9	6	18	2	13	7	19	9	9	32	23	16	28	25	26	21	26	23	29	25	25	30	30	26	26	26	32	43	29	35	35	41	44	35	42	54	48	46	48	59	50	55	47	57	58	56	56	62	63	1	1	1	1	1	1	1	1	2	3	1	1	2	2	1	1	1	1	1	3	1	1	1	2	2	1	1	2	2	1	1	1	1	2	1	2	2	1	2	1	2	1	2	1	2	1	1	2	1	2	2	1	1	1	1	2	2	1	2	2	2	1	1	1	2
22500	-302.602055832619840	-309.457543783579240	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.645341703771949	0	2	3	3	4	4	4	4	5	7	6	5	5	6	5	6	5	5	6	6	6	6	7	8	9	10	9	9	10	10	9	8	10	10	11	10	11	12	12	10	11	11	11	11	12	12	12	13	12	13	13	14	14	12	13	16	15	15	14	18	17	17	17	18	19	0	1	2	1	4	4	4	3	3	5	18	4	7	8	8	3	2	6	18	13	13	8	19	16	21	32	19	16	24	25	13	21	25	23	29	25	30	30	30	31	32	26	26	26	16	35	28	33	44	46	42	54	48	35	26	59	50	55	47	57	58	59	56	62	56	1	1	1	3	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	3	2	3	3	2	1	3	2	1	2	1	1	1	2	2	1	2	1	1	1	2	1	2	2	1	1	2	2	1	1	2	2	2	2	1	2	1	2	1	1	3
23000	-313.667520484769057	-320.523008435728457	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.723415692370742	0	2	1	4	3	3	4	2	3	7	6	5	5	5	5	6	7	5	6	6	6	6	7	8	9	10	8	9	10	11	9	8	10	9	11	11	11	10	13	11	11	11	11	12	12	12	12	12	13	13	13	14	14	13	12	16	15	15	15	18	16	17	17	18	19	0	3	1	8	2	8	2	1	3	14	18	7	4	8	4	3	4	6	18	13	13	14	19	16	14	31	23	16	24	38	32	21	32	27	9	38	38	13	38	33	33	26	32	43	35	29	29	43	43	46	42	54	48	24	26	59	50	55	47	57	58	56	56	62	63	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	3	3	2	1	1	1	1	1	2	3	1	1	2	2	1	1	1	2	1	4	1	1	3	3	1	1	1	1	1	1	2	2	1	2	1	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2
23500	-295.356543820485456	-302.212031771444856	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.668992989009343	0	1	3	3	4	4	4	2	2	7	6	5	5	5	5	5	7	5	6	6	6	5	7	8	8	10	9	9	9	11	9	11	10	10	11	11	9	12	13	11	11	11	11	12	12	11	12	13	13	13	13	14	14	12	13	16	15	15	14	18	17	17	16	18	19	0	1	9	8	8	8	4	1	2	13	18	7	2	4	4	3	16	6	18	14	14	4	19	16	21	31	23	24	24	25	25	21	31	27	24	25	25	30	38	31	26	31	31	43	24	24	35	41	43	46	42	54	55	35	32	59	50	55	47	50	58	56	59	63	62	1	1	1	1	1	1	1	2	1	2	1	1	4	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1	3	1	1	3	1	1	1	1	2	1	1	2	1	3	3	1	2	1	2	2	2	1	1	2	2	2	2	1	4	1	1	2	2	1
