step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65
5000	-285.620691727719645	-292.476179678679046	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.627968978109881	0	2	3	3	4	4	4	4	5	6	5	5	4	6	5	6	7	6	6	6	6	5	7	8	7	8	9	9	10	10	9	10	10	10	11	11	11	12	13	11	11	11	11	12	12	12	12	12	12	13	13	14	13	12	14	16	15	15	16	18	17	17	14	17	19	0	1	1	1	4	4	4	4	3	5	6	7	4	8	7	3	16	11	11	15	13	8	19	16	13	25	23	24	16	25	26	31	31	19	29	30	30	37	25	26	32	32	32	43	28	29	35	41	43	46	42	54	41	24	53	63	35	55	63	57	58	63	47	56	63	1	2	2	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	2	1	2	2	1	1	1	4	1	1	1	1	4	2	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	2	2	1	1	3	2	2	1	1	4
5500	-283.297243451996394	-290.152731402955794	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.671354893954063	0	2	3	3	4	3	4	4	4	7	5	5	5	6	5	6	7	6	4	6	6	6	7	8	6	9	9	8	9	9	10	10	10	10	11	11	8	11	12	11	11	11	11	11	11	10	12	12	13	13	13	14	13	12	14	16	15	15	16	18	16	17	14	18	18	0	1	2	1	4	2	4	4	3	5	19	4	8	7	8	3	16	11	6	13	13	8	19	16	13	21	23	16	24	37	26	26	26	27	46	30	25	30	30	26	31	33	32	32	29	29	35	41	43	35	42	54	48	35	53	63	50	55	63	57	55	56	47	62	63	1	1	1	3	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	2	1	2	3	2	1	1	1	2
6000	-310.110687051141269	-316.966175002100670	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672700496136224	0	2	3	3	4	4	4	4	5	7	6	5	5	4	5	6	7	5	6	6	6	6	7	8	7	10	9	8	9	11	9	10	10	10	11	11	9	12	13	11	11	11	11	12	11	10	12	12	12	13	13	14	13	11	14	16	13	15	16	17	17	17	14	18	19	0	1	2	2	4	4	4	4	3	5	18	7	14	4	14	9	9	6	18	13	13	8	19	9	13	31	23	4	28	13	21	31	31	27	46	10	25	30	37	32	33	26	32	43	29	28	35	41	32	35	42	57	31	29	53	63	45	55	63	50	58	59	28	62	63	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	4	1	4	2	1	1	1	1	3	2	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	2	2	1	1	2	1	2	3	2	1	4	1	4
6500	-313.694745586912461	-320.550233537871861	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702047442327195	0	2	3	3	4	4	4	4	5	7	6	5	5	6	5	6	7	5	6	6	6	5	6	8	9	10	8	9	10	8	10	8	10	8	11	11	11	12	10	11	11	11	11	12	11	12	12	13	13	13	13	14	13	13	14	16	15	15	16	17	17	17	14	18	19	0	1	2	1	2	4	4	4	3	5	18	4	4	22	4	3	16	6	18	13	13	8	6	16	13	21	6	24	28	13	21	4	25	23	29	39	25	39	13	26	31	39	33	43	24	29	35	26	43	35	42	50	31	45	53	63	50	55	63	57	58	56	47	62	56	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	3	2	1	2	1	1	2	2	3	1	1	1	1	1	3	1	1	2	1	2	2	1	3	1	1	1	1	1	2	1	2	1	2	1	2
7000	-295.772486382217778	-302.627974333177178	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649649946554771	0	2	3	3	4	3	4	4	5	7	6	5	5	6	5	6	6	5	6	6	6	6	7	7	7	10	9	9	10	9	10	9	10	10	11	11	11	12	10	10	11	11	10	11	12	12	11	13	13	13	13	12	13	14	14	15	15	15	16	17	17	17	14	15	19	0	1	2	2	2	2	4	4	3	14	18	7	8	4	8	9	9	6	18	13	13	8	19	16	13	32	23	24	28	25	25	25	32	27	29	30	30	30	25	32	26	31	32	43	28	35	9	41	31	47	42	47	41	52	53	63	50	55	63	50	58	63	47	63	56	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	4	2	1	1	2	1	2	2	1	1	2	1	1	3	2	2	3	1	3
7500	-294.090670457772148	-300.946158408731549	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594946848210412	0	1	2	3	4	4	2	4	4	6	6	5	5	5	5	6	6	5	6	6	6	5	7	7	9	10	9	9	10	11	9	11	10	10	11	11	11	12	10	11	11	11	11	12	12	12	12	13	13	13	13	12	12	14	14	16	15	15	16	18	17	17	14	18	19	0	1	2	7	4	4	2	4	3	5	18	7	4	8	4	9	9	6	18	22	22	4	19	16	14	31	23	16	9	39	21	25	31	27	24	39	39	30	25	26	26	31	31	32	29	35	28	41	32	35	42	35	31	52	53	63	50	55	63	57	55	63	47	56	63	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	1	3	1	2	2	4	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1	2	2	2	2	2	1	2	3	3	2	1	2	4
8000	-277.141846293410538	-283.997334244369938	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.721642569758196	0	2	3	3	4	3	4	4	4	7	6	5	5	6	5	5	7	5	5	6	6	6	7	7	8	10	8	9	10	10	9	11	10	10	11	11	10	12	13	11	11	11	10	12	12	12	12	13	13	13	13	13	12	14	14	16	15	13	16	18	17	17	15	18	19	0	1	2	2	4	2	4	4	3	5	18	4	8	8	8	3	9	6	6	13	13	13	19	16	13	31	23	24	24	25	21	43	31	27	29	30	25	30	38	26	31	26	31	32	29	29	35	41	40	35	42	45	26	52	58	63	45	53	63	57	55	56	47	56	56	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	2	2	1	1	2	1	1	1	2	2	1	2	2	2	2	1	1	1	1	1	1	1	1	2	3	1	2	2	1
8500	-308.588188302521075	-315.443676253480476	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.764077934749713	0	2	3	3	4	4	4	4	4	7	5	5	5	6	5	6	7	6	6	6	4	5	7	7	9	10	9	8	10	10	9	11	10	8	11	10	11	12	12	10	11	11	10	11	11	12	12	13	13	12	13	13	12	14	14	16	14	13	16	17	16	17	15	18	18	0	1	2	2	1	2	4	4	3	14	6	7	21	22	8	9	16	11	11	13	4	4	19	22	13	25	23	16	28	31	21	43	25	23	28	25	31	37	30	25	26	26	31	31	29	35	29	41	43	35	42	46	41	52	58	63	50	53	63	50	58	56	47	56	63	1	2	1	1	3	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	2	1	4	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	3	3	1	1	1	2
9000	-276.487269606586608	-283.342757557546008	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740665474719389	0	2	3	3	4	4	4	4	5	5	5	5	5	6	5	5	7	6	6	6	6	5	7	7	9	10	8	9	10	10	9	11	10	10	11	11	11	12	13	11	11	11	10	12	12	12	12	13	12	12	13	12	12	14	14	15	15	13	16	17	15	17	14	18	18	0	1	2	2	4	4	4	4	3	5	6	7	8	22	8	3	9	11	11	15	13	8	19	16	8	31	23	24	28	25	21	43	31	27	29	30	25	30	30	43	26	31	31	32	28	35	29	41	31	29	42	29	31	52	58	63	50	53	63	57	58	56	47	62	59	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	2	2	2	1	2	2	3	2	1	1	2	1	2	1	2	1	2	1	2
9500	-290.266041323237914	-297.121529274197314	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.782576247688093	0	2	3	3	4	4	4	3	5	7	5	5	5	6	4	6	7	6	6	6	6	6	7	8	9	10	9	7	10	10	10	11	9	10	11	11	10	12	13	11	11	11	10	12	10	12	12	13	12	13	13	12	12	14	14	16	15	13	16	16	15	17	14	17	19	0	1	2	2	8	8	4	2	3	5	6	7	8	7	8	9	9	11	11	13	2	8	19	16	13	25	23	16	24	25	25	43	13	27	29	25	10	30	30	31	26	31	33	32	24	35	35	41	32	35	42	35	32	52	58	63	35	53	63	57	58	56	50	63	56	1	2	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	1	2	2	1	2	1	2	1	1	1	3
