step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81
1	-3084.405070393002006	-3091.260558343961293	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646110055269114	-1	1	2	4	6	6	9	13	15	14	17	17	17	17	18	18	18	18	18	19	21	19	20	21	21	20	20	21	22	23	23	22	22	24	26	25	24	27	25	26	27	26	26	27	27	29	27	29	28	29	30	30	30	30	30	31	31	30	32	31	32	33	32	31	33	34	33	34	35	36	38	36	38	40	39	38	39	39	39	41	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	5	7	8	8	9	9	9	9	10	10	10	10	10	10	11	10	11	11	11	11	11	11	12	12	12	12	12	13	14	13	13	14	13	14	14	14	14	14	14	15	14	15	15	15	16	16	16	16	16	16	16	16	17	16	17	17	17	16	17	18	17	18	18	19	20	19	20	21	20	20	20	20	20	21	21
500	-892.402398592139434	-899.257886543098834	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.173126469375100	-1	1	2	4	6	6	9	12	15	13	14	15	15	17	15	17	17	18	17	19	19	17	19	22	21	19	20	22	22	21	24	22	21	23	25	25	24	27	25	27	27	25	27	27	28	29	26	29	28	28	31	30	31	31	31	32	32	31	32	32	31	33	30	31	33	34	33	35	35	36	39	35	38	41	40	38	40	40	40	41	40	0	1	1	2	1	4	4	7	11	8	6	10	10	9	11	12	12	10	12	10	22	11	16	8	11	15	17	21	11	11	22	16	20	11	19	32	28	8	11	23	18	11	13	11	30	13	37	30	19	8	7	39	22	11	6	42	30	12	5	15	16	30	11	30	11	25	11	19	64	24	11	11	11	30	66	11	41	11	35	40	11	1	1	2	1	4	1	2	2	1	1	4	2	1	2	1	1	1	2	2	3	1	2	1	5	4	3	1	2	5	4	3	2	1	5	6	2	1	8	6	6	5	8	9	8	3	9	2	6	8	10	14	4	9	12	17	5	8	9	14	10	8	5	12	9	15	7	11	12	3	10	16	10	14	13	4	16	6	16	11	8	14
1000	-723.598169350387025	-730.453657301346425	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.217485671549734	-2	1	3	5	6	7	10	12	15	13	16	17	17	17	19	15	18	17	17	18	21	17	20	21	20	20	18	21	22	22	24	23	22	23	26	25	24	27	23	26	27	26	27	28	27	29	27	30	28	28	31	30	30	31	31	32	31	31	32	31	32	33	32	31	34	35	33	33	35	37	39	37	39	39	39	38	39	39	39	41	40	0	1	2	2	2	4	6	7	8	8	6	16	9	8	16	7	12	7	16	16	13	10	27	11	20	16	10	13	25	11	28	20	25	28	30	32	34	30	16	30	40	18	22	19	39	34	34	30	16	30	19	19	28	32	9	44	44	16	5	18	48	64	40	19	16	50	57	39	54	52	30	39	5	39	69	7	64	30	51	58	16	1	2	1	3	3	1	2	1	2	1	4	1	1	2	2	3	1	4	2	1	2	2	2	2	1	3	2	3	1	3	2	4	1	1	2	1	1	5	5	2	1	4	6	6	2	4	2	5	8	2	9	5	5	6	9	2	3	6	14	10	1	1	4	9	11	3	1	5	3	4	11	9	16	8	2	15	3	12	5	4	13
1500	-601.985644975898026	-608.841132926857426	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.334932962537959	-1	2	1	4	6	6	9	13	16	14	16	17	17	17	18	18	19	17	18	19	21	18	21	22	22	20	20	19	22	21	23	22	23	23	26	24	24	26	24	26	28	26	27	25	27	30	28	29	28	28	30	29	30	30	30	32	31	30	32	31	29	33	31	32	33	34	34	33	33	37	38	37	38	40	39	39	39	39	39	41	41	0	1	1	2	2	2	4	6	8	8	10	10	8	8	18	10	12	11	11	16	13	13	20	18	16	15	16	22	11	19	28	14	25	28	39	32	21	25	30	39	45	36	37	30	14	43	28	45	44	40	30	38	28	44	21	48	49	27	19	17	44	49	48	54	7	50	61	60	54	67	61	69	49	58	60	8	54	54	69	77	59	1	2	1	1	1	3	2	3	2	1	2	1	1	3	1	2	1	1	1	1	2	1	1	3	2	1	1	1	3	2	2	2	1	2	2	1	2	1	2	1	1	2	2	3	6	2	3	1	2	1	5	2	7	4	4	2	2	6	8	6	2	2	1	1	14	2	3	1	2	1	5	2	6	5	6	13	4	5	3	1	5
2000	-546.640059376326803	-553.495547327286204	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.481212806701752	-1	1	1	4	6	7	9	13	14	15	17	17	17	16	17	18	19	18	19	20	22	20	20	22	20	20	21	22	22	21	22	23	23	25	26	26	24	24	26	26	27	27	26	27	28	28	28	29	27	29	30	30	31	31	31	31	31	30	32	30	32	33	29	31	33	34	33	34	35	36	37	37	38	38	39	38	38	39	38	41	41	0	1	1	2	2	4	6	6	8	8	10	6	14	9	8	8	16	11	11	12	22	13	8	18	16	18	16	13	20	23	22	25	16	37	20	20	21	19	38	38	35	25	28	16	35	21	37	35	38	44	44	49	37	35	34	63	44	49	60	11	57	52	38	44	16	38	58	61	58	52	52	66	58	66	73	44	35	76	69	78	69	1	1	1	2	2	2	1	3	1	1	2	4	1	2	2	3	1	1	1	1	1	2	3	2	1	1	2	2	1	1	1	2	3	1	3	3	2	2	1	1	1	2	2	3	1	2	3	2	2	1	1	2	3	2	4	1	2	2	1	9	1	2	3	2	11	5	2	1	2	3	5	2	3	3	1	4	4	1	2	2	3
2500	-474.217117156135942	-481.072605107095342	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.479504873492250	-2	0	2	4	6	6	9	13	15	14	17	18	18	17	19	18	16	16	18	19	21	20	21	21	20	21	21	21	22	23	23	22	22	22	25	25	24	28	25	26	28	26	26	28	28	29	27	27	27	29	31	31	31	30	28	31	32	30	32	31	32	32	33	30	34	35	32	34	35	36	39	36	38	39	38	38	40	39	39	41	41	0	1	1	2	3	2	4	6	8	8	10	8	9	9	12	17	8	8	11	11	22	13	16	18	11	15	16	13	25	12	13	25	25	28	30	32	34	48	30	30	35	36	37	49	40	47	37	35	39	38	49	49	55	35	28	38	54	44	50	11	58	58	48	44	30	50	54	61	61	52	44	65	72	50	65	65	73	60	73	78	69	1	1	3	2	1	2	3	3	1	1	2	3	1	1	1	1	1	2	1	1	1	1	2	3	1	2	2	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	1	2	1	7	1	1	3	1	6	4	1	1	2	3	7	1	1	4	2	2	1	4	1	1	4
3000	-452.369251339819812	-459.224739290779212	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.630653769295191	0	1	2	4	6	6	8	13	15	15	17	17	17	17	19	18	18	18	18	19	21	19	20	21	20	20	20	21	23	24	23	22	23	25	26	24	24	28	24	26	28	26	27	27	27	29	27	28	26	29	30	29	29	30	30	30	32	28	32	31	32	33	33	31	32	33	33	34	35	35	37	36	38	40	39	38	39	39	40	42	40	0	1	1	2	2	4	6	6	4	8	10	10	9	8	12	8	12	9	9	11	22	13	11	15	20	16	16	22	25	19	13	25	32	28	39	25	28	35	19	30	39	25	37	49	30	43	28	40	39	39	49	40	47	30	47	48	52	44	54	30	60	65	56	54	52	59	52	51	61	67	61	69	69	59	71	69	65	73	78	81	71	1	1	1	2	2	1	2	3	5	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	4	3	1	1	2	1	2	2	1	3	1	2	2	2	1	1	1	4	2	1	2	2	2	1	3	2	1	2	1	1	4	1	1	2	1	2	1	2	1	1	1	2	1	3	4	1	1	4	1	1	1	1
3500	-437.195396848231610	-444.050884799191010	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.641925373820009	-1	2	2	5	5	7	9	12	16	15	16	18	17	18	18	17	18	19	18	19	21	19	20	21	21	20	18	21	21	22	23	23	23	25	26	24	24	27	24	26	28	27	26	28	27	29	26	28	27	30	31	31	30	31	30	30	32	30	32	31	32	34	32	31	34	35	34	33	34	36	38	37	37	39	39	37	40	39	40	41	39	0	1	1	2	2	4	6	7	8	8	8	11	9	9	10	10	11	12	10	10	13	13	16	15	23	15	11	13	17	23	13	25	29	31	39	25	28	35	23	30	40	23	28	35	39	47	37	40	30	40	44	38	28	44	47	48	64	38	35	49	58	54	56	44	51	59	52	61	61	52	68	69	69	66	72	52	81	73	78	81	73	1	1	1	2	1	1	1	2	1	2	2	1	1	2	1	1	1	1	1	2	3	1	2	1	1	1	1	2	2	2	3	1	1	1	1	2	2	1	2	2	1	4	2	1	1	1	2	1	2	2	2	2	3	2	2	1	1	1	3	2	1	2	1	2	2	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1
4000	-427.300407214302140	-434.155895165261541	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.664255985018033	-1	1	2	4	6	6	9	13	14	15	17	17	17	18	19	18	17	16	19	19	22	19	21	22	20	20	20	21	22	21	23	22	23	25	26	25	23	28	26	26	27	27	27	27	27	30	27	30	28	28	30	31	30	30	29	31	32	30	31	31	32	33	33	30	33	33	32	34	35	36	38	37	37	40	40	38	38	37	39	41	40	0	1	1	2	2	4	6	7	8	8	10	10	9	10	18	8	9	8	17	16	28	13	16	15	17	18	16	22	25	19	13	25	29	28	30	32	28	39	30	30	40	32	28	40	35	55	37	45	44	40	49	49	47	38	34	48	64	49	50	49	49	54	56	39	52	50	49	51	61	67	64	69	69	71	71	69	69	69	78	77	77	1	1	2	2	4	1	2	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	2	1	2	1	1	1	1	3	1	1	2	2	2	1	1	2	3	1	2	3	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	3	1	3	2	2	2	3	2	1	1	1	1	1	1	1	2	2	1
4500	-421.033762667629389	-427.889250618588790	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670288571497477	-1	1	3	4	6	6	9	14	15	14	16	16	17	18	17	18	18	19	18	18	21	19	20	21	20	19	19	22	21	23	23	23	23	24	27	26	24	27	26	24	26	27	27	27	28	29	27	29	28	29	31	30	30	30	30	31	32	31	31	31	32	33	33	32	33	34	33	35	35	35	38	35	38	40	39	38	39	39	40	41	40	0	1	1	2	2	4	4	7	8	7	8	8	9	9	8	11	12	15	12	8	13	13	16	18	20	15	16	22	25	20	22	25	29	28	39	32	21	40	30	30	30	36	37	41	38	43	37	45	44	35	44	45	46	35	21	48	52	44	50	44	58	54	56	52	61	50	51	61	65	58	61	65	65	45	73	72	69	69	73	77	77	1	1	2	2	2	1	2	3	1	3	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	4	1	1	2	2	2	1	2	1	2	1	2	1	1	1	2	2	1	3	4	1	1	2	2	1	1	1
