step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70
1	-1321.219591168324996	-1330.270434548776393	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.596228944307857	2	21	11	11	18	35	26	28	29	35	39	37	32	48	36	42	38	52	40	46	45	43	42	42	52	59	46	43	45	43	45	53	45	54	49	50	48	54	47	48	50	54	56	49	56	57	51	57	69	57	57	70	60	57	61	61	68	64	66	64	71	75	67	85	75	78	80	73	85	81	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-361.365982063884132	-370.416825444335473	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984295173878236	0	18	9	12	18	36	24	28	29	33	38	39	33	48	33	39	38	50	44	51	46	44	38	44	42	54	37	43	45	37	43	51	44	44	49	52	43	46	45	45	41	54	58	45	56	60	47	55	67	58	56	53	59	47	61	62	69	65	65	60	65	70	69	84	75	76	72	69	83	78	0	3	1	3	4	10	2	4	2	2	10	15	9	16	8	10	9	29	30	25	30	23	13	23	17	25	9	8	12	7	23	6	23	13	11	29	15	41	11	41	6	38	40	15	29	18	25	47	55	54	20	29	51	16	51	44	26	46	50	48	60	46	59	66	68	49	59	46	67	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-362.674650835894624	-371.725494216345965	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984459680064980	1	22	8	7	16	37	23	31	28	35	37	33	30	46	33	39	38	54	40	39	43	42	43	46	49	57	47	38	44	32	48	46	45	52	52	43	50	54	40	43	51	54	55	50	52	59	51	56	63	57	62	70	59	58	55	61	62	68	59	61	62	72	64	87	71	71	74	75	78	81	0	1	1	1	4	9	5	9	2	30	8	13	5	16	13	10	13	31	12	15	30	5	11	39	24	28	39	30	16	9	40	36	39	32	27	28	40	33	30	12	14	47	16	36	14	35	29	47	54	41	42	59	34	44	27	41	37	60	55	37	44	61	38	70	56	49	65	66	62	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-378.115109821996782	-387.165953202448122	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.962204290750638	2	24	13	9	19	39	27	30	23	34	42	33	30	50	36	40	36	55	37	43	46	45	45	41	30	52	36	35	47	42	38	52	43	55	45	47	45	55	47	49	43	57	51	49	53	58	48	53	69	53	54	68	50	54	64	63	61	60	68	64	61	70	63	86	73	79	74	69	82	80	0	3	4	1	3	10	5	7	5	8	6	13	2	35	13	15	13	30	9	17	12	11	11	28	5	37	12	25	17	16	13	23	27	26	16	31	41	44	37	6	12	31	11	33	21	40	10	44	58	40	14	29	16	37	57	57	53	48	18	61	48	56	43	66	46	68	60	50	60	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-361.641836036251902	-370.692679416703243	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998872389922426	3	19	8	11	23	34	23	17	30	35	38	32	29	49	32	45	38	41	39	44	39	45	44	39	51	59	49	40	46	44	47	55	43	37	47	51	48	56	48	50	48	52	49	44	55	57	52	59	65	60	57	69	62	57	58	55	67	65	54	66	69	76	62	85	61	76	76	69	85	78	0	3	1	3	8	7	8	4	2	13	6	7	5	31	8	24	9	15	6	24	10	21	34	15	6	59	18	11	18	28	11	40	17	9	11	12	20	43	24	22	22	16	37	18	30	37	39	32	55	59	41	50	56	47	40	22	50	54	27	26	63	52	51	68	32	60	55	50	66	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-359.583984570419489	-368.634827950870829	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997161912978012	-1	18	8	13	21	36	28	29	26	35	42	38	31	41	29	45	39	47	42	48	45	44	39	33	44	51	47	44	47	48	47	49	41	56	47	52	50	55	48	52	54	48	58	51	57	53	52	51	66	58	56	73	58	58	53	59	65	63	58	66	69	67	59	82	75	78	74	70	88	70	0	3	1	3	4	8	4	5	4	15	10	24	9	15	9	23	24	33	7	21	23	13	7	7	12	17	23	24	25	11	14	31	9	48	25	21	25	36	33	28	27	17	37	29	47	28	27	33	56	18	32	60	44	55	18	55	54	38	22	53	57	38	37	67	61	65	61	59	66	56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-368.297093854486491	-377.347937234937831	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994895400347258	-2	23	6	7	20	37	29	32	31	28	38	38	34	49	37	41	31	36	43	45	44	42	39	44	51	59	39	38	38	36	43	55	46	56	50	50	46	57	50	42	51	54	54	45	56	47	49	58	69	54	60	63	60	51	59	61	65	65	69	65	72	72	60	72	75	76	75	70	82	77	0	5	1	1	3	7	2	10	2	5	17	8	7	44	7	10	7	9	17	28	16	15	13	28	12	27	18	8	8	2	15	22	22	20	33	20	27	19	31	23	22	41	20	17	43	12	37	54	34	11	36	50	43	16	45	54	34	52	52	48	68	57	42	49	64	64	48	57	61	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-365.476737036750649	-374.527580417201989	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991421817618784	4	18	14	11	16	33	23	27	29	38	42	37	35	43	36	34	38	47	40	48	43	37	42	42	54	61	42	44	40	45	46	55	41	53	51	44	48	53	49	33	42	48	56	47	53	57	51	60	68	58	51	69	51	57	56	62	59	62	64	66	69	74	64	80	76	75	65	66	88	83	0	3	1	1	4	8	5	2	2	8	15	9	2	12	9	9	9	10	40	19	16	40	16	13	31	51	17	12	8	24	21	18	22	53	27	19	21	53	21	5	15	27	51	13	39	18	13	53	67	45	31	67	18	53	53	38	55	46	38	58	59	38	26	58	48	52	43	54	64	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-381.659387018829761	-390.710230399281102	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997750719411674	3	21	15	11	20	30	22	26	32	27	30	37	34	45	39	41	31	53	34	46	47	42	43	40	37	57	46	45	37	44	43	55	44	57	52	51	49	43	49	48	50	53	48	42	55	53	50	50	54	52	58	70	62	53	64	60	69	66	62	56	75	73	67	82	74	66	78	60	88	73	0	4	4	1	4	7	3	5	10	7	5	6	10	12	17	13	7	27	7	17	31	19	16	10	9	54	24	24	11	17	17	23	25	18	30	14	31	15	44	29	14	22	24	19	14	39	24	31	38	43	31	18	54	44	42	50	68	53	30	35	57	26	41	70	56	60	61	46	60	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-369.930944038519613	-378.981787418970953	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994216127026298	-1	19	9	7	13	39	20	16	25	36	38	31	31	48	39	38	30	48	42	46	42	42	34	43	47	57	48	39	42	44	46	51	46	46	52	54	47	48	49	48	43	49	54	47	57	59	41	53	66	56	56	64	59	41	59	62	65	67	60	64	69	76	55	72	72	76	74	60	86	73	0	5	4	1	1	12	4	3	8	9	17	9	9	19	13	23	7	41	16	6	12	16	9	11	15	32	33	17	16	10	10	30	29	13	27	27	11	21	30	11	23	15	27	47	42	51	13	37	59	32	37	56	35	12	32	51	50	63	31	50	49	65	27	46	56	52	52	25	62	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
