step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93
1	-15039.777285197640595	-15038.315203113121242	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.497992923991403	4	8	10	10	12	22	16	20	26	19	31	25	25	23	32	34	30	32	29	33	36	31	33	37	35	41	37	37	44	42	36	39	37	37	38	39	40	42	40	47	44	46	47	44	59	45	52	49	47	51	54	52	52	51	51	60	57	63	53	58	54	58	63	64	59	59	59	63	66	73	65	64	71	81	65	73	69	70	68	71	69	70	76	70	73	76	76	75	73	83	75	80	84	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	4	3	5	4	4	3	5	5	5	5	4	5	6	5	5	6	5	6	6	6	7	7	6	6	6	6	6	6	6	7	6	7	7	7	7	7	9	7	8	8	7	8	9	8	8	8	8	10	9	10	8	9	9	9	10	10	9	9	9	10	11	12	10	10	11	13	10	12	11	11	11	11	11	11	12	11	12	12	12	12	12	13	12	13	14
500	-1045.093225321211094	-1042.897668683883694	-2.195556637327332	0.000010025803461	0.000028724535624	2.865060714224504	0.302952547941960	5	-1	8	10	14	14	16	18	25	10	26	25	16	15	32	23	29	25	27	28	33	28	32	29	32	34	28	34	44	44	34	30	39	39	23	37	39	45	39	49	40	46	42	41	52	43	43	49	47	48	50	40	52	51	44	59	56	58	39	58	54	52	63	64	61	56	56	62	66	70	60	58	69	80	56	73	67	71	65	66	71	70	75	70	74	73	71	76	69	83	76	80	84	0	0	2	2	3	10	3	3	2	3	7	0	3	2	13	13	9	13	14	13	35	7	13	9	18	18	13	13	2	22	25	6	4	23	4	24	27	25	21	20	18	4	39	37	24	27	28	18	35	34	44	24	48	47	59	40	27	52	19	57	52	55	18	68	52	59	51	24	55	55	3	48	64	19	59	63	32	75	42	48	71	32	59	59	71	64	45	68	24	9	75	71	82	1	1	2	2	1	1	1	1	4	1	2	1	2	4	2	1	1	2	2	2	2	2	2	1	4	2	2	3	7	4	1	4	6	2	3	2	2	4	2	2	5	7	1	1	4	4	1	5	4	2	2	3	1	1	1	2	6	4	3	1	5	2	8	1	5	2	2	5	4	7	8	2	2	10	2	2	7	3	4	3	1	5	8	7	4	2	4	4	7	14	6	4	3
1000	-862.395346958972482	-860.704589221743959	-1.690757737228546	0.000010056679492	0.000015817666368	1.572851792747339	0.462368759128321	0	5	8	11	9	22	14	19	22	17	30	23	22	24	31	31	32	30	23	27	23	21	30	32	35	35	36	36	37	35	33	29	38	36	39	41	39	42	39	44	40	44	47	44	55	46	49	50	48	52	50	51	51	51	52	58	55	57	45	59	54	56	63	65	56	59	59	64	68	70	65	61	70	77	51	69	70	68	68	66	70	66	73	71	73	76	71	73	73	83	75	81	80	0	0	2	3	2	3	5	2	2	4	7	0	10	6	13	13	9	13	8	13	10	7	13	6	18	18	23	13	19	22	18	14	19	10	9	24	27	26	21	34	18	29	35	37	52	27	40	26	39	40	37	24	25	47	59	40	51	52	29	51	36	59	48	58	52	59	57	58	66	66	45	53	52	64	59	72	64	75	62	72	71	45	75	66	73	73	82	82	58	82	78	82	87	1	1	1	1	1	3	1	2	4	1	3	1	2	1	2	2	2	1	1	1	1	1	2	1	2	1	1	3	3	3	1	1	2	4	4	2	1	2	4	2	2	1	3	1	1	3	1	2	2	2	1	2	3	1	2	2	1	1	1	1	2	3	2	2	1	3	1	2	2	2	2	2	3	2	2	2	1	3	3	1	1	5	7	2	1	1	1	1	2	7	4	2	2
1500	-845.086668661892986	-843.290193524835104	-1.796475137057901	0.000010099799258	0.000018482038942	1.829941216565641	0.526621163181807	6	1	9	12	12	22	16	17	27	17	32	14	22	22	28	31	29	31	25	35	32	23	29	37	35	41	38	37	38	43	36	40	34	32	33	34	40	40	42	44	44	44	49	44	52	45	52	46	42	51	52	46	52	49	52	58	54	60	49	57	50	60	60	59	59	60	58	64	67	68	65	62	72	78	52	70	68	69	64	71	63	56	76	66	72	78	77	59	70	81	75	80	83	0	0	2	2	3	8	5	2	4	3	7	0	3	10	13	23	8	13	10	34	8	7	13	21	18	18	13	15	19	22	18	9	19	13	4	14	23	18	35	28	18	19	39	27	24	37	54	25	35	54	44	24	25	40	59	50	51	64	42	51	52	59	48	45	24	55	51	58	55	66	58	53	58	85	59	72	88	75	66	72	64	23	75	79	82	68	88	82	64	82	78	82	92	1	1	2	2	1	1	1	2	2	2	3	1	2	1	1	1	1	1	1	1	3	1	2	1	2	2	3	2	2	3	2	2	2	2	3	2	1	2	2	2	2	4	1	1	2	1	1	2	2	1	2	2	4	1	1	2	1	1	1	1	1	2	2	1	3	2	1	1	2	3	1	1	2	1	1	2	2	3	1	1	1	4	7	1	3	3	3	1	2	7	2	3	1
2000	-819.951286744024287	-818.355861116808569	-1.595425627215722	0.000010087816961	0.000013531818794	1.341402093925361	0.607589857847169	3	4	8	6	10	24	17	17	27	19	33	16	24	20	34	35	31	28	31	33	34	31	30	38	32	40	33	35	38	41	32	38	36	38	39	39	40	43	39	41	44	44	48	41	59	45	48	49	45	51	54	50	54	51	53	55	56	61	47	60	52	55	61	57	61	60	59	59	64	72	67	63	69	78	50	71	63	66	70	68	64	69	78	66	75	71	76	70	68	84	69	78	84	0	0	4	2	2	10	5	4	6	4	7	0	8	8	13	23	9	13	9	23	19	7	13	14	18	25	13	23	19	22	18	9	19	20	9	21	27	26	21	23	18	29	39	27	21	27	40	18	39	40	44	24	48	47	59	15	51	64	42	51	24	59	26	52	64	59	57	64	62	59	64	41	64	81	59	80	68	75	59	72	45	77	75	66	86	64	82	77	68	82	78	88	88	1	1	1	1	1	1	2	2	1	2	2	1	2	1	2	1	1	1	1	1	1	3	1	4	1	2	1	1	1	1	1	2	1	1	3	1	2	2	1	1	2	1	2	1	4	2	1	3	1	2	1	2	1	1	2	4	1	1	1	1	2	2	3	1	1	2	1	1	2	3	2	4	2	2	1	1	1	4	4	2	1	2	6	2	1	2	2	1	1	4	1	2	1
2500	-814.214611645417563	-812.412164727863797	-1.802446917553788	0.000010224477319	0.000018859906586	1.844583933066342	0.586145100798286	2	0	7	10	10	23	17	19	25	14	31	27	21	19	33	33	28	28	27	34	31	32	31	35	34	43	36	36	41	40	35	33	29	36	31	38	41	41	41	41	41	44	47	45	59	43	53	50	37	46	52	52	51	52	53	61	56	61	49	56	52	59	64	55	61	58	61	63	67	67	60	63	71	78	55	70	67	71	65	68	71	67	76	69	71	70	71	77	73	84	75	79	81	0	0	2	3	2	8	5	10	14	4	7	0	4	3	13	23	10	13	6	13	9	7	13	21	18	31	13	15	19	22	18	9	9	23	6	24	27	18	35	15	18	19	39	37	52	37	40	26	35	40	44	24	26	50	59	40	51	64	42	51	6	55	48	39	64	55	57	64	66	55	64	41	58	68	55	72	61	75	66	72	68	68	75	66	52	68	82	82	68	82	78	87	87	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2	2	1	1	1	3	1	4	2	1	1	1	2	1	1	1	2	2	2	3	3	1	1	1	1	3	2	1	1	1	3	1	1	1	2	1	2	1	1	5	2	2	3	1	2	1	1	1	2	1	4	2	2	1	1	3	4	1	1	1	1	5	2	3	2	1	2	2	3	1	1	1
3000	-821.904501146902135	-820.033755855013510	-1.870745291888604	0.000010373314074	0.000020885752854	2.013411789547252	0.615642509467400	0	4	9	7	11	18	15	15	27	20	29	25	21	22	33	30	30	32	29	33	26	33	28	35	34	41	38	26	40	41	36	39	37	38	28	40	41	43	37	39	45	42	48	44	58	44	49	50	42	50	44	50	43	51	52	61	57	62	47	53	44	57	63	59	57	57	60	57	66	72	67	62	70	80	57	71	66	68	65	69	71	71	76	72	72	75	77	74	70	85	74	81	84	0	0	2	2	4	8	5	4	3	8	7	0	10	6	13	28	10	13	8	13	14	7	13	10	18	18	15	13	19	22	25	9	19	20	21	24	27	25	35	15	18	19	49	27	9	27	40	41	35	23	37	24	25	47	59	50	51	68	42	27	24	55	48	24	61	59	57	52	66	66	65	53	68	86	59	63	45	75	66	72	64	77	75	79	64	58	82	82	68	87	78	87	87	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	2	2	1	3	2	2	1	2	1	2	2	2	1	2	2	1	1	1	1	1	2	1	3	3	1	1	4	1	2	2	3	4	1	1	2	1	2	2	2	2	2	3	3	1	2	4	3	3	1	1	3	3	1	4	2	1	2	2	1	2	1	2	1	1	5	2	2	2	1	1	2	1	2	1	1
3500	-805.071477807356928	-803.072943549185425	-1.998534258171455	0.000010746830456	0.000025122990570	2.337711632576581	0.665709351652081	0	4	11	8	13	20	16	15	18	18	33	24	25	24	32	31	28	31	28	31	27	30	34	34	34	39	35	31	41	35	36	36	38	40	29	37	41	45	39	47	41	44	45	42	56	44	52	44	48	52	49	47	52	45	52	60	58	65	44	54	51	58	63	61	54	56	59	63	62	70	65	61	69	81	62	70	70	70	64	71	68	72	77	69	75	73	75	70	72	79	77	78	84	0	0	2	2	2	3	5	3	3	4	7	0	9	6	13	13	10	13	6	13	3	7	13	21	18	18	20	13	19	22	18	10	19	20	21	24	27	41	35	54	26	19	21	27	52	27	23	25	43	40	44	24	48	34	59	28	51	64	29	51	24	59	53	65	24	59	51	64	66	59	64	53	64	81	66	72	64	75	62	72	45	77	78	66	81	68	82	68	58	87	78	87	87	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	3	2	2	1	2	2	2	3	1	2	1	1	2	1	2	4	2	2	1	1	2	1	2	1	1	2	5	2	1	2	2	2	1	1	2	2	2	1	2	5	2	1	1	1	3	3	2	1	2	2	2	1	1	2	1	1	2	1	2	2	2	1	1	2	2	1	3	2	1	2	1	2	2	1	2	1	2
4000	-780.475333738055610	-778.739278948445531	-1.736054789610042	0.000011376718957	0.000019142714985	1.682621769612381	0.613672826058053	3	3	9	8	11	23	18	23	27	19	24	20	23	20	27	30	29	29	30	33	36	26	24	35	33	38	31	35	36	40	36	38	37	37	27	39	41	33	39	47	44	46	43	46	53	48	49	46	46	42	50	51	50	53	52	55	54	62	43	60	48	58	57	57	61	52	61	64	56	70	67	59	67	79	59	71	68	64	68	72	68	72	76	70	68	69	76	64	75	81	73	77	80	0	0	2	2	2	4	5	14	8	2	7	0	10	2	23	13	6	13	6	23	10	7	14	35	18	25	15	23	19	22	18	14	19	20	10	24	27	18	35	50	25	19	39	27	52	37	50	26	43	15	44	24	48	47	59	50	51	64	32	51	24	59	41	45	64	59	57	64	59	55	58	53	64	89	69	72	88	75	55	72	64	88	78	66	58	58	82	58	58	92	78	82	87	1	1	1	1	2	2	1	1	2	3	1	1	1	3	1	1	2	2	1	1	3	2	1	2	1	1	1	2	2	2	1	3	1	1	1	1	2	1	2	1	2	2	1	3	1	1	1	2	1	3	1	2	1	2	2	2	1	1	1	2	2	2	2	1	1	2	1	2	2	2	1	2	2	1	1	2	1	1	3	3	2	2	3	3	1	1	1	1	2	1	2	1	1
4500	-798.852671164270987	-797.072147719619011	-1.780523444652019	0.000011850071468	0.000021222390985	1.790908269425056	0.579584809809037	6	5	12	10	13	17	18	22	22	19	28	27	16	19	28	31	27	28	29	33	32	33	26	32	36	35	34	39	37	40	32	40	31	38	36	37	31	39	41	48	38	45	46	37	57	41	51	50	50	43	51	49	43	48	49	54	57	60	43	58	54	55	57	55	60	58	61	63	57	68	64	62	66	80	59	71	70	70	63	72	69	71	73	67	74	74	73	66	67	82	77	69	81	0	0	2	2	4	4	5	6	10	3	7	0	3	3	13	23	6	13	3	13	8	7	13	9	18	18	37	26	8	22	18	8	9	20	21	24	23	25	35	50	18	29	39	27	52	37	54	41	43	15	44	24	41	50	59	50	51	64	19	51	52	55	26	52	64	62	57	64	55	66	64	53	64	68	59	72	88	75	62	72	58	88	78	79	81	89	92	68	64	77	78	88	87	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	4	2	1	2	1	1	2	2	1	1	2	1	1	2	1	2	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	3	2	2	1	1	2	2	1	2	3	1	1	1	3	1	2	1	1	3	2	2	2	2	2	2	4	2	1	1	1	2	2	2	1	1	1	1	1	1	2	1	2	1	1
