step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20
1	-798.560456082955511	-797.098373998436614	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.145855514316443	4	9	8	10	11	14	14	12	15	13	17	15	13	14	16	15	16	19	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	4	5	5	4	6	5	7	6	5	5	6	6	6	8	8	9
500	-246.700529119747159	-244.647865076223724	-2.052664043523429	0.000009963116932	0.000024698821373	2.479025544187031	0.264655341297151	4	8	9	10	10	14	12	13	15	13	17	15	13	13	17	15	17	19	20	21	0	1	2	0	2	10	2	3	8	5	7	13	3	1	1	13	1	9	9	18	1	2	1	1	1	1	2	2	1	2	2	1	2	4	7	2	8	2	2	1
1000	-241.218374783509887	-239.174018329781575	-2.044356453728323	0.000009990519492	0.000024548416132	2.457171136261476	0.474578732790380	5	8	9	10	11	14	15	12	16	12	18	14	14	14	17	16	16	20	20	22	0	1	2	0	2	10	10	3	8	2	7	3	3	1	1	13	1	9	9	18	1	2	1	1	1	2	1	2	2	2	1	3	2	4	5	1	4	2	2	1
1500	-226.667954543189381	-224.708970626859838	-1.958983916329538	0.000010062718475	0.000022500402495	2.236016296428928	0.374803998707542	5	7	8	9	9	14	14	12	16	13	18	15	13	12	15	15	17	19	20	20	0	1	2	0	2	10	10	3	3	2	7	8	3	1	1	13	14	9	9	9	1	1	1	1	1	1	1	2	5	2	2	2	2	4	3	1	4	1	2	2
2000	-210.303002741602683	-208.711048542712177	-1.591954198890517	0.000010048402539	0.000013393513015	1.332899728356834	0.560203525759145	5	8	9	10	11	14	14	12	16	13	16	15	13	13	16	16	16	20	21	21	0	1	2	0	2	10	2	3	3	2	7	3	3	1	14	13	14	9	9	18	1	1	1	1	2	1	2	2	2	2	1	3	3	4	1	2	2	1	2	1
2500	-197.318730859110303	-195.460100205293713	-1.858630653816587	0.000010197690761	0.000020224737315	1.983266387265895	0.607762533535975	4	6	8	10	10	15	14	12	15	12	17	15	13	15	17	15	17	19	20	21	0	1	2	0	2	10	10	3	8	5	7	13	3	1	14	13	14	9	18	18	1	1	1	1	2	2	1	2	1	1	2	1	2	4	2	1	1	2	1	1
3000	-196.522338990547411	-194.757841123457979	-1.764497867089445	0.000010582394773	0.000018538268097	1.751802734196037	0.665130648750091	4	8	9	10	10	14	15	12	15	13	17	13	13	14	17	15	16	19	20	22	0	1	2	0	2	10	10	3	8	5	7	3	3	1	14	13	14	9	9	18	1	2	1	1	1	1	1	2	1	2	1	2	2	4	1	1	1	2	3	1
3500	-202.780414152079032	-200.239860766025913	-2.540553386053107	0.000010917748527	0.000042433978552	3.886696826385655	0.698730617673979	4	8	9	10	11	14	14	10	16	13	16	15	13	14	16	15	17	20	21	22	0	1	2	0	2	10	10	3	12	2	7	3	3	1	14	13	14	9	9	18	1	1	1	1	2	1	1	1	1	2	1	3	2	5	1	1	2	1	2	1
4000	-197.261373735743206	-195.295860515255356	-1.965513220487840	0.000011073468681	0.000024945405202	2.252718269386421	0.588474133428697	4	6	8	10	11	15	14	12	15	10	17	14	12	14	16	14	16	19	21	21	0	1	2	0	2	10	10	3	3	2	7	13	3	1	14	13	14	9	18	9	1	2	1	1	2	2	2	2	4	2	2	2	2	5	1	1	1	2	1	3
4500	-192.806298194462869	-190.880029393048488	-1.926268801414372	0.000011147294328	0.000023998191433	2.152826571822700	0.614427749339550	5	9	8	10	12	15	14	12	15	13	16	15	14	11	16	15	16	19	20	22	0	3	1	0	2	10	10	3	3	2	7	13	3	1	14	13	14	9	18	18	1	1	2	1	2	2	1	2	3	2	1	1	3	3	2	1	2	2	1	2
5000	-196.818694568276186	-194.809949984891290	-2.008744583384903	0.000014183080357	0.000033531275371	2.364174391381291	0.437015245049895	5	9	8	10	11	14	13	10	15	12	17	13	12	11	16	16	16	19	21	21	0	3	1	0	2	10	10	3	3	2	7	13	3	1	14	13	14	9	9	18	1	1	1	1	1	1	1	1	3	2	3	1	2	3	2	2	3	3	2	1
5500	-172.580906895360954	-170.914788961085890	-1.666117934275078	0.000017960976585	0.000027178875368	1.513218128178864	0.574751054751476	4	9	8	10	11	13	15	12	14	11	18	15	13	14	16	15	17	19	21	21	0	3	1	0	2	10	2	3	3	2	7	13	3	1	14	13	14	9	9	18	1	1	2	1	1	2	2	2	2	1	1	1	2	4	1	1	2	3	3	1
6000	-162.325998407120579	-160.947194692986983	-1.378803714133582	0.000035747864665	0.000016070843914	0.449560947605633	0.441310468017237	5	7	8	11	10	15	13	12	15	13	17	13	14	14	16	16	16	19	21	21	0	1	2	0	2	10	2	3	8	2	7	3	12	1	14	13	14	9	9	9	1	1	1	1	1	1	3	2	2	2	2	4	1	5	1	1	2	2	4	2
6500	-142.795353201902060	-141.425163796859664	-1.370189405042388	0.000082997576462	0.000056109954585	0.676043289180007	0.804863012673160	5	7	8	11	11	13	15	11	15	14	17	14	13	13	15	16	17	19	20	21	0	1	2	0	2	5	10	3	8	6	7	8	5	1	14	13	14	9	9	9	1	1	1	1	2	1	1	2	2	1	2	1	1	3	1	1	2	1	2	3
7000	-124.808327074150895	-123.206013801658656	-1.602313272492239	0.000152317839280	0.000036407533007	0.239023434016298	0.816488513665180	4	8	9	10	11	14	15	12	14	13	17	15	11	13	17	16	16	19	20	22	0	1	2	0	2	10	10	3	3	5	7	13	3	2	17	13	14	12	18	18	1	2	1	1	2	1	1	1	2	1	1	2	1	2	1	2	2	2	1	2
7500	-129.605406505952146	-128.105706993107503	-1.499699512844651	0.000310661603276	0.000091601466530	0.294859311754174	0.704742828415086	4	7	9	10	11	11	15	13	15	13	17	15	13	15	17	15	15	18	19	21	0	1	2	0	3	2	8	6	10	2	7	10	6	6	14	6	10	9	9	19	1	1	1	1	1	3	1	1	1	3	1	1	1	3	1	2	1	1	2	1
8000	-164.531036086172719	-163.035067220646368	-1.495968865526349	0.000399920275258	0.000118975453877	0.297497929555257	0.492401694806440	4	10	9	10	11	14	15	13	15	13	17	16	12	15	15	15	16	20	20	21	0	1	1	0	3	8	3	5	1	13	10	14	1	2	3	2	2	1	12	7	1	3	2	1	1	1	3	2	7	1	1	1	3	2	2	3	3	6	2	3
