step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8
1	-130.289240241700668	-137.144728192660040	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.796228225012880	3	3	4	6	14	18	21	21	0	0	1	1	1	1	1	1	1	1	1	2	6	8	9	9
500	-42.545831094245784	-49.401319045205156	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.566108050148161	2	3	4	6	14	19	22	21	0	1	1	3	2	5	6	6	1	1	1	1	5	2	1	1
1000	-48.958468484558814	-55.813956435518186	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.498212971981086	3	4	5	7	14	17	22	22	0	1	1	3	2	5	6	6	1	1	1	2	5	2	2	2
1500	-45.739227381010110	-52.594715331969482	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.588609637791846	2	4	4	6	13	17	22	21	0	1	1	3	2	5	5	6	1	1	1	1	4	2	4	2
2000	-51.962432234401177	-58.817920185360549	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.346027222193655	3	4	5	7	14	19	21	21	0	1	1	3	2	5	5	6	1	1	1	2	3	3	2	1
2500	-48.407121334665753	-55.262609285625125	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.384228135307922	2	4	4	6	14	18	22	21	0	1	1	3	2	5	5	6	1	1	1	2	6	2	5	1
3000	-47.363207663382688	-54.218695614342060	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.516328585874620	2	3	4	6	15	18	21	21	0	1	2	3	2	5	5	6	1	1	1	1	7	1	3	2
3500	-52.747442259441939	-59.602930210401311	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.770282968099756	2	4	4	5	15	18	22	20	0	1	1	3	2	5	6	6	1	1	1	1	7	2	1	1
4000	-45.937713403998188	-52.793201354957560	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.530270618616008	3	4	5	7	14	18	21	22	0	1	1	3	2	5	5	6	1	1	1	1	5	2	4	1
4500	-46.872455107587484	-53.727943058546856	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.592292048079897	2	3	4	6	15	18	22	20	0	1	1	3	2	5	6	6	1	1	1	1	3	2	2	1
