step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81
1	-4484.048616285654134	-4482.586534201135692	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.563978143158221	-1	1	2	4	6	6	9	13	15	14	17	17	17	17	18	18	18	18	18	19	21	19	20	21	21	20	20	21	22	23	23	22	22	24	26	25	24	27	25	26	27	26	26	27	27	29	27	29	28	29	30	30	30	30	30	31	31	30	32	31	32	33	32	31	33	34	33	34	35	36	38	36	38	40	39	38	39	39	39	41	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	5	7	8	8	9	9	9	9	10	10	10	10	10	10	11	10	11	11	11	11	11	11	12	12	12	12	12	13	14	13	13	14	13	14	14	14	14	14	14	15	14	15	15	15	16	16	16	16	16	16	16	16	17	16	17	17	17	16	17	18	17	18	18	19	20	19	20	21	20	20	20	20	20	21	21
500	-1341.371614984342841	-1339.080505576155474	-2.291109408187314	0.000009960190541	0.000031222003126	3.134679301410671	0.149399686862267	-1	1	3	4	6	6	9	11	12	12	17	18	14	18	19	15	18	18	15	19	22	19	20	21	20	19	17	21	23	20	23	22	23	25	25	25	25	28	25	23	28	26	27	26	27	30	27	30	29	29	30	31	30	30	31	31	30	31	32	30	32	33	31	30	33	35	33	34	35	36	39	36	38	40	40	39	40	39	40	42	41	0	1	1	2	2	4	4	7	8	8	10	8	9	9	18	10	10	10	10	16	13	13	11	18	20	18	10	13	32	19	22	20	20	22	19	27	13	19	19	19	19	25	13	35	19	13	13	16	19	19	19	19	13	44	34	5	30	19	19	19	19	19	40	40	19	19	40	19	40	16	19	19	19	40	40	27	39	19	35	5	30	1	1	1	2	3	1	3	1	1	1	2	4	1	2	1	1	2	3	2	3	6	4	1	2	1	1	2	3	1	3	2	2	4	5	6	7	7	7	6	6	9	3	11	1	6	12	8	11	9	9	9	9	12	3	4	13	6	13	11	8	10	11	7	5	14	13	8	11	9	12	15	16	15	11	13	17	11	16	14	20	14
1000	-934.865866078685713	-933.336246912681190	-1.529619166004492	0.000009970625805	0.000011744763839	1.177936477421114	0.213020886811682	-1	0	3	4	7	7	9	11	15	14	17	16	14	17	19	17	18	18	15	19	19	18	20	20	19	21	20	20	21	20	23	22	23	24	23	24	25	27	26	24	28	25	27	27	27	29	27	30	25	30	29	31	31	31	31	32	31	31	33	31	32	33	32	32	34	35	33	35	34	36	39	37	38	41	39	38	40	40	40	41	40	0	1	1	2	2	4	4	7	8	8	10	10	4	9	18	10	11	10	10	16	13	13	16	18	16	18	20	21	25	19	13	25	29	28	10	20	13	40	35	19	19	20	28	49	40	34	34	35	30	35	30	30	13	51	47	23	49	16	30	49	35	49	41	49	30	19	49	51	51	67	44	51	49	35	49	40	73	49	65	17	49	1	1	2	3	2	2	3	1	3	2	2	2	6	1	1	1	1	1	1	1	2	3	2	1	1	1	1	1	1	4	5	2	2	2	4	2	7	2	2	5	9	4	5	1	2	3	2	4	4	3	7	7	9	1	3	11	4	8	6	2	5	5	3	4	10	11	6	3	2	2	6	7	11	10	8	9	1	11	3	16	10
1500	-666.735433472398540	-665.247093846171651	-1.488339626226861	0.000009966821242	0.000010676012770	1.071155237078896	0.328973225691674	-3	1	3	4	7	6	10	12	16	14	17	16	16	17	19	17	18	18	17	20	19	18	21	20	20	19	20	21	22	20	24	22	23	24	24	25	23	28	25	25	27	27	27	27	28	28	26	29	25	28	30	31	30	30	31	30	30	31	33	31	31	34	32	32	34	35	33	34	35	35	38	36	38	39	40	38	40	37	40	41	40	0	1	1	2	2	4	4	4	8	8	10	8	8	9	18	10	12	12	8	16	13	13	10	18	16	18	16	21	25	19	13	25	29	28	30	25	28	35	35	30	30	36	37	49	40	28	37	45	35	35	35	49	37	49	47	19	44	49	38	44	54	54	56	57	58	19	44	52	65	67	60	58	69	59	72	69	73	52	78	30	65	1	2	4	3	2	1	5	6	1	1	2	2	2	1	1	2	1	1	3	2	2	1	4	1	1	1	2	2	2	2	5	1	1	3	2	2	1	2	1	3	4	1	2	2	2	4	2	1	1	2	3	4	4	3	3	8	2	5	3	2	1	2	1	1	2	9	5	1	1	1	3	4	3	3	1	2	1	4	2	14	5
2000	-502.802857061933878	-501.200750386066829	-1.602106675867030	0.000010059827594	0.000013658636444	1.357740608990942	0.629607213417405	-1	2	0	5	6	6	9	13	15	15	18	16	17	17	19	17	18	16	19	19	20	19	20	21	21	21	21	21	22	22	23	23	23	22	25	25	24	27	26	26	28	27	27	27	27	28	26	28	26	28	29	31	30	30	31	32	30	30	31	31	32	31	33	32	33	35	33	34	35	36	38	36	38	41	38	38	40	39	40	42	39	0	1	1	2	2	4	6	4	8	8	10	8	8	9	18	10	12	8	16	16	22	13	16	15	20	15	16	21	25	19	22	25	29	28	30	32	34	35	35	30	30	36	37	49	40	37	37	45	35	40	44	51	46	44	37	48	51	49	50	44	60	54	56	57	52	59	51	61	65	67	68	65	69	66	72	72	81	73	78	72	73	1	2	1	2	3	1	1	3	1	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	3	1	1	1	2	1	1	1	1	2	2	2	2	1	1	2	2	1	1	1	2	2	1	2	2	3	1	2	3	2	1	1	1	1	1	4	2	1	1	2	2	2	2	4	1	1	1	1	1	4	1
2500	-475.473120263465944	-473.986557928283958	-1.486562335182000	0.000010181940174	0.000010858395373	1.066436768191992	0.689660710359145	-1	1	1	4	6	7	9	12	15	14	17	18	17	18	19	16	16	18	19	18	21	18	19	20	21	21	21	22	22	23	23	22	23	25	25	25	24	28	26	27	27	27	26	28	28	27	27	29	27	29	30	29	31	30	30	31	31	30	32	31	32	33	32	32	33	33	33	35	35	37	37	36	37	40	39	38	40	40	39	42	38	0	1	1	2	2	4	4	7	8	8	10	17	9	9	18	10	10	16	16	16	22	13	16	18	20	15	23	21	25	19	22	25	29	28	30	20	28	30	35	35	35	36	37	49	40	34	37	45	35	38	44	49	46	52	46	48	52	44	50	49	51	54	56	57	58	50	52	61	65	67	68	69	69	66	72	72	81	79	73	77	73	1	1	2	2	2	1	3	2	1	1	2	1	1	2	1	1	1	1	2	1	2	1	2	2	2	1	1	1	1	2	2	1	1	2	2	3	1	2	1	1	1	1	2	1	1	2	2	1	1	1	2	1	2	1	1	1	1	2	2	2	1	2	1	1	2	2	2	2	1	3	1	1	1	3	1	1	2	1	1	1	1
3000	-468.784442891593017	-467.178084347018682	-1.606358544574326	0.000010341073025	0.000014147858086	1.368122829415663	0.580343162813237	-1	1	3	4	5	6	9	13	15	14	17	17	17	17	19	18	19	17	19	19	21	20	21	21	20	19	20	21	22	23	23	22	23	24	24	25	24	27	25	26	26	27	26	28	27	30	27	29	26	30	30	30	30	30	29	30	30	30	32	30	32	34	32	31	34	35	33	34	36	37	38	36	38	40	39	38	40	40	38	41	39	0	1	1	2	4	4	6	7	8	8	10	10	9	9	18	8	12	10	16	16	13	13	16	15	20	18	16	22	25	19	13	25	29	28	30	32	21	35	35	35	30	36	37	49	40	37	37	45	35	38	44	49	55	44	37	48	49	49	50	49	58	54	56	57	61	50	58	61	65	67	68	65	69	66	72	72	81	79	69	81	73	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1	1	3	2	2	1	1	1	1	1	2	2	3	1	1	1	1	2	2	2	1	1	2	2	1	2	1	3	2	1	1	1	1	2	1	1	3	1	2	2	2	2	1	2	2	1	2	2	2	1	2	2	2	1	1	2	2	1	1	1	1	1	1
3500	-480.069087325172575	-478.599214734814154	-1.469872590358443	0.000010718361082	0.000010948446442	1.021466468402130	0.686637664892574	0	2	2	4	5	7	8	12	15	15	17	17	16	17	18	17	18	17	18	19	20	19	21	21	21	20	21	21	22	23	24	23	23	24	25	26	25	27	25	26	27	27	26	28	28	28	27	29	27	29	30	31	30	30	30	32	30	31	30	31	32	34	33	31	34	34	34	34	35	37	39	36	36	39	39	37	40	40	40	42	39	0	1	1	2	2	4	4	7	8	8	10	10	9	9	18	10	12	10	16	16	22	13	16	18	20	18	16	21	25	19	13	25	29	28	30	32	28	35	30	35	30	36	37	49	40	37	43	45	35	38	44	49	46	44	43	48	44	44	50	44	44	54	56	57	58	50	60	61	61	67	68	69	69	66	72	72	81	73	69	81	73	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	4	1	2	2	1	1	2	3	2	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	2	2	1	1	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	2	2
4000	-464.122118086951502	-462.561529994765010	-1.560588092186471	0.000011642230192	0.000014617596707	1.255566714110644	0.661423135523722	0	2	2	5	6	6	9	13	15	14	17	18	17	18	19	17	17	17	19	19	21	20	18	22	21	18	20	21	22	23	23	22	23	23	25	25	24	28	26	26	27	27	25	28	28	29	28	29	26	29	31	30	30	30	31	30	31	30	32	30	32	34	33	32	34	33	33	34	35	36	37	37	37	41	39	38	39	39	38	41	39	0	1	1	2	2	4	4	4	8	8	10	17	9	9	18	10	10	10	16	23	22	13	16	15	20	18	23	13	25	19	22	25	29	28	30	32	28	35	30	35	30	36	37	49	40	34	43	45	35	38	60	49	46	44	43	48	52	49	50	49	58	54	56	57	61	50	52	61	65	67	68	69	69	66	72	72	73	79	73	81	73	1	1	1	1	2	1	2	5	1	1	2	1	1	2	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	2	2	2	2	1	2	1	1	2	1	3	1	1	1	1	1	2	1	2	2	1	1	2	2	2	1	2	2	1	1	1	2	1	1	1	2	1	1	3	2	1	1	1	1	1	2
4500	-452.270617677232849	-450.827022301855891	-1.443595375376982	0.000013919325421	0.000013188433152	0.947490826838029	0.766903695526338	0	2	1	5	6	6	9	13	15	14	18	16	17	18	18	17	18	15	19	19	21	19	21	21	20	20	20	22	22	23	23	22	23	24	25	26	24	27	25	27	26	27	27	27	27	29	27	28	26	29	30	29	31	30	29	31	30	30	33	31	32	32	33	31	33	32	32	35	36	36	39	37	37	39	39	38	40	40	39	42	38	0	1	1	2	2	4	6	7	8	8	10	10	9	9	18	10	12	10	16	16	13	13	16	18	20	15	16	21	25	19	21	25	29	28	30	32	28	35	30	30	30	36	37	49	35	37	37	45	35	35	44	44	55	49	37	48	44	44	50	49	58	54	56	57	61	50	60	61	65	67	68	65	69	66	72	69	81	79	73	77	73	1	1	1	2	2	1	1	2	1	1	2	1	1	2	2	2	1	1	1	1	2	1	2	3	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	2	1	1	2	1	1	1	1	3	2	2	3	2	1	3	1	1	1	1	1	1	1
