step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63
1	-419.252256688841555	-426.107744639800956	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.010883834812775	0	1	4	4	3	5	5	5	6	6	6	5	8	7	7	8	8	7	9	9	8	9	8	10	10	10	9	10	11	10	11	12	12	11	13	12	14	15	13	14	12	14	13	13	14	15	13	16	16	16	17	15	15	15	17	16	18	17	18	18	17	19	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	5	5	4	5	4	5	5	5	5	5	6	5	6	6	6	6	7	6	7	8	7	7	6	7	7	7	7	8	7	8	8	8	9	8	8	8	9	8	9	9	9	9	9	10	11
500	-394.454081439762888	-401.309569390722288	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.032381406462007	0	2	4	5	2	5	6	5	7	7	6	4	8	8	8	5	9	8	9	9	8	9	7	9	10	10	9	10	11	10	11	13	12	11	13	11	15	15	12	14	13	15	14	14	14	15	13	16	15	15	17	16	16	15	17	17	19	17	19	18	16	18	20	0	1	2	5	1	3	5	2	6	5	16	1	5	2	1	5	5	5	1	6	2	6	4	12	6	18	0	2	9	13	26	0	30	2	0	0	10	29	30	30	24	24	24	16	12	23	14	0	0	13	1	0	11	5	1	28	23	42	54	2	39	16	30	1	1	1	1	1	1	2	1	1	4	1	2	2	4	5	1	3	3	5	1	3	2	2	2	3	1	1	4	2	1	1	1	1	6	1	1	4	3	1	3	3	3	3	7	6	4	3	1	1	4	10	1	7	6	9	3	6	1	2	10	2	5	4
1000	-319.333604676703544	-326.189092627662944	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.193600412754678	1	2	4	4	3	5	5	5	7	6	6	6	7	8	7	6	9	8	10	9	8	8	8	9	11	9	10	9	11	11	11	10	12	11	14	13	13	16	13	13	11	13	13	13	14	13	14	17	16	16	17	15	16	14	16	17	17	18	18	19	17	19	18	0	1	1	2	1	2	2	2	6	4	6	4	4	1	4	5	7	1	5	6	8	1	11	5	7	7	0	9	20	5	9	0	32	12	0	0	7	37	41	2	24	25	17	2	2	9	10	0	0	23	18	0	43	24	9	7	10	3	50	13	15	52	9	1	1	2	1	2	1	1	2	1	2	1	1	1	4	2	2	2	4	4	2	2	3	1	5	2	1	1	1	1	4	2	1	1	3	1	1	2	2	1	6	2	1	2	5	6	4	3	1	1	4	4	1	1	2	5	5	6	6	1	6	5	1	5
1500	-292.543049996940624	-299.398537947900024	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647662566758380	1	2	4	4	3	5	6	5	6	6	6	5	8	8	8	8	6	5	7	10	8	9	8	11	10	9	9	11	11	11	11	12	10	11	12	13	11	14	13	15	12	13	13	13	13	15	13	17	15	15	17	15	13	16	18	16	18	17	19	19	18	20	21	0	1	2	2	1	3	6	1	4	5	5	2	3	11	17	11	12	2	8	10	17	10	11	13	16	12	0	10	15	26	26	0	6	26	0	0	12	32	28	28	10	21	10	2	33	45	31	0	0	53	39	0	20	37	58	40	56	46	20	30	56	51	45	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	4	1	1	1	1	2	1	1	1	2	1	1	2	2	2	3	4	1	1	2	1	1	1	2	1	1	2	1	1	1	1	4	4	1	1	7
2000	-263.161947018598426	-270.017434969557826	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.390981056851774	0	2	4	2	3	4	5	6	6	6	6	5	7	7	7	8	7	7	9	9	8	9	7	11	10	9	9	10	11	10	11	12	12	12	12	12	14	15	14	13	11	14	14	11	14	14	13	16	17	17	18	15	15	15	17	15	18	16	18	16	17	19	20	0	1	2	1	2	5	5	1	7	2	2	5	7	2	7	9	2	12	1	1	6	2	9	19	16	9	0	2	17	21	5	0	19	23	0	0	2	47	32	24	9	28	1	16	12	1	21	0	0	58	60	0	47	10	25	44	48	22	45	10	43	55	42	1	1	1	1	1	1	1	3	1	1	2	1	1	2	1	1	3	1	5	6	2	4	1	1	1	1	1	5	2	1	3	1	1	2	1	1	5	1	1	1	3	2	7	1	4	4	2	1	1	1	1	1	1	5	3	2	1	2	2	5	2	2	4
2500	-267.956049450063460	-274.811537401022861	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552806487864713	0	2	4	4	4	5	5	5	6	6	6	4	8	7	7	8	6	8	10	9	9	8	8	11	9	9	10	11	11	8	11	12	12	10	14	12	14	15	12	15	12	14	11	13	14	15	14	17	16	16	17	15	15	13	17	16	17	17	19	18	16	18	21	0	1	2	2	2	3	12	12	12	3	7	1	11	11	3	12	5	5	6	6	14	9	17	11	16	7	0	5	27	9	2	0	24	18	0	0	24	43	22	44	21	36	7	5	5	12	18	0	0	36	39	0	32	30	7	21	49	27	57	30	28	35	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	3	2	1	1	1	3	1	2	1	2	1	1	4	1	1	1	1	1	1	2	2	1	1	1	2	4	4	4	2	1	1	1	2	1	2	4	7	4	1	2	1	5	2	1	5
3000	-459.499291528880008	-466.354779479839408	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648649426033245	1	2	3	3	4	6	5	5	6	6	5	5	9	7	8	7	8	7	10	8	9	10	9	11	10	9	10	10	12	10	12	12	10	11	12	12	12	13	14	14	13	14	13	13	14	15	13	15	16	16	14	14	15	15	16	15	19	17	19	18	17	17	21	0	1	1	2	2	7	3	1	5	8	1	4	17	9	11	3	12	8	12	6	15	5	10	13	21	1	0	26	33	23	33	0	14	23	0	0	25	19	32	12	24	30	2	2	1	15	32	0	0	53	21	0	45	29	5	40	15	52	56	40	35	46	21	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	2	1	1	3	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	6	2	2	5	4	7	2	1	1	1	1	1	1	1	1	3	1	5	1	2	2	2	1	5
3500	-358.866511958654655	-365.721999909614055	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600158299399971	0	1	4	3	3	5	5	5	6	6	6	4	9	7	7	8	8	8	10	9	8	8	8	11	10	10	9	10	11	11	10	12	10	11	13	12	14	15	13	15	12	14	13	13	13	16	14	16	17	17	17	15	15	13	15	16	19	17	19	19	16	20	20	0	1	5	1	1	1	1	1	5	3	12	2	9	6	3	10	10	2	23	6	10	10	3	25	16	15	0	18	8	27	18	0	20	20	0	0	6	43	33	26	14	32	30	9	9	6	19	0	0	44	40	0	18	7	13	43	55	37	56	9	42	56	25	1	1	1	1	1	3	2	2	1	1	1	1	2	1	2	1	1	4	1	2	1	1	2	1	1	3	1	2	3	1	1	1	1	1	1	1	4	1	2	3	3	1	2	3	2	4	2	1	1	2	1	1	3	6	2	1	2	2	2	5	1	1	7
4000	-272.604999337426193	-279.460487288385593	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.487629343132460	0	1	3	4	3	5	5	5	6	7	6	6	8	7	7	8	8	5	9	10	9	10	9	9	8	11	8	11	11	10	10	12	12	11	13	13	15	13	14	13	13	14	12	13	13	16	13	16	15	17	17	15	16	15	17	16	17	18	18	16	18	19	20	0	1	1	1	2	5	5	5	4	8	3	8	14	5	7	9	15	5	7	25	15	6	17	25	5	11	0	13	24	2	9	0	16	24	0	0	31	32	20	21	25	45	25	5	6	6	31	0	0	20	22	0	38	5	2	38	52	39	49	33	51	48	6	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	3	1	2	1	4	3	1	2	1	1	1	2	1	2	2	3	1	3	6	4	5	1	1	1	3	5	1	1	6	5	1	1	2	1	3	1	1	8
4500	-283.867817781768792	-290.723305732728193	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552047914622521	1	2	4	3	3	6	5	5	6	7	6	4	8	5	6	9	7	6	8	10	8	9	9	11	11	11	9	9	12	10	10	12	12	11	14	12	13	14	12	14	12	14	13	11	11	15	13	15	16	15	18	14	15	15	17	16	17	16	17	18	17	19	20	0	1	2	1	2	12	2	1	2	2	5	2	15	12	4	6	7	7	9	7	12	13	17	14	23	14	0	10	24	18	6	0	17	23	0	0	26	14	14	41	2	16	5	12	2	5	30	0	0	43	12	0	45	39	44	34	52	47	40	12	53	59	1	1	1	1	1	1	1	1	3	2	4	2	1	1	1	1	1	1	1	2	2	2	1	1	3	1	3	1	2	1	2	1	1	3	1	1	1	1	4	3	1	7	2	5	3	3	6	1	1	1	1	6	1	2	2	2	3	2	1	2	8	1	1	7
