step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113
1	-572.809439876075658	-571.347357791556760	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.220324368215125	-1	4	1	3	1	4	2	2	3	4	3	5	5	5	6	5	5	8	5	5	5	7	7	6	7	7	7	7	8	9	7	9	7	9	8	10	9	9	9	8	9	10	9	9	11	10	10	10	9	10	10	12	11	10	14	10	12	11	11	11	10	12	11	11	12	13	12	12	11	11	12	13	12	13	13	12	13	13	13	15	14	14	13	15	14	15	16	14	16	15	14	16	14	16	14	14	15	17	18	17	16	18	18	17	18	17	18	20	23	21	21	23	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	3	2	2	2	3	2	3	3	3	4	3	3	5	3	3	3	4	4	4	4	4	4	4	5	5	4	5	4	5	5	6	5	5	5	5	5	6	5	5	6	6	6	6	5	6	6	7	6	6	8	6	7	6	6	6	6	7	6	6	7	7	7	7	6	6	7	7	7	7	7	7	7	7	7	8	8	8	7	8	8	8	9	8	9	8	8	9	8	9	8	8	8	9	10	9	9	10	10	9	10	9	10	11	12	11	11	12	12
500	-419.882001522265227	-418.419919437746330	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.483397381473656	-2	5	1	3	1	4	2	2	3	5	3	4	5	5	5	5	5	9	6	6	6	7	7	6	7	6	7	8	8	9	7	8	7	8	8	11	9	9	10	8	9	11	9	10	10	10	10	10	9	9	11	12	12	10	14	11	11	12	10	12	9	11	10	11	11	13	12	13	10	11	12	13	12	13	14	10	13	12	13	16	14	14	13	15	13	16	16	14	15	14	15	16	14	17	15	13	16	16	16	15	16	18	18	17	17	18	18	20	23	20	21	22	22	0	4	1	7	1	5	5	1	7	1	3	5	4	12	4	4	6	15	7	6	7	21	5	10	19	6	2	21	25	19	17	5	19	20	31	63	34	25	35	12	27	59	3	4	41	15	14	41	4	28	38	45	69	61	85	9	45	57	31	49	17	41	16	40	38	76	28	59	29	76	38	30	54	67	67	34	47	36	9	96	96	70	64	52	37	72	69	74	58	50	82	57	60	55	66	36	36	42	79	67	48	5	36	64	23	48	100	102	111	75	92	99	85	1	1	1	1	1	1	1	2	1	5	1	1	1	1	1	1	1	1	3	1	2	1	2	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	2	1	1	4	3	1	2	3	1	2	1	1	1	1	1	1	3	1	1	2	2	2	1	2	1	1	2	2	2	1	1	1	2	1	1	1	1	2	1	5	2	1	2	1	2	2	2	3	1	1	3	1	4	1	2	1	2	3	3	1	1	2	10	3	3	6	3	1	1	1	3	3	3	6
1000	-320.988015323704417	-319.525933239185520	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.801885722386145	-1	5	2	3	1	5	1	2	2	4	4	6	6	5	6	5	6	8	6	5	5	7	8	7	8	7	7	7	8	9	7	10	8	9	8	10	10	9	10	8	9	11	10	10	12	10	10	10	9	10	10	11	11	10	14	10	12	11	12	12	11	13	8	12	13	13	13	13	11	11	13	13	12	13	13	11	13	11	13	15	14	12	13	15	14	15	16	14	16	15	14	16	14	16	14	12	15	17	18	17	16	18	19	16	17	18	19	19	22	21	21	24	24	0	4	5	3	1	4	1	5	5	4	3	4	16	11	11	10	4	10	14	3	4	16	26	20	12	17	14	16	14	29	13	28	24	27	24	35	14	10	23	15	24	25	18	25	47	35	63	12	4	18	63	56	47	25	77	33	70	23	33	50	48	82	20	54	53	30	78	51	25	48	53	70	30	56	44	34	76	30	53	69	75	43	70	38	76	68	93	57	71	85	60	75	71	93	62	39	44	97	71	94	97	84	101	91	101	74	76	89	94	102	104	110	109	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	2	1	1	1	2	4	2	2	1	2	1	1
1500	-277.350724815847343	-275.888642731328446	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.914562740196732	0	4	1	3	2	5	2	2	4	4	3	6	5	5	6	5	5	8	6	5	6	5	7	5	7	8	7	8	7	9	7	10	8	9	8	9	8	9	8	8	9	10	9	8	11	11	10	10	7	11	10	13	12	10	14	10	13	9	11	11	10	12	11	12	12	13	13	12	11	11	12	13	13	13	13	13	14	13	13	15	14	14	12	13	14	15	16	15	15	15	15	15	15	17	14	15	16	17	19	17	16	19	18	16	18	17	17	20	23	21	21	23	23	0	8	1	3	3	5	1	3	3	4	8	16	9	7	8	9	11	10	2	4	2	9	22	2	16	19	6	16	17	27	19	58	12	12	24	23	11	25	19	49	23	34	49	21	40	34	33	39	19	38	39	64	50	33	52	33	46	21	58	28	40	45	34	43	61	50	62	51	43	33	46	69	70	33	65	38	76	60	48	67	73	52	69	53	60	57	95	69	78	66	67	79	65	97	73	76	66	86	91	92	76	97	98	76	88	80	90	101	110	94	105	110	110	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-280.846098241415120	-279.384016156896223	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.964706791213180	-1	3	1	3	1	4	2	0	3	4	2	6	5	6	7	5	6	8	5	5	5	7	8	7	7	7	7	7	8	10	6	10	7	9	8	10	10	9	9	8	8	10	9	9	11	11	10	10	9	10	10	12	10	11	14	8	13	12	12	12	11	12	10	11	11	13	12	13	11	12	12	13	12	13	13	12	11	12	14	15	14	15	14	15	14	15	17	13	16	16	14	14	13	17	14	15	15	17	17	17	14	18	19	17	18	16	18	20	22	20	22	23	23	0	3	1	8	1	7	5	1	5	4	8	21	5	16	10	11	3	31	5	11	3	21	14	17	21	16	13	19	31	31	11	44	20	22	33	40	38	16	12	25	28	12	17	41	43	36	15	28	33	35	44	37	40	50	45	14	50	50	37	64	44	61	24	51	51	45	36	47	44	41	50	71	47	43	64	64	43	53	76	57	78	70	61	68	76	88	97	69	82	96	65	65	61	84	62	72	57	82	106	97	88	101	102	90	97	101	98	102	110	102	103	108	108	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-292.530151610585108	-291.068069526066211	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.972275466144049	0	4	1	3	2	4	2	1	4	4	4	5	5	6	6	6	5	8	5	6	5	6	6	6	8	6	8	7	8	9	8	8	7	8	7	10	10	8	9	7	9	11	9	9	11	9	10	8	10	10	11	12	12	8	13	10	13	11	11	11	10	12	10	11	11	10	12	12	10	10	12	14	12	14	13	12	13	12	14	14	14	14	14	15	13	15	15	12	15	15	14	17	14	16	14	13	16	17	18	16	16	18	19	16	18	16	16	20	23	21	21	23	20	0	8	1	3	3	7	8	1	7	5	3	10	11	21	6	10	10	24	6	2	4	12	2	9	13	6	40	20	24	28	33	22	20	28	9	34	29	20	24	22	54	50	48	33	47	35	44	28	31	25	66	49	63	24	41	29	54	47	63	32	32	58	27	46	46	38	47	47	27	25	65	57	46	77	60	36	42	51	88	71	52	42	62	55	64	67	65	51	96	77	52	95	70	91	62	47	84	94	98	90	79	86	104	91	91	93	93	105	108	98	98	110	98	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1
3000	-259.583135580833925	-258.121053496315028	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.985712836300692	-2	4	1	3	2	5	3	0	3	5	4	5	6	5	6	6	5	9	4	6	5	8	7	6	7	8	8	7	8	9	7	8	7	7	8	10	9	8	10	8	9	11	9	9	12	10	11	9	10	10	10	12	10	10	12	10	13	12	11	12	11	12	12	11	13	13	13	12	12	11	13	12	12	11	13	12	13	14	13	15	14	14	14	15	14	14	15	15	16	16	13	16	14	14	14	14	15	17	18	17	16	19	18	17	18	16	19	19	23	21	21	22	23	0	5	1	5	8	2	8	1	5	7	9	9	2	9	19	11	2	26	9	9	19	15	6	19	17	25	33	6	31	33	24	13	14	14	21	32	6	15	29	24	25	51	17	35	54	27	36	33	40	33	29	50	26	37	49	22	60	56	48	48	46	34	39	43	47	47	73	54	46	37	74	36	46	39	60	61	62	72	45	58	55	79	77	66	42	73	77	72	77	71	59	80	76	52	73	62	71	84	104	97	69	100	75	87	98	69	100	103	110	108	99	110	112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
3500	-283.191993580329097	-281.729911495810200	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.987625591685311	0	4	2	3	1	4	3	3	4	5	4	6	6	6	5	5	5	8	6	5	3	7	7	7	5	8	7	7	8	10	8	9	8	9	7	8	7	9	9	9	10	11	9	9	11	10	10	11	10	10	11	13	12	11	14	11	12	12	11	10	10	12	11	9	10	14	12	11	11	11	13	14	10	13	14	13	13	12	13	14	14	13	14	16	14	15	16	15	16	14	14	13	15	16	14	12	15	17	19	14	16	18	18	18	17	18	18	20	22	20	20	22	23	0	7	5	5	1	1	3	5	4	9	3	6	2	6	2	7	8	22	25	21	5	17	10	15	8	13	25	11	19	31	37	12	20	27	10	24	17	27	22	22	18	41	36	24	43	40	35	18	31	26	30	70	54	31	58	33	61	47	39	26	40	40	61	37	26	71	32	40	50	37	70	53	26	54	56	47	58	60	65	92	76	48	58	66	68	52	66	52	55	53	42	46	71	93	62	49	57	95	102	73	81	87	86	82	97	86	100	106	99	104	87	110	109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-286.016661622598292	-284.554579538079395	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.959815651902660	0	4	1	4	1	5	3	3	2	4	3	5	5	6	4	5	6	7	4	6	5	7	8	6	7	8	7	8	7	9	7	9	7	10	9	7	10	9	10	9	9	9	10	9	11	10	9	10	9	9	10	13	11	10	15	10	9	11	11	10	10	12	12	11	13	14	12	12	12	12	11	13	13	13	13	13	13	12	13	15	14	13	12	15	15	15	14	14	15	15	14	16	13	17	14	13	15	16	19	17	15	18	19	18	18	15	16	20	24	22	21	22	21	0	9	1	9	1	10	1	9	3	9	5	7	4	15	8	11	16	10	8	16	7	21	12	12	17	33	21	27	10	36	6	26	6	26	36	2	33	18	57	33	33	31	22	20	34	49	33	28	31	36	31	68	32	23	74	17	29	48	50	21	44	37	39	44	69	63	30	35	56	38	39	59	58	59	54	83	58	43	70	52	28	70	54	95	81	45	76	43	66	63	67	67	45	97	78	69	96	75	98	97	64	98	94	101	92	96	88	105	110	99	104	108	99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-284.468351630147652	-283.006269545628754	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.931792446985307	0	4	1	3	2	5	2	2	3	4	4	5	5	3	6	5	6	8	5	5	5	7	6	5	7	7	7	7	5	9	8	9	8	8	9	10	10	10	9	7	9	10	9	8	12	10	10	10	9	10	10	12	12	9	12	10	13	10	11	11	10	12	12	12	12	14	13	12	11	12	13	13	12	13	12	11	14	14	12	16	15	14	12	14	14	15	17	14	16	13	14	16	14	16	14	13	15	17	17	17	16	18	18	16	18	17	19	21	22	21	20	23	23	0	5	1	8	3	14	1	1	3	5	7	14	10	5	13	9	10	23	2	9	4	29	20	4	17	19	20	6	4	40	27	12	22	26	25	27	28	28	21	16	26	49	31	24	37	49	34	28	40	34	19	47	36	26	36	49	62	26	58	34	44	46	36	56	42	52	41	41	17	76	45	37	56	62	58	36	53	74	32	57	53	67	36	70	45	90	66	67	96	63	48	70	53	85	75	55	70	93	104	86	91	89	80	85	104	97	98	98	107	92	80	110	110	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
