step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45
1	-3614.829546923804173	-3621.685034874763460	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.934030543065629	0	3	7	7	11	11	10	12	12	12	13	14	15	15	17	17	18	19	18	19	18	18	21	21	21	21	24	22	22	23	23	23	25	24	27	26	27	30	28	28	29	29	30	30	34	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	6	6	5	6	6	6	7	7	8	8	9	9	9	10	9	10	9	9	11	11	11	11	12	11	11	12	12	12	13	12	14	13	14	15	14	14	15	15	15	15	17
500	-381.848336765681893	-388.703824716641293	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.330964650679199	0	4	6	7	11	12	8	11	11	12	14	14	15	14	17	18	18	18	19	16	15	16	21	21	21	22	23	22	22	22	24	24	25	24	26	27	27	29	26	28	30	29	31	31	35	0	1	0	0	4	9	3	7	7	9	7	10	10	0	11	15	13	14	16	7	14	0	19	21	16	22	21	22	21	16	18	22	22	18	16	20	22	20	20	22	20	19	16	20	20	1	2	1	1	3	1	1	2	2	1	2	1	1	1	2	1	2	3	1	5	1	1	1	6	2	4	4	3	5	2	4	3	8	5	7	8	6	7	5	9	10	5	5	10	9
1000	-294.348663638250969	-301.204151589210369	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.402784030435670	0	4	7	7	12	12	10	11	11	13	13	14	16	15	17	18	19	19	17	20	17	17	20	22	21	21	24	23	22	23	22	22	26	24	26	24	27	30	28	29	29	29	30	29	35	0	1	0	0	4	9	3	7	3	9	7	9	10	0	11	7	13	14	11	16	14	0	19	21	19	22	21	22	21	23	18	22	28	24	36	23	22	16	36	22	36	23	39	23	36	1	1	1	1	2	1	2	1	2	1	2	1	2	1	2	4	2	2	2	1	2	1	2	3	2	2	4	3	3	2	1	2	1	1	1	2	5	4	2	8	2	4	1	4	7
1500	-258.891114900329057	-265.746602851288458	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.659393683458684	0	3	6	7	11	12	10	12	11	12	14	14	14	16	16	16	17	19	18	19	19	18	22	21	22	21	24	23	22	23	24	23	24	24	26	27	28	30	29	29	28	29	30	30	33	0	1	0	0	4	9	3	7	7	9	7	10	10	0	11	11	13	14	11	19	14	0	20	21	19	22	21	22	24	20	18	22	22	24	20	23	33	35	41	22	36	30	36	39	44	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	2	1	1	2	2	3	1	2	2	3	2	2	2	2	2	2	1	8	1	3	2	1	2
2000	-265.205180128739642	-272.060668079699042	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.531230730637399	1	3	7	7	11	12	10	12	11	12	14	15	14	16	18	16	18	18	18	19	19	18	21	21	22	22	25	23	22	23	23	23	26	25	27	26	27	30	28	29	30	29	30	30	33	0	1	0	0	4	9	3	7	7	9	7	10	10	0	11	11	13	14	11	19	18	0	16	21	19	22	31	22	24	20	18	22	22	29	23	16	28	19	30	33	39	35	39	39	38	1	1	1	1	3	1	2	1	1	1	2	1	1	1	2	2	1	1	2	1	1	1	3	1	2	2	1	2	1	2	4	3	4	2	3	5	2	5	2	3	1	1	1	1	2
2500	-268.477542899331183	-275.333030850290584	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.631542636719341	1	3	5	7	12	12	9	12	11	13	12	14	15	15	16	18	18	16	18	20	18	19	22	20	22	21	24	23	22	24	21	22	25	24	27	25	28	30	29	27	28	29	31	31	34	0	1	0	0	4	9	3	7	7	9	7	10	10	0	11	11	13	14	7	16	18	0	11	21	20	22	21	22	21	25	18	22	28	24	23	23	28	35	36	32	36	20	39	39	36	1	1	1	1	2	1	2	1	1	1	2	1	1	1	2	2	1	1	5	1	1	1	4	1	1	1	2	3	3	1	3	1	1	2	2	1	2	2	2	3	1	3	1	1	4
3000	-273.815593812986776	-280.671081763946177	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.496999593192089	0	3	6	7	11	11	9	12	10	12	12	14	15	16	18	18	17	18	18	20	19	18	22	20	22	20	23	21	23	23	22	23	25	25	28	26	27	30	28	28	30	29	30	30	35	0	1	0	0	4	9	3	7	3	6	7	10	10	0	11	11	13	14	11	15	18	0	15	21	15	22	21	22	24	23	14	22	28	24	25	16	32	30	36	28	39	19	39	36	44	1	2	1	1	3	1	2	2	2	1	2	1	2	1	4	4	1	1	3	1	1	1	2	1	2	2	3	2	2	1	3	3	2	3	2	3	2	4	1	3	1	5	1	2	2
3500	-252.653961585052031	-259.509449536011402	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.734697472360095	1	3	7	7	9	12	11	12	11	13	13	15	15	15	16	15	19	18	18	20	19	19	22	21	21	21	25	22	22	23	22	24	23	24	26	26	26	31	28	28	30	29	30	30	32	0	1	0	0	4	9	3	7	3	9	7	10	10	0	11	11	10	14	16	16	18	0	25	21	19	22	21	22	24	20	21	22	22	29	25	20	32	42	36	22	39	35	39	39	36	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	3	1	2	2	1	1	1	1	2	1	3	2	1	1	2	2	2	1	2	3	1	1	1	3	1	2	1	1	2
4000	-265.880107519193984	-272.735595470153385	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.524365806575325	-1	4	7	7	12	11	9	13	10	12	12	14	15	15	17	17	19	17	19	20	18	18	21	21	22	21	24	22	22	23	23	23	25	24	26	26	28	30	28	26	29	29	30	30	34	0	1	0	0	4	9	3	7	7	9	7	10	10	0	11	7	13	14	16	19	18	0	20	21	16	22	21	22	21	23	14	22	32	24	23	25	40	35	36	22	36	25	39	39	44	1	2	1	1	2	1	1	2	1	1	3	2	1	1	3	3	2	1	1	1	1	1	1	1	2	1	3	2	3	1	5	3	1	2	2	2	1	2	1	4	2	3	2	2	2
4500	-273.659092169447661	-280.514580120407061	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.628815853198593	1	3	8	7	10	12	10	12	11	12	14	15	14	14	18	17	17	18	19	18	19	18	20	21	21	20	24	21	22	23	21	22	24	23	27	25	27	31	27	28	28	27	31	30	34	0	1	0	0	4	9	3	7	7	9	7	10	10	0	11	7	13	14	11	11	18	0	11	21	20	22	31	22	24	25	18	22	32	29	36	23	28	35	36	37	42	20	36	41	44	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2	4	2	2	3	2	1	1	3	1	2	1	1	2	1	1	2	3	1	1	1	3	3	2	2	1	1	5	3	2	2
