step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111
1	-2730.780294652723569	-2729.318212568204672	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.464441187350642	0	3	2	3	6	7	6	6	6	7	7	8	9	9	9	7	8	7	7	8	10	11	11	10	10	9	10	9	11	12	10	10	13	11	11	11	11	11	12	13	12	13	13	14	12	13	12	14	14	13	14	14	14	15	15	14	15	15	15	15	16	15	17	18	17	18	16	18	17	19	17	18	18	18	20	19	19	19	20	19	21	20	19	20	22	21	20	20	21	21	21	23	22	22	23	23	23	25	24	24	25	24	24	24	26	26	26	28	27	28	29	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	4	3	3	3	4	4	4	5	5	5	4	4	4	4	4	5	6	6	5	5	5	5	5	6	6	5	5	7	6	6	6	6	6	6	7	6	7	7	7	6	7	6	7	7	7	7	7	7	8	8	7	8	8	8	8	8	8	9	9	9	9	8	9	9	10	9	9	9	9	10	10	10	10	10	10	11	10	10	10	11	11	10	10	11	11	11	12	11	11	12	12	12	13	12	12	13	12	12	12	13	13	13	14	14	14	15
500	-1130.408904851130956	-1128.791740538653585	-1.617164312477344	0.000010006947990	0.000013954290614	1.394460191911346	0.292672093027429	0	3	2	3	6	7	5	5	6	6	7	9	7	8	9	7	8	6	7	9	10	11	11	9	9	10	10	6	10	12	11	10	14	12	10	11	12	10	12	13	11	14	14	13	9	13	12	13	13	11	14	15	15	16	15	15	15	12	14	15	16	15	18	18	18	16	15	17	17	19	15	18	18	19	20	19	18	20	20	20	21	20	19	20	23	22	20	21	21	21	21	24	22	23	24	24	24	25	25	24	26	25	24	24	26	27	26	27	28	28	30	0	1	1	1	8	9	3	2	3	2	5	9	7	2	16	8	18	4	8	28	12	14	24	8	18	19	5	8	15	10	6	11	23	24	24	13	21	14	14	17	1	24	12	24	18	6	19	6	28	24	27	35	46	51	39	16	58	2	49	20	67	19	68	51	25	45	47	19	66	20	26	59	66	47	47	19	45	62	63	45	42	60	45	67	28	45	58	45	45	75	58	80	38	89	77	58	58	45	58	69	92	45	83	77	58	58	58	51	97	66	95	1	2	2	2	1	1	1	2	1	1	1	2	1	3	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	2	2	1	1	2	1	2	1	2	2	3	5	2	3	3	1	3	4	3	2	1	2	3	1	1	1	4	2	5	1	3	1	5	1	2	7	4	1	6	1	5	3	1	1	6	3	7	5	3	1	7	5	3	8	3	12	8	3	10	8	1	6	4	6	1	4	10	8	13	7	4	2	15	1	4	8	10	10	7	2	6	5
1000	-933.940963145488240	-932.279337941052063	-1.661625204436141	0.000010076109854	0.000015137757879	1.502341488723470	0.408168917508751	1	3	2	3	5	7	7	6	5	8	7	8	7	10	10	7	8	7	8	8	10	12	11	10	11	10	9	9	12	11	10	10	13	9	11	12	12	11	12	13	11	14	13	15	9	14	12	13	14	14	15	15	14	15	15	15	15	13	16	15	17	14	17	19	18	15	15	18	18	20	17	19	16	16	21	19	20	18	21	18	21	21	19	21	21	21	19	21	21	21	21	23	23	22	24	24	23	25	24	24	25	25	24	24	27	27	27	29	25	29	29	0	1	1	3	2	4	9	5	1	5	5	6	2	13	16	8	5	9	5	11	12	14	16	8	18	19	8	20	15	8	34	20	17	10	31	17	32	21	14	30	27	35	15	43	18	19	26	29	28	34	41	50	25	24	39	23	18	45	49	49	67	19	46	27	45	58	27	19	33	60	46	60	58	19	42	37	65	19	62	45	35	60	45	42	60	57	65	58	80	32	73	73	87	89	87	73	91	45	66	94	92	45	90	93	83	45	66	78	97	109	104	1	1	1	1	1	2	1	1	2	2	1	1	2	2	1	1	1	1	2	1	1	1	2	2	2	1	1	1	1	4	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	2	4	3	1	2	3	1	3	4	2	1	1	1	3	2	6	5	1	3	5	2	3	2	2	1	5	3	4	1	5	4	5	4	3	7	4	4	4	1	6	2	6	5	4	3	1	4	5	1	12	3	1	1	10	2	1	5	12	10	4	1	2	3
1500	-798.817112445260818	-797.248698826828104	-1.568413618432707	0.000010059012221	0.000012824832524	1.274959433647759	0.475758500133481	1	3	2	3	5	8	7	6	7	7	7	6	10	10	8	8	7	6	6	8	9	11	11	10	10	9	10	9	12	13	10	10	13	11	10	11	11	9	12	13	12	13	12	14	11	13	13	13	14	12	15	14	15	15	16	15	16	15	15	16	17	14	16	17	17	16	15	18	16	18	15	19	18	19	20	17	20	18	21	18	22	19	19	19	22	21	19	21	20	21	21	24	22	22	23	23	22	26	25	24	25	23	25	24	25	27	27	27	27	29	30	0	3	1	1	2	4	2	5	4	5	5	2	7	7	8	8	5	2	5	11	12	14	15	17	18	19	28	20	15	16	1	12	43	24	17	6	12	5	14	13	25	24	35	15	18	19	26	36	48	23	27	35	11	48	39	42	45	45	49	49	67	17	62	24	58	45	47	76	49	60	30	38	66	76	84	26	65	76	46	66	67	60	66	27	60	73	65	83	80	65	66	97	87	89	87	83	66	58	73	94	57	58	97	93	66	66	66	96	105	109	104	1	1	1	1	1	2	2	1	3	1	1	1	2	1	1	1	1	2	1	1	3	1	1	1	2	1	1	1	2	3	4	2	1	1	1	1	2	3	1	1	2	1	1	3	3	4	3	1	1	1	3	2	4	1	2	1	2	3	1	1	1	2	1	4	1	3	1	1	1	1	1	5	1	1	1	5	2	1	5	2	3	1	3	4	3	2	1	1	1	2	2	1	2	1	3	2	2	7	3	2	3	5	2	1	6	5	9	2	1	1	2
2000	-701.498050915584145	-699.993558144488588	-1.504492771095554	0.000010006320042	0.000011142275562	1.113523804506465	0.570220766292297	0	3	2	2	5	7	5	6	6	6	6	8	9	9	9	7	8	7	8	8	10	10	11	10	10	10	11	10	11	12	11	10	13	11	9	11	12	11	12	13	13	13	13	15	12	10	12	15	13	13	14	15	14	16	16	14	16	15	15	15	17	15	17	17	17	17	15	17	17	19	17	18	18	18	20	16	20	18	21	19	21	20	19	20	21	22	19	20	20	21	21	22	22	22	22	23	20	25	24	25	25	24	24	24	27	27	26	29	27	28	30	0	1	1	1	2	4	2	5	7	5	5	9	2	2	8	8	16	9	10	11	12	14	8	35	18	19	21	20	15	15	10	10	23	35	17	12	25	11	22	26	26	35	27	15	25	19	31	40	20	35	37	35	25	16	39	42	58	45	49	49	67	26	41	56	58	58	17	38	58	60	19	31	66	76	40	40	65	68	62	66	50	60	66	80	70	73	65	83	73	89	73	97	87	89	87	88	73	66	97	94	91	87	92	93	97	89	97	99	107	109	104	1	1	1	1	1	2	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	2	1	1	1	1	1	3	1	1	1	2	1	3	1	2	1	1	2	2	1	4	2	4	2	1	1	3	1	1	1	3	1	2	1	1	4	3	1	1	5	3	1	1	2	2	1	1	3	1	4	2	1	1	1	2	1	1	1	1	2	1	2	1	2	2	1	6	3	1	3	3	1	1	3	5	6	3	1	1	2
2500	-790.973753595568724	-789.162484344579184	-1.811269250989575	0.000009872647485	0.000018424808659	1.866248003606222	0.616599636415244	1	3	2	4	4	8	6	6	7	8	6	8	10	9	10	8	8	7	7	8	11	11	10	10	10	9	10	10	11	12	8	10	12	12	8	12	10	12	12	13	12	14	10	14	12	12	13	12	13	12	12	14	15	14	15	14	14	16	16	15	17	14	17	17	17	17	16	19	17	18	17	18	18	18	20	20	19	20	19	19	21	21	19	20	20	22	20	21	22	21	22	24	22	21	23	23	22	25	25	23	25	25	25	25	26	27	26	27	27	28	28	0	3	1	1	3	4	1	5	8	9	5	4	6	7	31	5	18	4	5	11	12	14	16	35	18	19	2	20	2	31	8	6	23	27	8	16	6	6	14	25	43	34	11	16	25	27	26	7	28	24	17	35	25	51	39	19	45	18	49	49	67	16	62	42	58	57	36	63	62	60	62	62	66	63	44	63	65	72	67	66	71	85	66	61	70	58	77	83	73	72	66	97	87	66	87	83	52	91	97	94	100	89	92	93	97	100	66	92	107	109	104	1	1	1	2	1	2	2	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	1	1	2	2	3	1	2	2	1	1	1	2	1	2	1	2	2	1	1	1	3	3	1	1	1	3	3	1	2	4	3	1	1	3	1	4	2	1	1	3	2	1	1	2	1	1	1	2	1	2	1	1	3	2	2	1	2	1	2	1	1	2	1	5	1	1	2	2	2	1	1	3	2	3	2	2	3	1	1	2	1	2	2	3	3	2	1	1	1
3000	-754.213979653601200	-752.493592289269600	-1.720387364331566	0.000009964724101	0.000016388110479	1.644612566541639	0.554572618006199	0	2	3	4	6	7	7	7	5	7	6	9	9	8	10	8	8	7	8	8	11	11	12	9	10	9	11	9	12	12	11	10	13	12	11	10	11	12	13	14	13	13	14	14	13	13	12	15	12	14	15	14	15	15	15	15	15	16	15	15	17	15	17	17	18	17	15	18	17	18	18	16	18	17	21	19	20	19	19	19	21	20	19	20	22	21	19	21	21	21	20	23	22	23	24	24	22	24	24	24	25	24	24	24	26	26	26	29	27	29	28	0	1	1	3	3	2	3	3	2	5	9	4	10	9	16	8	4	9	5	11	12	7	16	8	18	19	25	11	15	8	25	16	23	35	24	8	12	7	14	35	36	24	27	15	25	26	19	32	20	24	35	34	45	50	32	42	45	57	49	49	67	10	62	42	45	40	47	72	46	60	46	24	66	26	46	48	65	9	62	66	28	70	66	63	81	66	45	83	66	76	73	97	87	89	87	88	73	91	92	94	86	87	92	93	92	94	97	107	107	109	104	1	1	1	1	1	2	2	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	1	3	1	1	2	2	2	1	1	1	1	1	2	1	3	2	2	2	1	2	2	1	2	2	2	3	3	2	2	2	1	3	1	1	1	2	1	1	3	2	4	4	1	1	1	2	2	5	3	1	3	4	2	1	5	2	1	5	2	1	1	1	2	3	2	3	1	1	1	2	1	2	2	2	2	1	1	3	2	1	1	2	1	2	2	1	1	2
3500	-639.473379097760699	-637.996998011260871	-1.476381086499783	0.000010334791038	0.000010739452886	1.039155300435692	0.709805776714343	0	4	3	2	7	7	6	6	7	5	6	8	10	10	9	8	8	7	7	8	9	9	11	10	9	10	10	9	11	13	11	11	13	11	9	12	11	11	12	13	12	12	11	14	13	13	12	14	13	13	14	14	15	14	16	14	16	14	15	15	17	15	18	18	17	17	16	18	16	19	16	18	18	18	21	18	19	19	20	19	20	21	19	19	22	20	21	20	21	20	19	23	23	22	24	24	22	25	24	24	26	23	25	24	26	25	26	28	27	29	29	0	3	1	1	10	3	3	2	10	1	10	4	9	22	16	8	18	10	10	11	12	2	10	35	18	19	11	20	15	43	35	22	23	35	8	37	27	18	14	47	28	23	19	29	38	5	31	41	28	24	35	24	40	8	39	35	58	45	49	49	67	26	26	42	58	58	40	46	39	60	26	31	66	62	65	62	65	62	63	66	65	90	66	49	70	66	65	83	73	70	66	97	87	89	87	88	66	91	92	94	95	87	97	93	92	100	97	109	107	109	95	1	1	1	1	1	2	1	1	1	3	1	3	2	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	2	1	1	4	2	2	1	1	5	2	3	1	1	1	1	1	3	3	2	2	2	1	2	2	2	3	3	1	2	1	1	1	1	1	1	1	1	1	4	1	2	2	1	2	1	1	1	1	1	2	2	3	2	1	1	1	1	1	1	2	1	1	1	1	1	2
4000	-671.435342963513335	-669.776123857313792	-1.659219106199508	0.000010849747062	0.000016236814488	1.496515485121974	0.792876347771798	0	3	2	4	5	6	6	7	6	7	7	8	9	9	8	7	8	7	8	9	10	8	11	11	9	10	11	10	12	12	10	10	13	10	10	11	12	12	13	13	10	12	14	14	12	11	12	14	14	14	13	13	15	15	15	13	15	15	15	16	17	16	17	18	18	18	15	19	18	18	17	18	19	19	20	19	19	19	19	19	21	20	19	20	20	20	20	21	21	21	22	23	22	23	23	22	22	24	25	25	25	22	24	25	27	26	26	27	28	29	30	0	3	1	3	2	4	3	5	2	9	5	2	17	22	8	5	16	6	10	11	12	2	15	35	18	19	26	20	15	32	12	17	23	16	8	25	21	20	14	37	12	24	37	29	18	19	19	35	28	51	24	35	50	52	39	42	45	45	49	49	67	8	46	53	57	58	47	67	67	60	19	58	66	62	83	63	65	62	71	58	83	70	66	70	70	66	65	83	73	76	57	97	87	89	87	83	73	90	92	94	92	87	92	93	97	100	92	94	107	109	104	1	1	1	1	1	1	2	1	1	1	2	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	1	4	3	2	1	1	2	1	2	1	5	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2
4500	-650.255956447330618	-648.745124774003330	-1.510831673327304	0.000011724825571	0.000013248186777	1.129926129505892	0.653643492410903	0	2	3	3	5	7	7	6	6	7	7	8	10	10	9	8	8	7	7	9	11	9	11	11	10	9	9	10	12	12	10	10	14	12	10	11	10	11	12	13	12	13	13	14	12	14	13	14	14	12	13	15	14	15	15	14	15	15	16	16	17	14	16	17	17	17	15	17	17	19	17	18	19	17	20	19	19	19	20	19	22	21	19	21	20	21	20	20	21	19	21	23	22	23	23	23	22	23	24	24	26	24	24	24	26	26	25	27	27	28	29	0	1	1	2	1	3	3	5	4	5	5	2	6	22	5	8	11	4	5	11	12	2	5	35	18	19	11	17	15	16	16	12	23	35	17	26	16	16	22	50	23	24	21	29	25	19	36	29	20	24	24	35	31	42	22	42	32	45	49	49	67	31	53	56	45	58	47	62	56	49	26	67	66	19	51	63	65	63	19	66	86	70	66	85	60	66	58	83	73	63	73	97	87	89	87	88	73	91	97	89	102	95	97	93	99	100	92	107	107	109	104	1	1	1	1	3	2	1	1	2	1	1	5	1	1	2	1	1	2	2	1	2	2	3	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	4	1	2	1	1	1	1	2	1	1	3	1	1	2	1	3	2	2	1	4	3	2	1	2	7	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	3
