step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19
1	-889.320333140375624	-896.175821091335024	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.220901221727649	0	1	2	2	2	2	3	4	3	5	5	6	7	9	11	9	9	10	11	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	4	5	6	5	5	5	6
500	-104.907202842085155	-111.762690793044527	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.261572406806977	-1	2	1	2	2	2	3	4	2	5	4	5	8	9	10	9	7	10	12	0	3	1	3	3	3	3	3	0	2	9	9	10	12	12	2	6	1	15	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	4	3	6	1
1000	-99.350695554633930	-106.206183505593302	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.487988615867689	0	1	2	3	2	2	3	5	2	6	5	3	8	7	11	10	9	10	11	0	1	1	1	1	2	3	2	0	2	9	9	7	12	14	5	6	8	14	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	3	5	3	2
1500	-85.727859606646902	-92.583347557606274	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544237458091211	0	1	2	2	2	2	3	4	3	5	6	7	8	9	10	9	10	11	11	0	1	1	2	2	1	2	2	0	7	9	11	8	12	12	5	8	5	12	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	3	2	4	1
2000	-74.145404292543347	-81.000892243502719	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.842153323663073	0	1	2	2	2	1	3	5	4	5	6	7	6	9	11	10	9	8	12	0	1	2	1	1	1	6	5	0	7	9	11	10	12	14	17	18	13	12	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3
2500	-69.955343462746342	-76.810831413705714	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.857124395165687	0	1	2	3	2	3	3	4	2	6	5	7	8	10	12	10	10	11	11	0	1	1	3	1	3	1	3	0	8	9	11	10	12	14	10	13	17	14	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1
3000	-95.912593119002381	-102.768081069961752	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677794630438511	0	1	3	3	2	3	2	3	3	5	6	4	6	9	10	10	8	9	11	0	1	2	1	1	5	1	7	0	2	9	9	7	12	14	13	5	10	15	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	2	3	1	1
3500	-74.609166685661080	-81.464654636620452	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.812121080273866	0	1	2	2	1	2	2	4	3	5	5	7	7	9	12	9	9	9	10	0	1	2	2	1	5	1	3	0	5	9	9	10	12	19	13	13	10	12	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2
4000	-85.119694688592006	-91.975182639551377	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740054673346249	0	2	1	1	3	3	3	4	3	4	6	7	7	9	10	8	10	10	12	0	3	1	1	3	3	3	2	0	6	9	11	10	12	12	13	10	13	12	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	3	1	3
4500	-77.685074511767496	-84.540562462726868	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.884734116834340	0	2	3	2	1	2	1	4	3	5	5	7	8	9	12	8	7	10	9	0	5	2	1	1	1	1	5	0	6	9	11	10	12	14	17	10	17	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
