step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
1	-486.812229347457219	-485.350147262938322	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.051543836924019	4	4	4	5	7	6	7	6	6	7	7	7	7	9	10	8	9	10	12	13	14	15	24	27	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	3	3	2	3	3	4	5	5	6	10	12
500	-259.389080957513784	-257.362823325652869	-2.026257631860889	0.000010002750751	0.000024104333225	2.409770454801039	0.092607471720019	2	3	4	4	7	7	7	6	7	8	8	6	7	9	11	8	10	10	12	14	14	15	24	28	0	0	0	2	1	1	8	2	1	2	4	4	8	2	6	1	16	9	13	3	13	18	22	0	1	1	1	1	2	3	1	2	2	3	1	2	1	3	3	3	1	2	3	5	6	2	5	1
1000	-232.890723743870296	-230.925442350234306	-1.965281393636002	0.000010093764677	0.000022732416533	2.252124679037763	0.247120967144049	4	2	4	5	6	6	7	4	7	7	7	8	7	9	11	8	9	10	12	12	14	15	24	26	2	0	0	2	1	1	8	2	1	4	4	4	8	2	6	1	16	9	13	3	13	9	22	0	1	1	1	1	1	1	2	1	2	1	2	2	2	3	2	3	1	2	2	4	5	6	5	1
1500	-228.892341843727479	-226.659517052989827	-2.232824790737638	0.000010180924404	0.000030227929382	2.969075123494279	0.558593454605006	4	3	5	4	7	6	7	5	6	7	8	8	7	9	11	8	9	10	11	14	14	15	25	27	2	0	0	2	1	1	8	2	1	4	4	10	8	2	6	1	16	9	13	3	13	18	18	0	1	1	1	1	2	1	1	1	2	1	2	1	1	3	2	2	1	2	2	4	3	2	8	1
2000	-244.215339694687003	-241.911043563074088	-2.304296131612913	0.000010123988547	0.000032119922538	3.172654965792211	0.559184560371837	5	4	5	5	7	7	8	6	7	7	8	7	8	9	9	9	10	10	12	13	15	14	25	27	2	0	0	2	1	1	8	2	1	4	4	4	8	2	6	1	16	9	13	3	13	18	22	0	1	1	1	1	1	1	2	1	1	1	2	2	2	1	2	2	1	2	2	4	5	1	4	1
2500	-233.723688058371692	-231.980150346455900	-1.743537711915797	0.000010102833343	0.000017182874646	1.700797594372896	0.431003174238665	4	3	5	5	6	6	8	5	6	7	7	8	7	10	9	8	10	10	10	11	15	15	23	26	2	0	0	2	1	1	8	2	1	4	4	10	8	2	6	1	16	9	13	3	13	18	18	0	1	1	1	1	2	1	1	1	1	1	1	1	2	3	2	2	1	2	1	2	4	2	7	1
3000	-241.682915142923264	-239.317892167397986	-2.365022975525273	0.000010077740560	0.000033760666982	3.350023428361149	0.547766994562452	4	3	4	5	8	5	7	4	6	7	7	7	8	9	10	8	9	10	12	11	15	15	25	26	2	0	0	2	1	1	8	2	1	2	4	4	8	2	6	1	16	9	13	3	13	18	18	0	1	1	1	1	1	1	2	1	2	3	2	1	2	3	2	1	1	2	1	4	3	2	7	1
3500	-236.473202977864133	-234.634213542902245	-1.838989434961883	0.000010205493128	0.000019743373583	1.934583007073752	0.492584118647026	4	3	5	6	7	7	7	5	6	8	7	7	8	9	11	7	9	11	13	13	14	16	23	27	2	0	2	2	1	1	8	2	1	4	4	4	8	4	6	1	16	9	13	3	19	18	22	0	1	1	1	2	2	2	1	2	2	1	1	1	1	1	2	2	1	3	3	5	1	4	4	1
4000	-251.533343662345800	-249.930039689654024	-1.603303972691771	0.000010522612617	0.000014317754379	1.360665350022255	0.584810613827343	4	3	5	4	8	6	8	6	7	7	8	6	8	10	10	7	10	11	11	13	14	15	25	27	2	0	2	2	1	1	8	2	1	4	10	4	8	2	6	1	16	9	13	3	13	18	22	0	1	1	1	1	3	1	1	2	2	2	1	2	1	3	2	2	2	2	3	3	3	1	5	1
4500	-236.167986356278334	-234.016504942437422	-2.151481413840914	0.000011334778274	0.000031101216978	2.743875197738938	0.513431431929579	4	2	5	6	5	6	7	5	7	7	7	7	8	10	9	8	10	10	12	13	15	15	22	27	2	0	2	2	1	1	8	2	1	4	4	4	8	2	6	1	16	9	13	3	13	18	18	0	1	1	2	2	1	1	1	2	2	1	1	1	1	2	1	3	1	2	2	4	3	2	5	1
5000	-222.212495144385485	-220.169414434381594	-2.043080710003899	0.000015230951226	0.000037374020813	2.453820530163641	0.622604202644691	4	3	5	5	7	6	8	5	7	6	7	7	7	8	10	7	9	11	11	14	14	14	24	27	2	0	2	2	1	1	8	2	1	4	4	4	8	2	6	1	16	9	13	3	19	18	22	0	1	1	1	1	2	1	2	1	2	1	1	1	1	3	2	1	1	1	3	4	1	2	6	1
5500	-210.889343202906275	-209.167266334515432	-1.722076868390835	0.000023415256606	0.000038604935493	1.648708623730536	0.570166481184334	3	2	4	5	7	6	8	5	7	7	7	8	7	10	10	8	10	11	12	14	12	15	24	25	2	0	2	2	6	1	8	2	1	4	4	4	8	10	6	1	16	9	13	3	13	9	22	0	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	3	1	2	3	4	2	3	5	1
6000	-185.192236000620397	-183.644980212133902	-1.547255788486485	0.000035632010465	0.000009463847393	0.265599590636131	0.575580136345497	4	2	4	4	8	6	7	5	7	6	7	8	7	9	9	8	10	11	12	13	14	16	24	27	2	0	2	2	1	1	8	2	1	4	4	10	8	10	6	1	16	9	13	3	13	18	22	0	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	2	1	2	3	3	4	3	3	1
6500	-170.131467103287690	-168.741830596302464	-1.389636506985230	0.000067524957034	0.000051936420935	0.769144079702245	0.528116280987628	5	3	4	5	8	7	8	5	7	6	8	7	8	10	10	7	10	11	12	13	13	15	24	26	2	0	2	2	1	1	8	2	1	4	10	10	8	10	1	1	16	9	13	3	13	20	18	0	1	1	1	1	1	1	2	1	1	1	1	1	1	3	3	1	2	2	2	5	2	1	5	1
7000	-140.696733503639763	-138.919523238315833	-1.777210265323917	0.000227652489916	0.000041455755735	0.182101042473325	0.642031831807435	5	4	5	5	7	7	8	6	7	7	7	8	8	9	11	6	10	9	13	13	15	15	23	28	2	0	2	2	1	1	8	2	1	4	4	4	8	2	18	1	16	9	13	18	19	15	22	0	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	1	3	4	1
7500	-163.582532755956521	-161.760049171667561	-1.822483584288951	0.000355201068569	0.000060890417093	0.171425208088672	0.526300609942231	5	3	4	5	7	7	8	5	6	7	7	6	6	9	9	9	10	8	13	11	14	14	24	28	2	0	2	2	1	1	13	2	1	12	4	4	8	12	5	6	9	6	7	3	6	15	22	0	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	6	1
8000	-167.207278843376201	-165.587350093909464	-1.619928749466736	0.000248936437030	0.000057678068730	0.231697976470787	0.458169294012243	4	2	4	5	8	6	8	6	6	6	8	6	7	9	9	8	10	10	12	14	14	15	24	26	2	0	2	2	1	1	1	2	4	2	2	4	2	2	6	1	1	1	8	13	3	17	22	0	1	1	1	2	2	1	3	2	1	2	3	1	3	3	2	1	3	3	2	3	6	3	4	1
8500	-153.317840983315904	-151.490130996901030	-1.827709986414881	0.000299941421393	0.000051070099251	0.170266910832711	0.606652110985935	5	3	5	4	7	7	8	6	7	7	8	8	8	9	10	8	9	9	13	13	14	15	24	27	2	0	2	2	1	1	8	2	1	4	4	9	8	9	18	9	1	1	7	17	7	6	18	0	1	1	2	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	3	2	2	3	5	1
9000	-155.992847474063012	-154.343271607534462	-1.649575866528556	0.000221210587495	0.000048750117159	0.220378769891327	0.397828304989962	5	3	4	5	8	7	8	7	7	8	7	7	8	7	11	8	8	10	12	12	13	15	23	26	2	0	2	2	1	1	8	2	1	4	4	4	8	2	6	14	1	9	10	10	8	16	22	0	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	1	2	2	2	2	3	5	4	1
9500	-160.717611156916803	-159.092935190107255	-1.624675966809547	0.000272447819949	0.000062609724234	0.229804460337616	0.675313242480230	5	3	4	6	7	6	7	5	6	5	8	7	8	6	9	8	9	10	11	13	15	15	23	25	2	0	2	10	1	1	8	2	1	2	4	10	8	10	6	1	1	12	8	3	13	19	20	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	4	4	2	1	4	1
10000	-150.458274260710795	-148.643465143743697	-1.814809116967095	0.000207085974850	0.000035857446160	0.173152460886709	0.642225335613670	4	3	4	5	8	6	7	5	7	7	8	7	8	10	10	9	10	9	12	13	14	14	24	27	2	0	2	2	1	1	8	2	1	4	4	4	8	13	1	1	1	9	13	3	19	10	20	0	1	1	1	1	2	1	1	1	1	1	1	1	2	1	3	2	2	2	2	5	1	3	4	1
10500	-149.286265957104973	-147.605027352745310	-1.681238604359673	0.000273504609103	0.000057293288537	0.209478329178053	0.602175190775161	5	3	5	5	7	7	6	7	6	7	8	8	7	9	10	8	10	9	12	13	13	15	24	28	2	0	2	2	1	1	2	2	1	7	10	10	2	8	6	1	8	9	7	17	13	17	22	0	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	2	1	2	2	4	1
11000	-166.050762831325301	-164.473205258413316	-1.577557572911971	0.000193110532204	0.000048317813720	0.250208070832200	0.471971855068212	4	2	5	5	8	7	7	6	7	7	7	7	8	8	11	7	10	11	12	10	14	15	24	27	2	0	2	2	3	4	8	4	3	2	2	8	7	2	9	1	5	14	13	16	14	16	22	0	1	1	2	2	1	1	1	1	1	3	3	1	1	3	3	2	1	2	2	2	3	4	4	1
11500	-140.825934251041957	-139.028136974489229	-1.797797276552725	0.000290848347443	0.000051508608081	0.177097819305280	0.568867007094173	5	4	5	5	8	6	8	6	6	7	7	7	8	8	10	8	10	10	12	12	14	15	24	27	2	0	2	2	1	1	8	2	1	4	3	4	8	2	14	1	6	9	13	2	20	15	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	3	1	2	4	1
12000	-146.440093668525805	-144.712512789379105	-1.727580879146696	0.000296770816567	0.000057968760712	0.195331742460680	0.740772300722225	5	4	5	5	7	7	6	7	7	7	7	7	8	9	11	8	10	10	12	12	14	15	23	28	2	0	2	2	1	1	2	7	1	4	4	4	8	2	5	1	5	16	13	4	13	15	22	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	2	3	2	2	2	1
12500	-153.891456776851328	-152.320538187574300	-1.570918589277031	0.000293075103133	0.000074267205969	0.253406738324615	0.792709154683861	4	3	5	5	8	6	8	6	6	7	8	7	6	9	10	8	8	7	12	12	15	16	24	24	2	0	2	2	1	1	13	2	1	3	10	4	2	2	9	4	1	9	7	3	19	20	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	1	1	3	1	2	4	1
13000	-164.736181925795620	-163.137170268429060	-1.599011657366548	0.000282521507455	0.000067932867765	0.240452022138178	0.683304816212702	5	3	4	5	8	7	7	6	7	7	8	7	8	9	9	9	8	10	12	12	12	16	24	28	2	0	2	2	1	1	2	2	1	4	4	4	7	2	8	1	8	16	14	3	13	14	20	0	1	1	1	1	1	1	2	3	1	1	2	2	1	2	1	2	1	1	1	4	2	3	7	1
13500	-173.578255395822367	-172.078358025404413	-1.499897370417961	0.000260230936014	0.000076695526104	0.294721016949365	0.603261135429869	5	3	5	5	7	7	8	5	7	6	8	8	8	9	10	9	8	10	13	13	14	16	24	28	2	0	2	2	1	1	8	2	1	2	2	4	1	12	9	13	4	9	13	15	12	20	5	0	1	1	1	2	1	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	9	1
14000	-163.449216125060815	-161.833795695579340	-1.615420429481465	0.000244527545530	0.000057103775832	0.233526966084780	0.553348552407320	4	3	4	6	7	6	8	6	6	5	7	6	5	9	9	9	9	8	11	10	15	15	24	27	2	0	2	10	1	1	8	13	1	2	10	3	2	2	10	1	1	9	8	3	19	16	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	1	3	3	2	2	6	1
14500	-147.373892782468431	-145.583256310859667	-1.790636471608756	0.000245250291110	0.000043852892144	0.178808726159176	0.763412402935083	5	3	5	5	7	6	6	5	6	6	8	7	7	7	10	7	8	10	12	14	15	15	21	27	2	0	2	2	1	1	8	2	1	4	10	4	8	8	16	1	16	9	13	18	19	15	22	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	1
