step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58
1	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.912728451989927	-3	2	6	14	15	17	15	23	20	28	37	31	38	36	41	44	44	41	46	49	40	49	43	46	42	52	47	44	45	45	49	47	55	53	46	53	56	52	49	51	51	59	57	63	56	65	62	58	61	66	66	74	76	72	83	98	93	98	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-295.822390096279548	-304.873233476730888	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.974511435411318	-7	3	7	18	12	14	17	24	24	29	25	28	34	35	40	33	47	43	31	49	42	39	47	45	44	50	48	39	42	39	51	47	55	57	45	57	50	53	45	44	53	59	59	61	53	67	64	59	60	64	65	68	73	69	79	96	89	97	0	1	2	3	3	3	6	7	6	9	4	8	11	10	14	10	28	13	11	21	22	10	15	30	16	29	18	12	19	19	32	22	22	31	28	40	24	37	15	15	20	37	31	36	26	44	48	20	17	48	44	50	52	51	53	57	53	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-295.747079000310862	-304.797922380762202	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991433033913354	-1	4	7	10	14	16	17	24	21	27	29	34	33	35	42	37	40	37	42	49	40	49	29	46	43	53	44	47	46	48	49	45	56	53	43	54	56	52	47	52	52	59	55	63	49	67	63	60	62	69	60	69	79	71	85	91	79	98	0	1	2	3	2	4	3	4	3	9	8	23	5	23	14	13	12	12	12	16	11	12	9	21	16	31	14	16	17	17	21	21	35	21	12	45	24	31	18	25	25	45	39	20	21	49	33	28	37	49	26	49	46	36	57	55	50	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-296.756140599475032	-305.806983979926372	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994792036055851	-2	2	10	10	12	5	14	22	21	31	31	29	38	37	37	44	42	33	44	53	35	50	39	45	40	52	49	40	47	46	50	44	57	44	48	53	58	53	49	53	40	56	59	65	49	64	62	59	61	56	60	75	72	70	82	92	95	94	0	1	2	2	2	1	2	5	4	9	8	9	11	10	21	14	14	9	14	25	18	34	21	25	18	39	28	11	15	21	30	23	40	11	19	39	38	34	21	29	14	36	26	49	17	51	31	40	16	39	26	44	51	49	53	55	56	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-313.093872302431294	-322.144715682882634	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998512522636815	-9	2	7	9	6	19	19	16	24	21	29	29	38	37	39	40	45	33	43	47	33	50	42	42	31	56	48	43	36	46	41	45	51	53	40	52	52	56	51	50	50	60	53	65	56	68	60	57	57	63	66	66	65	57	83	101	94	78	0	1	2	2	2	5	3	3	6	8	6	9	25	21	21	25	35	6	14	16	8	16	18	29	9	22	31	13	18	16	18	13	27	32	11	19	32	20	23	16	23	36	16	50	27	34	36	28	40	49	42	43	42	30	46	57	55	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-293.896458889789585	-302.947302270240925	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972637809001437	-2	0	3	12	10	18	17	26	23	27	38	29	35	34	41	45	43	38	50	46	37	51	42	41	39	51	48	46	43	47	35	45	52	53	41	48	51	50	48	49	49	62	51	57	57	61	64	54	58	60	61	62	71	65	80	92	94	85	0	1	1	3	3	5	4	6	6	9	12	9	12	12	21	23	31	10	35	11	31	28	9	31	31	28	25	35	25	31	8	23	27	30	31	23	32	29	16	24	28	49	20	26	26	19	44	41	33	45	44	33	54	46	53	58	58	53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-308.483525543672442	-317.534368924123783	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990897393856652	-2	4	2	13	6	19	17	24	15	24	37	34	28	30	35	32	45	33	46	52	42	48	36	34	41	44	44	42	44	46	47	50	53	42	42	52	52	49	51	49	52	59	56	62	57	58	61	59	61	69	60	73	70	69	79	98	88	93	0	1	1	2	1	5	3	9	5	4	16	14	8	8	8	14	23	14	24	27	15	29	16	8	11	8	28	23	15	21	34	25	15	11	23	27	30	11	31	29	40	33	25	33	32	33	31	41	41	43	43	51	49	49	50	58	50	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-299.929775437047454	-308.980618817498794	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998475454263693	-3	3	11	19	13	15	18	24	23	30	36	27	28	35	44	41	45	33	43	40	37	48	43	46	38	52	51	42	42	49	51	47	55	56	44	53	58	55	49	51	48	61	60	55	56	57	62	51	63	60	68	73	69	69	80	94	88	98	0	1	2	3	1	3	3	5	6	9	8	8	9	7	25	13	14	9	25	21	10	28	20	29	10	35	16	14	14	16	28	29	48	24	21	17	31	32	15	16	25	48	31	39	40	36	34	17	34	26	33	51	41	37	52	57	55	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-305.464445428301133	-314.515288808752473	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.943000700007980	-3	0	5	11	15	17	16	23	21	27	29	28	40	33	35	41	44	34	42	46	39	50	43	45	36	42	45	45	43	39	51	49	57	53	50	51	52	53	39	49	43	55	51	63	57	65	66	59	60	61	67	67	77	70	84	96	93	92	0	1	1	3	3	1	3	7	3	5	9	6	15	12	10	18	25	11	15	15	15	26	18	16	10	14	18	18	15	15	32	41	29	19	24	41	20	39	12	19	12	28	27	38	41	37	44	24	45	36	44	48	51	50	53	53	55	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-311.755775815971560	-320.806619196422901	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992411189218678	-8	2	5	9	14	20	19	21	17	30	37	32	36	37	31	43	41	44	47	50	41	37	37	44	42	48	45	41	44	43	52	41	55	51	37	52	55	52	48	49	49	60	47	61	54	64	65	57	54	53	65	70	80	74	81	87	94	84	0	1	2	1	4	4	4	5	5	6	12	7	12	15	8	23	10	11	11	27	10	12	15	21	22	17	17	14	21	35	40	35	39	18	6	20	36	28	14	32	23	40	22	20	18	42	50	41	31	19	33	38	54	37	47	58	58	53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
