step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75
5000	-440.054063119923455	-446.909551070882856	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.627454062147248	-1	2	3	4	7	5	6	7	6	8	8	10	9	10	11	11	11	13	12	13	13	13	13	14	14	13	13	14	14	15	13	14	12	14	15	15	15	16	16	15	18	16	18	16	16	18	16	18	18	19	20	18	20	18	18	19	21	19	21	21	21	21	19	24	23	23	25	23	24	27	25	27	27	30	32	0	1	2	3	9	3	4	0	4	6	9	10	9	6	3	10	6	15	15	13	14	14	10	13	12	16	15	33	12	26	15	31	0	13	21	29	12	14	25	17	25	27	35	25	29	32	21	12	42	45	58	32	54	16	47	45	55	21	47	51	54	43	47	59	51	60	66	59	53	65	60	69	65	73	74	1	2	1	1	1	1	1	1	1	1	1	1	2	1	4	1	3	1	1	2	2	2	2	2	3	2	1	1	2	1	1	1	1	1	1	1	2	3	1	2	2	2	3	1	1	2	1	5	1	2	1	2	2	3	1	2	2	3	2	1	2	2	1	2	2	1	1	2	2	2	2	2	2	2	1
5500	-460.829031867766332	-467.684519818725732	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.457207063993333	-1	0	2	4	5	5	6	7	6	7	8	9	10	10	12	12	11	13	11	12	12	14	14	13	15	12	14	13	15	16	12	13	12	15	14	14	15	17	16	15	18	17	18	17	16	18	17	17	17	19	20	19	18	19	19	18	19	21	21	21	22	20	22	24	24	24	23	23	25	27	25	26	27	29	32	0	1	2	3	4	3	3	0	6	6	9	4	10	7	14	6	13	12	9	12	5	13	21	13	6	13	31	33	17	36	13	31	0	15	15	26	14	23	15	20	31	31	19	35	7	29	25	40	25	29	16	42	44	19	37	20	47	15	47	34	14	22	57	59	60	61	58	59	51	65	61	66	67	73	73	1	1	2	1	1	2	2	1	1	2	1	2	2	2	1	3	1	3	2	1	3	2	1	2	6	1	1	1	2	1	1	1	1	1	1	2	2	2	2	2	3	2	4	2	3	1	1	1	1	2	4	1	1	4	2	4	2	5	1	3	5	3	1	2	2	1	1	1	2	1	1	2	2	1	2
6000	-435.958120946281213	-442.813608897240613	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.519903040428669	-1	1	3	4	6	5	7	6	6	8	8	9	11	10	12	12	12	12	11	13	12	14	14	13	15	12	13	14	15	14	13	14	12	15	16	15	15	16	16	14	17	16	17	17	16	18	16	17	18	19	19	20	19	18	19	18	18	20	21	22	23	21	20	21	22	23	24	24	24	26	26	26	28	31	30	0	1	2	3	4	3	6	0	6	2	3	10	12	4	5	7	13	7	12	17	12	21	21	10	13	10	17	33	11	17	9	27	0	7	22	30	11	23	40	11	27	32	16	18	13	42	37	25	31	15	54	27	23	21	47	39	47	43	57	51	54	58	57	47	53	51	60	55	66	51	67	69	72	75	70	1	1	1	1	1	1	1	1	1	3	3	1	1	3	3	2	1	2	1	1	1	1	1	2	2	2	1	2	3	1	3	1	1	4	1	1	3	1	1	3	1	1	2	2	2	1	1	1	3	5	1	3	3	3	2	1	1	2	1	1	2	1	2	3	2	3	1	2	1	3	1	2	1	1	2
6500	-447.301116285679086	-454.156604236638486	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615737781173669	0	2	3	5	5	5	6	5	5	8	9	8	10	10	12	12	12	11	10	12	13	13	15	14	15	12	11	14	15	15	14	13	12	14	15	15	15	16	16	14	17	17	18	16	16	19	16	17	18	17	20	19	17	20	19	20	20	20	21	21	23	22	21	24	23	23	24	22	25	27	26	26	27	30	31	0	1	2	3	3	3	3	0	3	7	12	2	6	12	12	12	9	19	6	19	15	14	12	9	21	11	13	33	17	26	27	27	0	16	21	13	22	23	13	17	32	32	35	21	29	42	37	40	31	45	55	32	35	21	47	50	47	44	44	15	44	60	22	59	34	16	51	59	61	67	69	69	60	73	74	1	1	1	1	1	1	2	1	1	1	1	3	2	1	2	2	3	1	2	1	1	2	4	3	1	2	1	1	2	2	2	1	1	1	1	3	1	1	3	2	2	2	1	2	1	1	1	2	3	1	1	3	1	4	2	1	2	2	2	4	3	1	4	2	5	6	1	1	1	2	1	1	2	1	1
7000	-422.813015216634653	-429.668503167594054	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.641657074241061	-3	1	2	4	6	5	6	6	7	6	8	9	11	9	11	12	13	10	10	13	13	14	14	13	16	12	12	14	14	14	13	15	13	15	15	16	15	17	16	14	17	16	16	16	15	15	17	17	18	19	18	19	19	19	20	20	20	20	20	21	23	21	21	24	24	22	25	23	25	25	26	27	27	29	32	0	1	2	3	6	4	6	0	5	4	9	9	9	4	6	9	19	10	6	13	19	14	14	18	17	13	13	33	17	26	27	31	0	16	18	26	22	23	29	13	32	27	22	21	18	31	37	40	42	45	22	42	43	22	47	32	47	35	35	51	54	22	59	55	61	60	60	57	66	60	67	51	70	73	74	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	3	2	1	1	1	1	1	1	1	1	2	1	2	3	2	1	2	1	2	1	2	1	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	3	2	2	2	1	2	1	1	2	2	2	2	1	3	2	1	1
7500	-418.320824464294731	-425.176312415254131	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.580922575406930	-1	1	3	5	6	5	7	6	6	8	9	9	10	8	11	11	12	13	12	14	13	13	14	14	16	13	14	13	14	15	13	14	12	15	16	15	15	16	17	15	17	17	18	17	15	16	17	17	17	19	19	19	19	19	19	20	20	21	21	22	24	20	22	23	23	23	25	24	22	28	26	25	27	30	32	0	1	2	3	3	3	4	0	6	3	7	5	10	4	4	11	13	16	13	15	16	9	21	19	29	13	31	33	13	26	12	31	0	16	21	26	19	23	25	19	31	27	35	22	22	27	37	40	32	45	44	32	21	22	19	45	37	37	47	51	58	44	55	59	34	51	51	64	51	71	72	60	72	73	74	1	2	1	1	2	1	1	1	1	3	1	2	1	2	4	1	1	1	1	2	1	3	1	1	1	1	1	1	2	2	2	1	1	2	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	3	3	3	2	3	3	2	2	2	1	2	1	4	2	2	1	1	1	1	2	1	1	2
8000	-451.210031165779469	-458.065519116738869	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.604687773222167	-1	1	3	5	7	4	5	5	6	7	9	10	9	10	11	13	11	11	12	13	12	13	14	14	15	13	13	14	15	15	13	14	12	16	16	16	16	16	15	15	18	15	17	16	17	18	17	17	16	19	20	19	18	19	19	20	21	20	22	21	23	21	21	24	24	21	24	23	24	27	26	25	26	29	31	0	1	2	6	4	3	3	0	6	6	9	7	9	7	5	15	10	10	12	13	14	14	21	20	16	13	10	33	17	26	13	31	0	16	14	26	21	21	16	17	31	27	21	14	27	27	44	17	17	45	44	46	16	43	47	45	37	43	55	53	35	44	47	61	51	48	16	55	60	65	51	69	65	73	74	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	1	1	1	1	2	2	2	1	2	1	1	1	1	2	2	2	2	2	1	2	2	1	3	5	2	4	1	3	2	1	3	1	2	1	2	2	3	1	2	2	3	2	2	1	2	2	6	2	2	2	2	1	1	2	1
8500	-420.618394634637696	-427.473882585597096	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.577867983822383	-1	1	2	4	7	4	5	5	7	7	9	6	10	11	11	12	12	13	12	12	12	13	15	12	15	12	14	14	15	15	12	15	13	16	15	16	16	16	16	15	18	16	18	17	16	19	17	17	17	19	20	19	19	20	19	18	20	20	21	22	22	22	21	24	23	23	24	23	25	27	26	25	28	29	31	0	1	2	3	3	3	3	0	3	2	9	7	12	13	12	5	13	15	15	7	15	5	22	12	9	15	31	33	17	26	12	27	0	15	21	26	22	35	29	13	31	31	14	21	16	42	37	40	25	45	34	42	14	53	47	39	47	35	47	51	54	54	47	68	60	53	65	59	44	60	67	65	69	73	74	1	1	1	1	2	1	2	1	2	4	1	1	2	1	2	2	1	1	1	2	1	3	1	3	4	1	1	1	2	2	3	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	2	2	2	4	1	2	1	2	2	2	1	1	1	2	1	1	1	1	1	3	3	1	1	1	1	1
9000	-444.088035502073353	-450.943523453032753	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.512178978892564	-3	0	3	5	6	5	5	7	5	7	9	9	10	11	10	12	12	13	12	14	12	13	15	15	15	13	13	14	15	15	13	14	13	16	16	16	15	16	16	16	18	17	16	15	17	18	18	16	19	19	19	19	20	19	20	19	21	20	21	21	23	21	22	24	24	22	24	23	26	27	26	26	27	30	31	0	1	2	3	7	3	2	0	3	6	9	10	7	11	9	10	11	4	10	17	13	21	14	13	19	19	4	33	17	26	15	31	0	16	22	26	22	21	29	17	31	31	22	21	19	32	19	9	32	48	35	32	22	38	37	45	35	35	47	29	54	54	59	59	66	60	60	59	67	69	65	34	72	65	74	1	3	1	2	1	1	3	1	1	1	2	1	3	2	3	2	1	4	3	1	1	1	2	3	1	1	3	1	2	1	1	1	1	1	2	2	1	2	1	3	4	2	1	1	3	2	2	5	2	1	2	2	3	2	2	1	2	2	1	4	1	1	1	2	2	1	2	1	1	1	1	4	1	3	1
9500	-418.241330219559643	-425.096818170519043	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711916617374794	0	1	3	4	5	4	6	6	7	7	9	10	10	11	12	11	12	11	10	13	14	12	15	15	14	13	13	14	16	15	12	14	12	15	14	15	15	14	15	14	18	17	16	16	16	19	17	17	18	20	18	19	19	19	19	19	21	19	20	20	24	21	21	24	24	23	24	23	25	26	26	26	25	29	30	0	1	2	2	4	3	4	0	7	7	9	9	9	13	7	10	16	12	9	17	22	11	19	19	17	17	31	33	25	26	13	27	0	13	22	26	15	22	17	14	27	27	37	22	25	42	37	40	42	45	44	31	34	23	47	45	47	23	47	51	54	44	59	57	60	60	60	59	60	21	65	67	65	73	74	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	2	1	2	2	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	2	3	2	1	2	1	1	1	3	1	2	1	2	3	2	1	1	2	2	2	1	3	2	1	1	2	1	2	2	2	5	1	1	1	2	1
