step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103
1	-3084.194135657562128	-3091.049623608521415	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.420023199480997	0	5	17	9	17	22	21	22	27	22	26	26	27	32	34	35	32	30	33	40	38	37	38	44	45	45	44	45	43	47	45	49	53	53	51	51	52	49	51	53	51	55	57	52	50	59	55	52	54	52	53	58	58	58	57	59	58	64	60	63	62	60	70	62	71	58	65	59	73	60	72	66	68	67	70	66	72	67	70	79	73	66	68	72	67	67	66	72	72	71	69	69	72	73	75	81	77	79	81	82	81	86	96	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	4	4	4	5	4	5	5	5	6	6	6	6	5	6	7	7	6	7	8	8	8	8	8	7	8	8	8	9	9	9	9	9	8	9	9	9	9	10	9	9	10	9	9	9	9	9	10	10	10	10	10	10	11	10	11	11	10	12	11	12	10	11	10	12	10	12	11	12	11	12	11	12	11	12	13	12	11	12	12	11	11	11	12	12	12	12	12	12	12	13	14	13	13	14	14	14	15	16
500	-1166.026963144960746	-1172.882451095920032	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.288104003536210	1	5	19	8	18	17	21	19	27	23	21	23	18	32	29	31	32	31	36	37	29	35	39	45	39	46	45	38	41	45	43	51	52	50	48	48	54	45	49	50	40	51	52	47	48	57	56	51	38	50	54	53	56	55	60	54	56	66	54	61	60	61	71	61	68	56	66	54	76	51	67	67	67	62	71	59	70	68	70	81	74	66	67	70	66	51	69	68	72	70	67	65	69	63	74	82	78	70	81	81	82	88	95	0	1	4	0	1	1	6	2	2	11	6	1	1	10	6	10	8	7	9	22	10	12	17	7	22	18	29	21	22	28	5	24	9	38	26	31	31	31	26	27	8	11	36	13	9	54	26	26	9	31	27	12	9	21	13	30	41	49	14	18	41	49	34	22	70	0	70	23	49	44	11	49	10	86	31	0	70	68	85	28	49	59	48	45	14	27	76	5	5	9	31	86	86	42	41	86	41	73	2	61	89	8	0	1	1	2	1	3	2	1	3	5	1	1	3	2	1	3	1	1	2	1	1	1	3	1	4	1	2	1	2	1	1	4	1	4	1	1	1	2	1	1	1	4	3	1	7	4	1	1	1	3	1	1	7	5	6	8	2	3	11	4	5	4	3	4	2	6	1	4	2	9	1	10	9	8	3	3	1	2	2	1	7	6	2	4	6	5	1	2	9	7	8	8	2	4	2	7	5	9	1	12	3	2	19	1
1000	-1046.233479957801592	-1053.088967908760878	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.412873283185101	1	7	18	9	9	22	23	18	24	22	25	23	27	31	31	35	33	28	31	43	33	38	38	40	42	35	32	40	37	39	36	46	46	52	50	49	52	47	51	54	50	52	57	53	48	59	57	49	38	53	50	56	59	52	53	59	56	65	60	60	61	52	72	53	68	58	58	60	71	56	72	64	68	68	70	58	62	67	61	80	69	66	67	70	57	62	64	71	66	71	65	69	72	69	74	82	77	75	82	78	78	84	97	0	1	4	0	1	2	2	2	1	1	12	8	12	6	8	9	8	9	6	7	11	27	17	18	9	5	10	16	7	21	9	24	22	31	8	21	35	26	38	33	27	6	45	21	30	44	25	26	3	38	7	33	45	28	24	43	36	49	21	42	85	49	50	41	57	0	36	30	66	21	30	49	28	41	42	0	70	26	54	88	49	42	39	67	54	42	76	78	54	91	22	86	64	78	90	74	90	83	59	71	42	8	0	1	1	2	1	1	2	2	2	2	4	1	1	1	1	3	2	2	1	1	4	2	2	1	4	3	6	1	2	2	1	1	1	2	1	5	3	1	2	1	2	3	5	2	4	1	1	3	2	2	1	3	1	3	2	3	1	1	10	4	1	1	3	2	1	2	1	2	4	3	4	7	7	5	3	3	1	2	5	1	1	4	2	3	2	1	2	2	1	2	2	7	2	4	1	1	2	1	2	3	1	5	16	1
1500	-990.147873047962094	-997.003360998921494	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.545827209639511	-1	1	6	2	14	19	20	23	27	22	27	26	25	32	29	35	30	30	26	32	40	39	37	33	44	40	44	46	42	39	44	46	51	50	49	51	52	50	49	48	48	52	56	50	45	54	56	53	38	53	53	56	52	57	51	61	57	64	59	63	61	62	71	59	71	49	67	57	70	60	70	66	66	69	62	57	68	64	69	77	72	66	64	71	68	63	68	69	71	71	69	70	70	71	74	81	76	80	78	83	81	82	95	0	1	4	0	1	2	5	1	13	2	12	7	7	13	5	9	8	7	6	8	11	12	17	8	20	23	18	11	22	11	26	31	40	31	26	21	28	31	31	27	27	6	42	30	21	44	26	31	3	31	14	40	45	28	14	43	36	49	21	28	27	66	83	27	70	0	36	28	66	57	68	66	28	86	42	0	57	68	75	59	66	36	48	70	27	64	76	55	42	86	10	86	86	85	93	74	93	83	94	80	80	42	0	1	1	1	1	3	2	1	2	1	3	1	1	1	1	3	1	1	1	1	2	2	2	1	2	2	1	3	2	1	2	1	1	1	1	2	2	2	1	1	1	1	3	1	3	1	2	3	2	6	2	4	2	1	2	4	1	2	7	2	5	3	1	2	2	2	1	3	1	5	1	3	5	1	1	2	1	2	2	1	3	2	2	3	2	4	1	2	2	3	2	9	2	2	1	1	2	1	3	2	1	1	4	1
2000	-862.835253921676326	-869.690741872635726	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548785279407928	-1	7	18	6	11	18	13	25	28	20	29	25	25	28	34	35	29	22	32	38	39	33	37	45	43	44	42	41	41	40	43	49	50	46	48	50	51	48	49	53	51	53	53	49	48	57	54	53	54	53	50	53	52	59	56	56	59	63	51	64	53	60	72	63	72	49	61	61	72	53	73	62	70	60	58	53	72	69	70	77	71	67	66	71	59	65	62	70	73	73	71	71	73	73	75	79	72	80	82	77	81	83	95	0	1	4	0	1	1	2	10	10	2	10	10	10	18	9	19	18	7	17	14	11	18	10	22	5	20	7	11	22	11	23	26	22	31	26	30	17	31	31	44	29	21	44	30	30	43	32	39	66	31	21	33	45	44	42	36	70	66	28	52	44	66	50	74	67	0	70	61	72	45	79	66	54	52	61	0	57	59	85	73	66	75	39	70	61	74	76	54	85	91	74	86	86	73	91	64	86	83	94	59	89	100	0	1	1	2	1	2	3	1	1	2	2	1	1	1	2	1	1	2	2	1	1	2	3	2	2	3	1	3	2	1	1	2	1	2	1	1	2	4	1	2	1	1	2	1	2	1	1	1	1	2	1	2	1	1	2	1	1	2	4	1	2	1	2	2	1	3	1	2	2	1	1	1	2	1	1	1	1	2	3	2	1	3	2	2	2	1	1	2	2	3	1	2	1	2	1	1	2	1	3	2	3	2	1	1
2500	-838.100132744126654	-844.955620695086054	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.699905953158498	1	6	19	6	11	17	19	20	23	25	28	25	27	29	31	31	32	29	28	36	38	37	36	42	38	42	45	43	42	46	35	44	54	53	49	49	52	40	49	50	51	50	58	53	51	60	55	53	55	54	51	57	55	56	52	57	58	65	61	60	60	61	68	62	73	52	63	57	71	55	65	56	68	66	63	60	73	67	65	76	67	67	67	73	63	63	67	73	71	69	68	69	71	73	75	75	72	81	79	80	75	84	97	0	1	4	0	2	2	5	6	7	2	9	8	6	12	7	6	13	10	6	7	11	10	17	7	18	31	29	11	2	21	13	25	40	31	31	30	31	31	31	29	27	28	30	30	30	44	26	39	66	35	27	41	45	42	24	30	70	72	42	41	42	49	50	41	70	0	70	21	49	45	68	66	61	86	61	0	57	59	55	94	66	75	39	57	56	51	76	61	68	74	86	86	86	73	97	74	91	83	89	94	89	100	0	1	1	2	1	1	1	2	1	1	3	1	1	2	1	2	1	1	1	2	2	2	3	1	2	2	2	1	1	3	1	2	1	1	2	2	1	3	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	2	2	2	2	1	1	3	2	1	2	1	2	1	1	1	2	1	2	1	3	1	2	3	2	3	2	3	4	1	1	1	1	2	1	2	1	2	2	2	1	1	1
3000	-866.670141411878262	-873.525629362837662	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.523334343056861	-4	4	19	10	8	23	21	22	25	18	28	26	26	31	23	28	31	28	26	39	40	34	39	44	45	43	42	42	46	44	42	50	54	49	48	48	50	49	52	45	51	51	56	53	51	59	53	54	54	52	47	55	52	60	53	57	59	62	56	64	61	62	70	59	67	50	65	59	70	57	60	64	70	66	60	62	67	66	70	80	68	63	68	71	66	64	66	73	67	69	66	71	73	72	77	81	79	73	82	77	79	87	96	0	1	4	0	1	2	5	5	8	2	8	15	8	13	10	10	7	9	15	17	11	6	17	6	20	21	22	11	27	21	6	31	27	31	26	30	6	31	34	27	22	11	30	42	28	30	34	39	66	31	27	27	45	59	21	55	70	66	55	52	59	49	50	41	70	0	57	11	49	45	42	66	85	64	59	0	70	61	68	73	66	46	34	70	68	7	76	68	52	91	64	91	92	68	91	90	93	83	94	94	94	100	0	1	2	2	1	1	4	3	1	1	3	1	1	1	1	2	2	2	1	1	2	2	2	2	4	1	1	1	2	1	1	2	2	3	2	1	1	4	2	1	1	3	2	1	1	1	2	1	1	1	3	1	2	1	1	3	1	1	2	1	2	2	2	2	1	2	1	2	6	2	1	2	1	1	1	1	1	2	1	1	1	3	1	3	2	2	5	2	2	3	1	2	2	1	2	1	3	2	2	2	1	1	1	1
3500	-858.260009332613549	-865.115497283572950	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.494741455830704	2	6	18	8	13	23	23	17	23	20	27	26	26	34	28	35	29	31	33	39	39	32	33	40	39	45	43	40	45	41	42	47	51	49	50	52	50	47	53	52	50	50	53	49	49	59	53	51	55	53	51	57	59	60	57	60	55	58	62	63	61	60	62	54	70	50	61	57	74	59	63	67	68	57	58	60	71	59	69	73	72	69	65	69	65	65	67	70	71	73	70	62	69	74	76	71	75	74	79	81	80	85	97	0	1	4	0	2	2	10	2	1	2	9	7	9	18	9	8	13	12	15	17	11	7	17	22	8	31	24	11	24	17	28	31	27	31	26	11	32	31	26	24	27	11	21	30	21	43	26	31	66	26	27	27	45	42	28	44	36	66	78	41	41	49	35	27	57	0	57	42	58	57	55	66	68	64	42	0	84	42	71	73	66	75	39	57	59	74	76	43	68	96	86	64	92	82	92	74	90	83	94	94	89	100	0	1	1	1	1	2	4	1	2	2	3	1	1	1	1	2	3	1	2	1	1	3	2	1	2	2	1	1	3	1	2	1	1	2	2	1	3	1	1	2	2	2	2	3	1	1	1	1	2	2	1	2	2	2	3	3	1	1	2	1	2	2	1	3	2	2	1	2	1	3	2	1	3	2	1	1	1	1	3	2	1	3	2	2	2	1	2	2	4	2	1	1	1	1	2	3	3	1	2	1	1	1	1	1
4000	-820.137582111316988	-826.993070062276388	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629773710446070	0	4	18	6	18	21	17	20	25	16	27	24	23	33	37	33	28	29	27	39	38	34	35	41	44	46	43	42	44	45	42	49	55	40	45	51	45	50	51	52	51	47	53	50	51	49	52	53	54	48	50	57	57	57	50	58	56	57	59	57	54	61	59	57	67	49	66	56	71	61	74	61	64	65	69	58	68	63	59	76	66	61	65	71	64	67	67	74	72	71	71	59	69	69	71	77	72	77	76	75	80	83	94	0	1	4	0	1	5	1	2	6	2	10	10	2	9	14	10	9	12	13	17	11	18	17	22	20	31	24	11	24	28	34	26	40	23	34	21	20	31	31	24	24	11	30	30	30	30	26	39	66	31	27	29	61	61	28	44	45	66	43	41	28	49	31	41	57	0	57	28	62	57	59	66	68	92	78	0	70	68	68	94	66	68	39	67	68	92	76	68	85	86	92	64	92	61	86	93	74	83	73	94	99	100	0	1	1	3	1	2	1	3	3	1	2	1	2	3	2	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	3	2	3	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	2	1	2	2	2	2	3	2	1	1	1	1	2	1	1	1	2	2	2	1	1	2	2	3	1	1	2	1	2	2	1	1	1	2	2	1	1	1	1
4500	-817.900127473131988	-824.755615424091388	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.620331064377780	0	3	12	8	15	19	22	23	28	20	25	26	24	32	25	34	28	31	28	37	34	39	40	34	45	47	43	44	40	41	43	49	50	42	43	46	52	47	51	43	49	56	56	52	50	61	54	54	54	48	52	55	56	56	59	59	54	67	57	60	60	60	70	60	69	50	66	56	75	62	73	62	69	65	66	62	60	67	68	80	68	63	65	73	68	69	67	72	73	67	66	63	73	69	73	81	76	76	77	83	84	88	95	0	1	4	0	1	5	6	6	13	2	10	10	1	9	8	13	8	12	7	14	18	24	17	12	23	35	24	21	24	11	34	35	40	20	23	21	32	31	31	24	24	27	30	30	36	52	35	39	66	31	41	22	45	21	42	54	36	66	28	52	68	49	34	52	77	0	77	11	49	57	85	66	42	64	82	0	57	54	54	85	66	42	39	57	59	92	76	85	68	92	92	64	92	59	86	74	93	83	94	42	99	100	0	1	1	1	1	2	1	1	1	1	2	1	1	4	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	2	3	1	1	1	1	1	2	1	2	2	1	2	2	3	2	1	1	1	1	1	1	1	2	1	3	1	1	1	2	2	1	2	1	4	1	2	1	2	3	3	2	1	3	2	1	1	1	1	2	2	2	2	1	2	2	2	2	2	1	3	1	1	1	2	1	1	2	1	2	2	3	1	1	1
