step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53
1	-1698.435767562197498	-1696.973685477678600	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.358260407934002	0	3	2	5	5	5	6	8	7	7	9	8	8	8	7	9	10	8	9	9	9	10	10	9	10	11	10	12	12	11	10	10	11	13	12	11	11	13	13	13	15	14	17	14	15	15	16	17	18	19	21	24	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	3	3	3	4	4	4	5	4	4	4	4	5	5	4	5	5	5	5	5	5	5	6	5	6	6	6	5	5	6	7	6	6	6	7	7	7	8	7	9	7	8	8	8	9	9	10	11	12	14
500	-407.797357373111083	-406.045313091834771	-1.752044281276314	0.000010021546584	0.000017251893212	1.721480119514339	0.374262379319036	0	2	1	5	3	5	5	7	6	8	9	9	9	8	8	9	11	7	9	7	9	10	10	10	10	10	8	13	12	12	11	11	12	14	12	11	10	13	14	13	14	14	18	14	15	16	16	17	19	19	21	24	28	0	1	1	2	2	2	2	2	4	6	5	10	8	9	20	8	18	7	9	9	8	15	10	16	19	15	5	5	8	17	18	19	14	22	23	24	18	10	11	31	8	37	33	28	31	37	44	44	45	8	37	46	0	1	1	1	2	1	2	2	3	1	2	4	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	3	5	2	1	2	1	2	2	1	1	1	2	3	2	3	2	3	1	2	4	1	2	2	7	6	4	1
1000	-388.104126852197339	-386.003892848669466	-2.100234003527872	0.000010024345117	0.000026117161579	2.605373345963856	0.517426017295255	1	3	3	5	5	5	6	7	6	7	10	8	9	9	8	10	10	8	8	7	10	10	10	8	11	11	11	11	13	11	10	9	12	14	12	11	12	12	12	13	15	14	16	14	15	15	15	17	19	20	22	23	27	0	1	1	2	2	2	2	2	4	6	5	6	24	9	20	24	18	2	9	9	8	15	10	8	19	14	11	11	24	18	18	19	14	22	23	16	31	23	28	31	29	37	33	11	31	40	44	44	40	29	42	51	0	1	1	1	2	1	1	2	1	1	1	3	2	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	1	3	2	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	4	4	5	1	1
1500	-377.529579452399844	-375.781211174861426	-1.748368277538404	0.000010114876044	0.000017322126266	1.712539648488272	0.642098235491862	0	3	3	5	5	5	5	6	6	7	9	8	7	8	8	8	8	7	8	7	10	10	9	9	11	11	10	12	12	11	9	9	12	13	13	11	12	13	13	13	16	14	17	14	15	15	16	18	17	20	20	24	27	0	1	1	2	2	2	2	2	2	6	5	10	8	9	20	8	18	2	9	9	16	20	10	16	19	15	11	11	21	17	18	19	9	22	23	16	31	10	11	31	36	37	33	11	40	42	44	44	45	41	46	51	0	1	1	2	1	2	1	2	2	2	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	2	1	2	1	1	3	2	2	2	1	2	2	2	2	1	3	3	1	1	1	2	2	2	2	2	1
2000	-349.642997026898684	-347.934556014244095	-1.708441012654585	0.000010290625420	0.000016626202113	1.615664882853466	0.752923721466654	1	3	3	5	5	5	6	7	6	7	8	9	8	8	8	8	10	8	9	7	9	10	9	9	11	10	10	12	13	12	10	11	11	13	11	12	12	10	14	14	15	13	17	14	16	15	16	17	18	20	22	24	28	0	1	1	2	2	2	2	7	4	6	5	10	8	9	20	8	18	7	14	9	16	15	10	8	19	15	11	11	24	17	18	9	14	22	23	16	31	23	28	31	24	37	14	28	40	42	44	44	45	41	46	51	0	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	2	3	1	3	1	1	2	1	2	2	3	3	1	1
2500	-348.727887801149620	-346.620888223220106	-2.106999577929531	0.000010382842919	0.000027239531124	2.623513746213079	0.741410562465232	0	3	2	6	5	5	7	5	7	6	9	9	8	9	8	9	10	7	8	10	8	10	10	9	10	11	10	11	13	11	10	11	12	13	12	11	11	12	13	13	15	13	16	14	15	16	17	17	19	17	22	25	27	0	1	1	2	2	2	2	2	4	6	5	6	8	9	9	8	18	2	9	15	8	15	6	8	19	15	11	11	24	17	18	19	14	22	23	16	31	23	28	31	16	37	33	28	40	42	44	44	45	41	46	51	0	1	2	1	2	1	1	2	1	1	1	2	2	1	1	1	2	2	2	1	1	2	2	2	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	2	2	2	2	1	4	2	1
3000	-363.356736808299274	-361.359309565348269	-1.997427242950995	0.000010415114330	0.000024317706408	2.334847764292734	0.639976934342234	0	2	2	4	5	5	5	7	6	7	9	8	8	8	7	8	10	8	9	9	9	9	9	9	11	12	10	11	10	12	10	10	12	12	13	11	11	11	13	13	15	14	17	14	14	16	16	18	17	19	22	24	27	0	1	1	2	2	2	2	7	4	6	5	6	8	9	9	8	18	7	9	15	8	15	6	16	19	15	11	11	24	17	18	19	14	22	23	8	31	23	28	31	36	37	33	28	31	42	44	44	45	41	42	51	0	1	2	1	1	2	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	2	2	1	3	2	1	3	2	2	5	1	1
3500	-346.577046838783531	-344.687614141864628	-1.889432696918916	0.000010007031431	0.000020615467157	2.060098171854066	0.818661218274809	0	2	2	4	5	5	6	7	7	8	9	7	8	9	8	9	10	8	9	9	9	11	10	10	10	11	10	12	13	11	10	11	10	14	12	11	11	13	14	14	16	13	17	14	16	16	16	17	17	18	20	25	27	0	1	1	2	2	2	2	2	4	6	5	6	8	9	9	8	18	7	9	15	8	15	6	16	19	20	11	11	36	17	18	19	9	22	23	8	31	23	28	31	24	37	33	28	40	42	44	44	45	41	42	51	0	1	1	1	1	2	2	1	2	2	2	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2	1	2	2	1	2	1	1	2	1	1	1	1	5	2	1
4000	-358.626752080650647	-356.749053290820711	-1.877698789829926	0.000010483400211	0.000021289235921	2.030756767051362	0.806117035528599	0	3	2	5	5	5	7	6	6	8	8	9	9	8	8	10	9	8	9	10	9	11	9	9	11	12	11	10	12	11	10	11	11	13	13	11	11	13	13	13	15	14	17	14	15	15	16	17	18	19	21	24	27	0	1	1	2	2	2	2	2	2	6	5	10	8	9	9	8	18	2	9	15	8	15	10	8	19	20	11	11	24	18	18	19	19	22	23	24	31	23	28	31	16	37	33	11	40	42	44	44	45	41	46	51	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	1	2	1	1	3	2	2	2	2	2	3	1	1	1	1	2	1	3	1	1
4500	-345.133052735362753	-343.546920501058310	-1.586132234304434	0.000011339902319	0.000014953005040	1.318618504792373	0.682650165564345	0	3	2	6	6	5	7	5	7	7	9	9	9	9	8	8	10	7	8	9	9	11	10	9	10	11	11	11	11	12	10	10	11	14	12	10	11	13	13	13	13	13	15	14	16	16	17	16	19	19	21	24	28	0	1	1	2	2	2	2	2	2	6	5	10	16	9	9	8	18	2	9	15	16	15	6	8	19	15	11	11	24	17	18	19	9	22	23	16	31	23	28	31	24	37	33	28	40	42	44	44	45	41	46	51	0	1	2	1	1	1	1	2	2	2	1	2	2	1	1	1	2	1	2	1	1	1	1	3	2	1	2	1	1	1	1	2	1	2	2	1	1	1	1	1	2	2	1	2	2	2	2	2	1	1	3	2	3	1
