step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109
1	-823.956709047467825	-830.812196998427225	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605314550841511	0	2	2	5	4	5	4	5	8	6	6	6	5	8	6	7	9	9	7	8	8	9	8	9	9	10	9	11	11	10	8	9	10	10	9	10	9	10	10	10	10	10	10	11	12	11	10	12	12	10	12	11	12	11	12	12	11	12	12	13	12	13	13	12	13	12	13	13	13	12	12	14	14	12	13	13	15	14	14	13	17	16	16	15	14	15	15	17	16	17	17	17	16	17	18	17	18	17	19	18	19	20	19	20	21	21	22	22	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	2	3	4	3	3	3	3	4	3	4	5	5	4	4	4	5	4	5	5	5	5	6	6	5	4	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	5	6	6	5	6	6	6	6	6	6	6	6	6	7	6	7	7	6	7	6	7	7	7	6	6	7	7	6	7	7	8	7	7	7	9	8	8	8	7	8	8	9	8	9	9	9	8	9	9	9	9	9	10	9	10	10	10	10	11	11	11	11	11
500	-472.811359794147904	-479.666847745107304	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.493585545300481	1	3	2	5	5	5	4	4	7	6	7	7	6	9	7	7	8	9	7	8	8	7	9	9	8	9	9	10	11	9	8	9	10	10	9	10	9	8	11	11	11	10	9	11	12	12	11	10	12	11	13	10	12	11	11	11	11	12	12	13	12	13	13	12	14	12	13	13	13	10	13	14	13	13	13	13	15	14	15	14	16	15	15	14	14	16	16	15	15	17	17	16	17	16	17	16	17	17	19	19	19	20	19	21	20	21	21	21	23	0	1	1	2	3	2	2	3	2	8	6	8	7	17	4	13	7	22	5	22	4	8	13	20	3	11	10	14	30	21	16	10	1	25	22	24	11	16	13	12	34	25	20	5	24	35	31	14	28	35	24	7	18	43	16	30	37	23	39	39	42	13	59	15	55	24	39	36	20	17	33	40	57	61	9	34	40	35	37	50	73	14	40	55	38	85	45	31	55	10	88	73	82	60	74	59	33	80	70	74	53	61	11	54	45	40	81	68	108	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	1	3	1	1	1	1	1	1	2	4	1	1	1	1	1	3	1	1	2	1	3	1	3	1	1	1	1	2	3	2	1	2	1	1	2	1	1	1	3	1	3	1	2	1	1	2	1	2	1	1	1	3	1	3	4	2	1	1	2	3	2	4	1	2	3	1	6	1	1	1	2	2	2	3	1	5	2	5	3	6	7	2	4	2	4	1
1000	-438.960174633121369	-445.815662584080769	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.695323196257790	1	2	3	5	3	5	4	6	7	7	6	5	6	9	6	8	9	8	8	9	8	9	7	8	7	10	9	11	11	10	8	8	10	11	9	10	9	9	7	11	10	10	9	10	12	11	10	12	11	9	12	11	11	10	12	12	11	12	10	14	12	13	14	11	13	12	11	13	14	13	11	14	14	12	13	13	16	15	14	13	17	15	16	16	15	15	15	17	16	16	17	17	16	17	18	18	18	16	18	15	20	20	17	20	20	21	22	23	23	0	1	1	3	2	7	5	4	6	3	2	5	12	39	4	11	16	3	13	18	15	23	4	11	2	4	24	26	44	8	13	12	4	25	12	23	8	13	13	17	16	23	13	50	59	39	16	29	35	31	49	44	18	19	18	33	54	38	11	67	36	64	66	42	17	42	17	55	18	43	38	55	56	67	71	40	55	24	55	38	87	34	34	58	62	28	51	68	72	40	78	60	10	89	77	91	82	73	45	67	87	68	72	42	66	81	95	107	91	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	3	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	3	2	2	1	1	1	1	1	2	3	1	1	1	1	3	2	1	2	1	1	1	2	1	1	4	1	1	1	2	1	3	2	1	2	1	5	2	2	2	1	3
1500	-460.949267666966136	-467.804755617925537	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667211220055068	0	2	3	6	5	6	4	5	9	7	7	7	5	9	6	7	9	9	7	8	8	10	8	8	9	10	9	11	11	8	7	8	11	10	9	10	9	10	10	11	10	9	10	11	12	12	10	12	12	10	13	11	11	12	12	12	12	11	12	13	10	13	13	12	13	12	13	14	13	10	12	13	14	13	13	13	16	12	14	12	18	16	16	14	14	15	16	15	15	16	18	18	17	17	19	16	18	16	20	18	20	20	18	19	22	21	21	23	19	0	1	1	8	2	8	2	1	10	7	2	8	2	12	13	13	5	32	8	15	7	30	6	4	10	13	16	20	14	15	5	6	16	31	10	24	5	14	37	9	24	10	23	22	43	28	20	38	33	23	40	3	70	38	38	38	17	16	38	38	11	41	18	25	41	30	33	48	78	42	11	43	28	14	40	41	65	3	44	41	88	49	29	41	48	26	53	37	76	63	96	82	71	73	57	79	68	43	81	90	12	28	2	47	22	104	97	99	81	1	1	2	1	2	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	3	1	1	1	1	1	2	2	2	1	1	1	1	3	1	1	2	1	1	1	3	1	1	1	2	3	2	1	2	3	4	1	2	1	1	2	1	4	1	1	3	1	1	4	4	7	6	3	1	2	1	1
2000	-466.099555586802182	-472.955043537761583	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.659446434756880	-1	3	1	5	4	6	4	5	8	6	6	6	5	8	6	8	10	10	7	8	7	8	8	9	9	10	9	12	11	10	9	10	9	9	9	11	9	10	10	10	9	10	10	11	11	11	11	12	13	10	12	12	12	11	12	13	10	12	12	13	13	14	14	12	14	11	14	13	12	12	9	14	15	12	13	13	15	14	14	13	15	15	16	15	14	15	15	16	16	16	17	18	15	16	18	17	18	15	20	17	19	20	19	21	20	18	23	22	22	0	3	1	3	3	3	3	2	4	13	7	7	2	4	7	10	41	7	8	21	7	12	12	23	10	11	22	34	43	6	23	10	12	12	12	9	15	31	35	24	12	41	35	71	37	23	34	39	64	37	26	2	25	31	27	8	71	22	14	57	14	70	52	35	71	32	44	46	37	41	20	55	75	57	28	22	17	51	53	32	18	76	79	51	55	51	56	28	67	21	62	84	45	74	29	28	98	72	97	62	69	95	79	41	34	79	99	103	94	1	1	1	2	2	2	1	1	2	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	3	1	1	2	2	2	1	1	2	3	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	1	2	1	1	2	3	3	3	2	1	1	1	3	1	2	7	4	2	2	2	3
2500	-495.739630105515744	-502.595118056475144	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.607759502803796	1	2	2	5	4	4	4	6	8	6	6	7	6	8	6	7	10	9	7	9	9	9	7	10	9	9	7	11	11	10	8	9	10	9	10	9	10	10	11	9	11	9	10	11	13	12	11	12	12	10	12	12	12	9	12	11	11	10	13	13	10	14	14	12	13	12	13	13	13	12	13	15	13	12	13	13	15	14	14	13	16	16	16	15	12	15	15	16	16	17	17	17	15	18	18	17	18	17	18	17	17	20	19	21	20	22	22	21	22	0	1	1	3	3	2	1	6	11	5	3	7	5	13	7	10	3	15	3	1	16	4	7	23	16	10	13	31	32	22	13	13	10	13	14	16	14	27	54	27	16	7	13	25	11	34	32	29	40	12	44	14	61	16	30	50	61	10	4	61	10	61	67	22	31	30	36	28	31	17	47	28	29	32	43	44	67	48	74	47	44	48	50	69	24	79	76	19	62	70	80	56	36	88	55	53	89	46	100	73	86	69	13	102	19	91	90	55	108	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	4	1	2	4	1	2	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	3	1	1	1	1	2	1	2	1	1	1	1	1	2	4	2	2	1	1	1	3	1	2	1	3	1	2	2	1	2	1	1	1	1	1	1	2	2	2	1	1	1	2	5	1	3	2	4	2	1	2	3	1	3	1	2	1	3	5	1	5	3	2	3	1
3000	-438.100060527037670	-444.955548477997070	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.621034719297651	0	2	3	4	4	5	4	5	7	6	6	7	6	8	6	7	9	9	7	9	7	7	8	8	9	10	9	12	12	10	8	8	10	10	10	10	8	10	10	10	11	10	9	12	12	8	10	12	13	10	13	9	11	12	12	12	10	12	13	10	13	13	13	12	14	12	14	14	12	12	13	14	14	9	13	12	15	14	14	13	17	16	16	14	13	15	14	16	16	17	16	17	15	16	19	18	19	17	19	16	18	20	20	21	20	22	22	21	21	0	1	2	2	2	2	1	7	2	7	4	8	5	4	4	8	15	21	4	46	5	1	3	6	11	6	10	27	40	19	11	4	14	43	46	37	16	52	31	23	30	5	15	33	52	21	24	60	20	52	60	10	35	19	41	53	23	4	41	2	20	6	64	41	74	43	44	56	27	25	34	76	38	22	38	47	80	58	57	53	89	41	68	76	30	66	49	6	29	67	51	71	37	72	89	73	67	86	90	44	55	88	77	24	24	83	108	97	67	1	1	1	1	1	3	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	6	1	1	2	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	3	1	1	2	1	1	1	1	1	2	1	1	3	1	1	1	3	1	3	2	4	1	1	4	1	1	1	3	1	1	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	4	2	1	2	2	3	1	1	2	2	1	1	2	2	2	2	6	4	2	1	1	3
3500	-438.544697688336896	-445.400185639296296	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.644303223043561	1	3	2	5	5	5	4	5	8	7	6	6	5	8	6	7	10	10	8	8	7	9	8	10	8	11	10	10	12	11	8	9	9	11	9	11	9	11	11	10	11	8	9	12	10	10	11	11	12	11	12	11	11	11	13	11	10	11	12	13	13	13	14	12	13	12	13	13	12	12	13	14	15	10	13	14	13	14	13	13	15	15	14	14	14	15	15	17	15	16	15	17	15	17	18	18	16	17	19	18	19	20	18	19	22	21	22	22	21	0	1	1	3	2	2	1	2	1	13	5	2	1	4	2	13	42	43	21	12	6	21	1	37	4	19	19	33	74	28	11	19	10	37	42	6	10	33	45	14	22	16	25	28	5	19	27	42	36	25	28	42	13	37	44	45	21	28	42	31	56	12	52	32	29	5	53	50	47	13	44	34	38	31	23	51	25	12	57	52	66	10	79	66	80	44	55	82	60	31	51	80	74	78	83	34	41	70	97	97	29	79	79	85	99	92	102	86	99	1	1	1	1	1	1	1	1	3	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	3	1	1	1	2	1	2	3	1	4	1	1	1	2	1	1	1	3	1	2	2	1	3	1	3	3	1	1	1	4	1	1	1	1	1	1	1	3	2	2	3	1	2	3	2	2	2	1	4	2	2	1	1	2	1	2	1
4000	-418.658172070238834	-425.513660021198234	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711398622679575	1	3	2	6	4	6	5	5	7	7	7	4	5	8	6	7	9	8	7	8	8	10	9	10	10	11	9	12	11	11	9	10	10	10	10	11	9	11	10	11	9	10	11	11	12	11	9	13	12	10	12	10	13	12	10	12	12	13	12	13	12	13	13	12	13	12	13	13	13	12	12	14	14	13	13	13	16	15	14	14	17	16	17	16	13	14	15	15	16	17	17	18	15	16	18	14	18	18	19	18	18	20	18	19	21	21	22	22	22	0	1	1	5	1	12	2	2	6	8	6	2	12	7	3	7	10	13	7	7	15	41	4	9	6	18	6	33	41	32	9	11	18	16	18	23	14	18	21	31	4	47	35	37	33	47	9	49	44	18	5	7	6	35	15	27	36	43	42	57	26	17	41	55	39	50	71	51	61	46	27	54	57	22	42	55	88	19	59	85	85	1	73	58	34	53	40	86	80	50	49	22	61	85	51	63	87	91	90	39	43	76	77	75	49	102	83	102	103	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	2	1	2	2	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	4	2	2	1	1	1	1	1	1	1	1	3	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	3	5	2	1	2	1	2	1	1	3	2	3	1	2	3	1	2	1	1	4	2	3	1	2	3	1	3	1	2
4500	-486.723126945839567	-493.578614896798967	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.527343996646872	1	3	2	5	4	5	5	6	9	7	6	7	6	8	5	7	10	9	7	8	8	10	9	9	8	9	10	10	11	10	8	10	9	11	8	10	10	10	10	10	11	8	10	10	12	11	10	13	13	10	12	10	11	11	12	12	10	13	13	13	13	13	13	12	13	12	13	14	13	11	13	15	15	11	14	11	15	12	14	13	16	16	17	16	13	15	14	17	17	15	17	17	16	15	19	17	18	17	19	18	20	21	19	20	21	20	20	22	23	0	1	1	2	3	1	5	1	4	13	4	4	6	7	3	15	33	14	6	3	13	12	11	12	6	20	10	21	18	31	16	7	20	21	15	20	35	42	42	31	24	4	24	35	50	14	16	13	74	4	37	14	9	7	7	74	12	12	46	40	44	21	78	40	42	37	76	10	50	47	26	67	85	26	10	6	26	22	21	34	12	34	42	30	19	85	37	38	77	58	73	90	53	44	77	90	92	93	80	68	18	95	36	55	6	20	98	97	84	1	1	1	1	2	2	1	3	3	1	1	1	1	2	1	2	1	1	1	4	1	2	1	1	2	1	1	1	2	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	2	2	4	1	2	4	2	3	1	1	1	1	3	1	1	3	1	1	3	1	1	1	2	3	3	1	3	1	4	2	5	2	3	1	2	4	1	2	1	1	3	3	2	1	1	1	2	2	6	2	7	4	4	5	2	2	3
