step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76
1	-474.708101469152382	-481.563589420111782	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.341626976659793	0	1	2	3	3	3	3	4	3	3	5	5	4	4	5	6	6	5	7	8	7	8	7	10	7	8	8	8	9	9	8	8	8	10	10	10	10	12	11	12	10	11	12	11	12	15	14	14	14	13	15	16	17	17	18	17	20	19	22	23	27	31	32	34	35	35	38	40	40	41	42	43	43	44	45	45	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	2	2	3	3	3	3	4	4	4	4	4	5	4	4	4	4	5	5	4	4	4	5	5	5	5	6	6	6	5	6	6	6	6	8	7	7	7	7	8	8	9	9	9	9	10	10	11	12	14	16	16	17	18	18	19	20	20	21	21	22	22	22	23	23
500	-595.486678799487891	-602.342166750447291	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.155674586251549	0	2	3	3	4	1	4	4	3	3	5	5	3	5	3	6	4	5	7	8	7	8	8	10	6	8	9	8	9	9	9	9	8	10	11	10	11	12	9	11	11	9	12	11	11	14	14	15	14	13	14	15	17	18	19	17	21	20	22	22	25	29	30	33	35	36	38	40	40	42	42	43	42	45	44	46	0	1	6	6	6	1	6	6	6	6	4	1	6	1	2	4	15	6	8	6	1	9	7	23	15	1	18	13	7	21	1	15	12	33	6	2	1	7	28	29	1	3	34	15	30	6	38	22	16	10	37	38	18	53	53	38	6	43	42	56	28	41	30	0	9	45	50	1	1	56	43	1	7	61	50	29	1	2	1	1	2	1	2	2	1	1	1	2	1	2	1	1	1	1	2	3	3	3	2	1	2	4	2	2	2	1	4	2	2	1	5	3	6	5	1	2	4	2	1	5	1	5	1	3	5	5	2	1	7	1	1	3	9	4	8	2	7	11	10	1	15	15	14	21	20	15	14	24	19	12	18	24
1000	-615.206022828302707	-622.061510779262107	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.222720622979364	0	1	2	3	3	2	3	5	3	3	4	5	5	4	6	7	7	5	7	8	7	8	8	10	7	7	9	7	9	9	8	8	8	11	9	11	11	11	11	12	10	10	12	10	13	15	14	14	14	13	14	17	17	17	18	17	20	17	23	23	27	30	33	34	36	36	39	39	41	41	42	44	43	43	45	46	0	1	1	6	6	1	1	1	2	6	10	7	6	10	14	3	6	1	1	15	8	6	1	20	7	1	25	18	9	32	10	6	3	12	1	1	31	19	15	14	1	22	30	1	29	34	42	33	16	24	3	30	34	44	25	15	11	40	53	54	18	22	32	0	2	6	62	8	1	53	15	8	6	8	53	53	1	1	1	1	1	1	1	3	2	1	1	1	2	1	1	2	2	3	4	1	1	3	4	1	3	4	1	1	3	1	3	3	3	3	5	5	2	3	2	4	5	1	2	5	2	2	3	3	4	1	6	5	3	2	5	6	8	3	3	2	10	11	11	1	14	13	7	20	22	11	10	21	11	12	15	18
1500	-601.962907651792648	-608.818395602752048	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.223243426235004	1	2	3	3	3	4	4	4	3	3	6	5	5	4	5	5	6	5	7	9	8	8	6	10	7	7	7	7	9	8	9	8	8	11	10	10	11	11	9	13	10	12	12	11	12	16	14	14	15	13	15	17	16	18	17	17	19	19	22	23	27	31	32	33	35	36	38	40	40	42	42	44	44	42	46	46	0	1	1	1	1	1	9	5	1	1	12	14	6	1	2	14	1	6	10	1	1	16	14	4	17	1	15	1	8	16	13	1	28	24	28	39	15	12	3	10	32	22	19	39	35	38	45	37	21	20	42	28	36	42	49	43	1	37	39	43	56	12	31	0	28	1	60	57	58	21	52	1	65	52	39	51	1	1	1	1	2	1	1	1	1	1	1	1	1	3	2	1	3	1	3	4	3	2	1	4	1	4	1	5	2	1	1	4	1	1	2	1	3	3	3	3	1	3	3	1	2	4	1	1	4	2	1	6	2	3	1	3	9	4	9	6	5	16	11	1	13	21	11	11	15	16	14	24	8	11	20	21
2000	-522.367600327429159	-529.223088278388559	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.260947304160619	0	2	3	4	3	3	3	5	4	3	5	4	5	4	5	7	6	5	5	7	7	7	6	11	7	7	8	8	10	8	8	7	9	10	8	10	11	12	11	13	11	10	13	12	12	15	15	14	13	14	15	16	17	16	18	16	20	19	22	23	26	32	31	34	35	36	38	37	40	42	43	42	44	44	44	45	0	1	2	1	1	1	2	10	1	1	7	1	4	1	10	15	6	1	1	1	1	1	6	17	6	8	12	32	33	17	11	1	20	18	4	35	6	18	36	42	32	6	38	1	6	36	22	42	8	38	29	34	50	50	36	45	1	4	45	22	43	58	58	0	34	1	45	6	1	27	45	1	53	66	50	1	1	1	1	2	1	3	1	1	2	1	1	2	1	2	1	1	2	3	1	4	2	4	2	3	2	1	3	1	1	1	2	5	1	2	2	1	5	2	1	3	2	4	1	5	5	3	5	2	4	1	2	3	2	1	3	2	10	7	7	8	5	6	5	1	14	23	13	8	20	14	8	20	12	4	14	16
2500	-652.157310871806089	-659.012798822765490	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.245911434300532	0	1	2	3	3	4	3	4	2	4	4	6	4	5	5	6	6	3	8	9	6	8	7	11	7	8	9	8	10	8	7	8	7	10	9	9	10	11	12	11	11	11	12	11	11	14	15	13	14	14	15	16	18	16	18	18	20	19	23	23	28	31	33	33	33	36	35	40	40	42	42	44	42	43	46	46	0	1	1	1	1	1	9	7	1	1	3	8	1	7	11	13	6	1	1	8	8	1	5	10	6	1	15	11	13	25	4	1	8	30	12	10	16	2	32	15	37	35	44	7	31	16	48	8	34	34	43	40	28	39	39	36	8	54	49	29	6	1	57	0	39	1	8	64	8	61	64	49	6	68	39	64	1	1	1	2	1	1	1	1	1	3	1	2	2	1	1	1	2	1	4	2	1	5	2	3	2	4	3	2	4	1	2	6	2	1	1	4	2	6	2	2	1	1	1	4	2	4	1	6	2	2	2	2	6	2	3	6	7	2	5	6	9	12	6	1	10	19	8	2	22	7	5	15	19	2	20	8
3000	-520.740847007574189	-527.596334958533589	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.266853023339674	0	2	2	3	1	2	4	5	3	4	5	6	4	3	6	7	6	5	8	8	7	8	6	10	7	9	9	8	10	9	8	8	7	10	9	11	10	12	10	12	11	12	11	11	13	14	12	13	14	14	15	16	17	16	19	17	20	20	21	21	27	30	33	34	36	35	38	40	39	41	43	43	43	45	45	46	0	1	1	1	1	1	5	6	1	1	14	6	6	3	18	8	1	6	10	1	1	6	5	28	1	1	17	12	28	23	6	23	12	15	6	6	1	16	20	19	16	35	24	27	36	36	29	29	42	33	37	11	15	49	50	50	7	56	8	37	48	59	4	0	4	51	62	67	60	65	67	8	1	68	59	67	1	1	2	2	1	1	2	1	3	2	1	2	1	1	1	1	4	2	2	5	4	3	3	1	3	5	1	1	1	1	4	1	1	3	3	4	4	4	1	2	2	2	1	2	1	1	2	2	1	3	3	5	6	1	2	1	7	1	5	7	7	5	12	1	15	10	6	2	10	2	3	13	14	3	12	5
3500	-624.201240458107236	-631.056728409066636	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.333926189664238	0	1	2	2	2	3	3	4	4	4	5	6	3	5	5	6	6	5	8	9	7	8	7	11	7	9	8	9	10	9	7	8	8	11	10	9	10	12	12	10	11	12	11	11	12	15	14	13	14	13	15	16	17	17	17	14	19	19	22	23	27	28	32	31	35	35	37	41	41	41	43	44	42	44	45	45	0	1	1	1	1	5	3	5	1	6	3	7	1	1	5	10	7	1	23	7	6	7	7	30	11	7	18	21	6	22	7	7	13	28	11	31	28	34	26	19	11	27	5	6	19	41	37	37	45	30	56	15	45	6	36	7	24	50	54	31	60	49	29	0	33	6	62	64	64	60	67	67	54	68	66	68	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	1	1	3	1	4	2	3	3	1	2	3	1	2	4	1	3	3	3	1	3	1	1	1	2	1	3	2	5	3	3	2	1	1	1	3	1	4	2	10	4	3	4	3	2	7	2	8	9	1	15	16	6	4	8	7	3	5	15	2	5	2
4000	-495.853528046219537	-502.709015997178938	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.355444331051795	0	2	2	3	4	4	4	4	2	3	6	6	4	3	5	7	5	6	7	7	7	9	7	10	7	8	8	8	9	9	9	8	9	10	11	10	11	12	12	11	11	11	10	11	12	15	13	15	12	12	15	16	17	17	19	18	20	18	22	23	25	30	31	34	33	36	38	40	40	42	41	43	43	43	46	45	0	1	1	1	10	3	2	4	1	1	8	1	3	3	5	11	1	10	10	12	1	16	6	25	18	11	19	25	25	2	1	6	32	25	29	26	22	24	24	8	7	22	28	12	29	41	49	43	20	34	2	25	48	22	34	38	6	54	55	55	60	61	37	0	52	60	64	67	64	66	67	71	51	71	71	71	1	1	1	2	1	1	1	1	1	2	1	3	1	1	1	1	3	2	1	1	3	1	2	2	1	1	1	1	1	4	5	2	1	2	1	1	1	1	1	4	2	1	1	2	2	2	1	3	2	1	7	5	1	3	4	3	8	1	2	2	1	3	9	1	6	9	2	2	4	3	2	1	13	1	2	3
4500	-421.331837980871342	-428.187325931830742	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.445389513297464	-1	1	2	4	1	2	3	4	2	4	6	6	4	3	5	5	6	6	5	7	7	9	7	11	7	7	8	8	9	10	7	7	8	11	10	9	10	11	11	11	7	10	12	11	12	14	14	15	14	13	16	15	18	18	19	16	20	20	22	23	27	30	33	34	35	35	38	39	39	41	41	43	43	45	46	45	0	1	1	2	1	1	5	9	1	1	9	16	1	1	9	14	1	1	6	2	15	2	1	8	11	7	25	18	26	3	15	7	12	21	10	12	31	23	7	10	6	22	16	22	34	36	22	38	35	27	33	34	43	49	34	42	15	55	55	57	58	59	49	0	59	1	64	67	64	68	67	69	67	73	72	71	1	1	2	1	1	2	1	1	2	3	2	1	2	2	2	1	3	4	2	2	1	5	4	3	1	2	1	1	1	5	1	2	1	2	2	2	2	1	3	3	3	1	3	1	1	3	3	2	2	2	4	1	3	2	3	3	6	1	2	2	3	3	7	1	7	18	2	1	3	1	2	2	3	1	1	2
