step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114
1	-3048.541702716755026	-3047.079620632236129	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.103037671966695	3	1	4	3	4	4	3	3	4	3	5	4	4	5	4	4	4	4	5	5	5	5	6	5	5	5	5	5	5	8	6	6	6	6	6	6	6	6	7	10	7	7	8	8	7	8	7	10	8	9	9	8	8	8	8	8	9	9	9	10	10	9	12	9	9	9	9	9	9	9	9	10	10	11	10	11	10	12	10	10	11	11	10	11	11	12	11	13	11	12	11	11	11	12	12	13	12	13	15	13	13	13	13	13	13	13	14	13	15	15	17	17	17	18	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	3	3	2	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	6	4	4	4	4	4	4	4	4	5	7	5	5	6	6	5	6	5	7	6	6	6	6	6	6	6	6	6	6	6	7	7	6	8	6	6	6	6	6	6	6	6	7	7	8	7	8	7	8	7	7	8	8	7	8	8	8	8	9	8	8	8	8	8	8	8	9	8	9	11	9	9	9	9	9	9	9	10	9	11	11	12	12	12	13
500	-1113.499697770729881	-1111.394735556327078	-2.104962214402772	0.000009970415147	0.000026103009987	2.618046450534181	0.290363903686958	3	1	4	2	4	4	2	3	4	3	5	4	2	5	4	2	3	4	4	5	5	5	6	4	4	5	5	5	5	8	6	5	6	6	6	6	6	5	7	10	6	7	8	8	7	5	6	10	8	8	9	8	8	8	8	8	9	9	9	10	10	9	12	9	9	7	7	9	9	9	9	9	10	11	10	11	10	12	10	10	11	11	10	11	11	12	11	13	11	12	11	11	11	12	12	13	12	12	15	13	13	13	13	13	13	13	14	13	15	15	17	16	17	17	7	0	1	2	13	16	2	7	4	4	2	4	2	13	13	2	7	8	10	3	12	13	22	13	17	8	8	19	19	7	3	7	20	2	24	25	26	8	24	24	19	32	33	24	24	25	38	33	36	37	42	33	20	35	45	36	47	11	35	38	33	33	49	36	50	37	24	55	36	46	56	46	26	37	20	20	72	36	36	37	37	46	46	62	55	45	62	71	25	75	72	25	37	33	37	50	55	71	30	69	52	45	85	80	55	55	82	25	45	64	11	82	45	55	1	1	1	1	2	2	1	1	2	1	2	2	1	3	2	1	1	1	1	1	1	3	1	2	1	2	1	1	1	4	2	3	1	4	2	2	1	2	3	6	2	2	2	4	2	1	1	4	2	2	2	2	3	1	1	1	3	4	2	5	2	3	2	3	1	1	3	1	3	4	1	4	5	4	5	4	1	5	3	4	3	6	5	2	2	4	2	3	6	2	2	4	5	6	6	4	4	2	6	3	5	6	2	3	5	4	3	7	7	6	10	5	10	7
1000	-864.119267269277998	-861.903812604686095	-2.215454664591858	0.000009919742395	0.000028969780688	2.920416633230734	0.444916286633060	3	1	4	2	3	4	2	3	4	3	5	4	2	4	4	2	3	4	4	3	5	5	6	5	4	5	5	5	5	7	6	6	5	6	6	6	6	6	7	10	6	7	7	8	7	5	7	8	8	8	9	5	8	8	8	8	8	8	9	10	7	9	12	8	9	9	9	9	9	9	9	10	10	11	10	11	10	12	9	10	11	11	10	11	11	12	10	13	11	12	11	11	10	12	12	13	12	11	15	10	13	13	13	13	13	13	14	13	14	15	17	17	17	17	7	0	7	2	13	16	2	7	4	4	2	4	2	13	13	2	7	8	10	2	9	5	22	5	17	8	8	9	19	11	3	20	20	20	24	25	26	8	24	24	19	32	52	35	35	25	38	61	36	37	42	20	52	35	45	46	47	30	45	47	33	48	77	36	50	50	54	55	46	36	56	49	26	50	20	62	49	36	64	66	37	46	36	48	55	59	62	71	46	75	77	79	37	62	37	95	68	71	92	69	84	55	68	95	55	85	88	25	55	79	66	88	55	106	1	1	2	1	1	2	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	2	3	2	3	1	2	1	2	1	4	2	1	1	2	1	1	1	1	2	2	2	1	2	2	1	2	1	1	2	3	2	1	2	2	1	1	1	1	4	2	1	2	5	2	5	2	1	4	1	1	4	6	4	1	2	2	1	2	6	2	1	2	3	3	6	1	3	2	4	1	2	5	2	1	3	2	1	8	5	5	8	1	5	4
1500	-713.669514844439277	-711.924022828444436	-1.745492015994790	0.000009932598062	0.000016940515044	1.705547223328295	0.584677327577447	3	1	4	2	4	4	2	3	4	3	5	4	2	5	4	2	3	4	4	4	5	3	5	5	4	5	5	5	5	5	5	6	6	6	6	6	6	5	7	10	7	7	8	8	7	5	7	8	8	8	8	7	8	8	8	8	9	6	9	9	10	9	12	8	9	9	9	9	8	9	9	8	10	10	10	11	10	9	9	10	11	11	10	10	11	11	11	13	10	12	11	11	11	12	12	13	12	13	15	13	13	13	13	13	13	13	14	12	15	15	17	17	17	18	7	0	7	2	13	16	2	7	4	4	2	4	2	22	22	2	7	8	10	2	9	13	5	15	17	18	18	19	19	2	17	20	20	20	24	46	26	8	24	39	19	32	33	35	35	25	38	33	36	37	42	33	52	35	45	36	47	30	45	47	48	48	77	36	50	50	54	55	46	46	56	36	37	50	62	62	49	72	64	66	50	36	70	48	45	59	62	71	46	75	77	79	80	76	37	95	68	71	108	70	84	85	55	95	97	97	98	79	97	79	104	107	105	109	1	1	1	1	2	2	1	1	2	1	4	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	1	2	2	1	1	2	1	2	2	1	1	1	2	1	2	2	1	2	2	2	1	1	2	1	1	1	1	3	3	1	2	4	2	1	2	2	1	1	1	3	4	1	2	2	2	2	3	5	2	1	2	1	1	5	1	3	2	2	3	2	2	4	1	1	1	1	2	2	4	3	2	1	3
2000	-634.620228917011104	-632.780156291499452	-1.840072625511637	0.000009921175664	0.000019219915693	1.937261907677182	0.682083417894063	3	1	4	2	4	4	2	3	4	3	5	4	2	5	3	3	4	4	4	4	5	5	6	4	5	5	5	5	5	8	6	6	6	6	6	6	6	6	7	10	7	7	8	8	7	7	7	8	8	8	9	7	7	8	8	8	8	9	9	10	9	9	12	8	9	9	9	9	9	9	9	9	10	10	10	11	10	12	9	10	11	11	10	11	11	12	11	13	11	12	11	11	11	12	12	13	12	12	15	11	13	13	12	13	13	13	14	13	15	15	16	16	16	18	7	0	7	2	13	16	2	7	4	4	1	10	2	15	13	2	7	8	10	2	4	13	14	13	17	18	8	19	19	1	3	20	20	20	24	25	26	27	24	39	19	32	52	35	35	36	38	20	36	37	42	33	33	35	45	46	47	11	45	47	48	48	77	36	50	50	54	55	56	56	56	49	37	50	48	62	49	77	64	66	66	69	70	48	68	59	62	71	49	75	77	79	80	62	74	80	85	71	108	70	84	103	68	95	97	97	88	79	106	108	104	107	109	113	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	3	2	3	1	2	1	1	2	1	1	3	2	2	2	2	1	1	1	1	2	1	2	1	1	2	1	1	1	4	2	2	2	1	1	2	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	3	1	2	2	1	2	1	1	1	1	1	3	2	2	2	3	3	2	1	2	1	1	2	2	1	3	2	2	2	1	2	1	1	1	1	1	2	2	3	2	1	2
2500	-608.651306922556273	-606.431815477651980	-2.219491444904343	0.000010085243586	0.000029566875744	2.931696739953329	0.684623766553316	3	1	4	2	4	4	2	3	4	3	5	4	2	3	4	2	4	4	4	5	5	3	6	5	5	5	5	5	5	8	6	6	6	6	6	6	6	6	6	10	7	7	8	8	7	7	7	8	8	8	9	7	8	8	8	8	9	9	9	10	10	9	11	9	9	9	9	9	9	9	9	10	10	11	10	11	10	12	10	10	11	10	10	10	11	11	11	13	11	12	11	11	11	11	11	12	12	13	14	11	13	13	13	13	13	13	14	13	14	14	16	14	16	18	7	0	1	2	13	16	2	7	4	4	2	4	2	13	14	2	7	8	10	2	12	13	5	22	17	8	18	12	19	1	17	20	20	20	24	25	26	8	24	39	10	32	52	35	35	36	38	33	36	37	42	33	52	35	45	46	47	30	45	47	48	48	77	49	50	50	54	55	56	56	56	49	50	37	62	62	49	77	64	66	66	69	70	48	55	59	48	71	49	75	77	79	80	62	80	80	85	71	108	70	84	85	68	95	97	97	98	92	106	108	104	98	109	113	1	1	1	1	2	2	1	1	2	1	2	2	1	1	1	1	2	1	1	4	1	1	2	2	1	2	1	1	1	3	2	1	1	1	1	1	1	2	1	3	3	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	2	3	2	3	3	2	1	1	1	1	1	1	2	1	2	1	2	2	2	2	2	1	1	1	1	1	1	3	1	2	2
3000	-613.206184445316580	-611.211116391573341	-1.995068053743243	0.000010056582592	0.000023419245660	2.328747906670821	0.663336565411880	3	1	3	2	4	4	2	3	4	3	3	4	2	4	4	3	4	4	4	4	5	5	6	5	5	4	5	5	5	8	6	6	6	6	6	6	5	6	7	10	7	7	8	7	7	7	7	8	8	8	9	7	8	8	8	8	9	9	9	10	9	9	11	9	9	9	9	9	9	9	9	10	10	8	10	9	10	12	10	10	11	11	10	11	11	12	9	13	11	12	11	11	11	11	11	13	12	13	15	12	13	13	13	13	13	13	14	13	15	14	17	17	16	18	7	0	7	2	13	16	2	7	4	4	7	4	2	13	13	2	3	8	10	2	12	13	15	5	17	8	18	19	19	11	17	20	20	20	24	25	26	18	24	24	12	32	52	35	35	36	38	33	36	37	42	33	52	44	45	46	47	30	45	47	48	48	77	49	50	37	54	55	56	56	56	49	50	37	62	48	49	63	64	66	66	69	70	48	68	59	33	71	49	75	77	79	80	62	80	93	68	71	108	70	84	85	85	95	97	97	88	92	105	108	104	98	109	113	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	2	1	1	1	2	1	2	2	1	1	1	1	1	1	3	2	2	1	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	1	1	2	1	2	2	2	2	3	2	2	1	2	1	1	1	1	2	1	3	3	1	2
3500	-603.568778128344320	-601.857744059820334	-1.711034068523934	0.000010386104258	0.000016845701909	1.621946159051165	0.790106893887947	3	1	4	2	4	4	2	3	4	3	3	3	3	4	4	3	4	4	4	4	5	5	6	4	5	5	5	5	5	7	6	6	6	5	6	6	6	6	7	9	6	7	8	8	7	7	7	7	8	8	9	7	8	8	8	8	9	9	9	9	10	9	11	9	9	9	9	9	9	9	9	10	10	11	10	11	10	12	10	9	11	11	10	11	11	12	11	11	11	12	11	11	11	11	11	13	12	13	14	12	13	13	13	13	13	13	14	13	14	15	17	17	16	16	7	0	7	2	13	16	2	7	12	4	2	4	2	13	13	2	7	8	10	1	9	15	22	13	17	8	8	19	19	2	17	20	20	20	24	25	26	27	14	39	19	32	52	35	35	36	38	33	36	37	42	33	52	35	45	46	47	30	45	47	48	48	77	49	50	50	54	55	56	56	56	49	50	50	48	62	49	63	64	50	50	56	70	75	55	59	62	71	72	75	77	79	80	75	80	93	85	71	108	70	84	85	85	95	97	97	98	92	105	108	104	107	109	109	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	5	2	2	2	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	1	1	1	1	2	1	1	1	2	3	1	2	1	2	1	1	1	1	2	2	1	2	1	3	2	2	2	2	1	1	1	1	1	2	2	2	2	2
4000	-609.419184495698687	-607.633184209686192	-1.786000286012525	0.000011677256106	0.000021069239056	1.804297076746044	0.653510227438396	3	1	4	2	4	4	2	3	3	3	3	4	2	5	4	3	4	4	4	4	5	5	6	5	5	5	5	5	5	7	6	6	6	6	6	6	6	6	7	10	7	7	8	8	7	7	7	8	8	8	9	7	8	8	8	8	9	9	8	8	10	9	11	9	9	9	9	9	9	9	9	9	10	11	10	11	10	12	10	9	11	11	10	11	10	12	10	12	11	12	11	11	11	11	12	13	12	13	15	13	13	13	12	13	13	13	14	13	15	15	17	17	17	18	7	0	7	2	13	16	2	7	4	4	2	9	2	13	13	7	11	8	10	11	9	15	13	5	11	8	8	19	19	7	5	20	20	20	24	25	26	18	24	39	19	32	52	35	35	36	38	33	36	37	42	33	52	35	45	46	60	2	45	47	48	48	77	49	50	50	44	55	56	56	56	49	50	66	62	62	49	63	64	50	66	56	70	61	55	59	62	56	49	75	77	79	80	62	80	95	85	71	108	70	84	85	55	95	97	97	88	92	105	108	104	107	105	109	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	4	1	2	2	2	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	2	1	1	1	5	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	3	1	1	2	3	1	3	3	2	1	1	2	2	2	1	2	2	2	3	2	2	3	1	1	1	2	1	2	2	3	2	2	2
4500	-593.337823037534008	-591.681304507126811	-1.656518530407204	0.000013507229396	0.000020125440632	1.489975482195186	0.572371251380744	3	1	4	2	3	4	2	3	3	3	3	4	2	5	4	3	4	4	4	5	5	5	6	4	5	5	5	5	5	8	5	6	6	6	6	6	6	6	7	10	6	7	8	8	7	7	7	8	8	8	9	7	8	8	8	8	9	8	9	10	10	9	11	9	9	9	9	9	9	9	9	10	9	11	9	11	9	12	10	9	11	11	10	11	11	12	11	12	11	11	11	11	11	11	12	13	11	13	15	13	13	13	13	13	12	13	14	12	15	15	17	16	17	18	7	0	7	2	13	16	2	7	4	4	2	9	2	13	13	7	7	8	10	2	4	5	5	13	17	18	8	19	19	11	17	20	20	20	22	25	26	8	24	14	29	32	52	35	35	36	38	33	36	37	42	33	52	35	45	46	47	11	45	47	48	48	77	49	50	50	54	55	56	56	56	49	50	50	48	62	49	63	64	50	66	69	70	48	55	59	62	71	72	75	77	79	80	62	80	93	55	71	108	70	84	85	55	95	85	97	88	92	105	108	104	107	106	109	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	2	3	2	3	2	1	1	2	1	1	3	1	1	1	1	1	1	1	2	2	4	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	3	1	2	1	1	1	1	2	2	1	2	2	2	2	3	1	1	2	1	2	2	2	2	2	2	2	2	2	2	4	1	1	2	2	1	2	3	3	2	4	2
