step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90
1	-1132.202880646742187	-1141.253724027193584	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.923044872173019	1	1	8	19	11	12	18	31	26	23	19	22	20	30	22	21	34	24	23	35	27	24	26	31	30	29	23	38	35	30	24	28	27	35	30	30	28	28	38	33	33	35	32	36	38	35	36	42	37	35	33	35	36	39	32	40	33	33	38	33	44	43	42	47	40	41	40	41	39	45	39	40	40	44	44	44	43	45	45	43	45	54	47	45	54	51	56	49	54	64	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-479.380105014647597	-488.430948395098937	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996618886397262	3	-6	10	19	4	12	18	32	15	25	19	25	12	24	20	20	37	19	23	32	28	26	26	27	23	31	16	34	37	28	25	28	23	31	19	26	32	24	36	33	26	26	33	34	35	33	31	41	36	21	27	38	33	43	29	36	30	26	33	31	32	42	43	49	39	38	42	40	30	41	39	42	28	36	42	42	42	40	48	42	45	53	45	44	55	49	57	51	44	60	2	0	1	5	2	3	13	18	5	27	9	33	1	11	13	6	38	3	35	32	19	16	6	14	15	58	1	33	58	16	18	35	4	12	9	50	31	18	47	24	4	14	31	50	61	34	21	29	20	9	11	51	69	34	12	46	19	18	31	22	41	74	52	37	26	57	15	45	51	52	55	45	31	46	44	29	24	55	78	17	74	66	48	72	79	63	64	65	34	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-461.763592139307377	-470.814435519758717	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999438677822102	-1	-6	9	20	14	6	12	25	23	20	12	16	21	32	24	19	35	18	26	34	26	25	30	31	31	25	22	31	35	32	26	28	21	35	30	26	29	27	40	35	35	34	35	32	38	30	32	42	40	35	28	33	39	41	35	29	31	35	34	32	44	38	38	46	25	38	43	36	39	41	41	29	41	43	42	43	45	49	39	36	42	50	43	41	51	38	52	43	54	57	2	0	1	18	3	1	6	33	16	11	6	11	7	56	5	5	24	7	16	35	9	4	26	65	4	10	11	27	65	72	4	33	7	32	22	18	33	26	17	23	14	4	8	21	25	33	13	66	58	14	21	13	17	38	57	10	19	56	72	15	59	42	27	42	18	57	20	23	19	86	80	15	60	17	45	43	53	81	17	31	34	39	55	14	39	47	73	69	78	53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-473.712556437660794	-482.763399818112134	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972030627933235	3	-4	6	15	14	11	22	28	21	25	20	13	19	30	21	14	34	28	22	28	26	23	20	28	33	25	25	39	27	30	24	26	22	33	32	29	29	24	41	27	35	37	32	35	38	33	37	43	35	36	27	34	32	35	35	42	22	34	34	33	40	46	40	44	34	36	42	41	41	44	41	38	38	36	38	43	42	38	45	40	44	50	49	36	58	50	49	44	51	54	2	0	2	6	3	1	5	12	16	38	16	1	6	9	4	1	30	21	5	21	12	16	4	21	14	11	6	18	33	31	3	31	11	30	36	21	57	11	65	9	32	37	33	29	31	33	40	66	60	32	9	20	40	37	33	44	5	30	21	40	22	61	14	28	29	20	46	37	28	61	49	14	37	18	53	74	17	43	67	43	63	69	66	32	90	56	72	58	64	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-465.876004106560401	-474.926847487011742	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992530090267793	4	-1	6	22	15	13	20	20	23	17	22	15	19	31	16	20	35	25	18	33	28	24	14	29	32	26	26	38	27	31	24	32	28	35	31	29	23	23	37	29	33	35	33	37	36	27	36	41	36	31	30	37	32	38	33	42	26	33	33	36	37	41	41	49	39	39	42	43	35	45	40	39	37	40	44	45	38	41	31	46	39	53	47	43	46	51	57	47	53	63	2	0	1	10	3	3	23	10	10	23	16	3	6	13	3	3	33	22	3	21	4	5	1	57	27	4	7	40	13	4	10	19	37	24	9	18	3	15	21	9	16	19	38	59	25	38	40	42	24	38	33	35	4	40	33	60	4	24	21	7	55	49	58	63	14	20	81	52	40	45	36	32	41	51	56	46	41	60	33	71	20	88	32	71	20	88	64	65	84	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-476.054789049624787	-485.105632430076128	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.968024461466010	3	-1	7	21	10	14	18	25	28	19	19	14	19	22	25	19	32	26	21	26	27	17	25	26	32	26	22	36	32	29	24	31	24	28	24	31	30	13	35	33	32	31	28	39	36	32	27	37	39	38	31	34	23	42	32	38	34	32	28	33	44	32	41	47	39	41	30	45	43	45	36	41	40	35	38	39	40	42	43	39	42	46	43	43	53	46	47	50	51	65	2	0	1	5	2	5	6	7	24	22	12	1	38	6	6	5	12	6	6	16	31	3	16	10	59	14	7	40	21	27	19	3	12	27	7	20	47	3	24	9	24	8	53	37	60	59	26	40	42	28	30	23	7	40	26	36	42	15	14	53	56	18	60	44	17	47	53	63	40	71	14	50	74	53	36	41	25	39	39	32	37	74	55	71	86	28	63	63	64	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-449.942980313829992	-458.993823694281332	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.975299456057766	5	-1	11	19	14	10	19	31	23	19	18	23	23	16	21	17	25	22	21	36	31	25	26	35	28	29	22	41	35	26	22	27	29	33	31	31	26	28	38	31	36	29	30	38	39	35	36	42	40	38	34	36	31	40	30	43	34	33	38	30	42	44	39	44	39	41	37	35	32	45	41	34	37	43	37	44	42	47	45	36	45	51	43	46	55	53	52	46	51	65	2	0	1	6	3	2	14	31	3	3	3	4	7	6	3	3	7	10	16	22	30	16	15	14	9	37	7	24	33	9	5	31	9	13	5	17	27	19	60	30	57	16	4	69	42	53	37	80	29	25	42	40	22	33	22	51	60	43	36	27	39	57	67	43	60	43	35	30	11	66	45	25	53	29	33	44	59	45	51	8	75	76	34	77	88	84	64	28	71	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-462.716427545644194	-471.767270926095534	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990586631621980	2	-7	3	19	11	8	18	29	26	21	21	26	18	28	24	15	35	24	16	35	26	25	22	32	33	33	17	36	37	31	20	30	24	30	32	25	24	31	40	34	27	37	31	34	33	31	36	39	28	35	28	32	35	40	31	36	25	33	41	30	36	40	40	44	40	32	38	40	39	41	33	39	38	41	45	35	43	35	44	45	39	49	46	44	53	51	43	45	55	52	2	0	2	6	1	1	16	10	31	16	6	10	16	23	31	5	32	13	5	24	11	10	31	18	32	36	6	24	44	9	5	41	7	22	49	13	10	21	53	51	19	58	37	38	32	49	43	33	7	34	16	41	34	17	49	25	4	33	25	31	26	76	76	10	53	18	12	50	61	69	41	58	44	58	48	41	55	66	67	74	30	84	59	62	59	29	38	78	63	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-445.513563485459997	-454.564406865911337	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995781195492959	1	-1	5	21	12	12	19	30	20	26	22	22	18	23	23	18	38	21	23	27	27	17	27	28	30	31	24	40	26	28	25	28	23	38	31	28	27	30	36	35	31	30	32	37	35	37	31	38	30	35	34	35	35	41	32	41	31	29	40	34	29	36	43	45	41	39	38	42	35	45	36	36	32	47	43	45	41	41	48	41	44	45	46	48	48	50	60	37	55	63	2	0	1	22	3	3	5	27	6	13	22	16	5	22	7	6	38	16	16	11	14	5	13	19	11	12	19	38	19	15	6	12	7	69	7	18	15	27	35	30	27	12	23	30	42	47	23	73	4	25	73	24	25	45	27	40	27	29	51	49	15	37	88	65	44	60	47	49	30	44	30	61	36	65	44	78	67	67	81	71	62	46	80	80	48	83	79	57	28	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-449.601897316303507	-458.652740696754847	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998156454455886	3	-1	10	16	13	9	16	31	24	25	19	24	18	30	24	23	31	20	26	30	25	27	27	32	28	23	23	28	33	32	20	28	19	36	29	25	25	29	39	36	26	39	29	27	36	35	39	37	34	37	29	33	25	40	30	35	30	33	36	36	45	39	39	46	32	43	32	39	37	44	40	42	34	34	44	38	45	45	46	43	48	50	45	44	57	48	54	42	49	58	2	0	1	3	1	1	5	19	4	13	4	33	1	9	7	7	36	5	13	21	31	15	33	26	4	4	7	9	51	21	4	10	4	43	27	16	11	26	14	53	31	67	18	13	55	57	20	28	8	24	19	20	18	24	26	44	22	55	30	8	50	56	43	68	26	42	15	32	28	74	74	14	9	15	40	35	72	42	62	34	76	66	40	8	83	68	88	50	68	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
