step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82
1	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.905803914022088	-2	3	6	9	12	18	32	20	30	22	30	30	32	27	25	30	28	28	32	36	31	41	39	40	53	41	41	41	46	44	42	39	43	43	43	49	43	46	46	49	50	49	52	48	46	47	50	48	54	52	61	51	53	53	56	65	57	56	54	59	56	66	61	73	64	76	79	70	79	75	81	79	79	89	101	87	98	93	92	95	95	98	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-416.263280337667311	-425.314123718118651	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992350441724773	-3	4	8	11	15	15	23	19	29	25	28	31	35	24	23	29	29	27	34	35	32	40	38	44	48	42	39	43	44	40	41	36	40	41	44	46	34	49	45	52	51	46	51	39	43	44	49	50	54	51	59	50	56	48	51	65	53	59	54	61	58	68	64	72	64	74	80	65	82	75	78	76	82	86	93	81	94	91	94	86	88	94	0	1	2	2	3	2	4	6	7	6	10	5	9	2	8	7	14	15	14	12	14	10	9	16	27	17	17	18	34	32	13	18	19	12	21	13	7	39	31	25	39	32	24	37	20	31	26	22	26	24	53	45	50	44	26	58	47	47	25	48	41	60	60	63	61	58	68	59	72	62	62	62	66	67	74	66	76	69	80	73	73	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-445.146544938344164	-454.197388318795504	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995603463206881	-1	6	4	10	9	19	33	23	31	18	32	32	27	15	22	28	28	26	31	37	32	40	38	42	55	41	38	29	44	46	38	38	34	47	45	51	43	43	40	49	47	49	52	39	44	48	47	48	54	49	48	53	52	52	54	66	56	58	51	54	57	55	56	59	49	74	81	72	80	76	83	73	79	88	86	86	89	96	88	88	95	93	0	1	1	2	1	4	15	6	8	2	16	18	15	4	14	14	6	6	28	28	16	9	7	23	31	32	28	8	27	21	12	15	15	32	44	30	23	44	28	38	39	38	42	19	21	29	45	37	51	45	23	44	31	32	40	43	34	52	41	42	52	41	46	30	47	30	70	55	72	61	56	61	70	69	70	70	71	77	72	69	73	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-458.914444011621185	-467.965287392072526	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998635777029536	0	5	9	7	12	18	28	21	27	18	33	31	34	11	27	33	30	24	34	36	31	38	35	37	49	14	34	43	45	41	36	24	35	41	45	41	39	44	40	39	52	49	54	45	43	43	44	50	55	47	54	43	55	46	51	67	52	53	50	60	59	64	63	72	61	79	68	72	79	74	80	82	83	87	96	78	86	90	84	87	94	95	0	1	1	1	2	5	18	6	6	14	18	18	32	2	32	7	18	6	7	19	1	19	16	13	28	2	8	40	33	11	9	26	12	33	45	16	20	27	13	20	46	45	46	39	20	17	9	35	34	20	44	17	27	12	52	43	28	59	24	44	58	41	51	56	53	68	53	49	70	65	67	70	76	76	79	70	72	76	69	69	72	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-435.927986269812436	-444.978829650263776	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996907131526131	-3	4	8	11	13	14	34	18	28	16	28	24	35	23	24	23	23	27	30	36	32	40	39	43	56	36	40	35	42	46	41	33	44	44	37	45	44	46	47	44	52	45	49	49	36	46	51	41	51	48	41	53	54	49	59	68	52	56	54	61	55	69	56	74	53	80	77	70	81	75	76	80	74	86	87	84	87	89	80	88	93	98	0	1	2	2	3	4	11	2	15	6	17	8	9	6	6	8	4	16	14	21	14	17	7	17	45	21	45	16	20	13	13	8	7	20	9	35	7	19	33	26	36	26	38	22	18	29	38	20	48	34	32	34	46	48	52	65	33	40	47	59	37	58	37	56	31	71	62	60	62	62	56	73	56	64	79	64	69	69	64	79	72	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-429.420742654786011	-438.471586035237351	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972621887997686	-1	4	7	10	13	18	31	18	23	20	27	31	31	23	26	26	30	27	32	37	18	37	36	41	40	44	28	26	45	46	37	40	35	37	44	51	43	47	42	52	49	51	51	42	39	44	51	48	48	45	61	55	54	50	56	68	59	51	58	58	55	55	60	72	64	76	78	70	69	77	76	81	81	88	101	84	94	87	91	94	87	96	0	1	2	2	4	5	15	2	21	5	10	11	16	6	14	4	9	6	28	13	4	11	16	12	34	19	9	21	22	25	12	17	10	11	45	20	31	33	31	29	29	29	24	23	12	12	25	50	20	44	42	42	50	32	47	47	40	30	54	48	42	36	62	55	51	68	57	51	51	69	68	70	70	76	74	67	73	71	74	74	66	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-429.095412419851243	-438.146255800302583	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992400730955110	0	4	4	5	10	17	26	23	31	13	29	26	33	26	22	29	28	29	33	35	33	41	33	41	53	41	29	43	44	39	42	35	45	34	40	52	46	47	45	51	49	49	47	51	45	43	54	48	44	48	63	39	52	53	56	62	56	54	55	59	52	63	58	75	64	80	80	69	69	71	82	80	81	89	95	86	92	90	94	97	95	89	0	1	1	1	4	5	6	5	12	3	7	6	16	15	4	15	1	7	27	16	12	32	14	20	42	13	14	34	11	34	13	11	35	27	9	37	20	22	31	46	28	26	16	28	52	24	39	35	14	28	55	11	26	43	37	57	47	61	42	61	37	55	25	65	58	70	64	57	56	50	64	58	70	71	82	66	71	73	82	77	74	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-430.220603590471796	-439.271446970923137	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999021449847514	-4	2	8	-1	11	19	31	16	28	24	33	30	30	27	24	27	23	29	32	37	34	31	37	33	50	41	42	41	39	46	41	38	37	43	40	50	41	49	48	45	54	52	42	36	48	39	44	38	45	53	64	50	54	47	58	56	55	47	50	60	58	64	63	74	63	67	81	71	73	76	71	79	79	89	101	85	88	93	86	95	95	98	0	1	2	1	4	8	6	5	8	5	14	10	17	10	3	10	8	10	16	7	17	18	9	15	40	22	29	20	14	27	32	9	18	20	22	47	13	48	26	34	27	31	33	24	27	21	46	13	32	45	38	27	49	46	25	53	35	43	35	39	58	55	60	61	56	51	64	61	66	68	65	68	64	79	80	69	73	74	70	79	67	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-436.933247753206956	-445.984091133658296	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983267345431989	-1	6	6	11	13	11	26	22	29	20	20	22	35	23	28	32	26	28	33	34	28	44	40	41	45	36	38	43	42	36	39	33	43	40	45	43	34	46	46	50	47	47	51	48	40	51	54	51	55	41	61	49	55	53	53	61	49	57	54	59	55	60	54	64	59	73	77	67	79	70	78	77	74	86	94	84	84	90	94	83	92	94	0	1	1	2	6	2	11	5	7	6	6	10	11	11	10	8	8	10	15	15	14	24	30	30	34	12	15	19	20	15	13	7	23	16	37	34	9	50	13	45	23	29	39	29	26	44	29	12	36	9	54	24	57	36	33	59	50	44	34	61	28	61	39	60	63	68	70	49	67	65	64	73	70	67	78	72	69	80	73	69	74	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-433.676400485619524	-442.727243866070864	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991002712842921	-1	0	8	12	15	19	31	22	33	21	33	33	35	25	24	33	27	31	27	38	27	43	38	35	53	41	39	38	50	39	38	36	41	44	36	45	46	45	46	49	40	48	51	43	43	48	49	50	44	42	61	50	56	52	57	65	51	60	54	55	54	59	57	76	65	68	74	68	80	70	76	79	79	91	99	75	93	87	84	87	98	97	0	1	1	3	3	4	21	6	19	4	15	10	11	8	5	7	14	8	8	7	6	20	18	8	49	13	17	17	41	19	24	7	24	12	12	23	44	9	28	12	13	21	49	28	20	44	44	28	32	32	63	44	47	37	38	53	44	55	18	40	36	29	40	66	53	63	66	51	70	68	56	64	66	79	80	66	78	71	73	64	77	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
