step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17
1	-152.736452988482000	-151.274370903963131	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.589717833586485	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
500	-67.273801518983390	-65.814178689523729	-1.459622829459659	0.000010023436964	0.000003276577078	0.326891573244190	0.600111790935975	0	4	7	10	9	11	13	13	15	19	16	18	19	16	16	20	19	0	1	2	5	3	4	5	5	6	14	9	14	9	7	9	15	8	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	2
1000	-50.705584313991288	-49.326800348195846	-1.378783965795443	0.000010037809508	0.000007247905397	0.722060464638539	0.698481729191061	-1	3	8	10	9	12	14	13	15	19	16	17	19	17	18	21	22	0	1	2	3	3	5	6	4	7	14	7	9	14	7	14	7	13	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1
1500	-66.393154825345803	-64.730100306780201	-1.663054518565597	0.000009981941936	0.000002152116976	0.215601031339846	0.711795569685146	-1	2	8	9	10	12	11	14	14	19	16	17	18	18	18	20	20	0	1	2	3	4	5	4	4	7	13	5	8	11	9	11	15	11	1	2	4	1	1	1	1	2	1	1	3	2	1	2	1	1	2
2000	-62.862183489832454	-60.464397139681324	-2.397786350151129	0.000010070363313	0.000000948344808	0.094171856419934	0.533236845075962	0	4	7	9	9	12	14	14	15	19	16	17	19	18	17	18	21	0	1	2	2	3	5	5	6	6	16	8	8	4	11	9	15	14	1	2	2	2	1	1	2	1	1	1	1	1	5	1	1	1	2
2500	-46.365283105991338	-44.943073625106514	-1.422209480884823	0.000009931827569	0.000003652054024	0.367712185777885	0.997416629085338	-1	3	7	9	9	11	15	12	14	19	16	17	19	17	17	19	20	0	1	2	3	3	4	9	4	8	15	7	7	14	7	7	11	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-59.671578644481741	-58.202403247175923	-1.469175397305817	0.000009899131493	0.000010092748130	1.019558951885197	0.655352421537705	-1	4	9	7	10	12	13	14	15	19	15	16	20	17	17	20	22	0	1	4	2	3	3	6	5	7	15	7	11	15	8	9	14	16	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-61.862853463127806	-60.426145708338780	-1.436707754789028	0.000009818378738	0.000009103845813	0.927224958009336	0.738375261964105	-1	3	7	9	9	11	14	14	16	19	14	17	19	17	18	20	21	0	1	2	3	3	5	4	6	7	14	5	7	8	11	14	14	15	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1
4000	-64.941947327243355	-62.797420790885731	-2.144526536357626	0.000009270831019	0.000001104541679	0.119141604119816	0.782775945085418	-2	4	8	10	9	12	15	13	16	19	14	17	20	17	18	21	20	0	1	2	5	3	4	11	4	6	9	6	11	11	11	14	10	10	1	4	2	1	1	1	1	2	2	1	1	2	2	1	1	1	1
4500	-71.938322422853105	-70.575699226178145	-1.362623196674956	0.000010309257650	0.000005450610850	0.528710314134506	0.585559487944622	-2	3	9	8	10	12	15	13	14	19	17	15	19	17	19	18	21	0	1	1	2	4	5	6	4	6	12	12	6	12	12	7	9	15	1	2	4	1	1	1	1	2	1	2	1	1	3	1	2	2	1
5000	-51.859004031691121	-50.367172202446930	-1.491831829244189	0.000009204820897	0.000009944811209	1.080391603451625	0.811375108703576	-1	4	7	9	9	12	15	13	15	19	16	16	18	18	18	20	20	0	1	2	3	3	4	6	5	8	15	9	8	12	11	9	15	10	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
5500	-62.284024832907193	-60.910635096669409	-1.373389736237786	0.000009611362246	0.000004492226055	0.467387030100077	0.578124253674046	0	3	7	9	10	12	14	13	16	18	14	17	19	18	17	19	22	0	1	2	3	4	5	6	5	7	9	5	11	12	9	7	15	4	1	1	2	1	1	1	1	2	1	1	2	2	1	1	2	1	6
6000	-67.929344377288828	-66.555525046784879	-1.373819330503943	0.000009156584726	0.000004265313632	0.465819272123769	0.505127316931441	0	3	8	10	9	12	13	11	14	20	16	17	19	17	18	20	21	0	1	2	3	3	3	8	5	2	14	6	5	12	9	14	15	14	1	1	2	1	1	2	1	1	4	2	2	5	1	1	1	1	3
6500	-56.020625603511881	-54.591647134831945	-1.428978468679934	0.000005672040706	0.000005127007198	0.903908745306553	0.782096141866751	0	3	8	9	7	12	14	13	15	18	17	17	19	15	18	21	21	0	1	5	3	2	4	6	6	8	7	9	14	12	6	11	15	9	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	3
7000	-71.808406615227639	-69.993305825135195	-1.815100790092437	0.000005058355132	0.000009487799576	1.875668933539492	0.645655810857653	-1	4	8	8	9	13	14	13	15	19	16	17	19	17	18	21	21	0	1	2	2	3	3	6	3	8	14	9	5	14	7	14	13	14	1	4	3	2	1	4	1	3	1	1	1	2	1	1	1	1	2
7500	-56.815945016426113	-55.043743093398326	-1.772201923027786	0.000005674110702	0.000001040395952	0.183358416329121	0.853074921093597	-1	3	7	10	9	12	14	13	15	19	16	17	19	17	17	21	21	0	1	2	5	3	3	6	5	8	12	6	9	12	6	7	10	10	1	2	1	1	1	2	1	2	1	1	1	1	1	2	2	1	2
8000	-52.455133252204284	-51.087034464522070	-1.368098787682213	0.000005007627170	0.000002454121759	0.490076771921772	0.804295945707822	-1	2	7	9	10	11	14	13	15	19	16	18	20	17	18	19	21	0	1	2	3	4	4	8	6	5	9	8	11	12	11	14	12	13	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1
8500	-48.742402652365321	-47.282221981720134	-1.460180670645189	0.000004453843676	0.000004430270899	0.994707318240222	0.724703517707751	-1	3	7	10	9	13	14	14	16	19	16	18	19	18	18	20	21	0	1	2	3	3	5	6	6	7	9	8	9	11	9	9	12	10	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1
9000	-67.369755080183040	-65.930550808806757	-1.439204271376283	0.000004043348152	0.000003779002326	0.934622046790164	0.585530243167984	0	3	9	10	9	12	13	14	15	19	14	16	19	17	18	17	22	0	1	2	3	2	5	6	6	4	9	6	7	15	8	12	9	12	1	1	2	1	3	1	1	1	3	2	1	1	1	1	1	1	2
9500	-55.541905320397966	-54.063240236320119	-1.478665084077847	0.000000859096276	0.000000266816982	0.310578673863526	0.891123472726269	0	4	7	9	10	12	14	14	15	18	17	18	19	16	19	20	21	0	1	2	3	4	5	5	5	6	11	8	11	14	6	11	10	16	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1
10000	-46.265736552634891	-44.402530315417927	-1.863206237216967	0.000002479178617	0.000004945071771	1.994641183630343	0.875305907667627	-1	4	7	9	9	12	15	13	15	19	16	17	18	16	19	21	21	0	1	2	3	3	4	8	6	8	12	9	7	12	8	12	15	10	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	-63.637649211759872	-62.091731884735843	-1.545917327024025	0.000003889274177	0.000004740976000	1.218987344265386	0.590312601851814	-2	3	7	10	9	11	15	13	14	20	16	17	19	17	16	19	20	0	1	2	5	3	5	8	5	5	12	5	9	12	8	9	14	9	1	2	2	1	1	1	1	2	2	1	3	1	1	2	1	1	3
11000	-53.445588449119192	-51.034207023724449	-2.411381425394747	0.000001525249414	0.000005320428416	3.488235018157323	0.912243493620860	0	2	7	9	9	12	14	14	16	19	16	16	20	17	18	20	18	0	1	2	3	3	4	6	4	7	17	6	8	10	7	12	17	12	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1
11500	-49.965431620241148	-48.409560931642361	-1.555870688598786	0.000009460652746	0.000011767522393	1.243838317452217	0.943012444038977	0	2	7	10	9	12	12	14	16	19	17	17	19	17	18	20	20	0	1	2	5	3	4	5	6	8	9	9	9	14	9	9	15	11	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12000	-57.475844035853711	-56.093088360384208	-1.382755675469506	0.000010007704004	0.000004389032050	0.438565334125499	0.801909948312782	0	4	6	9	10	12	15	13	15	19	17	15	19	17	18	20	20	0	1	2	3	4	5	8	4	8	14	9	8	11	9	6	11	14	1	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1
12500	-54.054307466466724	-52.690054754152911	-1.364252712313816	0.000000334155985	0.000000211135004	0.631845645640274	0.716784307550448	-2	4	8	9	10	12	14	13	15	19	17	17	19	16	17	20	22	0	1	2	3	4	4	8	4	5	15	9	9	12	7	8	12	16	1	4	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1
13000	-63.657253009246574	-62.238988752916150	-1.418264256330424	0.000001376583240	0.000001198115670	0.870354683830637	0.535829457004871	0	3	8	10	9	12	14	13	15	19	16	17	18	15	18	20	20	0	1	2	5	3	5	4	5	3	14	9	7	14	7	14	13	8	1	2	3	1	1	2	2	2	3	2	1	2	1	1	2	1	4
13500	-69.184204302758062	-66.299303865666971	-2.884900437091084	0.000000800208426	0.000004042976467	5.052404269646780	0.726626255412774	-1	4	9	7	8	12	13	14	16	19	16	17	19	18	18	20	21	0	1	5	2	2	2	3	3	7	14	7	11	15	12	12	14	12	1	2	1	1	1	3	2	2	2	1	1	1	1	1	1	2	1
14000	-62.096090963285206	-58.288921112954689	-3.807169850330520	0.000000576042153	0.000005211406104	9.046917964427047	0.875375590963707	-2	4	7	10	10	11	14	13	15	19	15	17	19	16	17	20	22	0	1	2	3	3	5	6	6	7	15	7	6	14	9	8	12	10	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1
14500	-59.746432748456151	-58.153930940947852	-1.592501807508297	0.000000638391907	0.000000851769024	1.334241576936571	0.858950530955864	-1	3	9	8	9	11	14	13	15	20	15	18	19	18	19	20	21	0	1	4	2	4	4	6	5	8	14	6	11	9	9	14	15	15	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1
15000	-53.384225403691488	-51.804482034415145	-1.579743369276341	0.000000823513999	0.000001072966559	1.302912350066679	0.615240322460290	-1	4	7	9	7	12	15	13	15	19	17	17	19	17	19	21	22	0	1	2	3	2	4	8	6	8	11	7	9	14	9	12	10	15	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
15500	-65.123896445808128	-63.329025017791814	-1.794871428016317	0.000001458079665	0.000000259236636	0.177793190511899	0.804090974390968	-1	3	7	6	8	12	14	13	14	19	17	17	20	16	19	18	21	0	1	4	2	3	3	4	6	6	9	14	14	15	9	12	11	10	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1
16000	-60.875173093627346	-59.510032756900095	-1.365140336727252	0.000003523443823	0.000001787659925	0.507361551509281	0.970560887443441	-1	3	8	9	10	11	14	13	14	18	15	16	18	17	19	21	20	0	1	2	3	3	4	4	6	6	12	6	7	14	8	10	10	10	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1
16500	-50.349431845892660	-47.583393558965270	-2.766038286927390	0.000001009072403	0.000004674242324	4.632216983817557	0.829086674941489	0	3	8	7	9	12	14	14	15	19	17	18	19	17	18	20	21	0	1	4	2	4	5	3	6	8	14	9	14	14	7	9	15	15	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
17000	-56.808183319454059	-54.662506710482106	-2.145676608971956	0.000000278265947	0.000000759125946	2.728059087380182	0.721059633052737	-1	4	8	9	6	10	15	14	16	18	16	17	20	17	18	20	22	0	1	5	3	2	4	8	3	8	9	8	7	15	7	14	15	16	1	3	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1
17500	-67.190212203358669	-65.363701866374498	-1.826510336984165	0.000009111433633	0.000001553786569	0.170531513644106	0.729621750593474	-1	3	6	10	9	13	14	14	15	18	17	17	19	16	18	21	21	0	1	2	5	3	5	6	5	8	11	14	4	7	9	14	12	15	1	2	2	1	1	3	1	3	1	1	1	3	2	1	1	2	1
18000	-63.150186144089936	-60.697886866879131	-2.452299277210807	0.000000437918103	0.000001581891425	3.612299680607099	0.737485105314521	0	3	8	10	10	11	15	13	15	20	15	17	20	18	18	19	21	0	1	2	3	3	3	8	4	6	15	4	7	11	7	9	7	7	1	1	2	1	1	2	1	2	1	1	2	1	2	1	2	2	3
18500	-52.431087481091758	-49.786150141930896	-2.644937339160864	0.000000526249854	0.000002222706265	4.223671032143483	0.884196877374327	-2	4	8	9	10	12	14	13	15	18	16	17	19	17	18	20	21	0	1	2	3	4	5	5	6	7	9	7	9	15	11	14	14	10	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1
19000	-63.086371737060468	-61.639070594223590	-1.447301142836881	0.000003185535973	0.000001079283822	0.338807607769942	0.592815158758854	0	4	9	10	8	11	15	12	15	20	17	17	19	17	17	20	21	0	1	5	3	2	3	8	4	6	15	5	7	11	8	7	13	16	1	2	1	1	1	1	1	2	2	1	4	1	1	2	1	1	1
19500	-51.455280945137055	-50.060862415867234	-1.394418529269819	0.000004190324649	0.000001726863138	0.412107242905066	0.940230560501433	-2	3	6	9	9	11	14	13	15	19	17	17	19	16	16	20	21	0	1	2	3	3	4	8	6	7	12	7	15	11	7	7	12	11	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20000	-56.537957765269468	-54.062981321707632	-2.474976443561837	0.000000591656665	0.000002178426732	3.681910236355898	0.738296658235876	0	2	7	9	8	12	15	13	16	18	16	17	19	18	18	21	21	0	1	2	5	2	4	8	6	7	7	7	5	15	9	9	13	13	1	1	2	1	3	1	1	1	1	1	1	4	1	1	1	1	1
20500	-58.132852947448249	-56.770766825442095	-1.362086122006158	0.000010524235893	0.000006383915562	0.606591834936514	0.727039061628013	0	3	7	9	10	12	13	14	16	19	15	17	19	16	18	18	21	0	1	2	3	4	4	5	7	8	12	6	11	16	7	6	14	16	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	2
21000	-53.953985317022372	-52.587271928298165	-1.366713388724207	0.000002457948830	0.000001222939936	0.497544912779540	0.800808988792732	0	3	7	9	10	11	14	13	16	19	17	16	19	17	18	21	20	0	1	2	3	4	4	8	5	6	14	7	7	14	7	11	13	10	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1
