step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23
1	-3119.383127744450121	-3117.921045659931224	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.597597795810083	3	7	13	13	13	12	13	14	15	16	18	18	18	19	21	21	21	24	23	26	29	32	38	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	5	5	6	6	7	8	8	8	8	9	9	9	11	10	12	13	15	18
500	-558.625341224624094	-555.457714720937247	-3.167626503686841	0.000009978889885	0.000061200300265	6.132976811315144	0.340525498136385	4	7	13	13	12	12	13	15	15	14	18	17	17	20	22	22	22	24	23	26	29	32	38	0	0	2	6	2	2	5	2	4	7	6	8	8	11	12	12	6	19	12	8	3	3	3	1	1	3	1	2	3	1	4	1	1	3	1	1	1	2	3	5	1	3	6	6	11	15
1000	-413.778096551922374	-410.969829364889790	-2.808267187032579	0.000010077707065	0.000048164176852	4.779279308463257	0.304911613918906	3	7	13	13	14	12	14	14	15	16	18	18	19	20	21	21	21	22	23	26	27	32	38	0	0	2	2	3	2	6	2	4	7	6	8	12	11	12	12	6	12	16	18	1	4	22	1	1	2	3	1	3	1	4	1	1	3	3	1	1	2	1	5	1	1	2	12	9	4
1500	-430.842349293571317	-428.021181699259444	-2.821167594311861	0.000010135216650	0.000048899271866	4.824689353626724	0.409373953546119	4	8	13	13	14	11	13	12	15	16	17	18	19	19	20	20	21	24	23	25	29	33	37	0	0	6	2	6	2	6	2	4	7	6	8	12	11	12	12	6	12	16	18	1	4	22	1	1	1	2	1	2	1	3	1	2	3	3	1	1	1	1	5	2	3	1	11	7	2
2000	-419.793928037309740	-416.436282601343464	-3.357645435966258	0.000010182994622	0.000070543298595	6.927559250667354	0.324596598463772	3	8	12	13	13	11	13	15	15	17	18	18	18	20	21	22	21	24	23	26	30	32	39	0	0	6	2	6	2	6	2	4	7	6	8	8	11	12	12	6	12	12	18	17	17	22	1	1	1	3	1	2	1	4	1	2	3	2	1	1	2	1	5	3	3	2	6	5	4
2500	-428.481520632659681	-425.859663244641126	-2.621857388018563	0.000010235936459	0.000042458425788	4.147976685711411	0.461548270328263	2	7	13	13	13	12	12	15	14	15	17	17	19	19	22	20	20	25	23	26	29	33	38	0	0	6	2	2	2	2	2	4	7	6	8	12	11	16	12	6	16	12	18	4	4	22	1	1	1	3	3	3	2	4	1	1	2	1	1	1	1	2	3	2	3	1	9	11	2
3000	-421.744479036344217	-418.594957893849767	-3.149521142494461	0.000010265753306	0.000062212640219	6.060211887707827	0.442635092217202	4	7	14	12	13	11	13	14	16	17	18	19	18	19	21	20	22	24	23	26	29	31	37	0	0	5	2	6	2	6	2	4	7	6	13	8	11	12	12	6	13	16	18	4	17	22	1	1	1	3	1	2	1	4	2	2	3	1	2	1	1	1	4	3	2	1	11	4	4
3500	-331.415889097010790	-328.937316627910491	-2.478572469100322	0.000011293663800	0.000041707558528	3.693005145698755	0.336779095190819	2	6	12	13	14	12	13	14	15	15	19	19	17	20	22	21	21	23	23	26	28	33	38	0	0	2	2	6	2	2	7	4	7	6	13	7	11	12	12	6	13	16	18	4	21	22	1	1	3	3	1	3	4	1	1	1	4	1	3	1	2	1	4	3	2	2	6	3	2
4000	-330.380588492680090	-328.161653974888623	-2.218934517791496	0.000011889615626	0.000034838232321	2.930139494629812	0.404836968956429	3	7	13	13	14	12	13	15	16	15	18	18	17	20	21	21	22	24	23	27	30	32	38	0	0	2	2	3	2	2	2	4	7	6	8	8	11	12	12	6	8	16	18	1	21	21	1	1	3	3	1	3	2	5	2	1	4	2	1	1	2	1	5	3	2	2	11	1	3
4500	-337.791399848835340	-335.864241528252478	-1.927158320582837	0.000012800853338	0.000027586835123	2.155077821388343	0.427196541828452	3	8	13	13	14	13	14	14	16	16	17	18	19	19	21	20	22	22	24	27	30	33	38	0	0	2	2	6	2	6	2	4	7	6	8	12	11	12	12	6	12	16	18	8	21	21	1	1	2	3	1	3	1	3	2	1	2	3	1	1	2	1	5	1	2	3	9	2	5
