step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31
1	-1250.952693443783801	-1249.490611359264904	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.404817510691323	0	2	2	4	5	5	6	7	7	9	13	13	13	18	17	16	17	18	18	18	18	20	21	20	22	23	25	23	25	26	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	4	4	5	7	7	7	9	9	8	9	9	9	9	9	10	11	10	11	12	13	12	13	13	14
500	-293.373836682990884	-291.435852314013857	-1.937984368977036	0.000010021900727	0.000021873040675	2.182524180834555	0.236828818580208	-1	1	2	5	4	5	7	6	8	9	14	13	14	18	18	17	17	19	16	18	18	20	21	21	22	24	25	24	22	27	29	0	1	2	5	2	2	0	5	6	8	8	4	9	10	8	9	12	14	12	19	12	18	19	14	18	19	14	20	19	28	19	1	1	1	1	2	3	1	1	2	2	4	4	3	4	7	5	3	1	2	2	4	1	3	2	2	4	3	3	3	2	9
1000	-280.837525511809361	-278.917613403129508	-1.919912108679844	0.000010010906512	0.000021390860244	2.136755569447299	0.543681617674012	0	3	2	4	5	4	6	7	8	10	13	13	12	16	17	17	17	18	16	19	17	21	21	20	22	24	24	24	26	26	28	0	3	1	3	2	3	0	5	6	8	13	5	10	10	19	12	12	14	6	19	11	18	19	14	16	23	24	18	22	27	19	1	1	1	1	1	1	1	1	2	2	1	5	2	4	1	2	2	2	5	1	2	2	2	2	3	2	2	3	2	1	6
1500	-281.666343376472355	-279.834193263421980	-1.832150113050355	0.000009973928958	0.000019126841494	1.917683750757366	0.578386955783224	-1	2	1	4	6	4	6	8	7	9	14	14	13	16	16	17	18	17	18	19	18	21	22	19	22	24	26	23	26	26	26	0	3	1	2	2	2	0	5	2	5	5	10	10	12	11	11	15	14	12	19	15	24	19	14	20	23	22	20	28	18	26	1	1	1	1	2	1	1	1	1	1	3	3	2	1	1	1	1	1	2	1	2	1	2	1	2	1	2	2	1	3	1
2000	-274.638879001046860	-272.889815210536767	-1.749063790510085	0.000009987136198	0.000017120257325	1.714230885138034	0.396727640983696	0	3	2	4	6	6	6	7	6	10	12	12	14	18	17	16	17	19	18	19	19	20	19	19	22	23	26	23	25	26	28	0	3	1	2	3	4	0	5	2	4	10	4	11	16	8	6	13	14	15	19	15	14	19	14	21	19	25	22	28	29	26	1	1	1	1	2	1	1	1	2	3	1	5	1	1	5	5	1	1	1	1	1	1	1	1	3	4	2	2	1	1	3
2500	-260.933324263071484	-258.814062071127864	-2.119262191943614	0.000009983649308	0.000026521604758	2.656504043826893	0.765768722884093	1	2	3	5	3	5	6	7	8	10	13	14	14	17	17	15	17	18	17	19	19	19	21	21	23	24	22	23	25	26	28	0	1	1	5	2	5	0	6	7	8	8	9	11	10	16	11	16	14	16	19	17	14	19	22	27	19	22	24	28	29	26	1	1	1	1	1	1	1	1	1	1	2	3	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2
3000	-249.034683463740635	-247.029504167380253	-2.005179296360372	0.000009921448803	0.000023364258239	2.354924034117916	0.736737628318599	-1	3	2	1	4	6	6	7	7	10	13	12	13	18	16	16	18	19	17	18	18	21	21	20	23	23	25	23	25	26	28	0	4	4	1	2	2	0	5	4	8	8	10	12	15	10	13	16	14	9	19	16	14	19	14	15	23	25	21	28	26	30	1	1	1	2	1	2	1	2	2	2	2	1	1	1	2	1	1	1	4	1	1	1	1	1	3	1	1	2	1	1	1
3500	-249.866188095163778	-247.059546826660750	-2.806641268503024	0.000009956220302	0.000047526736043	4.773572159130910	0.664988507880362	0	2	2	2	4	5	5	7	8	9	12	14	13	18	15	16	17	19	18	19	19	20	20	20	22	23	25	24	24	26	28	0	1	1	1	2	5	0	5	7	8	10	11	11	16	13	15	12	14	17	19	19	14	21	14	22	21	28	25	20	27	26	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2
4000	-246.503209605292199	-244.053753997439628	-2.449455607852581	0.000010080386102	0.000036325818631	3.603613816431227	0.686231934839750	-1	3	2	3	5	5	6	6	8	10	12	13	14	16	17	16	15	18	16	18	19	21	19	18	22	24	26	24	26	26	28	0	3	1	3	2	3	0	5	7	8	10	11	11	13	17	12	12	14	9	19	15	24	20	14	22	20	25	25	28	26	26	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1
4500	-373.389126160923581	-371.020575947306327	-2.368550213617262	0.000010619078362	0.000035684913054	3.360452935665612	0.671285005938441	-1	2	2	5	6	3	7	8	6	9	14	13	12	17	15	15	16	19	15	18	19	20	22	21	20	23	26	23	25	27	28	0	1	1	6	2	3	0	5	3	8	10	5	10	15	12	12	8	14	7	19	16	14	17	22	14	23	14	21	23	29	30	1	2	1	1	2	1	1	1	1	1	2	3	1	1	1	1	5	1	2	1	2	2	3	1	1	1	5	3	1	1	1
5000	-269.498772488572342	-267.539402156322353	-1.959370332249969	0.000010120753113	0.000022640163318	2.237003814456244	0.640337649285079	1	2	3	4	4	5	7	7	6	9	13	14	13	17	15	14	15	19	17	18	19	21	21	20	22	23	26	22	24	26	28	0	1	1	2	2	5	0	6	4	8	7	13	10	13	11	13	13	14	17	19	14	21	19	14	20	23	24	16	23	25	26	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	3	5	1	2	2
5500	-273.547048021290209	-272.167754576686775	-1.379293444603451	0.000015874275860	0.000011500505592	0.724474344132252	0.460103391257551	1	2	2	5	6	5	7	7	7	9	14	13	14	17	18	16	18	18	17	19	18	20	21	20	23	21	26	22	24	26	27	0	1	1	1	2	3	0	5	2	8	10	9	8	8	14	13	13	14	6	19	11	21	20	15	28	19	24	14	28	29	26	1	1	1	2	2	1	1	1	3	1	3	2	3	5	1	1	3	1	6	2	1	1	1	1	1	1	3	3	2	1	4
6000	-324.116373391110073	-322.750420449326441	-1.365952941783637	0.000030468651385	0.000019701603474	0.646618822246011	0.513614094865324	1	3	3	5	5	5	6	7	7	9	14	13	14	18	17	17	18	18	17	19	19	20	21	21	20	24	25	23	24	26	29	0	1	1	3	2	1	0	5	6	8	8	8	8	16	3	12	12	11	9	19	16	17	20	17	14	19	29	10	23	23	26	1	1	1	1	1	2	1	2	1	1	3	4	3	1	8	3	2	2	5	1	1	1	1	1	1	4	1	6	3	2	2
6500	-185.927197521236138	-184.470861892275650	-1.456335628960490	0.000115857191945	0.000038227450481	0.329953193575542	0.701118594217546	1	3	3	4	5	6	6	7	7	8	13	12	14	15	18	17	17	18	18	19	19	20	21	18	23	24	22	23	25	26	29	0	1	1	1	4	4	0	5	7	8	9	10	10	3	11	13	13	12	11	19	17	24	19	17	19	23	21	23	27	29	26	1	1	1	2	1	1	1	1	1	1	2	2	3	4	3	1	1	5	2	1	1	1	1	1	2	1	2	1	1	1	3
7000	-185.521475106399066	-183.481708198757104	-2.039766907641950	0.000183211104123	0.000024325939818	0.132775466501717	0.366422066397839	0	2	2	4	6	6	7	7	6	9	14	13	14	19	16	16	17	18	18	19	18	19	21	20	22	23	23	23	26	25	28	0	1	1	2	1	2	0	2	4	3	12	9	12	2	11	12	10	8	16	19	6	4	20	2	21	20	11	23	27	27	26	1	1	1	1	4	2	1	2	1	4	1	3	1	7	1	2	5	6	1	1	5	7	2	7	2	3	4	1	1	1	2
7500	-210.167736895799720	-207.268847999344047	-2.898888896455665	0.000205214360897	0.000013055356097	0.063618140757336	0.295290147597955	-1	1	3	5	6	6	6	7	7	10	12	13	13	17	18	15	17	18	19	17	19	19	21	20	23	23	24	24	25	26	29	0	1	2	3	2	3	0	3	4	3	2	6	10	9	8	13	9	11	20	13	17	8	19	6	21	23	12	17	19	17	19	1	1	1	1	2	2	1	3	1	3	5	2	2	5	7	1	5	3	1	3	2	7	1	8	2	1	5	3	3	6	5
8000	-214.528542385752985	-212.481712010279182	-2.046830375473809	0.000292266116204	0.000038513603691	0.131775808263716	0.275674180210770	0	3	3	4	6	5	5	6	7	8	14	13	13	18	18	15	15	19	18	17	19	20	21	21	22	22	24	23	24	25	28	0	1	1	2	2	2	0	2	6	4	8	5	2	6	17	5	4	2	17	11	20	2	20	9	22	20	8	15	24	29	27	1	2	1	1	2	1	1	2	1	3	6	4	4	6	2	3	6	7	2	1	1	5	2	8	1	2	9	3	2	1	2
