step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33
5000	-225.197740313545211	-223.165640951477400	-2.032099362067824	0.000011633895155	0.000028212644141	2.425038541569453	0.674032597017095	0	2	3	4	8	12	12	15	15	14	17	17	19	20	21	20	20	19	23	21	20	20	21	21	21	25	24	27	27	27	29	30	31	0	1	2	3	0	5	5	10	7	6	10	8	11	11	12	8	13	0	14	11	13	12	11	12	13	16	15	15	26	15	28	28	31	1	1	1	1	1	2	1	1	2	1	2	1	2	2	2	3	1	1	1	2	1	1	2	2	1	3	1	3	1	2	2	1	1
5500	-217.994986519467233	-216.122789450865497	-1.872197068601731	0.000011956362571	0.000024116348641	2.017030555705824	0.606687892514141	-1	1	3	5	8	12	12	15	15	14	16	17	17	19	20	19	21	20	20	21	21	21	22	20	23	24	25	25	28	27	29	29	32	0	1	2	3	0	5	5	10	5	6	10	10	11	11	12	11	19	0	11	14	16	12	13	12	23	23	22	24	26	28	28	30	31	1	1	1	1	1	2	2	1	3	1	1	2	1	2	2	2	1	1	2	1	1	2	2	1	1	1	2	4	2	2	2	1	2
6000	-193.410112541953367	-191.592487962975099	-1.817624578978267	0.000017607574598	0.000033135316697	1.881878535493791	0.661018635179845	0	2	4	5	8	12	13	15	15	14	16	18	19	19	20	21	21	20	22	21	18	21	21	22	23	25	25	26	27	27	30	30	33	0	1	2	3	0	5	6	10	7	6	10	10	11	11	12	14	13	0	14	13	11	15	13	12	14	20	15	24	26	28	28	28	31	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	2	2	3	2	1	1	2	2	2
6500	-213.784809254374579	-212.043679679503782	-1.741129574870795	0.000025691351269	0.000043545467288	1.694946553504783	0.635079599972975	0	2	4	5	8	12	14	15	15	14	17	16	19	18	20	21	21	20	23	22	20	20	21	20	22	24	26	26	28	27	28	30	31	0	1	2	3	0	5	6	10	6	6	10	10	14	11	10	11	11	0	14	16	14	12	13	12	11	16	12	24	26	28	28	30	31	1	1	1	1	1	1	1	1	2	1	2	1	1	1	3	2	2	1	3	1	1	1	1	2	2	2	7	2	2	1	1	2	1
7000	-201.413583965249302	-200.052702498063809	-1.360881467185482	0.000048831742281	0.000027479986177	0.562748427419831	0.698602103671892	0	1	3	5	9	12	13	15	16	13	16	18	19	18	20	20	22	20	22	21	20	21	21	22	22	23	25	26	27	27	30	29	33	0	1	2	3	0	5	5	10	7	5	10	11	14	11	12	13	14	0	16	14	11	15	11	12	14	20	22	24	26	24	30	30	31	1	1	1	1	1	1	3	1	2	2	2	1	1	1	1	1	2	1	1	1	2	1	3	1	2	1	2	3	2	2	2	2	1
7500	-179.548061966329101	-178.186960627091423	-1.361101339237682	0.000078653404348	0.000046134367492	0.586552710265099	0.792358098346283	0	2	4	4	8	12	14	15	16	13	17	17	19	19	20	20	22	20	22	21	20	20	21	21	22	23	26	27	27	25	27	30	32	0	1	2	2	0	5	6	10	7	6	8	8	11	11	12	11	16	0	16	13	11	12	14	12	14	23	24	27	20	24	30	28	31	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	3	1	2	2	1	2	2
8000	-206.054897045353414	-204.693261344925645	-1.361635700427778	0.000106579212629	0.000063847751020	0.599063827224045	0.606096103860890	0	1	3	4	8	12	12	15	15	14	17	18	19	20	21	19	21	21	22	20	20	20	21	21	21	24	25	26	27	26	30	29	33	0	1	2	3	0	5	5	10	5	6	8	8	11	11	12	11	13	0	8	11	13	13	16	12	11	23	23	15	23	22	28	28	31	1	1	1	1	1	2	2	1	4	1	1	2	2	2	1	1	2	1	3	1	1	1	1	2	2	1	2	2	3	3	2	2	2
8500	-195.502175517405874	-194.141006024570856	-1.361169492835012	0.000060272984921	0.000033245268322	0.551578262899923	0.669201656908313	0	2	3	5	9	12	11	16	15	14	15	18	19	18	21	20	22	19	23	20	19	20	21	21	21	25	25	27	28	28	30	31	32	0	1	2	3	0	5	5	10	7	6	10	8	14	11	12	11	16	0	23	14	11	12	14	12	13	20	22	27	26	28	30	30	31	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	3	2	1	1	1	2	1	1	2	1	2	2	1	2	1	1	2	2
9000	-185.459449937465507	-184.093557453704307	-1.365892483761212	0.000126363762459	0.000063491880212	0.502453226911408	0.747630661008557	0	1	3	5	8	11	13	15	15	14	18	17	17	19	19	21	21	19	22	21	20	20	22	21	23	24	25	26	27	27	29	30	31	0	1	2	3	0	5	5	10	7	7	13	8	10	11	8	13	11	0	16	14	11	15	11	12	14	19	22	27	20	28	28	30	31	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	1	2	1	5	1	1	1	1
9500	-194.000555608094174	-192.612191164033703	-1.388364444060479	0.000129924734827	0.000055209327127	0.424933152265411	0.740596112924940	-1	0	2	4	8	12	12	15	13	14	18	17	19	20	20	19	22	19	21	21	20	20	21	18	22	24	24	26	27	26	28	30	32	0	1	2	3	0	5	5	10	6	7	8	8	12	16	8	11	16	0	13	16	13	24	16	12	23	20	22	24	14	27	30	31	31	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2
