step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33
19000	-196.933598124484803	-195.530269661689204	-1.403328462795606	0.000070052954023	0.000027724942991	0.395771218758278	0.508687830844589	0	2	3	5	7	12	13	15	15	14	16	17	19	20	19	20	21	21	22	22	19	20	22	20	22	25	25	27	27	25	29	31	32	0	1	2	3	0	5	5	10	6	6	10	8	11	11	12	11	13	0	16	11	11	12	14	12	21	20	22	30	23	24	30	28	31	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	2	2	1	1	4	2	1	2	1	2	2	3	1	1	2	2	2	2
19500	-204.794707184918536	-203.411386635419831	-1.383320549498697	0.000094438265111	0.000041278809383	0.437098344985192	0.679951866686790	1	2	3	4	8	11	13	16	16	14	16	17	18	19	20	20	21	19	22	22	20	20	21	22	22	25	26	27	26	27	29	29	33	0	1	2	3	0	5	5	10	7	7	10	8	11	11	12	14	11	0	12	15	14	12	16	22	16	20	22	24	26	24	30	28	31	1	1	1	1	1	2	1	2	2	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	3	2	1	3	1	1	2
20000	-195.972020897457327	-194.610902705709179	-1.361118191748146	0.000072647143427	0.000040173710495	0.552997800046687	0.602581296685527	-1	1	2	4	9	12	13	16	15	14	17	18	18	20	20	20	21	21	23	21	20	20	20	22	22	25	24	26	27	27	30	30	32	0	1	2	3	0	5	5	10	6	6	8	10	11	11	12	11	16	0	13	14	11	12	13	8	16	21	22	12	19	24	30	30	31	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	2	1	1	3	1	2	1	1	4	1	2	2	4	2	3	2	1	1
20500	-193.659813720918805	-192.276884600390161	-1.382929120528634	0.000095652722518	0.000041906641877	0.438112379594084	0.705667344189632	-1	1	3	4	8	12	13	16	16	14	17	18	18	19	20	20	21	20	21	20	20	21	22	22	22	25	24	26	28	28	29	30	33	0	1	2	3	0	5	5	10	6	6	8	10	11	11	8	14	11	0	13	11	14	15	16	22	16	23	22	15	14	28	28	30	28	1	1	1	1	1	2	2	1	2	2	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	4	1	1	2	2
21000	-190.039650810573676	-188.620237888103503	-1.419412922470182	0.000083102424214	0.000030867775522	0.371442539897903	0.511735028183461	-1	1	3	5	8	11	13	15	15	14	17	18	18	20	20	19	21	20	22	22	19	20	21	21	21	24	25	26	27	27	29	29	31	0	1	2	3	0	5	5	10	6	6	8	10	11	21	12	11	14	0	23	11	13	12	11	8	13	20	22	24	26	24	28	30	31	1	1	1	2	1	2	2	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	2	3	2	1	3	2	2	3	2	1	1
21500	-225.490835977647379	-224.129290806680075	-1.361545170967301	0.000084994664527	0.000050769428118	0.597324883867708	0.430768274749166	-1	1	3	5	7	12	14	16	16	14	17	18	18	20	21	19	22	20	20	20	21	19	22	21	23	23	24	26	27	28	29	30	32	0	1	2	3	0	5	5	10	6	6	8	8	11	16	10	13	11	0	16	16	16	10	16	12	14	11	12	12	20	24	28	29	32	1	1	2	1	1	4	2	2	2	1	1	1	1	1	3	1	2	1	1	1	1	3	3	2	2	3	3	5	5	3	2	1	1
22000	-192.198708414559320	-190.832927231093663	-1.365781183465660	0.000068489739704	0.000044192100789	0.645236804514016	0.685908089058251	0	2	4	3	9	10	13	15	16	14	16	17	18	19	19	19	20	20	22	21	21	21	22	21	21	24	25	25	26	26	29	30	31	0	1	4	2	0	5	6	10	6	5	10	8	11	11	12	13	13	0	13	14	16	15	11	12	14	23	22	24	20	24	28	28	31	1	1	1	1	1	1	2	1	3	2	1	1	1	1	1	1	1	1	2	1	1	1	4	2	1	1	2	2	2	2	2	2	1
22500	-193.894956864682257	-192.494707228762081	-1.400249635920168	0.000081944746937	0.000066321562472	0.809344893372470	0.711288992790268	-1	1	3	5	9	12	13	16	15	14	17	18	19	19	20	21	21	20	21	21	19	20	21	21	23	25	26	26	27	28	29	30	31	0	1	1	3	0	5	5	10	5	6	10	8	11	11	12	13	14	0	14	14	11	12	15	22	17	20	22	24	23	28	28	28	31	1	1	3	1	1	2	2	1	3	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	4	2	2	1	2	2	1
23000	-185.231854367906379	-183.870995536584559	-1.360858831321817	0.000087578773628	0.000050359187428	0.575015901025542	0.541247141079605	0	2	4	5	9	12	13	15	15	14	18	17	17	20	20	19	21	21	21	21	21	20	21	21	22	23	24	26	27	25	29	30	32	0	1	2	3	0	5	5	10	7	6	13	8	10	11	12	13	16	0	14	13	16	12	13	12	11	20	12	30	23	24	30	28	28	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	2	1	3	1	3	2	2	3	3
23500	-206.006840255033808	-204.636600953889683	-1.370239301144134	0.000086749496820	0.000041640259481	0.480005775337791	0.696269348764549	0	3	2	4	9	13	11	15	15	14	18	18	18	20	17	20	22	21	23	22	20	20	22	21	22	24	24	27	27	27	29	29	32	0	1	1	3	0	7	5	10	7	6	8	10	8	11	10	11	11	0	11	16	11	12	11	22	14	16	22	24	26	24	28	30	30	1	2	1	1	1	1	1	1	2	1	1	3	1	2	2	1	2	1	2	2	1	1	2	1	1	2	2	2	2	2	1	1	2
24000	-185.958912158125173	-184.531821946890545	-1.427090211234621	0.000083037151088	0.000030016683286	0.361484984651153	0.672530089871514	-1	1	3	5	8	13	13	15	15	14	17	17	18	19	20	21	21	20	23	21	21	20	21	21	23	25	26	24	26	27	29	31	33	0	1	2	3	0	5	5	10	6	6	8	8	8	13	12	14	11	0	16	14	14	12	14	12	23	23	22	24	23	28	30	28	31	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	3	2	2	2	2
24500	-193.692777012168591	-192.302401304171809	-1.390375707996795	0.000077473963114	0.000032576578011	0.420484207869561	0.744166485392868	-1	1	3	4	8	10	13	15	15	14	17	17	19	19	20	21	21	20	23	21	20	20	21	22	22	25	23	26	26	27	28	29	32	0	1	2	3	0	5	6	10	6	5	8	10	11	11	12	15	14	0	16	14	14	12	14	12	16	20	22	24	13	24	30	30	31	1	1	1	1	1	1	2	1	3	3	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	2	1	2	3	2	1	1	2
25000	-219.243690294526829	-217.778847027333597	-1.464843267193237	0.000103335078337	0.000033293378539	0.322188545017080	0.669806895596439	0	1	3	5	8	11	13	15	16	14	18	17	16	19	21	21	21	20	23	20	19	21	22	19	23	25	24	25	28	26	30	31	31	0	1	2	3	0	5	5	10	6	6	13	8	10	11	12	14	14	0	21	11	11	8	13	10	16	21	15	24	16	15	29	31	31	1	1	2	1	1	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1	2	2	2	1	4	1	3	5	3	1	1	1
25500	-203.389428121399675	-201.951363753725190	-1.438064367674476	0.000101207782570	0.000035282987308	0.348619309815077	0.564410119150222	1	2	3	4	8	12	14	15	16	13	17	18	18	19	20	19	22	20	22	21	21	20	22	21	21	24	24	26	27	28	28	30	33	0	1	2	3	0	5	5	10	6	6	8	8	11	13	12	13	13	0	16	11	14	12	11	12	13	20	22	12	20	27	28	31	28	1	1	1	1	1	2	3	1	2	1	1	2	1	1	2	1	3	1	2	2	1	1	2	2	1	1	3	4	3	2	2	1	2
26000	-191.411760523769885	-190.043794000403182	-1.367966523366717	0.000078248795765	0.000051764725857	0.661540223731445	0.705351630393628	0	2	3	4	9	12	13	16	15	15	17	17	19	18	20	21	21	20	22	22	20	20	19	21	22	24	26	26	28	27	30	30	32	0	1	2	3	0	5	6	10	7	7	10	10	14	11	12	23	23	0	14	13	11	12	14	12	16	20	22	24	26	24	30	28	31	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	3	3	2	4	1	2	1
26500	-204.507166905977698	-203.146285486441599	-1.360881419536088	0.000061984300577	0.000034881776781	0.562751800957179	0.626436168281974	0	2	3	4	8	12	13	16	16	14	17	17	16	20	19	20	21	20	20	21	21	20	20	22	21	24	25	26	27	28	29	31	32	0	1	2	3	0	5	5	10	7	6	13	10	10	11	8	13	13	0	13	11	13	12	11	22	11	20	22	27	25	24	28	30	31	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	2	3	1	2	2	1	2	2	1	2	2	3	1	3	3	2	1	2
27000	-181.914465913936226	-180.501185844586871	-1.413280069349357	0.000080109428820	0.000030448842162	0.380090616181839	0.684283819346920	0	2	3	4	9	13	12	15	15	14	17	17	18	20	20	20	20	20	22	21	21	20	22	22	22	24	24	26	27	27	29	30	31	0	1	2	3	0	5	5	10	7	6	8	10	11	11	8	11	11	0	11	11	11	12	11	22	14	23	22	24	26	28	28	28	31	1	1	1	1	1	2	1	1	1	1	1	2	1	2	3	2	2	1	2	2	2	1	2	1	1	1	3	2	2	1	2	2	1
27500	-216.674032188592975	-215.201963387172270	-1.472068801420717	0.000071169716758	0.000022487931374	0.315976125784884	0.614224013394700	0	2	4	5	7	13	14	14	16	12	18	16	19	18	18	20	22	20	21	21	21	20	22	22	22	24	25	27	27	26	29	29	32	0	1	2	3	0	5	6	10	6	5	10	8	14	10	12	14	11	0	14	11	16	15	16	22	11	23	22	24	26	24	30	28	30	1	1	2	1	1	2	1	2	2	3	3	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	2	3	2	2	1	1	3
28000	-174.137392919178239	-172.741267213839308	-1.396125705338930	0.000076562061063	0.000031296254413	0.408769748083688	0.792949498189036	0	2	3	5	8	12	13	16	14	14	17	17	19	19	20	20	21	21	22	22	20	20	21	22	22	25	24	27	27	26	29	30	33	0	1	2	3	0	5	5	10	6	6	10	8	11	11	12	14	16	0	13	14	13	12	13	15	16	20	22	30	19	24	28	28	31	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	2	1	1	2	1	2	2
28500	-178.702334609305325	-177.329169757561459	-1.373164851743871	0.000061333855936	0.000042527367098	0.693375077260828	0.695189091915582	-1	1	3	4	9	12	14	15	15	14	16	17	18	20	20	20	22	20	22	21	20	20	20	21	21	24	25	26	27	27	29	31	32	0	1	2	3	0	5	6	10	7	6	8	8	11	11	12	11	16	0	14	23	13	12	11	12	13	20	22	24	26	28	30	28	31	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	2	2	2	2	1	3	2	2	1	1	2	2
29000	-184.782084893071925	-183.419891185143882	-1.362193707928041	0.000073886551838	0.000039440764436	0.533801665593128	0.778940982322384	-1	1	4	5	8	12	13	16	15	14	18	17	18	19	19	20	21	20	22	22	20	20	21	21	23	24	26	26	27	27	29	30	32	0	1	2	3	0	5	5	10	7	6	8	8	8	13	12	13	11	0	23	16	13	15	14	15	14	11	22	24	26	28	30	28	31	1	2	1	1	1	2	3	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1
29500	-194.030520438662364	-192.649544519620605	-1.380975919041761	0.000064602068479	0.000028641281173	0.443349289701158	0.657716965828407	0	2	3	5	9	12	13	16	16	14	16	17	18	19	21	19	21	20	22	21	20	21	21	22	22	25	23	27	27	27	28	29	31	0	1	2	3	0	5	6	10	7	6	10	10	11	11	12	13	13	0	21	16	11	12	13	12	21	16	22	24	26	15	30	28	31	1	1	1	1	1	2	1	1	2	2	1	2	1	1	3	1	2	1	1	1	2	2	1	2	1	4	1	2	1	2	1	2	2
30000	-214.709161470114395	-213.332142386255271	-1.377019083859137	0.000086117173918	0.000039185201267	0.455021913560149	0.681483611046456	1	2	4	5	9	12	12	16	14	15	17	17	19	19	20	20	21	20	23	21	21	19	21	20	22	24	22	24	27	27	29	30	30	0	1	2	3	0	5	5	10	7	7	10	10	8	11	22	14	13	0	23	11	13	12	14	8	14	23	22	13	14	28	30	28	30	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	2	2	2	1	1	4	2	1	3	3
30500	-224.988728936843785	-223.560002092321980	-1.428726844521801	0.000115354147569	0.000041466528956	0.359471504316561	0.749043519469586	0	1	3	4	9	13	12	14	13	13	17	17	17	19	20	20	20	20	23	19	20	20	20	21	21	24	25	25	26	27	28	29	32	0	1	2	3	0	5	5	10	5	5	10	8	8	11	13	13	14	0	20	13	13	13	11	12	14	16	15	12	26	28	28	27	31	1	1	1	1	1	2	3	1	2	2	2	1	1	1	1	2	1	1	2	1	2	1	2	2	1	1	3	3	1	1	1	2	2
31000	-204.623669683465380	-203.169527587865076	-1.454142095600311	0.000059263727339	0.000057944849253	0.977745610247848	0.562266595855419	0	1	3	5	9	12	13	15	14	14	17	17	18	20	20	20	22	20	22	21	20	21	21	21	22	25	25	27	27	28	29	30	31	0	1	2	3	0	5	6	10	7	6	10	10	11	11	10	13	14	0	23	16	13	11	16	14	23	20	22	27	8	28	28	30	28	1	1	1	1	1	2	1	1	1	2	3	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	2	1	5	1	2	1	2
31500	-193.192429643058716	-191.475847831545764	-1.716581811512940	0.000115938837719	0.000023015834905	0.198517040169727	0.576111055435279	0	2	4	3	7	11	13	15	15	13	17	17	19	20	19	21	20	20	22	21	20	21	21	21	23	24	26	24	27	26	30	30	32	0	1	4	2	0	5	6	10	7	6	8	8	11	11	12	13	13	0	23	13	11	15	13	12	16	20	24	15	26	24	30	28	32	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	3	2	3	2	3	1
32000	-197.413618604339490	-196.052692677182364	-1.360925927157128	0.000088527660520	0.000049585094127	0.560108488523345	0.685980940329994	0	1	3	5	8	11	12	16	15	14	17	16	18	20	20	21	21	20	23	22	20	21	21	19	22	24	26	24	28	28	29	30	32	0	1	2	3	0	5	5	10	7	6	10	10	10	11	12	11	13	0	14	23	13	15	11	12	13	19	28	15	26	28	30	30	31	1	1	1	1	1	1	2	1	2	2	1	1	2	2	2	2	1	1	2	1	1	1	2	2	2	1	1	2	2	2	1	1	2
32500	-214.007205929521092	-212.601190481121790	-1.406015448399311	0.000100028923193	0.000039142003028	0.391306851844268	0.540612380310588	0	1	3	5	9	11	13	15	16	13	17	16	16	19	20	21	21	20	22	21	21	20	21	22	23	24	23	25	27	27	29	30	32	0	1	2	3	0	5	5	10	7	6	12	10	10	11	12	14	14	0	13	11	14	12	14	15	14	14	15	24	14	26	28	30	31	1	1	1	1	1	1	2	1	2	2	1	2	2	1	2	1	1	1	3	2	1	3	1	1	3	4	1	2	3	1	1	1	2
33000	-185.209619150701940	-183.838907958880071	-1.370711191821855	0.000078978416376	0.000037749404818	0.477971154017956	0.703699337229757	0	2	3	5	9	12	14	16	16	14	17	18	19	19	20	21	21	20	23	21	19	20	22	22	23	24	25	25	24	28	29	31	31	0	1	2	3	0	5	6	10	7	5	10	8	11	11	12	13	13	0	16	14	11	12	14	12	16	23	22	15	20	28	28	30	31	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	1	1
33500	-181.335119724632648	-179.885076224673128	-1.450043499959513	0.000088621807543	0.000029781171876	0.336047895006070	0.694817677735934	0	1	2	4	9	13	12	16	15	15	17	17	19	19	19	21	21	20	22	22	20	18	21	21	21	24	25	26	28	28	30	30	32	0	1	2	3	0	5	5	10	7	6	10	10	10	11	12	11	13	0	11	13	11	12	11	15	21	16	22	24	20	28	30	30	31	1	1	1	1	1	3	2	1	1	1	1	1	2	1	1	2	2	1	2	2	2	1	2	1	1	2	3	2	3	1	1	1	1
34000	-213.000628571600856	-211.637619339417967	-1.363009232182878	0.000078588899362	0.000048628720622	0.618773402057744	0.636358844631163	0	1	3	4	8	11	12	15	15	13	18	17	17	19	21	21	20	19	23	22	20	20	21	22	22	25	25	27	26	27	29	29	31	0	1	2	3	0	5	6	10	7	5	13	8	8	13	12	13	11	0	14	11	11	12	11	16	16	20	12	24	13	24	27	28	31	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	2	1	1	2	2	2	1	2	1	1	2	3	3	4	2	2	1	1
34500	-195.503304309090140	-194.042732195321577	-1.460572113768567	0.000104352715464	0.000034021299171	0.326022174118675	0.581597742969103	1	2	4	5	8	12	12	15	15	14	18	17	18	18	20	20	21	20	23	21	20	21	22	21	22	24	25	27	26	26	29	30	33	0	1	2	3	0	5	5	10	5	7	10	10	10	10	11	13	16	0	20	21	13	15	16	15	13	20	22	12	20	24	30	30	31	1	1	1	1	1	2	2	1	3	1	2	2	2	3	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	2	2	2	2
35000	-199.824592973125561	-198.452299330952314	-1.372293642173243	0.000078318095228	0.000053921724398	0.688496371632773	0.682082257855371	0	2	4	5	9	12	13	16	14	14	16	17	18	19	20	21	21	20	21	21	20	21	20	21	22	23	25	26	25	25	29	30	31	0	1	2	3	0	5	5	10	5	6	10	10	11	11	12	13	13	0	11	14	14	12	11	15	14	23	22	24	19	24	28	24	31	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	2	1	3	1	1	2	2	1	1	1	2	2	2	2	2	5	1
35500	-200.440706838671446	-199.053808380679328	-1.386898457992118	0.000084065844547	0.000036006263067	0.428310252049646	0.592830701148344	-1	1	3	5	8	12	13	16	14	13	15	17	18	20	19	21	20	20	20	21	20	21	21	21	23	23	25	26	27	28	30	30	33	0	1	2	3	0	5	5	10	5	6	10	11	11	8	12	13	8	0	13	13	11	15	13	15	21	20	22	24	21	24	28	28	31	1	1	1	1	1	2	2	2	2	1	1	1	1	3	1	2	2	1	1	2	3	1	2	1	1	1	2	2	4	3	1	1	2
36000	-205.576326210234583	-204.209863294764062	-1.366462915470516	0.000087742315138	0.000043783325985	0.498998982606658	0.612766688613574	-1	1	3	5	9	12	13	15	15	14	16	17	17	19	20	21	22	18	23	21	19	19	20	22	22	25	25	25	28	28	29	30	32	0	1	2	3	0	5	6	10	7	5	10	8	11	13	12	11	11	0	14	21	11	12	11	15	14	14	22	24	21	24	28	30	31	1	1	1	1	1	2	1	1	1	3	1	1	1	1	2	2	3	1	2	1	2	1	3	1	2	3	3	1	4	3	3	1	2
36500	-208.525621842766469	-206.844487569289669	-1.681134273476791	0.000079417373403	0.000016638929395	0.209512461596739	0.656183800776313	0	1	3	4	9	12	13	16	15	15	16	17	18	19	20	20	21	18	22	22	20	21	20	22	22	23	25	25	27	28	27	31	31	0	1	2	3	0	5	5	10	7	5	10	10	11	11	12	11	13	0	11	11	13	12	11	12	13	23	22	24	26	28	28	30	31	1	1	1	1	1	1	2	1	2	3	1	1	2	2	2	3	1	1	2	3	1	2	2	2	2	2	2	1	2	2	1	1	1
37000	-198.768520445261828	-197.405541107218767	-1.362979338043052	0.000090458546471	0.000047487954296	0.524969238931437	0.655229293557745	0	2	3	4	9	12	13	15	16	14	17	17	16	19	18	19	21	20	23	21	20	21	20	22	21	25	25	26	27	28	27	31	33	0	1	2	3	0	5	5	10	6	6	13	8	10	11	12	13	16	0	14	16	16	12	13	12	16	23	15	24	23	31	22	28	32	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	2	2	3	3	4	1	2	3	1
37500	-204.942471674696776	-203.567474246968430	-1.374997427728344	0.000084306059342	0.000059284640874	0.703207353492204	0.764537650138070	0	2	4	5	9	12	13	15	15	14	18	16	17	20	20	20	18	20	20	22	21	20	21	22	22	24	24	26	27	25	28	31	32	0	1	2	3	0	5	5	10	5	6	13	10	8	13	12	13	8	0	11	14	16	12	11	16	13	14	22	30	23	24	28	28	31	1	1	1	1	1	2	1	1	4	1	1	1	1	2	2	2	1	1	1	2	1	2	2	1	2	2	2	1	3	1	1	2	3
38000	-197.141735808785995	-195.760810013790945	-1.380925794995039	0.000079599157935	0.000058270066367	0.732043753703549	0.519731613807914	0	2	3	4	8	12	13	16	12	14	17	17	18	20	20	21	20	20	23	20	20	21	19	21	22	23	24	27	27	27	29	30	31	0	1	2	3	0	5	6	10	5	6	8	10	10	13	12	14	13	0	16	23	13	12	11	15	14	23	8	24	19	27	28	30	31	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	3	2	2	1	1	2	1
38500	-190.040421483611681	-188.679253287124794	-1.361168196486888	0.000074035592360	0.000040838973295	0.551612704016199	0.705899381928958	0	1	3	5	9	12	14	16	15	14	17	18	18	20	20	21	22	20	22	21	19	20	22	21	23	25	24	25	28	28	29	30	31	0	1	2	3	0	5	5	10	5	6	8	10	11	11	8	11	16	0	16	13	11	12	13	12	13	25	22	24	26	28	28	30	30	1	1	1	1	1	2	2	1	3	1	1	2	1	2	1	2	1	1	1	2	1	1	1	2	3	1	2	2	1	2	3	1	1
39000	-205.178564669812289	-203.754241895507874	-1.424322774304418	0.000073587244744	0.000026857392828	0.364973480403387	0.707158561619462	0	2	4	5	9	11	13	15	16	14	17	17	18	20	20	21	21	20	22	21	20	21	21	21	22	24	25	23	28	26	28	29	32	0	1	2	3	0	5	6	10	6	5	10	8	10	11	12	14	13	0	16	13	13	15	14	12	14	21	22	24	26	28	30	31	31	1	1	1	1	1	1	1	1	4	2	2	1	3	2	2	1	2	1	1	1	2	1	1	2	1	1	2	1	2	2	2	1	3
39500	-188.835238205022023	-187.463842136201606	-1.371396068820406	0.000067346299532	0.000046018396737	0.683309952541975	0.704771616308651	0	2	3	4	7	12	12	15	16	14	17	17	18	19	20	20	22	20	22	21	20	20	19	22	21	24	23	25	28	26	29	31	32	0	1	2	2	0	5	5	10	6	6	8	10	11	11	8	13	14	0	16	16	13	12	11	22	14	17	24	24	26	28	30	30	31	1	1	1	1	1	2	2	1	2	1	1	2	1	1	3	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	2
40000	-203.648280585657488	-202.135044522399511	-1.513236063257966	0.000108602686291	0.000031033846995	0.285755795316529	0.755006619790651	0	1	3	4	9	11	13	15	16	14	17	17	19	20	20	19	22	21	22	22	20	21	21	21	22	25	25	26	28	28	28	30	32	0	1	2	3	0	5	6	10	7	6	10	10	11	11	8	11	16	0	13	16	11	8	16	12	21	21	22	24	20	28	28	30	31	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	2	1	3	1	2	3	1	2	1	2
40500	-186.358090268267944	-184.908000460741562	-1.450089807526376	0.000080733940216	0.000027126753533	0.336001853253990	0.777092437748920	0	2	4	5	8	12	13	15	15	13	17	18	19	20	20	21	22	21	22	21	20	20	20	22	22	24	25	27	28	24	29	30	32	0	1	2	3	0	5	5	10	7	6	8	10	11	11	12	8	16	0	14	23	11	12	11	15	23	23	22	30	16	24	28	31	31	1	1	2	1	1	2	2	1	1	1	1	2	1	1	1	3	1	1	1	1	2	1	2	1	1	2	2	2	2	1	1	1	1
41000	-198.520685130744937	-197.127367995984315	-1.393317134760617	0.000101819505755	0.000042185910058	0.414320514966206	0.605379237791148	-2	1	3	5	9	12	12	15	15	14	17	17	18	19	19	20	20	20	22	22	21	19	19	21	23	24	25	26	27	27	29	29	33	0	1	2	3	0	5	5	10	6	6	8	8	11	11	12	11	11	0	13	14	16	12	13	12	11	13	22	24	26	24	28	28	31	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	4	2	2	3	2	3	1	2	2
41500	-187.847877601651305	-186.472979396206540	-1.374898205444767	0.000073729710479	0.000051809016880	0.702688462270567	0.687285588985906	0	2	4	5	8	12	13	16	15	15	17	18	19	19	20	21	21	21	22	22	21	20	21	22	22	24	25	26	28	27	30	30	33	0	1	2	3	0	5	5	10	6	5	10	8	11	11	12	14	13	0	16	13	14	8	14	22	13	20	12	24	26	28	27	28	31	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	4	2	2	1	2	2	2
42000	-222.076986252389020	-220.716122745740250	-1.360863506648762	0.000060912180799	0.000035052343199	0.575457038950035	0.591967126429989	0	1	3	5	9	12	14	15	16	14	17	18	19	19	21	20	21	20	22	21	20	21	22	21	22	24	26	26	27	26	30	30	33	0	1	2	3	0	5	6	10	7	5	10	10	11	11	12	11	14	0	13	14	10	16	11	12	12	16	22	10	20	24	28	30	31	1	1	1	2	1	2	1	1	2	4	1	2	2	2	2	2	1	1	2	1	2	1	2	1	2	2	2	5	3	3	2	2	2
42500	-216.546939555930322	-215.144480897136475	-1.402458658793860	0.000101734101366	0.000040414647813	0.397257628167799	0.764041659731917	0	1	3	5	9	11	13	16	15	14	16	18	17	19	21	21	20	21	22	22	21	19	20	21	22	23	25	24	26	27	29	31	31	0	1	2	3	0	5	6	10	5	7	10	13	10	11	12	23	14	0	23	23	23	8	11	8	13	20	22	24	23	22	28	31	31	1	1	1	1	1	1	1	2	3	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	3	4	2	1	2
43000	-186.079681332445119	-184.708240263327781	-1.371441069117343	0.000090828351478	0.000043137453645	0.474933794819615	0.790752334674049	-1	2	3	5	8	12	14	15	16	14	17	17	18	20	20	19	21	20	22	22	19	19	21	22	23	24	25	27	26	28	30	29	33	0	1	2	3	0	5	6	10	7	6	8	8	11	16	22	13	13	0	16	21	11	12	13	12	16	20	22	24	16	24	28	28	30	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	3	2	3	3	2	1	3
43500	-211.428505846930591	-210.067256982223057	-1.361248864707537	0.000094310863816	0.000055711450203	0.590721449772527	0.619873656019337	-1	2	3	4	8	11	13	15	15	14	17	16	17	19	20	21	20	21	20	22	20	21	21	22	22	24	26	27	25	27	29	29	31	0	1	2	3	0	5	5	10	6	6	12	10	8	13	14	13	13	0	12	14	13	13	13	15	17	23	15	24	26	24	30	28	27	1	2	1	1	1	2	2	1	2	1	1	2	1	1	1	2	1	1	3	1	1	1	2	1	1	2	2	3	1	2	1	1	2
44000	-217.609386030296264	-216.185690547186454	-1.423695483109822	0.000069601192910	0.000061775471897	0.887563406803714	0.477549121062617	0	2	4	5	8	12	12	16	15	14	16	17	18	20	20	20	22	18	22	22	20	20	21	22	22	25	25	26	27	27	29	31	31	0	1	2	3	0	5	5	10	7	7	10	8	8	11	12	8	16	0	16	14	13	12	16	8	23	13	23	24	23	12	30	30	31	1	1	1	1	1	2	3	2	3	1	1	1	2	1	2	3	1	1	1	2	1	2	1	3	1	3	2	3	3	4	1	2	1
