step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
1	-1958.532983124077418	-1957.070901039558521	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.086568504068461	0	6	7	9	9	9	10	12	11	13	13	15	16	17	18	20	21	21	21	22	26	24	24	25	26	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	5	5	5	5	6	6	7	7	8	8	9	9	10	11	11	11	11	13	12	12	13	13	14
500	-366.922131981103291	-363.997984030916086	-2.924147950187214	0.000009984159967	0.000051872322042	5.195461832726687	0.149307111776219	0	6	8	10	8	8	10	13	12	12	12	14	16	17	15	21	21	19	21	22	27	24	23	24	26	29	0	1	2	3	2	0	6	4	2	4	7	6	4	12	2	2	9	15	6	15	15	15	2	15	6	6	1	3	1	2	1	1	1	2	4	1	1	3	2	2	4	6	5	2	7	4	11	6	9	3	9	11
1000	-260.119459955007017	-257.483678698222661	-2.635781256784347	0.000010014098395	0.000041994727726	4.193560525400580	0.302307244651023	-2	6	8	9	9	9	11	11	9	12	13	15	16	17	17	19	20	21	21	23	26	25	25	25	25	28	0	1	2	2	2	0	6	4	2	2	7	6	4	12	2	15	2	15	6	16	20	18	15	15	19	6	1	5	1	1	2	1	1	2	2	3	1	2	4	1	6	1	6	1	6	2	2	2	4	4	2	10
1500	-261.099988644134271	-258.913627661164412	-2.186360982969854	0.000009931268702	0.000028200985043	2.839615550527127	0.349348129716963	-1	6	7	8	10	9	10	13	10	13	12	14	16	17	19	20	20	21	21	22	26	23	24	26	26	29	0	1	2	2	2	0	6	4	2	4	7	6	4	12	2	15	5	15	6	16	20	18	15	15	19	19	1	4	1	1	2	1	1	3	2	3	1	4	4	1	6	1	6	2	6	1	3	1	3	3	3	5
2000	-261.670129055850282	-259.581038915011050	-2.089090140839216	0.000009925400411	0.000025563736040	2.575587379972863	0.535854434159381	0	6	7	9	10	9	11	13	11	13	13	15	16	17	18	20	21	21	21	22	26	23	23	25	25	29	0	1	2	2	2	0	6	4	2	5	7	6	8	12	2	15	2	15	6	16	16	18	15	15	19	19	1	2	1	2	2	1	2	2	3	2	1	4	1	1	5	1	7	2	7	2	3	2	2	3	2	4
2500	-274.519529744351473	-272.020043094337211	-2.499486650014277	0.000009963646113	0.000037441793938	3.757840605164215	0.455677089922227	1	6	8	8	10	8	10	13	11	13	14	16	15	17	19	21	22	22	22	23	24	24	23	25	26	28	0	1	2	2	2	0	6	4	5	2	7	6	4	12	13	15	5	15	6	16	16	18	15	15	19	19	1	2	1	1	2	1	2	3	1	3	2	3	4	1	2	1	6	1	8	1	1	1	2	3	3	2
3000	-258.046271109123666	-256.234969179307654	-1.811301929816038	0.000009921370608	0.000018516534958	1.866328322031123	0.429503736631511	0	6	8	9	10	7	10	13	12	12	13	15	16	17	19	20	21	21	22	22	27	24	24	25	25	27	0	1	2	2	2	0	6	4	2	3	7	6	8	12	2	15	2	15	6	16	20	18	15	15	19	19	1	3	1	1	2	1	2	2	2	2	2	3	2	1	9	1	9	1	6	1	2	2	2	3	2	3
3500	-258.055457495534370	-255.673253086030201	-2.382204409504141	0.000009874067309	0.000033581307394	3.400959943270149	0.342240943308961	0	6	8	8	10	10	11	12	12	14	14	16	16	17	18	20	20	21	22	23	25	25	23	25	27	27	0	1	2	2	2	0	6	4	2	2	7	6	4	12	2	15	15	15	6	16	16	18	15	15	19	19	1	3	1	1	2	1	1	2	2	3	2	3	3	1	5	1	1	2	5	1	3	2	3	3	2	2
4000	-255.194192622707760	-252.722509921607269	-2.471682701100479	0.000010011842215	0.000036761097431	3.671761564160112	0.519818592294691	0	6	8	10	8	9	11	12	11	13	13	15	16	17	19	20	21	22	21	22	26	25	23	25	25	27	0	1	2	2	2	0	6	4	5	4	7	6	8	12	2	15	5	15	6	16	20	18	15	15	19	19	1	2	1	2	1	1	1	1	2	1	1	3	2	1	5	1	6	2	6	1	2	1	2	2	2	3
4500	-253.719618559171408	-252.140111422085198	-1.579507137086212	0.000011089434211	0.000014442112494	1.302330869105442	0.333337948860214	1	6	8	8	8	9	10	12	10	13	11	15	16	18	19	20	21	22	22	22	26	24	22	23	26	26	0	1	2	2	2	0	6	4	2	8	7	6	8	12	2	15	2	15	6	16	16	18	15	15	19	19	1	3	1	1	1	1	1	2	2	1	1	2	2	2	5	1	8	2	6	1	3	1	2	3	3	2
