step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62
1	-7224.369184760502321	-7222.907102675983879	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.872418770778692	2	3	4	3	4	5	8	7	7	7	10	9	8	10	11	12	11	12	11	14	12	13	15	13	15	15	17	14	17	17	16	15	16	16	16	17	18	18	18	18	18	19	18	18	19	19	18	21	20	22	20	20	21	21	22	23	23	26	25	26	29	30	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	4	4	3	4	5	5	5	5	5	6	5	6	7	6	7	7	8	6	8	8	7	7	7	7	7	8	8	8	8	8	8	9	8	8	9	9	8	10	9	10	9	9	10	10	10	11	11	12	12	12	14	14
500	-524.192815020529565	-522.376586353480548	-1.816228667049061	0.000009972541512	0.000018732856616	1.878443583609828	0.382514052465962	0	3	5	4	3	5	6	7	7	7	9	10	7	10	12	12	11	13	9	13	13	13	15	12	15	15	17	14	17	15	17	13	16	16	16	17	17	19	18	17	18	20	18	19	19	18	19	20	20	20	21	21	19	21	22	24	24	26	26	26	29	30	0	1	2	2	0	4	5	6	6	7	10	9	7	6	12	19	13	11	13	19	17	19	18	19	20	19	24	32	26	22	22	19	20	26	22	24	20	26	30	33	27	26	24	26	35	36	40	39	19	43	22	27	39	26	50	30	22	48	48	56	0	1	1	2	1	1	1	1	2	1	1	1	1	2	1	3	1	2	3	2	1	3	1	3	1	2	1	4	3	1	2	1	2	2	2	1	2	2	2	3	2	1	1	3	4	2	2	1	1	1	5	1	5	2	1	4	1	5	7	4	5	1	1	13
1000	-474.211466870108950	-472.592335678801476	-1.619131191307464	0.000009944957372	0.000013915456682	1.399247494084207	0.521487419138628	0	2	4	3	4	5	8	7	7	5	11	10	9	10	12	13	11	12	10	15	13	14	15	13	15	14	17	13	16	18	16	15	15	16	15	16	17	17	19	18	19	20	18	18	20	19	19	22	21	20	21	21	21	22	22	23	23	24	25	27	30	31	0	1	4	2	0	4	10	6	6	5	7	9	7	9	12	19	13	7	13	26	17	28	18	19	28	19	26	13	28	28	22	26	24	24	22	22	28	29	22	33	40	34	34	16	35	36	33	30	41	43	35	30	39	49	50	30	53	48	56	58	0	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	1	2	1	1	1	1	1	1	2	2	1	1	2	3	2	4	1	1	1	2	1	1	1	1	3	2	1	2	1	2	2	2	1	2	1	1	3	1	1	1	1	2	1	1	1	2	1	13
1500	-444.195020811425479	-442.802187970050454	-1.392832841374998	0.000009917790225	0.000007752858721	0.781712311419487	0.639768066441585	2	3	4	4	2	5	8	8	7	6	10	9	9	10	11	12	11	12	11	15	13	13	15	13	14	16	17	15	17	17	17	15	16	16	16	17	18	19	18	17	18	19	17	19	19	19	18	21	19	20	21	21	20	21	22	23	23	25	24	26	28	30	0	1	2	2	0	4	10	6	6	5	7	9	10	8	12	19	13	11	13	16	17	19	18	13	24	16	19	24	20	22	35	24	24	16	22	35	20	29	30	33	33	27	24	24	35	36	27	30	41	43	35	46	30	49	50	48	53	56	56	58	0	3	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	3	1	2	3	1	1	2	1	1	1	3	2	1	1	1	1	1	1	1	1	4	2	1	1	2	1	3	2	1	1	2	1	1	1	1	1	1	1	12
2000	-448.039391125949180	-446.161756478112295	-1.877634647836898	0.000009908279938	0.000020119719812	2.030596626084635	0.633478682098338	2	3	5	4	4	5	8	8	7	6	10	9	9	11	11	13	11	12	10	14	13	14	15	13	15	16	17	14	17	18	16	15	17	16	16	15	19	19	17	17	19	19	18	18	20	18	18	20	19	23	20	20	22	22	22	23	23	25	25	27	28	30	0	1	2	2	0	4	10	6	6	5	7	9	7	6	12	19	13	11	13	19	17	16	18	19	20	20	16	19	28	40	22	28	16	28	22	20	28	29	22	19	20	28	34	20	35	36	33	39	40	55	35	46	48	49	42	48	53	56	56	58	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	2	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	3	1	2	3	3	4	1	2	2	1	1	2	1	1	2	1	1	2	1	2	1	2	1	1	1	13
2500	-426.291906646255711	-424.368268388292904	-1.923638257962820	0.000010023280286	0.000021511687895	2.146172438656720	0.674189613396046	2	3	4	4	4	5	8	7	8	6	10	9	8	10	10	12	11	11	9	14	12	14	13	13	15	14	17	13	17	16	16	15	16	17	16	16	18	19	19	17	18	19	18	18	19	19	18	20	19	22	20	21	22	21	21	23	23	24	25	26	30	31	0	1	2	2	0	4	10	6	6	5	7	9	10	6	12	19	13	11	13	16	17	28	18	19	28	28	24	19	32	22	22	16	20	32	22	22	24	29	30	33	33	34	27	28	35	36	33	39	41	55	45	46	48	49	43	48	53	48	56	58	0	3	1	1	1	1	1	1	2	1	2	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	2	1	1	2	1	2	1	1	1	1	3	2	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	11
3000	-453.571930229283055	-452.066228186648004	-1.505702042635034	0.000009872121046	0.000011023820260	1.116661779998065	0.517440649390308	2	3	4	4	3	5	9	7	7	7	11	9	9	10	10	11	11	13	12	14	12	13	15	13	16	15	17	14	15	15	17	16	17	16	17	17	18	17	19	16	19	18	19	18	18	19	19	20	20	23	20	21	22	22	22	23	24	24	25	27	29	29	0	1	2	2	0	4	10	6	6	5	10	9	10	8	12	13	13	11	16	24	17	16	18	19	28	24	19	19	19	22	22	19	40	16	22	22	24	29	30	24	40	34	34	24	35	36	40	30	37	55	35	46	39	49	42	48	53	48	56	58	0	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	2	1	2	2	1	2	2	2	4	1	3	1	2	1	1	2	1	1	2	2	1	1	1	1	1	1	3	1	2	2	1	2	1	10
3500	-435.163671423214851	-433.669604857712613	-1.494066565502230	0.000010388378444	0.000011284675113	1.086278784879375	0.633608330207356	2	3	5	4	4	5	9	7	7	6	8	9	8	10	12	13	12	12	11	14	13	13	15	13	16	15	18	14	17	16	16	15	16	16	16	17	19	18	18	19	18	19	18	18	19	19	19	21	21	23	21	21	21	22	22	24	24	25	25	27	28	28	0	1	2	2	0	4	10	6	6	5	10	9	10	9	12	19	13	11	13	19	17	17	18	19	32	24	32	24	20	22	22	24	20	20	22	22	26	29	30	33	20	34	34	26	35	36	33	30	41	55	45	46	30	49	43	48	53	48	48	58	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1	2	1	1	2	1	1	1	2	1	2	2	2	1	1	1	1	2	2	1	1	2	2	2	1	2	2	1	2	3	1	1	1	1	3	1	3	2	1	2	1	2	1	8
4000	-415.636396184065973	-414.136763830746872	-1.499632353319124	0.000011036072214	0.000012149242610	1.100866537817802	0.729488157721928	2	3	5	4	4	5	8	7	7	6	10	9	8	10	12	13	11	11	11	15	13	14	16	13	16	15	16	15	17	17	16	15	14	17	17	17	18	19	19	18	18	19	19	18	19	19	17	21	19	21	20	20	21	21	23	23	24	26	26	27	29	29	0	1	2	2	0	4	10	6	6	5	10	9	10	8	12	19	13	11	13	19	17	19	18	19	20	19	16	24	32	22	22	24	24	28	22	22	20	29	30	33	33	34	34	20	35	36	33	30	41	42	35	46	39	49	50	48	53	56	56	58	0	14	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	1	2	1	2	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	2	1	1	6
4500	-448.433488965344168	-446.554287980592505	-1.879200984751638	0.000011856312971	0.000024121763744	2.034508012962335	0.602673987036396	0	2	5	4	4	5	8	7	8	6	10	9	7	10	12	13	11	13	10	14	13	14	16	13	15	16	18	13	17	18	17	15	17	16	16	17	19	18	19	19	17	20	18	17	19	19	19	21	20	23	20	20	20	21	21	23	23	25	24	27	29	28	0	1	2	2	0	4	10	6	6	5	10	9	10	8	12	19	13	11	13	19	17	19	18	19	19	16	32	19	24	35	22	16	28	28	20	28	16	29	30	33	24	27	34	20	35	36	33	30	41	43	45	46	30	49	34	48	53	56	48	58	0	3	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	2	2	1	3	1	2	2	2	2	1	2	2	3	1	2	1	1	1	1	2	3	1	1	1	3	1	1	1	2	2	1	2	2	3	1	1	1	1	2	1	2	1	2	2	1	9
5000	-418.656791522981109	-417.072490465569956	-1.584301057411167	0.000015312068345	0.000020121904935	1.314120632257566	0.697833529737093	0	2	4	3	4	5	9	8	7	7	10	10	8	10	12	12	10	13	9	14	13	14	16	13	15	15	17	15	15	17	16	14	16	17	17	17	19	17	19	19	18	19	18	18	20	19	18	20	20	22	19	21	22	22	20	23	23	25	25	27	29	30	0	1	2	2	0	4	10	6	6	5	7	9	10	8	12	19	13	11	13	24	17	24	18	19	24	13	32	19	24	16	22	16	24	26	32	22	27	29	30	24	28	34	34	28	35	36	33	30	41	43	35	46	48	49	43	48	53	56	56	58	0	8	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	1	2	1	1	2	1	3	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	9
5500	-412.110474910232085	-410.712008043648098	-1.398466866583975	0.000020204116119	0.000016221338903	0.802872979327588	0.598438870437186	2	3	4	4	5	5	8	7	8	7	10	9	9	9	12	12	11	12	11	14	13	14	16	13	16	15	17	15	16	18	15	14	16	16	17	16	19	18	19	19	18	19	18	19	17	18	17	20	19	23	19	21	21	22	22	23	22	26	25	25	30	29	0	1	2	2	0	4	10	6	6	5	7	9	7	6	12	19	13	10	13	19	17	13	18	19	16	24	24	32	24	45	22	16	32	24	22	22	32	29	22	47	20	34	34	20	22	36	33	39	25	55	45	46	39	49	43	48	53	56	56	56	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	3	1	2	1	3	2	1	2	2	2	1	2	1	1	2	1	2	1	1	2	1	3	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	12
6000	-361.316435831312390	-359.893219760409806	-1.423216070902568	0.000049449918447	0.000018118418747	0.366399365590935	0.636729516398908	1	3	5	4	5	6	8	7	7	7	10	10	6	10	12	12	10	12	11	15	13	14	15	14	16	14	17	14	17	16	16	16	16	16	17	17	19	19	19	19	18	19	18	18	19	19	17	22	21	23	20	21	21	22	21	24	23	27	26	25	29	29	0	1	2	2	0	4	10	6	6	5	7	9	5	6	12	19	13	10	13	16	17	16	18	16	20	16	32	16	19	22	22	24	28	19	22	22	19	29	35	33	33	27	34	32	22	36	33	30	47	55	35	46	39	49	43	48	53	56	48	48	0	14	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	3	2	1	1	1	2	2	1	2	1	1	3	1	1	1	1	2	2	2	3	1	1	2	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	1	9
6500	-388.330439557864963	-386.708910240735008	-1.621529317129947	0.000117998312423	0.000027264205924	0.231055897026841	0.572547801094046	1	2	4	3	5	5	9	7	8	7	10	9	9	10	11	12	10	11	11	12	12	13	15	13	14	16	18	14	17	17	16	16	17	15	16	16	19	19	18	16	18	18	18	18	20	20	19	21	19	22	21	20	20	21	23	23	24	26	25	27	30	28	0	1	2	2	0	4	5	6	6	5	10	9	10	8	12	13	7	7	10	10	19	19	10	20	19	21	32	24	24	36	22	34	40	24	25	25	32	28	30	25	26	34	34	19	25	42	40	47	27	34	35	20	39	49	47	50	48	56	39	58	0	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	2	3	1	2	3	1	2	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	4	3	1	2	1	1	3	3	3	1	1	2	1	2	2	3	1	1	11
7000	-386.430074447007826	-384.445601494876996	-1.984472952130842	0.000138552948526	0.000019545214027	0.141066749103865	0.558908716106348	2	3	5	3	4	5	9	6	6	8	11	9	8	11	10	12	10	12	11	15	13	14	15	13	15	15	17	14	17	17	17	15	16	16	16	17	18	17	19	18	18	19	18	17	20	20	18	21	20	22	21	21	20	22	19	23	23	26	25	25	28	30	0	1	2	1	0	4	13	4	6	5	7	6	5	8	9	13	10	19	13	13	13	16	18	16	16	24	24	24	32	22	19	24	32	19	22	20	20	26	30	33	24	34	33	26	42	36	33	39	41	41	36	21	30	49	21	19	48	60	53	48	0	8	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	2	1	1	2	3	3	1	1	1	1	1	2	1	1	2	3	2	1	2	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	2	2	5	2	1	3	6	1	1	2	2	1	10
7500	-393.674989335604891	-391.925987245639931	-1.749002089964989	0.000149989937002	0.000028408580176	0.189403240935487	0.554073510972134	1	2	4	3	3	6	6	7	7	8	9	10	8	10	11	11	11	11	11	15	13	14	16	13	15	15	17	14	17	17	16	13	16	16	15	17	16	19	17	18	18	19	18	19	20	18	17	22	20	20	20	20	20	22	21	23	23	23	25	26	28	30	0	1	2	2	0	3	5	4	6	7	10	4	7	6	8	13	13	10	13	32	17	32	18	19	32	32	28	19	19	25	22	19	24	32	22	24	19	20	35	33	37	27	27	20	19	20	33	45	29	43	37	30	39	49	26	48	53	48	56	48	0	3	1	1	1	1	1	1	1	2	1	1	1	3	1	2	2	2	1	2	1	1	1	1	2	1	1	1	2	1	3	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2	4	2	1	1	2	1	2	1	2	1	4	1	2	1	1	3	1	15
8000	-424.928192589344974	-423.329645060512007	-1.598547528832985	0.000189830158951	0.000045683448926	0.240654325835723	0.492089173567362	1	2	4	4	3	6	9	8	7	6	10	9	9	10	11	12	11	13	11	14	12	13	15	13	15	16	17	15	18	18	16	15	16	16	16	17	18	19	18	18	19	20	19	19	20	20	18	21	19	22	21	20	20	21	19	23	23	27	26	25	28	30	0	1	2	2	0	4	10	6	6	5	10	9	10	6	9	13	10	11	11	11	10	13	18	13	13	11	33	20	25	22	20	21	28	32	16	28	27	47	26	33	29	20	16	30	47	55	33	52	25	27	43	36	31	19	35	48	47	59	56	39	0	3	1	1	1	1	1	1	2	1	1	2	2	2	2	2	3	2	2	1	1	2	3	2	1	3	2	3	1	1	2	3	1	1	1	1	2	1	1	1	1	1	1	4	2	1	1	1	2	1	2	3	1	2	3	4	2	1	4	1	2	3	1	12
8500	-389.925913655199281	-388.162233395506576	-1.763680259692696	0.000140148838539	0.000026002628167	0.185535809201353	0.492963578265564	1	3	4	4	2	5	7	7	7	8	9	9	9	10	12	12	11	12	11	14	12	13	16	14	14	15	18	14	17	17	17	15	15	17	16	17	18	19	19	18	18	19	18	18	19	20	19	20	19	22	20	19	21	22	22	23	23	25	24	26	29	30	0	1	2	2	0	4	5	6	6	7	5	9	7	8	6	19	11	7	13	21	11	19	11	10	16	19	30	19	32	26	22	19	25	25	24	20	18	29	30	33	25	16	26	21	35	32	34	36	41	40	39	32	39	49	34	46	53	56	39	58	0	1	1	2	1	1	1	1	2	2	1	1	3	1	1	2	2	1	1	3	1	2	2	1	4	3	1	2	1	2	1	1	2	3	1	2	1	1	4	1	2	2	2	3	2	4	2	2	1	1	1	2	1	2	1	2	2	1	1	1	2	1	1	13
