step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14
10000	-78.904416026493521	-85.759903977452893	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.787383022460575	3	5	4	5	7	6	4	8	9	9	11	12	14	17	0	1	1	1	4	2	1	1	5	1	5	5	12	13	1	1	1	1	1	1	1	2	1	2	2	2	1	1
10500	-93.600938299335013	-100.456426250294385	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.540571266836575	2	4	4	5	8	6	5	9	8	10	11	12	14	16	0	1	1	1	7	2	1	2	4	1	5	5	12	12	1	1	1	1	2	1	2	3	1	5	2	2	1	2
11000	-88.687807021828732	-95.543294972788104	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.576373124868268	2	3	4	4	7	6	5	6	9	10	10	12	15	17	0	1	2	1	4	2	2	1	5	1	5	5	12	13	1	1	1	1	2	3	1	2	1	3	1	2	2	1
11500	-84.890487704611374	-91.745975655570746	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.818487982276795	2	6	4	4	7	3	6	7	8	9	10	12	14	17	0	1	1	1	4	1	1	2	5	7	5	5	12	13	1	2	1	1	1	1	2	1	1	2	2	2	1	1
12000	-88.540578831909627	-95.396066782868999	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673361906252617	3	6	4	4	7	5	4	8	9	10	10	12	14	17	0	1	1	1	4	1	1	2	5	2	7	11	12	13	1	1	1	1	2	1	1	1	1	2	3	1	2	1
12500	-98.694020959279896	-105.549508910239268	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.432403826643495	1	3	5	4	7	6	6	8	8	9	11	13	14	16	0	1	2	2	4	2	2	5	5	7	4	11	12	13	1	1	1	1	2	2	1	1	1	1	4	1	1	2
13000	-96.160872840402774	-103.016360791362146	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.734650813888046	3	5	5	5	7	7	6	8	7	10	11	13	14	18	0	1	1	1	4	7	1	2	2	2	1	11	12	12	1	1	1	1	1	1	2	2	1	2	3	1	1	2
13500	-85.713480487528358	-92.568968438487730	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591497930907533	3	4	4	4	6	5	5	8	9	10	11	11	14	16	0	1	1	1	4	1	1	2	5	8	9	5	12	13	1	1	1	1	1	1	1	3	2	1	1	3	2	1
14000	-85.019795449249912	-91.875283400209284	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.810233745793540	2	4	4	5	7	6	4	6	9	10	10	12	14	17	0	1	1	2	4	2	1	2	5	1	5	11	12	13	1	1	1	1	1	1	1	1	2	2	2	1	1	1
14500	-78.909616922966677	-85.765104873926049	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.778624955446348	3	5	4	5	7	5	5	7	8	11	9	12	15	16	0	1	1	1	4	1	1	2	5	2	5	5	12	13	1	1	1	1	1	1	1	1	1	2	1	2	2	1
15000	-82.340875646258922	-89.196363597218294	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.530739240251935	3	6	5	5	7	7	5	9	8	11	11	13	15	17	0	1	1	1	4	2	1	1	5	2	5	5	12	13	1	1	1	1	1	1	1	3	1	3	2	3	1	1
15500	-90.876982272990247	-97.732470223949619	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635922846756752	3	6	5	5	8	7	6	8	9	11	10	12	14	16	0	1	1	1	4	2	1	1	5	2	5	11	12	5	1	1	1	1	2	1	2	2	1	3	1	1	1	4
16000	-81.115155976764271	-87.970643927723643	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.682566460565344	3	5	5	5	7	6	5	7	8	9	11	13	15	18	0	1	1	1	4	1	1	2	5	2	5	5	12	12	1	1	1	1	1	1	1	1	1	2	2	3	1	1
16500	-81.802481798985468	-88.657969749944840	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.588238689726305	3	5	4	4	8	7	5	8	9	11	11	11	15	17	0	1	1	1	4	2	1	2	5	2	5	5	12	13	1	1	1	1	2	2	1	2	1	2	2	2	2	1
17000	-91.139503745195100	-97.994991696154472	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.536733226227872	2	4	5	4	7	7	4	8	8	10	11	13	14	17	0	1	1	1	4	2	1	2	5	1	5	4	12	13	1	1	1	1	1	2	1	1	1	4	2	4	1	1
17500	-89.577705496712426	-96.433193447671798	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.491787879704422	2	4	5	4	7	7	5	9	9	10	10	11	14	18	0	1	1	1	4	1	1	6	5	2	5	5	12	13	1	1	1	1	2	2	1	1	1	3	2	1	2	3
18000	-85.112554730732114	-91.968042681691486	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648407082787916	3	5	4	5	8	6	5	9	8	11	11	11	15	17	0	1	1	1	4	1	1	2	4	2	5	5	12	13	1	1	1	1	2	1	1	2	1	3	1	2	3	1
18500	-85.184352608013583	-92.039840558972955	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.497581756535712	3	5	4	5	8	5	6	7	9	8	12	11	14	17	0	1	1	1	4	1	1	1	5	2	5	5	12	13	1	1	1	1	2	1	1	2	1	2	2	2	2	2
19000	-82.434983952681137	-89.290471903640508	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.488063002321122	3	6	5	5	7	7	6	8	9	11	12	12	14	18	0	1	1	1	4	1	1	7	5	2	5	5	12	13	1	2	1	1	1	1	2	1	1	2	2	2	1	2
19500	-86.680084129735476	-93.535572080694848	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667654286185338	3	6	5	4	8	5	6	8	9	10	12	11	14	17	0	1	1	1	4	1	1	7	5	2	5	5	12	12	1	1	1	1	2	1	2	1	1	2	1	1	1	2
20000	-76.490899967174798	-83.346387918134170	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.803928187740491	3	5	4	4	8	7	6	7	9	9	11	12	14	17	0	1	1	1	4	2	2	2	5	2	5	5	12	13	1	1	1	1	2	1	1	1	1	2	1	2	1	2
20500	-88.977793147644235	-95.833281098603607	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.578321730016586	2	4	3	4	7	6	4	8	9	10	9	12	14	18	0	1	1	1	2	2	1	5	5	2	5	5	12	13	1	2	1	1	1	1	1	1	1	2	1	3	1	2
21000	-79.182734625468825	-86.038222576428197	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.621403644099332	2	5	4	4	8	6	5	9	8	10	10	12	14	17	0	1	1	1	4	2	1	2	2	2	9	5	12	13	1	2	1	1	2	1	2	2	2	2	1	2	1	2
21500	-84.969650994266445	-91.825138945225817	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.669281175553215	3	4	5	5	7	6	6	9	8	10	12	11	14	17	0	1	1	2	4	1	2	2	5	2	5	5	12	13	1	1	1	1	2	1	1	2	1	3	2	2	1	2
22000	-105.084410568810767	-111.939898519770139	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667847975841110	1	5	3	4	6	7	5	8	9	10	11	12	14	18	0	1	1	1	4	2	1	5	5	2	5	9	11	13	1	1	1	2	1	1	3	1	1	1	3	2	1	3
