step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72
1	-5530.113273363632288	-5528.651191279113846	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.437379827048978	-1	1	2	3	4	5	7	8	7	8	9	9	9	8	9	8	11	9	10	10	10	11	11	11	10	11	12	13	11	12	14	13	13	16	14	14	16	16	16	16	17	18	17	18	18	17	18	19	19	20	21	21	20	22	21	23	22	24	25	27	25	28	28	30	29	32	33	32	32	32	34	37	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	4	5	4	5	5	5	5	5	5	5	6	5	6	6	6	6	6	6	6	6	7	7	6	7	8	7	7	9	8	8	9	9	9	9	9	10	9	10	10	9	10	10	10	11	11	11	11	12	11	12	12	13	13	14	13	15	15	16	15	17	17	17	17	17	18	19
500	-1031.001375216270844	-1028.186845612448451	-2.814529603822293	0.000009998948303	0.000048007898913	4.801294842234218	0.199963704682619	-1	1	3	3	3	5	6	9	6	8	9	9	9	8	10	7	10	9	10	9	10	8	10	12	9	11	11	10	11	12	12	13	13	17	14	11	15	16	16	16	18	17	18	19	18	17	19	17	19	20	21	21	21	22	22	24	23	25	24	28	26	29	29	31	30	32	34	33	32	32	34	38	0	1	2	2	2	5	4	5	6	4	7	4	7	6	9	9	9	7	11	7	7	16	7	17	9	0	4	22	0	26	22	29	30	27	28	22	31	33	35	21	36	0	0	31	38	21	31	27	31	0	37	36	36	27	36	36	31	36	36	31	36	31	59	31	36	52	59	31	36	56	31	36	1	1	1	1	1	2	2	3	1	2	2	2	2	1	2	1	2	1	1	2	2	1	2	1	2	1	4	1	1	1	4	2	1	4	3	3	2	2	2	3	5	1	1	5	2	3	6	5	4	1	4	4	8	6	7	10	9	11	7	14	14	10	3	13	12	7	7	12	14	2	15	18
1000	-726.370595012784861	-724.886516348936993	-1.484078663847884	0.000009959946813	0.000010555770726	1.059821997494138	0.353783889664355	-1	1	3	3	3	5	7	8	6	9	10	9	8	9	10	8	12	10	11	11	10	9	11	11	11	11	13	12	11	12	11	14	14	16	14	14	14	15	16	17	16	15	17	18	18	18	17	19	19	20	21	22	20	23	21	20	23	25	22	28	23	28	28	31	30	32	33	33	32	32	35	37	0	1	2	2	2	5	4	6	6	7	7	7	7	8	9	9	9	10	12	12	7	16	13	16	15	0	21	22	0	26	22	29	30	21	28	31	31	30	35	27	36	0	0	41	38	27	37	40	41	0	44	56	37	42	37	28	37	41	37	37	31	31	59	59	56	59	59	59	56	62	59	56	1	1	1	2	1	1	3	2	1	1	2	1	1	1	2	1	3	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	4	1	2	3	1	1	2	2	1	1	1	2	2	3	1	2	1	2	2	3	6	4	7	6	7	6	13	6	13	2	4	6	6	5	7	9	3	12	14
1500	-581.663591010183495	-580.135926400675885	-1.527664609507595	0.000009980949980	0.000011707446767	1.172979204446075	0.441071513446026	-1	1	2	3	3	5	5	8	7	7	10	8	9	9	9	7	11	8	11	11	8	11	11	10	9	11	12	13	11	12	12	14	14	17	14	14	16	17	17	16	17	16	17	19	18	17	19	20	20	21	21	21	21	23	21	20	22	24	22	28	26	29	29	31	29	32	33	32	32	32	35	38	0	1	2	2	2	5	4	6	6	4	7	7	4	9	9	6	9	7	11	11	7	16	13	16	9	0	21	22	0	26	22	29	30	27	28	31	36	33	35	27	31	0	0	37	38	40	37	40	37	0	41	56	44	42	44	36	56	56	41	59	56	56	59	65	59	59	59	59	59	62	59	59	1	2	1	2	1	1	1	2	2	2	4	2	4	2	1	1	2	2	1	1	1	2	2	2	2	1	2	1	1	1	1	1	2	3	1	2	1	2	2	2	3	1	1	2	1	1	1	2	2	1	2	1	2	4	1	4	1	2	2	4	5	8	5	1	4	5	7	5	5	2	12	9
2000	-497.439849893083874	-495.920850626161496	-1.518999266922368	0.000009874997040	0.000011365144072	1.150901010529624	0.558866291805866	-1	1	2	4	3	5	6	7	7	8	8	10	8	8	10	9	11	10	10	10	10	11	11	11	11	11	12	12	11	12	14	13	14	16	14	15	16	16	17	15	16	17	17	19	18	17	19	16	19	18	21	22	21	22	21	21	22	25	23	28	25	29	27	30	29	33	33	32	32	33	34	38	0	1	2	2	2	5	4	6	6	4	7	7	7	8	9	9	9	10	11	7	7	16	13	16	9	0	21	22	0	26	28	29	30	27	28	31	31	33	35	21	31	0	0	41	38	34	31	27	37	0	44	56	49	50	49	49	56	56	56	63	59	59	59	62	59	69	59	59	56	69	56	66	1	1	1	2	1	1	1	1	2	3	1	2	1	1	1	1	2	1	1	2	2	1	1	1	3	1	2	1	1	1	1	1	2	2	1	1	2	1	2	3	1	1	1	2	2	1	2	3	2	1	1	1	1	3	1	1	1	2	2	1	1	5	2	1	4	1	6	5	5	1	8	4
2500	-440.746423854601403	-439.304471832240381	-1.441952022361007	0.000009921742864	0.000009353178573	0.942695119361734	0.780286612231104	-1	1	3	4	3	5	7	7	7	8	9	8	10	8	10	9	11	10	11	11	10	10	12	11	10	11	12	12	12	13	13	13	14	16	15	15	15	15	17	15	16	17	18	18	18	18	18	19	19	20	20	22	20	23	21	21	23	24	23	27	25	29	28	30	29	33	34	32	32	31	34	38	0	1	2	2	2	5	4	6	6	7	12	7	12	8	9	9	9	10	11	7	12	16	13	16	9	0	21	22	0	26	28	29	30	27	28	31	31	33	35	27	37	0	0	41	38	40	41	34	37	0	44	56	49	42	49	49	52	56	56	59	59	59	60	62	59	69	64	64	62	62	56	71	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	1	1	1	1	2	2	1	2	2	1	2	1	1	3	1	2	1	1	1	2	1	4	1	1	2	1	2	1	1	2	6	2
3000	-435.948769303170138	-434.524591918916883	-1.424177384253254	0.000010064177211	0.000008947754393	0.889069638399480	0.662949643568872	0	1	3	3	3	5	7	7	8	9	8	9	10	8	9	8	10	10	11	10	11	11	11	12	10	11	13	13	11	12	14	13	14	16	15	15	16	17	17	16	17	18	17	18	19	18	19	20	19	20	21	22	21	23	22	21	23	23	25	27	26	28	29	30	29	33	33	32	31	32	34	37	0	1	2	2	2	5	4	6	6	7	7	7	12	8	9	6	9	10	11	7	12	16	13	16	6	0	21	22	0	26	28	29	30	21	28	31	36	30	35	21	37	0	0	41	38	27	41	27	41	0	41	56	49	42	49	49	52	56	56	59	59	59	60	65	59	69	64	64	62	62	59	71	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	3	1	2	1	1	1	1	1	1	2	1	1	1	2	2	3	1	1	1	1	2	3	1	2	1	1	2	1	1	3	2	1	1	1	2	1	1	2	1	1	2	1	2	1	2	2	5	2
3500	-449.141368252920813	-447.482139694227499	-1.659228558693342	0.000010318152828	0.000015441511661	1.496538374424013	0.802216746329935	-1	1	3	4	4	6	6	8	6	7	7	9	9	9	9	7	10	9	10	10	10	11	11	12	10	10	12	13	11	12	14	13	14	16	14	15	17	16	17	16	16	16	18	18	19	17	19	19	19	19	21	22	19	23	21	21	23	23	24	26	25	28	28	29	28	31	34	32	32	32	35	37	0	1	2	2	2	5	4	6	5	7	7	7	7	6	9	9	9	10	11	7	7	16	13	16	9	0	21	22	0	26	28	29	26	27	28	31	41	33	35	27	36	0	0	37	38	27	37	46	37	0	41	56	41	42	49	49	52	56	56	59	59	59	60	62	59	62	64	64	65	62	69	71	1	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	2	2	2	2	2	2	1	4	2	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	2	1	1	4	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	2	1
4000	-435.493182084231705	-434.002660977096241	-1.490521107135462	0.000009993748007	0.000010762569581	1.076930254164328	0.697840675513338	-1	2	3	3	4	6	6	8	7	9	9	9	8	8	10	9	12	10	10	10	11	11	12	11	11	11	13	12	10	12	13	14	13	15	14	15	15	16	17	17	18	17	18	18	18	17	18	19	20	21	20	21	20	22	22	20	23	24	24	26	26	29	29	30	29	30	33	32	32	30	35	37	0	1	2	2	2	5	4	6	6	7	7	7	7	6	9	9	9	10	11	7	7	16	13	16	9	0	21	22	0	26	28	29	30	21	28	31	31	30	35	21	37	0	0	37	38	34	37	40	41	0	37	56	44	42	49	41	52	56	56	59	59	59	60	62	59	65	64	64	66	62	69	71	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	1	1	2	1	2	1	1	1	2	2	2	2	1	1	2	1	2	2	1	1	1	3	1	1	3	1	1	1	1	1	1	2	3	1	1	3	1	1	1	1	1	2	1
4500	-435.000123004367595	-433.620808566992991	-1.379314437374631	0.000010537300847	0.000007635046417	0.724573259139829	0.754448835860223	-1	1	3	3	4	6	8	7	7	8	9	6	9	9	9	9	12	10	11	11	10	10	11	11	10	11	13	12	11	12	14	13	14	15	15	15	16	16	16	16	18	18	18	18	18	16	19	19	19	20	21	22	21	22	21	21	23	24	23	28	25	26	29	29	28	31	31	32	32	32	34	36	0	1	2	2	2	5	12	6	6	12	12	4	12	8	9	9	9	10	11	12	7	16	13	16	9	0	21	22	0	26	28	29	30	27	28	31	31	30	35	21	37	0	0	37	38	27	41	46	41	0	37	56	49	42	44	49	52	56	56	62	59	59	60	65	62	65	64	67	66	62	69	69	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	3	1	1	2	1	1	2	1	2	1	2	1	1	1	1	1	1	2	2	1	1	3	1	2	1	1	1	2	1	2	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	2	2	2
