step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79
1	-1538.082230725292675	-1547.133074105744072	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.128563967692411	4	14	17	21	41	41	37	35	40	44	42	45	56	41	39	43	44	47	43	41	46	43	52	48	46	49	48	46	44	63	46	49	56	53	43	51	55	47	52	45	52	48	48	51	51	50	48	53	55	48	52	51	55	52	52	53	55	55	52	62	60	53	60	55	60	67	65	57	61	61	63	66	66	65	66	66	73	73	77	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-460.368612257557288	-469.419455638008628	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.476648202282715	7	16	21	23	35	40	36	29	41	45	40	46	55	43	36	46	43	38	35	32	45	43	51	43	45	47	47	50	44	59	49	39	48	54	43	54	46	50	53	46	50	48	48	55	50	50	38	46	51	47	49	41	53	51	54	53	50	48	53	65	52	56	60	52	60	65	65	53	59	60	61	65	66	57	65	59	67	72	78	0	1	2	3	8	5	20	4	15	7	19	52	61	7	3	7	47	20	8	3	11	11	48	15	5	19	7	40	19	13	25	19	35	26	32	61	9	29	46	11	6	21	25	40	16	32	8	32	43	35	26	15	17	9	42	58	10	24	45	69	40	42	44	50	68	34	74	48	57	40	34	69	39	24	65	48	69	66	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-415.825715664470067	-424.876559044921407	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985363605349465	6	15	19	22	44	40	36	37	43	47	41	47	57	40	39	35	46	47	28	40	36	39	49	42	43	52	51	48	43	65	48	49	60	52	45	50	53	46	46	46	55	48	38	50	46	54	51	51	51	46	49	55	54	42	50	51	54	58	52	50	58	57	57	44	62	59	67	40	64	63	59	57	65	63	61	67	74	74	67	0	1	1	1	54	16	19	19	7	20	16	14	51	16	7	3	8	43	4	7	3	16	14	8	8	23	15	5	15	31	68	54	62	6	22	20	12	11	21	22	55	20	16	7	11	5	68	10	28	16	54	47	35	7	6	64	9	34	17	40	39	44	44	68	52	34	63	16	75	41	32	47	66	33	41	61	70	76	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-409.827362367251851	-418.878205747703191	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.957973242167940	1	13	17	20	40	30	37	26	42	41	39	34	59	37	37	39	41	45	35	42	47	43	53	45	45	49	42	46	45	57	40	50	48	54	42	49	56	43	50	46	48	38	46	54	54	47	51	54	51	50	48	40	56	53	46	52	58	54	50	63	58	52	59	48	53	56	56	45	57	58	65	60	67	68	57	64	73	72	73	0	1	2	2	14	4	12	2	12	7	15	8	49	12	6	6	14	16	6	7	10	16	26	6	11	27	15	52	16	32	14	55	31	43	12	18	10	31	43	7	20	12	20	18	47	5	43	38	20	25	7	19	18	59	7	20	54	10	20	36	54	40	47	5	5	36	68	5	48	58	72	50	75	70	62	61	74	57	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-414.308851971211766	-423.359695351663106	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993089104930978	6	11	20	22	43	41	31	38	38	44	39	32	53	42	40	42	35	42	45	37	41	35	50	51	34	52	50	45	33	60	46	45	55	51	42	50	55	48	53	40	43	45	49	55	41	54	53	47	49	50	52	47	50	48	46	51	54	58	45	62	57	55	55	55	56	64	57	50	60	61	67	65	59	64	60	66	74	64	73	0	1	2	2	25	8	3	17	25	20	25	4	32	9	7	8	7	9	9	7	9	29	55	42	7	38	48	9	3	57	6	11	50	5	20	14	42	20	19	9	15	14	14	32	25	68	36	17	55	55	32	21	16	17	9	52	43	57	14	26	15	42	49	56	38	65	13	16	54	65	60	30	50	33	23	65	70	58	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-409.669673166942289	-418.720516547393629	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997224946156240	5	13	21	13	43	41	40	35	40	47	44	46	52	43	39	37	43	49	47	30	48	31	53	48	34	45	50	47	46	58	48	51	57	50	37	48	56	43	43	45	49	49	45	51	51	47	41	56	54	51	53	47	55	53	50	55	53	59	45	59	61	55	57	52	60	56	61	58	57	64	62	67	64	65	69	68	59	73	68	0	1	2	1	25	20	35	22	8	47	35	7	21	7	20	22	35	46	35	3	26	2	14	7	4	9	59	14	38	36	35	28	50	29	22	7	51	35	35	35	43	38	47	12	31	6	8	52	46	6	43	17	43	40	38	59	41	45	9	6	21	23	13	24	13	40	31	51	55	37	68	27	61	69	61	30	41	72	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-402.508050341318949	-411.558893721770289	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999198104334680	7	11	21	22	30	41	40	36	37	41	40	39	51	41	36	40	37	45	44	34	42	40	55	52	46	52	46	44	45	58	44	47	52	51	43	54	54	47	54	45	46	52	45	49	47	46	43	52	39	48	50	53	54	57	54	50	48	55	51	62	61	54	59	50	62	70	69	60	60	56	59	64	62	59	66	64	71	66	70	0	1	1	1	4	8	15	4	3	8	20	20	31	15	5	20	20	12	9	3	8	9	57	32	16	38	7	22	21	48	21	10	19	31	8	32	57	49	64	9	7	29	11	43	17	15	49	46	20	17	43	47	43	44	50	40	14	42	38	37	30	31	29	21	58	73	74	42	36	59	36	39	51	36	60	64	65	63	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-403.953427497461803	-413.004270877913143	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980583053459513	1	12	18	23	41	42	29	32	40	46	40	45	54	37	38	40	44	48	37	34	43	43	51	49	47	45	49	47	40	61	45	48	39	50	43	53	57	43	48	47	46	45	50	38	52	45	42	54	57	38	53	53	58	51	55	52	55	54	54	63	61	47	58	51	56	67	65	51	61	51	56	62	65	64	58	67	67	77	81	0	1	2	2	14	15	4	3	7	47	8	14	40	7	8	19	50	22	8	7	29	14	20	31	19	16	38	5	19	58	14	6	8	35	20	47	46	44	50	16	14	19	46	20	10	11	50	27	64	7	34	54	17	31	40	40	9	18	40	71	34	35	38	47	64	69	26	41	68	21	62	32	49	37	58	74	61	76	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-430.899694964426203	-439.950538344877543	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999839987780560	2	12	19	25	32	45	28	37	38	47	35	35	57	39	43	43	48	47	38	33	41	39	45	50	41	44	36	46	40	60	51	50	31	56	45	51	54	51	52	46	54	45	51	39	46	52	44	50	56	47	49	44	55	52	54	52	57	53	44	53	57	55	54	43	55	52	63	58	60	59	61	59	66	64	61	68	75	68	73	0	1	2	3	4	25	3	7	11	59	5	7	41	12	21	11	16	21	5	7	7	7	29	59	5	29	7	27	7	23	15	19	4	50	25	10	14	18	15	29	9	9	19	5	29	45	44	47	60	64	22	22	43	29	18	17	54	32	21	10	24	43	56	27	42	14	68	53	47	24	54	37	13	70	63	71	67	71	34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-407.147327317913891	-416.198170698365232	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.967274462759832	5	7	16	23	40	43	34	35	41	40	37	45	56	41	40	39	45	50	40	42	34	45	44	41	45	49	43	47	45	59	48	44	56	57	27	52	58	45	46	45	55	49	44	49	49	51	46	50	53	50	50	47	48	54	48	54	57	46	54	55	60	52	56	52	55	68	64	54	48	61	59	58	49	67	67	66	68	74	70	0	1	2	3	7	19	35	4	8	7	35	16	38	21	7	21	5	12	21	21	35	15	11	11	15	32	14	16	24	13	23	9	52	45	4	53	44	10	19	16	6	24	19	29	27	31	24	22	27	15	40	5	24	50	32	12	44	15	39	62	46	69	55	40	25	70	13	22	10	54	60	46	21	55	49	41	56	67	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
