step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94
1	-1745.570467300984092	-1754.621310681435489	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.405163043132567	-2	11	22	20	26	25	30	36	30	31	29	30	38	46	33	36	32	32	41	32	32	32	35	38	38	36	42	43	36	50	40	38	38	44	38	45	44	40	44	41	46	54	38	46	42	50	49	43	44	47	46	47	55	51	47	52	44	50	49	53	47	47	49	53	52	49	55	53	58	56	52	52	50	58	63	50	51	52	55	54	52	54	58	55	64	57	54	61	58	62	64	63	72	67	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-484.654113516226687	-493.704956896678027	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997600127798950	-2	11	22	18	20	23	30	36	24	29	30	23	40	44	33	31	33	31	37	33	23	30	38	37	23	36	40	42	39	51	36	35	37	46	30	48	42	41	45	40	47	50	34	39	39	45	51	40	33	43	45	50	50	45	45	46	47	48	43	56	44	39	45	47	51	46	50	44	57	53	49	54	52	56	61	47	49	51	50	56	53	51	57	49	60	58	55	56	60	62	62	58	75	61	0	1	4	2	4	2	6	21	4	12	12	4	7	29	9	25	35	10	35	21	2	9	10	17	4	21	43	7	49	77	18	5	22	31	5	39	18	20	13	17	62	61	25	10	17	29	76	26	3	31	8	43	68	40	44	11	35	48	15	77	26	32	29	20	68	44	61	32	46	56	76	50	41	64	87	40	28	38	28	79	58	54	42	23	34	58	42	79	30	60	86	42	75	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-495.297705223188473	-504.348548603639813	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998719482967395	0	10	22	22	20	15	29	35	31	33	25	30	35	41	34	37	32	23	42	33	28	35	35	38	40	33	41	42	33	47	42	29	37	40	35	45	42	36	42	42	39	55	37	48	43	52	37	45	37	49	46	49	53	47	49	52	47	48	45	53	38	49	39	57	50	50	44	46	52	58	47	45	51	55	63	48	47	48	57	49	50	47	48	45	61	53	56	57	59	65	55	58	70	62	0	1	2	2	2	2	18	7	5	18	4	11	20	26	4	12	11	5	34	7	4	12	10	29	38	32	23	15	3	16	38	18	9	26	20	24	7	32	7	29	38	55	3	40	47	38	7	49	9	25	8	84	34	45	61	55	49	61	28	72	22	59	9	60	82	27	27	28	30	78	8	29	35	52	70	40	9	25	83	48	82	40	19	17	87	57	71	53	54	52	65	82	46	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-486.831196742677776	-495.882040123129116	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993982340089343	3	12	24	21	25	22	29	36	31	32	18	31	36	43	28	39	34	32	45	31	34	27	34	38	40	39	42	42	29	49	35	37	35	46	28	45	32	34	39	41	47	49	40	48	33	53	45	42	42	47	48	39	58	53	42	48	42	48	50	56	47	48	47	47	55	49	54	45	42	59	51	55	44	61	66	52	53	49	48	50	53	52	56	55	60	51	56	58	53	60	62	64	69	67	0	1	2	11	11	11	22	3	22	29	2	35	29	15	3	23	9	22	31	22	35	3	35	20	10	5	8	13	11	57	37	29	15	31	4	28	15	9	7	33	52	69	17	43	35	62	69	21	45	31	36	33	80	40	21	55	23	26	18	51	24	43	57	57	51	57	78	17	33	87	26	59	13	77	81	62	66	26	69	14	39	26	73	47	66	79	78	36	68	56	77	60	70	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-491.801198302748048	-500.852041683199388	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998765679864059	-1	12	20	20	30	21	27	39	28	32	26	32	41	43	32	30	25	35	44	30	35	30	25	32	40	35	40	38	28	44	38	39	39	45	31	45	42	41	45	43	39	54	35	48	43	44	40	35	40	47	45	45	52	48	42	51	40	50	45	49	46	50	45	54	34	52	50	53	59	49	54	54	51	55	65	54	51	49	51	55	46	58	61	56	58	57	57	57	41	60	64	51	66	64	0	1	2	2	17	2	2	24	3	6	4	17	32	33	7	3	3	29	31	23	15	11	3	23	65	17	35	22	6	27	10	26	16	47	4	21	12	21	38	20	26	49	11	32	10	65	5	5	22	40	33	14	32	19	43	45	7	19	37	45	8	81	8	46	22	59	37	41	61	33	44	39	46	14	74	39	14	59	34	60	57	70	50	8	92	66	71	36	29	92	53	51	69	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-494.449061482576781	-503.499904863028121	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985459437350800	2	10	25	20	26	23	30	32	31	33	32	30	40	46	37	33	34	33	37	34	33	26	35	35	40	37	45	34	27	40	33	37	36	39	38	45	34	37	35	39	39	48	38	42	41	53	53	45	43	35	49	46	56	43	48	45	41	44	50	47	45	47	40	52	51	49	53	54	56	48	50	41	44	53	59	49	47	37	53	53	46	48	48	52	58	52	47	55	56	57	46	59	73	64	0	1	4	2	4	2	4	29	6	3	5	3	18	45	9	5	3	22	17	22	12	4	7	11	16	12	35	22	4	8	29	18	9	23	12	9	29	17	22	31	20	63	18	43	18	49	62	78	39	9	35	26	49	23	56	32	11	32	41	43	38	28	26	62	14	81	36	52	91	30	63	24	72	48	14	25	35	9	77	62	28	31	20	59	67	77	45	82	77	51	63	65	92	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-506.970351390256781	-516.021194770708121	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998773392778755	-2	11	17	15	24	22	31	30	22	31	26	32	36	40	31	35	8	26	29	20	29	28	32	37	36	36	43	36	41	40	41	29	35	44	41	44	42	38	35	42	47	55	35	47	34	45	43	39	40	45	40	50	54	53	47	54	42	39	52	52	41	49	47	41	55	46	52	50	51	42	43	46	50	44	64	42	48	49	57	47	52	50	61	53	62	59	55	61	59	61	61	59	73	62	0	17	17	17	4	4	22	18	3	6	3	5	10	8	32	11	1	9	2	2	3	20	21	15	8	19	24	15	12	23	12	6	11	16	13	21	10	18	22	61	64	82	22	58	32	51	13	45	13	28	15	74	41	31	57	52	15	10	63	14	12	70	38	43	69	43	22	36	40	48	33	14	76	28	83	13	40	48	52	36	35	74	56	78	52	81	55	44	59	78	78	67	88	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-474.044033986966554	-483.094877367417894	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.977815798745549	1	9	26	18	28	25	33	35	32	30	28	34	40	44	35	39	30	36	37	34	32	22	35	40	34	37	42	41	30	43	37	36	38	43	38	45	43	43	43	40	46	42	38	47	37	50	46	41	43	44	43	47	54	49	47	47	43	48	50	55	46	49	51	47	52	46	54	50	54	59	48	48	52	55	56	52	45	46	46	49	53	56	62	57	63	58	52	60	50	59	66	58	69	62	0	1	22	2	22	22	10	21	6	3	4	11	12	31	21	25	6	10	21	11	10	4	5	12	17	5	19	32	6	21	17	7	29	16	9	16	33	43	25	26	45	17	7	33	7	72	37	26	45	40	16	57	8	14	37	48	27	14	18	79	24	34	36	43	78	7	71	48	58	87	16	49	78	42	59	56	33	33	43	49	47	50	87	79	87	87	26	68	27	14	94	53	85	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-493.993431901861811	-503.044275282313151	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.970812763733885	0	11	19	18	25	25	27	28	29	24	29	28	33	47	34	37	32	27	43	33	31	30	28	37	39	31	32	45	34	48	40	33	38	47	34	41	38	39	47	41	44	53	34	48	44	47	44	43	44	47	43	47	55	47	41	48	39	50	43	43	50	42	47	48	50	44	56	54	56	57	43	41	46	54	65	39	48	52	58	52	45	54	47	44	53	54	54	61	58	66	47	63	65	64	0	1	2	2	4	4	10	4	6	3	3	3	18	19	18	5	10	4	35	9	7	5	4	21	29	10	22	31	12	66	43	12	22	21	10	20	29	35	29	16	62	55	7	71	32	36	16	16	31	51	31	84	60	16	32	43	11	28	25	33	25	16	40	55	15	36	60	45	52	14	31	16	11	66	79	29	32	14	82	83	40	64	72	33	43	91	48	67	53	70	57	70	74	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-503.782347839359034	-512.833191219810374	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990405427228123	2	14	16	19	25	29	32	40	24	31	29	29	33	46	26	36	21	30	45	36	27	35	39	37	34	35	43	42	33	43	38	40	38	37	39	45	48	37	41	40	49	56	32	44	42	49	46	39	44	31	45	47	55	47	43	47	45	48	48	46	46	47	42	48	45	33	49	55	55	52	48	50	47	57	62	52	41	49	56	49	54	48	58	55	58	59	49	59	55	57	57	63	64	66	0	1	1	3	17	5	9	11	3	17	4	5	21	33	4	11	3	3	24	10	2	6	10	12	5	2	50	23	10	77	9	16	26	10	31	6	24	10	10	5	77	78	4	31	25	48	25	29	31	21	45	27	73	43	20	34	38	40	63	22	26	55	29	44	45	9	47	78	46	47	39	45	44	67	90	36	48	57	62	28	49	55	87	52	81	19	34	53	71	67	56	89	74	91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
