step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87
1	-971.292252208233208	-978.147740159192608	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.418555012306159	0	0	0	2	2	2	2	1	2	3	3	2	3	2	3	4	4	4	6	5	6	5	4	4	4	4	6	8	6	6	7	7	8	9	8	8	8	9	8	9	9	10	10	9	11	10	10	11	9	11	10	10	12	12	14	13	14	14	15	14	16	17	18	18	22	20	20	23	22	23	22	23	23	23	25	26	25	25	25	27	26	30	28	29	32	33	32	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	2	3	3	3	3	2	2	2	2	3	4	3	3	4	4	4	5	4	4	4	5	4	5	5	5	5	5	6	5	5	6	5	6	5	5	6	6	7	7	7	7	8	7	8	9	9	9	11	10	10	12	11	12	11	12	12	12	13	13	13	13	13	14	13	15	14	15	16	17	16
500	-638.319066785656105	-645.174554736615505	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.264286290269076	0	-1	0	2	2	3	0	1	2	3	3	3	3	2	3	4	4	4	6	5	6	6	4	5	4	4	6	8	7	7	6	5	9	9	9	8	8	9	9	8	8	10	8	10	11	10	9	10	9	11	10	9	12	12	15	14	15	14	13	13	16	14	16	18	22	19	20	23	23	23	23	24	24	23	25	26	24	23	26	27	27	30	26	29	33	33	32	2	0	2	1	7	8	2	1	2	7	1	2	8	7	2	15	8	2	25	7	14	1	14	9	6	5	25	20	32	15	6	16	37	23	20	26	32	29	22	32	21	41	12	31	39	40	22	41	10	36	38	30	52	47	17	40	41	15	19	29	44	34	62	22	44	39	45	62	62	44	45	49	62	59	69	45	14	58	21	63	61	58	58	47	61	59	69	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	2	3	1	2	2	2	1	1	1	2	1	2	1	1	2	1	1	3	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	2	1	1	2	2	4	3	5	4	3	3	4	4	1	5	6	5	4	5	5	6	4	8	6	7	1	8	10	6	12	6	6	9	7	12	9	10	5
1000	-595.405278149067840	-602.260766100027240	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.426781519828461	0	-1	1	2	2	3	2	1	1	3	3	3	3	2	3	4	4	5	6	5	7	6	4	4	3	4	6	8	5	7	8	7	6	8	7	8	9	10	7	9	9	11	10	9	11	10	10	12	10	12	11	10	10	12	14	14	14	14	14	13	16	17	19	18	22	21	20	23	22	23	22	23	22	22	25	27	25	26	24	28	26	30	29	30	33	33	31	2	0	1	1	9	5	2	1	1	4	5	8	9	2	9	3	4	13	4	3	23	23	8	7	14	7	9	14	4	1	23	26	16	11	23	32	3	29	23	32	33	33	20	19	15	21	2	41	28	37	29	22	5	26	53	38	48	22	52	40	49	21	34	21	58	63	54	58	63	49	64	63	59	63	68	65	28	62	66	81	66	34	66	59	63	65	79	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	1	1	3	3	1	3	1	1	1	3	2	1	4	3	2	1	2	2	3	2	4	2	5	2	1	2	3	1	4	5	2	2	2	3	3	2	3	4	5	5	3	2	4	5	1	7	3	1	4	2	2	2	9	4	1	2	2	11	3	10	7	8	2
1500	-589.362903496917852	-596.218391447877252	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.331327062852429	0	-2	-1	2	2	2	1	1	0	3	4	3	4	2	2	5	3	5	6	6	6	5	4	5	5	4	7	7	5	6	5	6	9	10	8	9	9	8	8	10	10	10	11	8	11	10	10	12	10	11	11	9	11	13	15	14	15	14	14	15	16	17	18	18	20	19	19	23	22	23	22	23	24	23	25	25	25	22	25	27	27	31	28	29	32	32	31	2	0	2	2	7	8	1	3	2	8	8	4	9	2	9	26	1	8	5	31	23	23	10	11	9	9	1	19	26	14	23	16	16	22	22	16	32	29	13	32	33	26	1	7	7	25	2	41	23	36	38	30	30	37	44	36	48	15	17	32	49	34	34	59	35	61	58	78	21	62	67	63	61	61	63	65	45	62	70	68	45	83	78	66	59	63	72	1	1	1	2	1	1	1	2	1	1	2	1	2	2	1	1	2	2	2	1	1	1	1	1	4	2	3	1	1	2	1	1	4	2	2	2	2	2	2	2	1	3	6	3	5	2	6	1	4	1	2	2	2	2	3	3	2	4	6	5	3	4	5	3	6	2	1	1	8	3	2	3	4	3	3	3	8	2	1	2	7	2	3	6	14	7	4
2000	-521.603686497840499	-528.459174448799899	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532405354467065	0	-1	1	1	1	3	1	0	2	3	3	3	4	2	2	5	3	4	5	6	7	5	4	4	4	3	5	6	5	6	6	7	7	9	8	8	7	9	9	9	10	11	10	9	11	10	11	12	10	11	11	10	12	12	15	13	14	14	14	14	14	18	18	16	23	20	19	23	22	24	23	24	24	22	25	26	26	24	26	27	26	30	26	28	32	34	32	2	0	1	8	8	7	1	2	1	4	8	5	3	5	5	26	1	7	5	18	22	14	14	14	8	8	17	9	26	23	14	26	26	35	31	37	25	32	30	32	33	41	21	35	11	32	3	41	13	36	29	22	30	32	53	36	41	52	35	54	22	45	44	45	66	61	4	61	61	61	63	74	74	62	68	71	74	74	73	70	74	81	73	72	82	68	77	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	1	2	1	1	1	2	2	1	1	1	1	2	2	2	1	1	1	1	1	2	1	2	1	2	1	5	2	6	2	3	2	3	2	3	3	2	2	1	2	3	1	4	3	3	3	2	2	10	4	3	5	1	2	1	1	2	2	2	1	1	2	2	2	1	2	1	4	3
2500	-513.949990050982819	-520.805478001942220	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611057414404775	0	-2	0	2	1	2	3	2	3	3	2	3	3	3	2	4	5	5	6	4	6	4	2	4	5	5	6	9	6	7	6	8	8	8	6	9	7	10	9	9	9	10	10	9	12	10	7	12	8	12	11	8	12	12	14	13	15	13	16	14	16	17	18	17	23	20	19	24	21	24	21	23	22	23	26	24	26	25	23	27	27	31	27	28	32	33	33	2	0	2	1	3	5	23	3	8	3	1	15	3	23	1	7	3	13	14	23	23	23	3	11	5	16	20	4	16	21	22	21	26	35	13	37	25	29	24	32	29	33	22	47	49	37	25	41	22	36	29	47	39	40	45	46	41	28	14	54	43	45	61	58	62	63	64	73	63	66	64	58	66	58	79	67	73	79	45	73	73	84	66	70	83	83	82	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	2	1	1	1	2	1	1	4	2	1	1	1	2	1	1	1	1	2	2	1	2	2	2	1	2	2	2	2	2	1	2	1	1	1	1	2	3	2	7	1	2	2	2	2	3	1	1	2	1	3	2	5	1	5	2	2	2	1	4	3	2	1	3	2	2	3	1
3000	-484.513516770443346	-491.369004721402746	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.586638851018320	0	-1	1	3	2	2	3	1	2	4	3	1	4	2	2	4	4	5	6	5	6	5	4	5	3	5	7	8	6	6	6	8	8	10	7	8	6	8	8	9	10	10	9	9	9	8	9	11	10	11	10	10	13	12	14	13	14	14	15	13	16	17	17	18	22	20	20	24	22	21	22	23	23	24	26	27	25	26	26	27	27	30	28	29	32	34	31	2	0	2	1	8	3	2	2	2	11	2	1	7	1	2	9	6	4	14	1	8	25	14	4	9	16	8	22	16	23	2	37	29	3	22	37	16	29	31	32	33	33	8	19	20	31	30	34	35	36	29	30	52	40	19	36	41	19	35	40	52	49	34	55	59	61	64	72	70	66	64	69	63	62	68	71	68	72	70	72	73	68	74	77	82	82	81	1	1	1	2	1	1	2	1	2	1	3	1	1	1	2	1	2	1	2	2	2	1	2	1	1	1	3	2	1	1	3	1	1	4	1	1	1	1	1	1	2	1	3	1	2	1	2	1	2	2	2	2	2	2	4	1	2	3	2	2	3	3	3	2	2	2	2	1	1	1	2	1	2	3	1	3	1	2	3	2	2	3	2	2	1	2	3
3500	-445.179338390285466	-452.034826341244866	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.699438770159110	0	-1	1	2	3	3	1	2	3	3	3	1	3	3	3	5	4	4	5	5	6	5	4	4	4	3	5	7	6	6	7	7	7	9	8	9	7	9	8	9	9	10	10	8	12	9	11	11	9	12	11	10	13	12	14	13	13	14	14	14	15	17	19	19	22	19	20	23	20	21	23	24	22	24	25	27	26	25	25	27	26	30	29	30	33	33	32	2	0	2	7	8	4	2	1	4	8	7	1	7	3	7	26	13	3	11	6	23	14	5	3	8	7	15	19	16	22	5	26	3	35	21	32	16	29	23	16	33	41	35	11	28	32	11	41	30	36	38	44	30	40	52	32	41	35	43	40	43	45	62	62	61	59	64	73	63	63	64	73	69	73	65	71	73	73	73	81	68	74	81	74	84	84	84	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	3	1	1	1	1	2	2	2	1	1	1	2	3	1	4	2	2	2	1	1	3	1	2	2	2	3	2	2	2	2	1	1	3	3	1	1	1	1	2	1	1	1	3	3	2	1	3	1	2	2	1	2	1	1	1
4000	-448.894855913463289	-455.750343864422689	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657363382108893	0	-2	0	2	2	1	2	1	1	4	3	2	2	2	4	4	3	4	5	6	6	6	4	4	4	3	6	8	7	6	7	7	5	9	8	8	7	8	9	9	9	10	8	8	11	11	9	11	10	11	10	10	12	12	14	14	14	13	16	13	17	15	19	18	22	20	20	24	21	22	22	24	22	24	25	26	25	26	25	27	26	31	29	28	32	33	32	2	0	2	9	2	2	9	1	1	7	2	9	1	9	17	26	8	13	7	4	14	10	14	14	7	8	13	27	26	7	7	16	26	23	14	32	16	16	30	37	33	38	22	21	35	37	30	41	44	37	38	30	52	32	34	50	48	35	44	40	58	45	59	58	66	63	64	73	63	66	67	73	66	73	74	71	65	74	72	72	72	79	84	81	84	82	84	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	3	2	2	1	1	1	1	1	2	1	2	1	2	2	1	2	2	1	2	2	2	1	2	1	1	1	2	2	2	2	1	1	2	2	1	2	2	2	2	2	3	2	1	2	2	3	1	1	1	1	1	1	1	1	1	2	1	2	3	1	1	1	1	2	1	1	2	1	3
4500	-481.274657494107316	-488.130145445066717	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.559867575853223	1	-1	0	2	2	2	2	0	3	3	3	2	3	2	3	4	5	5	6	4	6	6	5	5	4	5	6	7	6	6	7	7	8	9	8	6	8	8	8	9	9	9	11	9	10	9	10	11	10	11	11	10	13	13	13	12	14	13	15	15	17	17	18	18	23	21	20	23	22	23	23	23	24	24	25	26	25	24	26	26	27	30	28	28	33	33	32	2	0	2	3	3	3	8	2	7	2	7	8	1	8	3	3	7	13	7	2	14	14	14	11	5	16	16	11	16	20	23	26	29	4	6	16	29	26	30	21	33	33	5	31	5	32	21	41	23	36	38	30	52	40	31	37	41	6	49	54	59	9	61	59	69	58	64	66	63	63	67	66	72	68	70	67	70	66	74	68	72	79	77	73	81	80	79	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	3	1	1	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1	3	3	1	2	1	2	2	1	1	3	2	4	1	2	2	2	2	2	2	2	2	4	2	2	4	2	1	1	8	1	1	1	4	2	1	2	2	2	1	1	1	1	3	1	2	1	2	2	2	2	2	3	2	3
5000	-497.861626752738687	-504.717114703698087	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650201577649833	1	0	1	2	1	2	3	1	2	4	2	3	3	2	3	5	3	5	6	4	5	6	4	4	4	4	5	6	6	6	8	5	7	9	7	8	9	10	9	9	8	9	11	9	10	11	10	11	8	11	11	10	13	13	14	12	14	15	16	15	16	18	18	18	22	21	21	23	23	22	22	21	23	23	26	26	26	25	25	28	26	31	27	28	31	34	33	2	0	2	2	2	2	5	2	5	4	5	2	1	2	8	26	5	13	9	8	23	7	14	14	1	9	12	4	26	14	23	26	16	1	22	29	32	29	30	26	33	33	31	23	22	37	35	41	21	32	38	14	45	43	49	45	48	22	5	54	34	58	43	61	63	59	64	72	66	63	64	63	72	72	79	67	79	72	74	81	73	77	78	73	74	85	81	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	1	3	1	2	2	2	1	2	1	1	2	2	2	1	1	1	2	2	1	4	2	2	2	1	3	4	8	1	3	1	2	1	3	2	2	1	1	3	2	1	1	2	1	2	1	3	1	1	2	2	1	2	3	2	4
5500	-462.963360000412706	-469.818847951372106	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.658499372397203	0	-1	1	3	2	2	1	1	3	3	4	3	3	3	4	2	4	4	6	6	7	5	5	5	5	4	6	6	6	6	7	7	8	9	8	8	8	10	8	9	9	10	10	9	11	10	10	11	8	10	10	10	12	13	12	13	15	14	15	11	16	17	18	18	20	20	21	23	21	23	19	24	24	24	26	24	25	25	26	28	27	30	28	30	32	33	32	2	0	1	1	1	1	2	2	2	2	1	8	7	5	5	2	12	4	15	5	14	15	14	14	10	16	4	15	16	14	9	26	29	5	14	32	26	29	20	32	33	33	17	49	21	32	21	41	31	36	29	30	39	32	34	36	48	23	44	40	52	43	59	52	63	59	71	69	62	66	62	62	63	68	72	71	74	72	74	81	77	79	73	81	82	82	82	1	1	1	2	1	1	1	1	3	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	2	1	3	2	1	2	2	1	2	1	1	2	1	2	2	1	1	1	1	2	2	2	2	1	2	3	2	3	1	3	4	2	5	1	2	2	2	2	1	1	3	3	1	1	2	1	1	1	1	2	2	2	2	1	2	1
6000	-475.185167370790168	-482.040655321749568	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.496298315400906	0	-1	1	3	2	3	2	1	1	3	3	3	4	2	4	5	5	5	6	4	7	5	4	4	5	5	6	8	7	6	6	7	8	10	8	7	9	10	8	8	9	9	10	9	12	10	10	12	9	10	10	10	12	12	14	13	15	14	16	14	16	17	18	18	22	19	21	23	22	21	23	24	22	23	25	25	23	26	24	27	27	29	29	29	32	33	32	2	0	2	8	1	8	2	1	2	7	5	1	5	8	5	7	4	11	8	3	22	14	14	14	5	7	20	20	26	14	9	16	29	22	14	16	32	29	30	26	33	33	15	7	28	32	4	41	20	32	29	39	30	40	49	50	48	52	43	40	34	52	62	59	66	63	64	66	63	59	64	73	70	62	74	64	73	61	77	77	77	80	74	72	82	85	81	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	1	1	2	1	2	3	1	2	3	2	1	2	3	2	1	2	1	1	1	1	3	3	2	2	4	2	2	1	1	1	3	2	2	1	2	2	3	2	4	3	1	1	2	1	1	2	1	2	2	1	1	3	1	3	1	3	1	2	2	2	3	3	2	1	3
