step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102
1	-1138.540272288640608	-1137.078190204121711	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.688520063177238	0	2	6	4	3	5	6	6	7	6	9	9	11	9	9	10	11	9	10	9	11	11	11	10	10	11	12	13	12	12	13	13	14	12	12	13	14	14	14	15	14	14	15	16	14	15	18	17	15	16	15	16	17	17	16	18	20	18	18	17	18	20	19	19	20	20	19	19	19	18	20	19	19	20	22	19	19	22	19	21	22	21	22	20	23	22	21	22	22	21	21	26	23	23	25	23	24	25	24	25	26	29	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	3	4	3	5	5	6	5	5	5	6	5	5	5	6	6	6	5	5	6	6	7	6	6	7	7	7	6	6	7	7	7	7	8	7	7	8	8	7	8	9	9	8	8	8	8	9	9	8	9	10	9	9	9	9	10	10	10	10	10	10	10	10	9	10	10	10	10	11	10	10	11	10	11	11	11	11	10	12	11	11	11	11	11	11	13	12	12	13	12	12	13	12	13	13	15
500	-613.050916036546255	-610.279736910007045	-2.771179126539234	0.000010007763001	0.000046536006891	4.649990900518311	0.372946103931333	1	3	7	5	3	6	6	7	8	6	9	9	10	10	9	11	9	9	8	8	11	11	11	9	11	11	13	12	12	13	13	13	13	11	11	13	13	14	14	14	15	12	16	17	15	15	17	16	16	15	16	15	17	17	16	18	20	18	19	17	18	21	19	19	20	21	19	18	19	18	20	18	19	21	23	20	19	22	17	21	22	22	22	19	22	22	22	22	23	21	21	25	23	22	24	22	25	24	24	24	26	30	0	1	1	1	1	5	5	7	5	4	8	3	5	3	3	14	4	10	1	3	10	9	19	20	15	6	12	35	12	3	23	14	19	12	15	35	24	21	42	42	4	14	4	51	27	20	52	12	15	37	25	32	14	17	7	32	73	5	21	27	24	42	44	61	21	20	79	31	70	49	56	53	41	16	50	63	70	58	31	73	46	11	71	58	64	49	28	36	74	20	65	17	71	56	72	21	95	62	23	56	0	83	1	1	3	2	1	1	1	1	2	1	1	1	4	1	1	1	2	2	4	1	2	2	2	1	1	2	2	1	1	3	1	2	3	1	1	2	3	2	1	1	2	2	6	1	1	3	1	4	5	1	1	1	2	3	3	3	1	5	4	2	4	4	2	1	3	7	2	2	1	1	1	1	1	4	5	1	1	2	2	1	3	7	1	1	2	3	6	4	1	8	1	7	2	2	4	5	1	2	7	3	1	4
1000	-631.994089802699364	-630.242026747657519	-1.752063055041811	0.000010061908657	0.000017321835258	1.721525790751189	0.490861860617466	0	2	7	5	3	6	7	6	7	6	9	10	12	10	9	11	11	9	10	10	12	12	10	10	11	10	12	11	11	13	12	14	13	13	13	13	15	15	13	15	13	15	15	16	15	15	19	18	15	16	16	16	17	17	17	18	21	19	18	17	18	20	20	19	21	20	18	17	18	19	21	20	19	20	23	18	19	21	19	22	22	22	21	20	23	22	20	22	22	21	22	25	24	23	25	23	24	26	25	26	26	28	0	1	4	5	2	2	6	1	10	1	8	4	16	18	2	8	2	1	3	3	19	28	1	2	26	5	18	2	11	28	14	22	5	21	29	15	36	23	17	36	12	35	22	34	35	22	53	51	39	43	21	26	45	14	38	11	62	7	21	29	13	50	39	55	52	5	21	20	31	59	50	70	67	69	68	36	55	87	61	56	38	48	48	69	51	71	38	28	66	19	84	63	87	82	87	47	80	91	84	72	0	42	1	1	1	1	1	2	1	2	1	3	1	3	1	1	5	2	4	5	2	2	1	1	4	3	1	3	2	5	1	1	1	1	5	1	1	2	1	2	1	2	2	2	2	1	1	1	1	1	1	1	2	3	1	4	1	3	1	4	3	2	4	4	3	1	4	8	2	3	3	1	3	1	1	1	3	2	1	1	1	1	2	1	2	1	4	1	3	5	1	4	2	2	3	1	2	3	1	3	4	3	1	5
1500	-686.077948255008891	-683.665231296518868	-2.412716958490049	0.000010166236194	0.000035503073672	3.492253474491702	0.557059673042212	1	3	7	5	3	6	6	5	8	5	10	8	11	7	8	9	12	9	10	9	9	11	11	10	9	12	11	13	12	11	13	13	14	11	12	13	15	14	12	15	14	14	15	16	14	16	18	17	15	16	15	16	16	17	16	18	21	16	19	17	19	20	20	19	21	19	19	17	19	18	20	19	18	20	20	19	20	20	20	18	23	20	23	20	24	22	21	21	22	22	21	26	23	23	26	22	24	25	24	25	26	29	0	1	8	5	1	2	10	2	8	2	18	3	14	7	6	8	24	14	12	3	15	21	24	2	5	3	18	13	16	6	26	26	12	25	18	30	29	27	19	10	5	30	32	33	39	45	45	31	19	23	28	30	15	17	13	4	69	1	43	51	68	4	48	33	16	28	70	4	70	50	42	41	38	72	40	54	56	47	70	39	84	68	80	51	86	84	33	64	68	54	44	44	35	87	99	62	83	76	94	33	0	85	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	3	1	1	1	1	1	1	1	5	3	3	1	1	2	2	1	1	2	2	2	1	1	2	1	3	7	1	2	1	1	1	2	2	2	3	1	2	3	2	2	5	1	4	2	1	1	6	1	2	5	4	1	4	1	1	3	3	3	1	2	1	1	1	1	4	2	2	2	3	1	1	3	1	2	5	3	4	4	1	1	1	1	3	1	4	1	2
2000	-507.759058128426091	-503.846598367735851	-3.912459760690219	0.000010008611198	0.000096038012827	9.595538375024994	0.469623580195930	1	3	6	5	3	5	6	7	7	6	9	10	11	9	10	10	10	9	11	8	11	12	11	9	11	12	11	14	11	11	12	13	14	11	12	13	14	15	13	15	14	14	14	17	12	13	18	18	16	15	13	15	16	17	17	18	17	15	18	18	18	19	19	18	18	21	18	19	19	18	21	20	19	19	22	19	19	22	20	21	21	21	22	20	23	22	22	23	20	20	22	26	24	22	25	23	24	25	24	25	26	27	0	1	1	2	1	5	2	3	5	4	9	7	12	7	18	9	9	9	8	10	14	12	6	4	8	18	3	26	4	3	9	13	7	3	16	16	13	23	34	36	45	21	22	53	12	3	35	22	27	37	11	32	51	18	17	36	36	19	3	40	15	6	67	13	18	64	46	6	60	40	74	55	22	49	18	50	41	55	57	61	69	84	54	48	69	38	72	72	63	48	77	19	52	62	62	82	86	49	87	62	0	64	1	1	2	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	3	1	1	1	3	2	2	2	1	1	3	2	3	1	3	3	1	2	2	2	1	1	1	2	1	1	1	3	3	3	2	1	2	1	3	3	6	5	2	1	4	2	5	7	1	4	5	2	4	7	1	2	1	2	5	1	5	1	3	3	2	2	1	1	3	1	3	3	2	2	1	1	1	9	5	2	3	2	1	4	1	3	1	5
2500	-538.844209864876348	-536.760448334038642	-2.083761530837665	0.000009909006444	0.000025380787608	2.561385720165960	0.498601571558758	0	2	6	5	4	4	6	7	8	6	9	10	11	9	8	8	11	10	8	9	12	12	11	10	10	11	12	14	11	11	14	14	15	12	12	13	15	14	13	16	13	14	16	16	14	14	19	17	14	16	16	16	17	17	14	18	20	19	17	18	18	20	19	20	19	19	19	19	19	19	20	19	16	20	22	19	20	22	19	21	23	21	21	18	23	23	21	22	22	22	21	23	23	23	25	24	23	26	24	25	23	29	0	1	5	6	2	2	5	7	10	2	8	19	4	7	3	4	12	9	3	8	16	3	12	6	15	16	12	13	5	4	14	35	7	12	14	15	25	21	18	28	6	19	17	38	16	16	73	28	26	29	41	36	12	28	12	19	67	37	38	40	52	21	27	34	31	22	48	16	46	33	37	55	11	51	45	50	79	33	39	73	70	53	79	51	68	56	76	47	28	7	46	42	83	47	78	87	62	84	69	93	0	71	1	1	1	1	1	1	1	1	1	2	1	1	4	2	1	2	1	1	1	1	1	2	1	3	2	1	1	1	2	3	4	2	4	1	1	3	3	1	1	1	6	2	4	1	3	4	1	1	1	2	1	1	4	1	2	2	1	2	1	1	1	2	3	3	3	3	1	5	1	1	3	2	3	1	4	1	1	3	2	2	1	2	1	1	2	3	1	1	3	6	3	4	2	2	1	1	1	4	2	1	1	6
3000	-509.172303189164779	-505.602088387841491	-3.570214801323303	0.000009941789970	0.000078402400610	7.886145336562740	0.527549759970394	1	3	6	4	4	2	6	5	8	6	9	10	11	10	9	11	10	9	10	7	12	11	11	10	10	10	11	12	13	11	14	12	13	12	13	14	14	13	13	14	14	15	16	17	15	16	18	17	16	16	14	16	17	17	17	18	17	18	17	18	18	20	20	19	18	21	18	19	19	17	20	20	18	20	20	18	20	21	19	20	22	22	21	21	24	23	22	22	21	21	21	26	24	22	25	22	25	23	23	23	26	28	0	1	5	1	2	1	5	1	4	4	9	8	15	20	9	18	3	10	4	6	20	15	18	20	3	7	4	23	20	19	14	30	17	7	12	34	3	27	19	13	19	39	36	33	29	19	40	45	51	24	9	51	32	51	17	18	14	42	21	70	52	7	55	56	37	5	55	16	70	31	48	67	38	67	61	14	76	65	39	27	71	75	64	64	12	90	58	63	74	9	60	19	96	62	87	73	81	73	37	90	0	11	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	2	2	3	2	3	1	1	2	1	1	3	1	4	1	2	1	2	4	1	1	3	1	1	2	2	1	1	2	1	2	2	1	1	4	2	1	2	1	5	3	4	2	3	1	1	5	3	1	2	8	1	4	1	1	2	1	3	1	1	4	1	2	4	4	1	2	1	1	6	2	2	1	1	6	2	7	1	1	2	2	1	3	3	1	1	7
3500	-544.374934924703098	-540.657211393767966	-3.717723530935102	0.000009542633793	0.000082037423312	8.596937186744091	0.428398204291706	0	1	6	5	3	5	5	6	7	7	8	10	11	8	8	10	11	9	10	8	12	11	9	9	11	10	12	14	12	12	14	14	13	12	11	13	14	14	14	16	13	14	15	17	14	15	18	17	16	14	16	15	16	18	16	18	21	18	19	17	17	20	18	20	20	21	20	19	19	18	20	19	19	21	19	18	18	23	19	21	21	21	20	20	22	23	21	19	22	22	20	24	23	21	26	22	24	23	23	25	27	30	0	1	6	5	2	2	2	2	4	4	6	7	26	6	4	11	14	20	5	10	25	15	7	4	14	20	6	3	9	4	27	13	7	3	11	15	27	34	34	36	19	26	3	13	33	7	32	13	31	19	31	39	10	43	11	19	88	43	28	55	45	12	53	44	3	3	56	7	51	44	31	37	45	73	5	28	43	64	49	73	68	72	54	54	36	72	59	41	60	23	63	25	57	91	49	57	74	80	81	85	0	35	1	1	1	1	1	3	2	2	1	1	2	2	1	2	1	1	2	1	3	1	1	1	3	2	2	2	3	3	2	5	1	2	4	2	2	3	1	1	1	1	1	2	7	3	1	5	2	3	1	2	1	1	4	1	2	3	1	2	4	1	2	5	1	2	5	9	1	7	2	1	3	3	5	1	7	3	2	1	1	1	2	1	1	1	5	2	1	3	3	5	1	8	1	1	4	1	1	1	1	1	1	9
4000	-567.130353037825444	-564.885922557066351	-2.244430480759139	0.000009495451038	0.000028503083476	3.001761934505064	0.502529017469388	1	2	7	5	3	6	6	7	7	5	9	10	12	10	8	9	12	10	10	10	11	10	12	8	11	12	10	13	12	12	13	14	14	12	12	14	15	14	14	16	13	15	15	16	14	14	18	16	13	17	14	16	17	18	17	16	19	18	18	18	19	21	20	20	18	19	20	18	19	18	21	19	20	21	22	19	18	23	19	21	22	21	21	20	23	20	21	23	22	20	21	25	24	22	25	24	23	25	24	26	26	29	0	1	7	5	2	4	5	7	5	1	3	15	16	7	7	24	27	15	8	6	15	6	24	7	9	9	5	17	18	9	13	28	5	22	10	31	22	28	17	28	11	16	16	34	22	16	53	37	15	31	35	51	46	42	9	36	55	6	3	48	38	5	54	16	4	60	53	4	55	28	76	70	4	58	37	48	38	94	58	37	83	76	38	43	59	79	57	79	55	51	40	59	97	56	99	87	70	85	66	96	0	7	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2	2	4	1	1	3	1	1	6	1	3	1	1	1	1	2	3	3	2	2	2	3	1	1	3	1	1	1	1	1	4	1	1	7	3	2	3	9	1	5	3	1	2	6	1	2	1	1	6	2	2	2	2	1	1	2	1	1	3	2	3	1	2	2	2	3	2	2	1	2	1	2	3	1	2	1	1	11
4500	-429.433473326218405	-426.240961939906470	-3.192511386311924	0.000010154900051	0.000063303722911	6.233810533858657	0.522430542527986	1	2	6	5	3	6	4	5	7	7	8	9	11	7	9	10	11	9	11	9	12	12	11	10	11	11	12	13	12	11	13	13	13	12	13	13	14	14	14	14	15	14	15	16	14	15	19	17	15	14	15	16	16	17	13	18	20	19	17	17	17	20	20	19	20	20	19	17	19	17	20	19	18	21	20	18	18	22	19	20	22	21	22	20	24	22	22	22	22	20	20	24	23	23	25	24	24	24	24	25	24	28	0	1	1	2	2	4	2	2	1	3	6	4	12	4	9	8	9	11	12	3	25	26	12	7	18	20	18	13	18	4	25	11	12	18	11	13	29	16	21	22	25	27	4	45	16	39	44	49	42	35	39	40	40	38	12	18	52	23	6	28	16	6	67	22	6	46	44	41	61	44	17	48	6	76	11	55	37	54	43	41	63	91	76	40	71	91	62	51	84	28	42	17	82	62	70	74	72	91	69	85	0	51	1	1	3	2	1	1	1	2	3	1	1	2	1	1	1	3	1	1	1	2	1	1	1	3	1	1	3	1	1	2	2	2	1	1	2	1	1	2	1	1	2	2	4	1	2	1	1	1	1	1	1	1	1	2	1	6	2	3	6	2	3	5	1	3	7	3	1	1	1	1	4	1	7	2	6	2	2	2	2	3	1	1	2	2	3	1	1	3	1	4	3	3	1	1	3	1	3	2	3	1	1	5
