step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61
1	-2388.672771550589914	-2387.210689466071017	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.109575839246781	-1	2	3	5	3	5	6	5	6	6	6	6	8	8	7	9	7	10	9	8	9	9	12	10	13	11	12	13	14	12	13	14	14	14	13	14	15	15	15	15	16	16	15	15	16	17	17	18	20	19	21	21	22	23	26	29	28	30	31	32	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	4	3	4	4	4	4	5	5	4	5	4	6	5	5	5	5	7	6	7	6	7	7	8	7	7	8	8	8	7	8	8	8	8	8	9	9	8	8	9	9	9	10	11	10	11	11	12	12	14	15	15	16	16	17	17
500	-622.596991678378231	-620.430837709062871	-2.166153969315333	0.000010039702556	0.000027950546431	2.784001445839370	0.190468253321967	0	2	3	4	3	4	6	5	6	7	5	6	8	8	8	10	7	11	10	8	9	10	12	11	13	10	12	12	14	13	13	14	13	14	13	12	15	15	15	15	16	16	15	15	16	17	17	18	20	20	22	21	22	24	27	30	28	31	31	32	33	0	1	2	2	2	1	3	4	6	6	5	4	4	17	3	4	9	7	12	0	9	14	0	17	11	11	12	19	26	16	26	23	20	13	8	26	0	30	31	25	27	11	16	0	11	24	37	40	0	37	36	1	38	36	24	54	17	52	51	7	45	1	1	1	1	1	2	2	1	1	1	1	2	3	1	2	3	1	2	2	1	1	2	1	2	3	2	2	1	3	2	2	1	2	3	4	1	1	1	1	1	2	7	3	1	10	3	1	1	1	3	5	13	4	6	9	4	10	8	5	18	9
1000	-658.263317512921844	-655.180558655719892	-3.082758857202006	0.000010072134413	0.000058380122285	5.796201667871738	0.429375897885796	-1	2	2	3	3	4	7	6	4	6	7	6	7	8	7	9	7	9	9	8	8	10	12	10	12	9	11	12	13	11	13	14	15	15	13	13	15	15	16	15	17	16	15	16	16	17	17	18	21	19	22	21	23	23	25	30	27	30	31	32	34	0	1	1	2	2	3	8	4	5	9	8	6	10	17	12	20	6	21	12	0	8	17	0	10	11	11	18	22	25	8	19	30	29	21	27	25	0	29	11	36	40	11	31	0	35	35	13	27	0	37	36	42	31	51	54	54	42	32	51	30	25	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	2	1	1	2	1	3	3	1	1	4	1	1	1	1	4	1	1	3	1	1	1	2	5	3	1	1	4	3	6	1	1	4	6	6	4	19	8
1500	-606.079703839544550	-603.665120165325447	-2.414583674219112	0.000010022600113	0.000035057789055	3.497873671407546	0.459716615934566	0	1	3	6	4	4	6	5	5	7	7	6	8	9	8	8	8	10	10	8	9	10	11	10	13	10	12	12	14	12	13	15	14	14	14	14	15	16	15	15	16	16	14	15	16	17	17	15	20	19	21	21	22	22	26	27	29	30	31	32	34	0	1	2	8	3	1	9	5	2	8	5	6	12	17	8	7	4	10	12	0	6	17	0	4	10	11	24	24	25	26	22	20	13	14	15	25	0	40	31	13	19	35	12	0	36	24	41	36	0	37	36	41	12	51	54	51	56	53	57	34	54	1	1	1	1	1	3	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3	2	2	1	1	1	1	2	3	3	5	3	1	1	1	1	3	2	2	4	1	2	4	1	1	1	2	4	3	9	1	2	4	1	8	1	10	9
2000	-676.156464852536260	-672.664506633635369	-3.491958218900937	0.000010117981769	0.000076131877845	7.524413424095308	0.522011938830718	-1	2	3	5	3	5	6	6	6	6	7	6	9	9	8	9	7	10	8	6	9	9	10	11	12	11	12	12	14	12	13	14	12	15	14	13	14	13	15	14	16	16	14	16	17	15	17	19	20	19	21	20	22	22	23	27	29	28	31	32	34	0	1	2	3	2	2	5	4	2	6	4	4	8	17	10	11	4	4	12	0	20	17	0	10	11	11	16	18	25	18	18	14	21	43	13	26	0	26	19	28	29	16	21	0	36	33	34	47	0	47	36	34	49	51	42	55	56	35	57	7	57	1	2	1	1	1	1	3	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	3	3	2	2	1	1	1	1	3	2	1	3	1	1	1	2	1	1	4	2	1	2	2	1	1	1	1	4	2	1	1	3	3	1	4	1	13	3
2500	-627.294259369267479	-624.787531998113423	-2.506727371154083	0.000010152363903	0.000038380104068	3.780410595478280	0.622229178567140	0	2	2	4	4	5	6	5	6	6	6	7	8	9	6	10	7	11	9	8	9	9	12	9	13	11	13	14	13	11	13	14	14	15	12	15	16	16	16	14	16	17	14	15	17	17	17	18	21	20	22	21	22	23	27	29	27	30	32	30	33	0	1	1	3	2	3	5	4	8	4	8	15	7	17	4	8	10	15	13	0	11	17	0	3	11	13	22	23	16	19	14	13	16	29	26	25	0	32	28	23	28	25	17	0	29	44	27	42	0	37	48	42	36	51	50	51	41	32	56	22	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	2	3	1	2	1	2	1	2	3	2	1	1	1	1	1	1	1	1	2	4	1	2	1	2	1	1	2	1	2	3	1	2	4	5	4	1	11	5
3000	-596.967749774222852	-594.060572514288310	-2.907177259934546	0.000010268497046	0.000052711650032	5.133336436343095	0.467039326521489	-1	1	3	5	4	5	6	4	6	6	7	6	8	9	8	9	7	11	8	8	9	9	13	10	13	10	11	14	11	12	13	12	14	15	13	15	15	15	13	15	16	16	14	15	17	17	16	18	21	19	21	22	22	23	27	27	28	31	31	30	34	0	1	2	8	2	5	6	3	8	8	4	8	3	17	4	11	8	15	12	0	5	17	0	13	24	11	21	20	11	26	18	4	22	23	24	25	0	23	32	23	43	36	21	0	36	43	34	43	0	37	36	34	37	51	52	54	53	6	56	38	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	2	2	1	2	2	1	1	2	2	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	5	3	4	1	2	2	3	18	2	8	2
3500	-613.742934789804053	-610.624127704548073	-3.118807085256036	0.000010521490342	0.000062475732171	5.937916601254480	0.483086745279451	0	2	3	5	3	5	7	4	6	7	7	6	8	8	6	10	7	10	10	8	10	9	12	10	12	12	12	12	13	12	13	13	13	15	14	14	16	13	15	14	14	16	15	16	15	17	18	19	21	20	22	22	22	23	26	29	28	31	31	33	33	0	1	2	8	2	5	12	5	1	6	4	8	3	17	2	20	3	7	12	0	22	17	0	20	11	11	20	22	11	21	22	27	6	29	12	25	0	7	41	28	30	36	30	0	25	38	28	47	0	37	25	50	41	51	47	51	50	34	56	9	59	1	1	1	1	1	1	1	1	3	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	2	2	2	1	4	2	2	1	4	1	3	2	1	2	1	2	1	1	2	1	2	2	3	1	1	1	5	1	4	1	4	3	4	7	1	9	1
4000	-510.105319305612966	-507.719040361247494	-2.386278944365484	0.000011505084143	0.000039267874938	3.413088896302149	0.569465732115196	0	2	4	3	4	5	5	4	7	7	6	6	7	8	7	9	6	10	9	8	9	10	13	11	11	10	13	11	14	12	13	13	13	14	14	12	16	15	15	16	16	16	15	15	16	17	16	18	19	19	21	21	22	24	26	29	27	30	31	32	33	0	1	2	1	4	4	8	4	3	17	5	8	11	17	8	11	8	3	6	0	13	14	0	19	21	11	22	20	25	14	36	10	13	23	30	25	0	30	18	39	23	35	30	0	25	34	33	35	0	37	36	38	46	51	54	51	47	24	56	58	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	3	2	1	2	2	1	3	2	1	1	1	1	1	3	1	1	1	2	1	2	2	3	2	1	2	5	3	2	1	2	2	6	8	1	1	1
4500	-627.458026419326870	-625.138916033245664	-2.319110386081237	0.000011989785398	0.000038553697893	3.215545284049691	0.657290959103862	-1	2	3	4	3	4	7	6	5	6	7	6	9	9	8	9	7	9	8	9	10	8	11	11	12	11	12	13	13	12	12	15	14	13	14	13	15	15	16	14	15	16	16	16	16	17	17	17	20	16	21	19	22	22	26	26	28	29	32	32	34	0	1	1	3	2	3	5	4	4	6	8	4	7	17	4	10	10	4	12	0	19	17	0	18	11	11	20	23	25	7	13	26	30	10	24	25	0	29	27	14	16	32	36	0	36	29	32	40	0	9	43	41	35	51	54	51	55	39	57	58	59	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	4	1	1	1	3	1	2	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	2	1	4	3	4	3	1	2	2	1	5	2	2	1
