step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
1	-492.389902185464223	-490.927820100945326	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.299273944699625	8	10	10	13	12	11	13	12	13	13	13	14	16	14	15	16	15	17	17	16	19	19	21	21	22	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	2	3	3	3	3	4	3	4	4	4	5	5	4	6	6	7	7	7	9
500	-288.795282752044045	-286.797514754783549	-1.997767997260478	0.000009994414787	0.000023344246383	2.335729192882076	0.369703862860279	8	11	10	13	13	12	12	11	10	14	13	14	17	14	16	16	15	16	17	17	18	19	21	20	23	26	0	1	1	3	1	3	3	9	1	5	7	9	17	9	9	11	3	6	17	3	15	9	20	18	23	24	1	2	1	2	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	5	1	5	3	2	1	6
1000	-271.817717907360702	-270.011278677579242	-1.806439229781466	0.000009995463390	0.000018535413810	1.854382642076111	0.393800809518516	8	10	9	13	12	11	12	13	12	14	14	14	17	13	14	15	15	16	17	17	18	19	20	21	22	25	0	1	1	1	1	3	3	9	3	5	7	9	17	9	9	7	1	6	17	3	15	9	20	18	20	24	1	1	1	2	2	1	2	1	2	2	1	2	1	1	2	2	3	4	1	2	2	3	1	3	2	3
1500	-263.931053340277174	-262.310814411652927	-1.620238928624230	0.000010081917087	0.000014134271689	1.401942861425590	0.757106256691783	9	11	11	13	12	10	12	12	13	13	13	14	16	14	15	15	14	16	17	17	19	19	21	21	23	26	0	1	1	1	1	1	1	1	3	5	7	8	17	9	9	11	1	6	17	3	15	9	20	18	23	24	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	3	2	3	2	2	2	3	1	2
2000	-271.223219126142681	-269.455130746955717	-1.768088379186977	0.000010033933212	0.000017665296407	1.760555510321264	0.569124736918927	7	10	9	14	11	11	12	12	13	13	14	15	17	15	15	16	14	17	18	17	19	18	21	22	22	25	0	1	1	3	1	1	3	3	8	5	7	9	17	9	9	11	1	6	17	3	15	9	20	18	23	24	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	3	3	2	5	1	3	3	3	1	2
2500	-260.600851183848533	-258.118267823574854	-2.482583360273670	0.000009941683680	0.000036837898401	3.705398359810813	0.539950739822089	9	10	10	14	12	11	11	13	12	13	13	14	16	14	16	16	15	18	17	16	19	19	21	21	22	23	0	1	1	1	3	3	1	9	3	5	7	9	17	9	9	11	1	6	17	3	15	9	20	18	23	24	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	2	3	4	1	4	1	4	3	2	1	1
3000	-269.728387577634692	-267.878134975942828	-1.850252601691877	0.000010096321839	0.000019813749705	1.962472078486727	0.511566298123061	9	10	10	13	11	11	12	13	12	13	14	13	17	14	16	16	13	17	18	17	19	19	22	21	20	25	0	1	1	3	3	1	1	9	3	5	7	9	17	9	9	11	1	6	17	3	15	9	25	18	20	24	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	3	1	3	2	2	1	2
3500	-260.204864475963632	-258.305101783298426	-1.899762692665234	0.000010384016219	0.000021661119201	2.086005909971651	0.712089784110867	8	10	9	13	12	11	10	13	12	13	14	14	17	14	14	16	16	18	18	16	18	19	21	20	19	23	0	3	1	3	1	3	1	9	3	5	7	9	17	9	9	11	1	6	17	9	15	9	25	18	20	24	1	1	1	2	2	1	2	1	2	1	2	1	1	1	2	1	5	4	1	2	2	3	1	1	1	1
4000	-278.841567177029503	-276.981062917373890	-1.860504259655591	0.000010543129326	0.000020958924598	1.987922555979053	0.460695146259030	8	10	9	13	12	11	13	13	11	14	14	13	17	14	16	16	15	17	18	16	19	18	22	22	21	25	0	1	1	3	1	1	3	9	1	5	7	9	17	9	9	11	3	6	17	1	15	9	25	6	20	24	1	1	1	3	1	1	2	2	1	1	1	2	1	2	2	2	3	2	2	3	2	3	1	5	3	2
4500	-269.144842823148338	-267.416198229132078	-1.728644594016247	0.000010913072622	0.000018166308687	1.664637386357427	0.724024688427758	8	11	10	13	12	12	11	13	12	13	13	15	16	14	15	16	14	17	17	17	19	19	21	21	21	23	0	3	1	1	1	1	3	5	3	5	7	9	17	9	9	11	3	6	17	1	15	9	20	6	20	24	1	1	1	3	2	2	1	1	1	1	1	2	1	1	1	2	2	2	2	3	2	3	2	5	2	1
