step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100
1	-2505.500634040613022	-2512.356121991572309	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.655718118218575	-1	1	0	2	3	3	4	3	5	5	6	6	6	6	7	6	7	7	7	7	6	8	8	10	10	9	9	10	9	10	9	9	9	11	10	12	12	12	12	12	13	14	13	13	12	13	14	14	16	16	14	15	15	17	16	17	16	17	17	17	18	19	18	19	18	18	19	19	20	19	20	19	21	23	22	22	24	26	27	28	27	30	33	33	33	35	33	34	34	34	33	35	34	36	39	35	35	37	38	42	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	3	3	4	4	4	4	4	4	4	4	4	4	4	5	5	6	6	5	5	6	5	6	5	5	5	6	6	7	7	7	7	7	7	8	7	7	7	7	8	8	9	9	8	8	8	9	9	9	9	9	9	9	10	10	10	10	10	10	10	10	11	10	11	10	11	12	12	12	13	14	14	15	14	16	17	17	17	18	17	18	18	18	17	18	18	19	20	18	18	19	20	22
500	-879.391985093144854	-886.247473044104254	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.256902133831104	-2	2	0	1	4	2	5	3	6	5	7	5	6	7	7	3	7	6	6	8	5	8	7	9	10	10	9	11	8	10	10	7	10	12	11	12	12	12	11	11	11	14	13	13	12	13	15	13	17	15	13	15	16	18	16	18	16	17	15	17	16	19	18	20	16	15	19	18	20	19	21	18	21	22	22	22	25	26	27	28	26	28	33	33	33	35	33	35	34	35	30	36	33	37	39	35	35	37	38	43	0	1	1	1	1	1	8	6	4	4	21	2	6	12	9	3	10	12	7	11	8	3	16	4	9	10	17	30	10	21	18	19	15	22	27	11	39	16	23	12	14	29	24	32	35	23	51	13	24	35	29	12	51	7	41	65	23	16	24	44	34	59	45	47	1	41	59	48	56	41	29	5	12	55	69	41	41	7	73	65	53	73	80	79	49	76	76	30	40	40	76	68	65	0	46	63	0	65	65	65	1	2	1	1	3	2	1	1	2	3	1	2	2	2	1	1	1	1	1	1	1	4	2	4	3	2	2	1	1	3	2	1	2	2	1	2	1	5	2	4	1	3	2	4	1	3	2	3	5	3	2	4	2	5	2	1	4	7	3	2	3	3	4	3	13	2	2	2	1	4	8	8	7	4	1	6	8	8	4	5	5	3	3	2	7	8	7	13	14	19	4	8	11	1	12	9	1	13	16	16
1000	-784.388562394508085	-791.244050345467485	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.294442236702323	-1	1	0	2	3	4	4	2	5	5	6	5	7	7	7	5	6	6	8	8	3	7	8	11	10	7	9	11	9	11	9	7	9	11	10	9	12	12	12	12	13	14	12	12	13	14	13	12	16	16	14	13	15	17	16	17	17	17	17	17	18	19	18	19	18	18	20	19	21	19	21	19	21	24	22	23	25	25	26	28	27	31	33	30	34	35	33	34	34	35	32	34	34	37	40	36	33	37	39	42	0	1	1	1	1	8	21	2	7	2	21	21	6	12	9	4	16	4	17	11	8	18	17	19	15	6	23	6	19	20	23	10	15	2	23	12	31	24	26	20	34	44	10	32	30	37	29	26	43	31	10	32	24	29	41	28	35	24	51	51	42	51	59	59	14	28	59	41	56	55	54	3	56	73	41	56	66	59	75	75	73	79	81	76	76	79	77	78	48	48	79	74	76	0	10	76	0	72	26	53	1	1	1	2	2	1	1	1	1	3	1	1	2	1	1	1	1	3	1	1	1	1	1	2	2	2	1	4	1	2	1	1	2	6	1	2	1	1	2	2	1	1	3	2	1	1	2	4	2	5	5	2	2	4	2	3	3	5	2	2	2	3	1	1	5	4	2	3	2	1	2	11	2	2	4	5	5	3	2	3	3	2	3	3	6	3	4	5	10	19	3	5	8	1	18	6	1	10	20	16
1500	-727.490467085856835	-734.345955036816235	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.375773590843909	-1	1	1	2	3	4	4	3	5	5	7	6	7	6	7	6	7	6	7	8	6	9	9	11	10	8	7	10	9	10	9	10	10	12	11	12	12	12	11	13	13	15	13	14	12	13	13	14	16	15	14	15	16	18	17	18	16	18	16	18	19	19	18	19	19	17	19	20	20	19	20	20	22	22	22	21	23	26	27	28	26	28	31	32	33	34	34	34	35	35	32	36	34	36	39	36	35	37	38	42	0	1	1	1	1	5	3	2	2	2	21	1	12	6	12	2	10	7	10	21	8	2	26	20	15	21	16	8	16	20	27	29	9	22	31	21	31	9	31	21	24	29	12	45	32	37	16	41	47	31	19	51	41	18	48	48	31	43	38	59	56	28	25	59	50	12	59	66	56	48	54	53	70	70	69	41	41	38	73	77	53	79	82	79	77	83	83	77	77	12	76	65	77	0	68	78	0	54	76	62	1	1	1	2	2	1	1	1	2	2	1	4	1	1	1	3	1	1	1	1	2	3	1	2	2	1	1	3	2	1	1	1	3	1	2	4	1	4	1	2	1	3	3	1	1	1	4	1	2	3	3	1	3	5	2	2	3	3	1	1	1	6	4	2	2	4	2	2	1	2	1	1	2	2	1	5	5	7	2	2	6	1	1	3	5	2	1	5	8	14	4	8	5	1	9	6	1	10	14	14
2000	-775.781784048524173	-782.637271999483573	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.304126180153598	-2	1	-1	2	3	2	4	4	5	4	7	5	6	4	7	6	8	8	6	8	6	8	8	10	10	9	10	10	8	10	10	9	10	12	10	12	13	12	11	12	13	13	12	13	13	14	13	14	17	15	15	16	15	17	16	15	16	17	17	18	18	19	18	19	19	19	19	17	20	16	19	18	21	21	23	23	21	26	27	28	28	30	33	32	33	35	34	34	34	35	33	35	34	36	40	35	35	37	38	43	0	3	1	1	2	2	4	6	2	4	21	8	1	6	9	10	10	14	10	11	8	5	13	22	12	17	23	11	19	13	23	13	9	22	23	11	31	18	23	30	26	16	29	32	10	37	2	14	26	17	29	42	46	47	36	41	38	47	10	51	19	59	56	12	31	68	54	56	48	41	49	31	55	56	70	73	55	54	77	76	34	79	84	79	78	82	83	76	79	8	79	67	79	0	76	82	0	45	38	7	1	1	1	3	1	1	1	2	2	1	1	1	5	1	1	1	2	2	1	1	1	2	1	1	4	1	1	1	1	2	1	1	2	3	1	2	1	2	2	1	1	4	2	2	4	1	4	4	4	3	3	2	1	2	2	1	3	2	6	2	6	1	2	6	6	1	1	2	3	1	1	3	2	3	3	1	2	4	4	3	8	1	1	2	3	2	1	7	5	13	3	7	4	1	8	5	1	9	12	16
2500	-706.387053123881628	-713.242541074841029	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.331334223360312	-1	1	0	2	2	3	2	3	6	4	5	7	7	6	8	6	7	7	7	8	6	9	8	10	10	9	8	8	9	11	8	10	8	11	9	10	13	12	12	11	13	14	13	12	11	13	15	15	15	17	14	15	15	16	17	17	16	17	17	17	19	20	18	20	19	18	19	20	20	18	19	19	21	22	23	21	23	27	28	29	27	30	30	31	32	32	33	35	33	34	33	35	34	36	40	35	34	38	38	42	0	1	1	1	1	7	3	2	4	1	8	7	14	8	9	10	10	1	4	11	11	18	19	23	15	33	16	8	19	20	17	29	18	22	31	8	10	3	23	18	18	29	19	32	22	27	51	41	19	23	29	44	44	29	41	48	27	19	42	49	48	47	25	58	59	41	43	56	56	48	54	30	70	68	48	38	76	77	76	41	71	80	80	79	62	83	83	76	77	76	83	53	83	0	96	84	0	61	38	18	1	1	1	1	2	1	2	1	2	2	1	4	1	2	1	1	2	5	2	2	1	2	1	1	1	1	2	2	1	2	1	1	1	1	1	3	4	4	2	3	3	2	3	2	1	2	1	1	4	5	2	2	2	3	2	1	4	4	2	1	2	3	4	2	1	3	3	2	2	2	2	3	2	1	4	5	1	2	3	7	3	1	1	2	6	1	1	9	6	7	1	10	3	1	3	3	1	8	12	15
3000	-690.923475954632522	-697.778963905591922	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.462345250746995	-1	0	0	2	3	2	4	4	6	4	6	5	5	7	7	6	7	5	6	7	7	7	9	10	10	10	8	9	10	10	9	9	8	11	9	12	12	12	12	12	14	14	12	13	13	13	15	15	16	15	14	15	14	17	16	17	16	15	17	18	17	20	18	19	19	18	16	19	21	19	20	19	21	23	22	21	24	26	28	28	27	31	32	32	33	34	34	35	34	35	33	35	35	35	40	36	34	37	39	43	0	1	1	1	2	3	4	6	4	4	8	6	2	8	7	10	19	10	7	11	11	5	27	17	15	17	17	18	10	20	27	19	15	22	17	21	35	26	35	6	18	38	26	32	9	27	10	38	43	38	26	44	43	51	48	48	27	29	42	10	31	48	25	59	49	48	51	56	56	55	67	58	68	69	60	61	69	64	77	77	55	79	82	82	78	83	83	76	76	81	83	71	86	0	96	84	0	60	77	60	1	1	1	1	2	1	1	2	2	1	1	2	3	2	2	1	1	1	1	1	1	2	1	1	2	2	1	2	3	2	1	2	1	2	1	1	1	1	1	4	6	1	1	3	4	1	6	2	2	2	3	1	1	1	1	2	3	3	2	8	4	4	4	1	2	1	1	2	2	1	2	3	1	1	2	3	3	3	2	1	5	1	1	1	4	1	1	7	6	4	1	6	1	1	1	2	1	8	10	12
3500	-674.710353167821154	-681.565841118780554	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557523971197357	-1	0	1	3	2	4	4	2	5	5	6	7	6	6	7	7	7	7	7	8	5	7	8	10	10	9	9	10	9	10	10	9	9	11	10	12	12	13	13	12	13	15	12	12	13	14	14	14	17	16	12	15	16	17	16	16	17	17	16	17	19	19	18	19	19	19	18	19	18	20	21	19	22	23	23	22	24	27	27	28	27	31	33	33	34	36	32	31	34	34	33	35	34	35	40	35	34	38	38	41	0	1	2	3	2	8	5	2	4	4	21	6	6	8	9	10	10	10	10	11	8	4	10	26	15	19	23	12	12	20	27	17	15	7	7	11	27	51	27	30	21	29	4	32	37	24	38	26	47	39	29	44	48	43	48	48	45	42	42	42	50	45	50	42	38	69	47	69	56	56	64	50	66	56	70	62	75	77	77	78	61	79	82	82	78	88	88	77	78	79	88	57	88	0	92	84	0	81	79	7	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	1	2	3	2	1	2	1	1	2	1	1	1	1	1	3	4	3	2	1	2	1	5	2	3	2	1	2	1	4	1	2	1	1	1	3	1	1	3	1	1	1	2	3	1	2	2	1	2	1	1	2	1	1	2	4	2	1	1	3	2	1	3	2	1	1	3	2	1	2	4	3	1	7	2	1	2	1	1	8	7	11
4000	-701.838190288517467	-708.693678239476867	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544710289948462	-1	1	0	2	4	3	4	4	5	6	6	5	6	6	7	6	8	7	8	8	5	7	8	11	10	8	6	11	10	11	9	8	9	10	11	13	10	13	12	13	13	14	14	12	12	14	14	15	15	16	13	15	14	17	16	17	17	17	18	17	19	18	18	17	18	18	19	20	20	20	20	19	21	23	23	22	24	27	28	27	24	30	33	33	33	34	34	33	34	31	34	35	31	36	39	35	32	38	39	41	0	3	1	1	1	2	4	6	7	4	21	8	6	12	9	4	18	7	16	11	5	5	27	32	15	11	12	13	18	20	27	7	15	22	23	30	23	21	35	8	12	10	35	32	19	37	29	38	43	31	16	42	9	51	48	55	35	45	58	43	64	64	38	47	49	56	64	56	56	66	64	50	69	41	68	41	66	65	76	77	73	79	79	82	82	88	83	93	77	12	88	89	81	0	94	82	0	81	92	78	1	1	1	2	3	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	3	1	2	2	1	1	2	1	2	1	1	1	2	2	1	1	4	1	3	3	4	1	2	2	2	2	1	1	2	4	1	5	2	1	1	3	3	1	2	1	1	2	2	2	1	2	1	2	1	1	1	1	6	2	3	3	4	2	1	2	2	3	1	1	1	1	1	5	8	1	1	3	1	1	2	1	9	3	5
4500	-677.633335776920717	-684.488823727880117	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.483708343621100	-1	1	0	3	3	2	4	4	6	4	6	7	5	6	8	6	8	7	7	8	6	8	7	11	11	7	9	9	9	10	9	9	10	10	10	13	12	10	12	11	14	14	13	13	12	13	15	15	16	16	14	13	14	18	17	17	14	17	16	18	18	19	16	20	18	18	20	20	20	20	20	19	21	23	20	22	23	26	28	28	27	30	32	32	33	34	33	33	35	33	34	36	34	37	37	36	35	38	38	42	0	3	1	2	2	3	6	6	4	2	7	14	7	8	9	1	10	13	2	21	7	2	16	17	15	2	23	14	19	20	23	16	15	22	17	20	31	9	23	11	18	10	29	29	28	39	29	6	53	27	29	32	45	47	41	41	37	47	51	59	38	52	43	43	47	53	54	56	65	41	59	46	55	69	66	70	48	49	77	77	65	80	77	82	73	88	83	78	84	76	83	88	83	0	88	84	0	62	77	98	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	3	2	3	1	1	3	1	1	2	2	1	2	1	1	1	1	1	1	1	3	1	2	2	2	4	5	2	2	1	1	2	5	1	2	2	2	1	2	2	2	1	1	1	1	3	4	1	4	1	2	1	2	1	3	2	3	2	1	1	1	4	3	1	3	4	2	3	1	4	1	1	3	2	8	1	1	1	1	3	2	1	9	6	3
