step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57
1	-6843.085996574400269	-6841.623914489881827	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.947215872486766	0	1	2	2	3	6	5	6	6	6	6	6	7	7	10	8	7	8	9	8	8	8	8	9	8	8	9	10	10	10	10	10	10	11	12	12	12	13	13	13	13	14	14	16	15	15	17	17	17	17	20	17	17	18	19	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	5	4	5	5	5	5	5	6	6	8	6	6	6	7	6	6	6	6	7	6	6	7	8	8	8	8	8	8	8	9	9	9	10	10	10	10	11	11	12	11	11	13	13	13	13	15	13	13	13	14	16	16
500	-382.216434888837796	-380.643112116311954	-1.573322772525847	0.000009994182758	0.000012863394539	1.287088184283092	0.403905624460077	0	1	2	2	3	6	2	6	6	6	5	4	7	7	8	8	6	8	9	5	8	7	7	9	8	8	9	10	10	10	10	9	10	11	10	11	12	13	13	12	13	14	14	16	15	15	17	17	17	17	20	17	17	17	18	21	20	0	1	1	2	2	0	0	4	0	0	0	7	20	11	9	6	12	12	20	7	11	12	12	12	23	17	20	13	21	24	22	18	18	12	23	31	35	35	35	36	35	22	12	46	42	18	37	46	34	41	35	23	38	42	46	42	54	1	1	2	1	2	1	1	4	1	1	1	2	2	2	2	2	2	2	3	2	2	3	3	4	1	2	4	3	2	1	3	1	2	6	3	1	2	2	3	1	2	6	9	1	1	7	3	2	5	3	6	10	4	3	2	5	1
1000	-317.165271878407964	-315.266777936572566	-1.898493941835401	0.000009981186337	0.000020789013726	2.082819919809106	0.617770559808826	-1	1	1	2	2	6	3	5	5	6	5	4	6	7	9	6	7	6	8	5	8	8	8	9	7	8	8	10	10	9	10	10	10	11	10	12	12	12	13	11	12	14	13	16	15	15	17	17	17	14	20	16	17	15	19	20	20	0	1	1	2	3	0	0	4	0	0	0	7	20	11	11	9	12	12	20	7	6	17	18	18	18	17	20	19	14	17	22	17	18	32	30	40	35	35	35	31	35	37	40	45	42	42	52	44	46	39	46	35	52	50	54	55	54	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	3	2	3	2	2	1	2	3	1	1	3	2	2	2	2	3	4	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	2	1	2	6	1	1	2	1	4
1500	-282.055116085022121	-280.169896366962405	-1.885219718059695	0.000010035486985	0.000020568260329	2.049552788082900	0.610986760357433	-1	1	2	2	3	6	4	6	6	5	6	5	7	7	10	8	7	8	9	7	8	8	8	8	8	8	8	10	10	10	10	10	10	11	11	12	12	13	13	13	13	14	14	16	15	12	17	17	17	17	20	15	17	18	19	21	21	0	1	1	2	2	0	0	4	0	0	0	7	7	11	16	6	12	12	13	7	6	12	12	12	17	17	13	20	6	24	24	17	23	23	33	31	35	35	35	31	37	46	31	46	46	35	52	44	42	42	49	42	46	50	50	55	54	1	2	3	1	1	1	1	3	1	1	1	1	1	1	1	2	2	2	2	3	2	3	2	3	1	1	1	3	1	2	1	3	2	1	1	2	1	2	2	2	1	2	2	4	2	1	2	1	3	2	2	1	3	1	1	2	3
2000	-285.695067517038694	-284.323022440142211	-1.372045076896493	0.000010038074637	0.000006896932005	0.687077179074536	0.600573865379407	0	1	2	2	3	5	4	6	5	6	6	6	7	7	10	8	7	8	9	8	8	8	8	9	8	8	9	8	8	9	9	8	10	11	11	12	12	13	13	11	12	14	14	16	14	12	17	17	16	17	20	14	17	18	19	21	21	0	1	1	2	2	0	0	4	0	0	0	7	7	6	16	9	12	17	13	17	14	17	17	23	12	12	20	13	6	17	22	17	30	23	33	31	35	35	35	31	35	46	31	42	46	35	52	44	45	49	42	46	49	45	54	55	54	1	1	1	1	2	1	1	2	1	1	1	2	3	2	2	3	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	1	3	1	2	1	1	2	2	1	2	2	2	2	1	3	1	1	1	3	1	1	2	1	1	2
2500	-257.277914396315452	-255.459286876370697	-1.818627519944756	0.000010011085272	0.000018864359758	1.884347125672318	0.742788192911019	0	1	1	2	3	6	5	5	6	6	6	6	7	7	9	7	7	8	9	8	7	8	8	9	8	8	9	9	10	10	10	10	10	11	11	12	12	13	13	13	13	14	14	16	15	13	17	17	17	17	20	15	17	18	19	21	20	0	1	1	2	2	0	0	4	0	0	0	7	7	11	6	9	12	17	13	13	6	17	17	18	17	12	13	13	21	23	24	24	17	22	33	31	35	35	35	36	37	39	40	42	46	37	52	44	45	45	49	39	42	45	54	55	54	1	1	1	1	2	1	1	2	1	1	1	1	2	1	3	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	2	2	1	2	1	2	2	2	1	2	3	1	2	2
3000	-280.081868659559177	-278.310209929872883	-1.771658729686312	0.000009992693808	0.000017679713821	1.769264040457219	0.736490568661007	-1	1	0	2	2	6	5	5	6	3	5	6	6	7	9	8	7	8	9	8	6	8	8	9	8	7	7	9	10	10	9	10	9	11	12	12	11	13	11	13	13	13	14	16	15	12	17	17	17	17	17	15	17	16	18	21	21	0	3	1	2	2	0	0	4	0	0	0	7	7	6	14	9	12	17	13	13	11	17	17	23	17	12	13	13	9	23	22	18	23	23	39	31	33	35	33	31	37	46	40	45	42	37	52	44	45	54	42	46	45	45	54	55	54	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	2	3	2	1	2	1	2	1	2	2	1	2	2	2	1	1	1	2	1	2	1	2	1	2	2	1	1	2	2	2
3500	-276.798135817134437	-274.799744766658932	-1.998391050475499	0.000009983980297	0.000023335967432	2.337341094088565	0.581805448033047	0	1	1	2	3	6	4	3	6	6	6	6	7	7	10	7	7	7	9	8	8	8	8	9	8	8	9	10	10	9	10	10	10	9	12	12	11	13	13	13	13	14	14	16	15	13	17	17	17	16	18	16	17	16	19	21	21	0	1	1	2	2	0	0	4	0	0	0	7	7	6	9	11	12	12	7	13	6	18	18	18	12	12	20	13	21	18	34	17	30	18	37	31	33	35	37	31	37	46	31	42	46	35	52	44	46	42	45	42	45	46	54	55	54	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	3	1	1	1	1	1	2	2	1	2	2	2	1	2	1	2	1	2	1	1	2	2	2	1	2	1	2	1	1	1	2	2	2	1	1	2	2	1	4
4000	-268.609184122426598	-267.012494320721487	-1.596689801705088	0.000010660071387	0.000014332424277	1.344496087921808	0.674718078105404	0	1	2	2	3	6	5	6	6	6	6	6	6	7	9	7	7	8	9	8	8	8	8	9	8	8	9	10	10	10	9	10	9	11	12	11	10	13	13	13	13	14	13	16	15	13	17	17	17	17	19	15	17	18	19	21	21	0	1	2	2	2	0	0	4	0	0	0	7	7	6	11	9	12	17	13	13	16	17	17	18	17	12	13	7	9	23	22	23	17	17	37	31	33	37	37	31	37	46	31	45	46	35	52	44	45	45	45	46	45	45	54	55	54	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	2	2	2	2	1	2	1	3	2	2	1	2	2	2	2	1	2	1	2	1	2	1	2	2	3	2	2	2	1	2	2
4500	-270.887078793933654	-269.133360030478514	-1.753718763455152	0.000010954352833	0.000018902328632	1.725554117161742	0.610122714552892	0	1	2	2	2	6	4	4	3	6	6	6	7	7	10	6	7	8	9	8	6	8	8	9	8	8	9	10	10	10	10	9	10	11	12	12	11	13	13	12	13	14	14	16	15	13	17	17	16	16	18	15	17	18	19	21	19	0	1	1	2	2	0	0	4	0	0	0	7	7	6	16	9	12	17	13	13	9	12	12	17	12	12	13	20	14	18	18	17	24	24	37	31	33	37	37	24	37	46	40	45	46	37	52	44	45	42	45	42	49	50	54	55	54	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	2	1	1	2	1	2	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	1	2	2	1	1	1	2	1	2	1	2	1	1	2	2	1	1	2	1	2	1
