step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
1	-2206.542078188968389	-2213.397566139927676	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605719821438829	3	9	20	19	21	20	22	21	22	23	23	24	24	26	29	28	28	32	32	33	34	37	38	41	44	44	43	47	48	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	9	8	9	9	10	9	10	10	10	11	11	12	13	13	13	15	15	15	16	17	18	19	21	21	20	22	23	24
500	-255.946028508901264	-262.801516459860636	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.244609170003978	3	10	20	18	20	21	23	21	22	23	24	25	23	26	28	27	28	32	32	31	33	36	39	39	44	44	43	46	49	49	0	0	4	2	2	2	6	4	5	6	9	4	6	2	7	5	11	9	4	12	4	16	0	16	22	19	14	22	4	6	1	1	1	6	6	4	2	2	1	1	1	3	1	6	3	2	2	7	9	3	6	3	1	6	5	7	8	6	18	12
1000	-217.454169652484524	-224.309657603443895	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.307657335682987	3	9	20	18	21	20	23	22	21	23	23	25	24	26	29	28	27	33	32	32	33	35	38	41	44	45	43	47	47	50	0	0	4	2	3	4	8	6	4	6	9	7	7	6	7	8	11	17	14	14	11	20	0	22	22	22	20	22	4	22	1	1	1	4	1	1	1	2	1	2	1	1	1	3	3	3	2	3	2	3	5	1	1	4	4	5	6	6	12	8
1500	-201.616259772798202	-208.471747723757574	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.377532545162224	4	10	20	18	22	20	21	22	20	24	24	24	25	26	30	29	29	32	33	32	35	37	39	42	44	43	44	47	48	50	0	0	4	2	4	4	6	6	4	8	9	4	8	6	7	13	11	17	16	13	11	16	0	22	22	24	22	24	16	22	1	1	1	3	2	1	1	1	1	1	2	3	2	2	5	2	3	2	2	3	5	3	1	2	4	1	5	2	11	6
2000	-193.680260051613317	-200.535748002572689	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.384668799377154	3	9	20	19	21	21	23	22	22	22	23	24	24	26	29	28	28	31	32	33	35	37	36	42	45	44	42	46	48	50	0	0	4	2	3	4	6	6	4	4	9	4	8	6	8	8	11	17	14	14	17	20	0	22	16	24	22	26	26	29	1	1	1	5	1	1	1	1	2	2	1	2	2	2	3	3	2	2	2	4	4	3	1	3	9	1	3	1	3	1
2500	-200.159247766196557	-207.014735717155929	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.514684949111103	3	10	20	19	21	20	22	22	21	23	23	24	24	26	29	29	28	32	32	34	35	38	38	42	43	45	44	47	48	50	0	0	4	2	4	4	6	6	4	4	9	7	6	6	7	7	14	17	16	16	18	20	0	22	22	22	22	25	25	29	1	1	1	4	2	1	1	2	1	2	2	1	3	4	5	3	2	2	2	3	1	3	1	3	3	3	3	2	3	1
3000	-191.246663372487831	-198.102151323447202	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.525335469673504	3	10	21	19	21	21	23	22	21	23	23	25	24	26	29	28	29	30	31	33	33	38	38	41	44	44	44	45	48	50	0	0	4	2	4	4	6	6	4	4	9	8	10	6	14	10	9	11	16	16	17	19	0	22	24	24	24	24	22	29	1	1	1	3	2	1	1	1	1	3	1	2	1	2	2	3	4	3	2	2	3	2	1	2	1	2	2	2	4	1
3500	-175.569161988873077	-182.424649939832449	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.550289926474522	3	9	20	19	20	20	22	22	22	24	24	24	24	26	30	28	28	33	32	33	34	37	39	41	45	45	43	48	48	50	0	0	4	2	4	4	6	6	4	8	9	7	8	8	16	14	4	11	16	13	17	20	0	22	27	22	24	25	26	28	1	1	1	5	1	1	1	1	2	1	1	1	1	2	1	2	6	4	2	5	3	2	1	2	1	4	1	2	2	2
4000	-188.999713220912156	-195.855201171871528	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629814966827141	2	10	19	17	22	20	22	22	21	23	23	24	24	25	27	28	29	32	33	33	34	38	38	41	44	43	42	47	49	51	0	0	4	2	4	3	6	6	4	4	4	7	10	8	6	14	9	17	16	14	17	20	0	22	27	24	24	26	28	28	1	1	1	3	2	1	1	1	2	5	2	1	1	1	3	1	4	2	2	3	2	2	1	1	1	1	1	2	1	2
4500	-194.176958869021405	-201.032446819980777	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.545532046598914	2	9	20	18	21	20	23	21	22	23	23	22	24	26	28	29	29	31	33	34	34	37	39	41	44	42	44	47	48	50	0	0	4	2	3	4	4	6	4	8	9	4	4	6	13	7	9	17	14	14	17	16	0	22	24	24	22	26	26	28	1	1	1	4	1	1	2	1	2	1	1	2	3	3	1	4	2	1	3	4	2	3	1	2	2	1	2	3	4	2
