step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103
1	-7237.058644249812460	-7235.596562165294017	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.020783947466547	1	1	1	2	2	4	3	4	5	5	5	7	8	10	10	10	12	11	12	11	12	11	13	15	13	14	13	16	15	16	16	17	17	17	17	17	18	19	19	20	20	19	20	19	20	23	23	23	24	24	23	24	24	24	26	25	24	26	27	26	25	28	26	26	27	28	29	29	29	29	30	30	31	31	31	35	34	32	32	34	33	33	34	35	35	36	35	36	35	35	35	35	37	37	37	36	37	38	36	36	38	39	41	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	3	4	5	5	5	6	5	6	5	6	5	6	7	6	7	6	8	7	8	8	8	8	8	8	8	9	9	9	10	10	9	10	9	10	11	11	11	12	12	11	12	12	12	13	12	12	13	13	13	12	14	13	13	13	14	14	14	14	14	15	15	15	15	15	17	17	16	16	17	16	16	17	17	17	18	17	18	17	17	17	17	18	18	18	18	18	19	18	18	19	19	20
500	-3069.353059596643561	-3066.764477617667580	-2.588581978976058	0.000010022447779	0.000040491078194	4.040038829413661	0.071119018821444	0	2	1	1	3	5	3	5	6	6	5	8	7	9	9	11	12	8	13	9	10	10	14	14	13	12	13	13	16	15	13	14	17	17	15	17	18	19	17	19	20	20	20	20	20	23	23	22	25	25	23	24	21	25	26	26	25	27	27	27	25	29	27	25	27	29	29	30	29	29	30	31	32	31	31	35	35	32	32	34	33	33	34	36	35	36	34	37	34	35	35	34	37	38	37	37	36	39	37	36	38	39	40	0	1	0	1	2	7	4	5	7	8	4	11	11	11	11	13	12	13	14	11	14	13	18	18	21	18	21	18	23	18	18	18	28	28	31	31	39	18	18	35	35	30	28	31	35	18	18	31	31	30	18	32	0	0	26	39	40	31	44	18	52	39	32	3	28	34	44	3	3	28	28	3	3	32	3	28	53	3	3	3	39	39	3	3	3	3	3	3	32	28	3	3	3	32	3	53	38	32	3	3	3	3	3	1	1	1	1	1	1	2	2	3	1	2	2	2	2	2	2	2	1	2	2	1	1	2	3	2	2	2	3	1	4	3	6	1	2	1	2	1	6	7	2	3	3	4	7	3	8	10	5	9	6	8	6	1	1	10	5	4	14	4	12	1	5	10	11	11	8	7	14	11	9	11	14	16	9	12	12	14	19	16	18	8	10	15	18	18	20	17	18	12	15	20	18	15	18	17	14	12	20	18	16	21	21	19
1000	-2870.111973399412364	-2867.131006295765019	-2.980967103647218	0.000010082308768	0.000054509556897	5.406455817865229	0.132214958828016	-1	0	0	2	2	4	4	4	6	6	6	7	9	10	11	11	13	9	12	10	12	12	11	15	14	12	13	13	15	16	13	16	16	16	16	16	19	19	16	20	19	19	20	18	20	23	23	24	23	25	23	24	21	24	26	26	25	27	27	27	25	28	25	26	28	28	29	29	28	30	29	31	32	29	32	36	35	33	32	34	34	33	35	35	36	37	35	35	36	36	36	36	38	37	36	37	37	39	37	37	36	40	42	0	1	0	1	2	4	4	5	7	8	4	11	12	12	13	13	12	11	12	12	12	11	18	18	21	23	15	18	23	26	26	28	28	28	31	31	32	26	18	41	35	26	32	31	44	26	28	40	44	38	28	24	0	0	46	32	45	44	49	43	34	39	34	3	28	34	44	3	3	28	32	3	3	39	3	39	53	3	3	3	71	39	3	3	3	3	3	3	39	28	3	3	53	28	3	53	74	39	3	53	3	3	53	1	1	1	2	1	2	1	2	1	1	2	1	1	2	1	2	3	2	2	2	2	4	1	5	2	1	1	2	2	2	1	2	2	2	2	2	2	4	6	1	2	3	2	3	1	5	8	2	3	4	6	4	1	1	3	4	3	5	3	3	3	5	6	14	8	7	6	16	13	10	10	15	15	5	13	8	12	18	16	18	4	10	16	18	20	20	16	19	10	13	20	17	14	16	16	14	5	19	18	16	21	21	18
1500	-2742.840250909209772	-2740.034431936222063	-2.805818972987574	0.000010180181996	0.000048566463821	4.770687188248598	0.161922063099378	-1	1	1	2	2	5	4	4	6	5	5	7	8	11	10	9	13	10	12	11	11	11	13	15	12	14	13	15	15	17	16	17	18	17	17	18	19	20	16	18	20	19	21	19	21	23	22	24	24	25	22	25	21	25	25	26	25	26	28	26	23	29	26	26	28	26	30	29	29	29	30	30	31	31	32	36	35	32	33	34	33	34	35	36	35	35	36	36	35	35	32	36	37	37	38	36	37	38	36	37	39	38	41	0	1	0	1	2	4	4	5	7	5	4	11	11	12	11	13	15	16	12	11	15	12	18	18	21	18	21	18	23	26	26	28	39	39	31	31	34	30	18	35	35	26	39	40	40	26	18	45	44	38	34	61	0	0	46	28	45	44	49	28	32	47	47	3	39	39	44	3	3	39	39	3	3	66	3	47	53	3	3	3	74	39	3	3	3	3	3	3	39	32	3	3	53	39	53	53	82	39	3	53	3	3	53	1	1	1	1	1	3	1	2	1	1	2	2	1	2	2	1	2	1	2	3	1	2	3	3	1	2	1	2	1	1	1	1	1	1	1	1	1	2	4	1	2	4	4	1	2	4	9	3	2	3	3	1	1	1	1	5	2	4	2	4	2	4	2	14	6	5	5	16	13	6	8	15	16	3	16	9	12	17	17	16	1	11	17	16	19	18	15	19	9	9	18	18	13	14	16	13	2	17	17	15	21	21	17
2000	-2526.077979333346775	-2523.690704140952676	-2.387275192394101	0.000010264591176	0.000035064432592	3.416057394980247	0.159858198387920	-1	1	1	1	2	4	3	5	6	4	5	7	8	8	9	10	13	11	13	11	12	11	13	14	14	12	13	16	16	17	14	15	18	18	16	17	18	20	16	19	21	19	21	20	21	23	22	22	24	24	21	23	21	23	26	25	25	26	27	26	25	29	26	23	27	28	30	29	29	29	30	30	30	31	30	34	35	33	31	34	33	34	33	35	36	35	36	35	36	35	35	35	38	38	38	36	38	38	36	37	37	39	42	0	1	0	1	2	7	4	5	7	5	7	11	12	11	11	13	22	16	20	15	15	11	18	18	27	18	21	18	23	26	26	18	28	28	31	31	39	30	18	35	35	26	32	40	40	26	18	45	44	38	28	51	0	0	50	39	48	44	49	47	52	56	56	3	32	28	44	3	3	47	47	3	3	71	3	47	64	3	3	3	74	47	3	3	3	3	3	3	82	47	3	3	64	47	53	64	89	39	3	64	3	3	53	1	2	1	1	1	1	1	2	2	1	2	2	1	2	2	1	2	1	1	1	1	3	1	2	1	1	1	2	2	3	1	2	1	1	1	1	1	2	2	2	2	4	2	1	1	5	10	1	2	2	2	2	1	1	1	4	2	3	2	3	1	2	1	13	8	6	5	15	12	4	3	16	14	1	14	6	11	18	14	16	1	9	17	17	20	16	15	19	2	7	16	19	12	14	16	11	1	16	17	14	20	21	17
2500	-2393.835973463735172	-2391.844588262482830	-1.991385201252169	0.000010537215898	0.000024438278432	2.319234859502865	0.163293901876147	0	1	1	2	2	5	3	4	5	6	4	7	8	10	7	11	10	11	13	10	13	11	12	15	14	12	12	16	16	16	16	17	17	17	17	17	18	18	18	19	20	20	21	20	20	23	21	24	25	24	22	24	21	24	26	25	25	26	26	26	26	28	27	23	26	28	29	29	29	29	31	31	30	31	31	34	34	31	32	34	33	33	34	35	35	35	36	37	35	33	36	36	38	37	38	37	37	39	36	37	36	40	42	0	1	0	1	2	7	4	5	7	8	4	11	11	11	11	13	15	13	12	11	27	15	18	18	21	18	20	18	23	26	26	18	28	28	31	31	28	26	34	35	35	30	39	40	40	30	28	45	44	38	39	51	0	0	46	32	48	44	49	33	52	56	56	3	18	52	59	3	3	51	66	3	3	66	3	65	64	3	3	3	74	47	3	3	3	3	53	3	82	65	53	3	64	32	53	64	82	32	3	64	3	3	64	1	1	1	1	1	1	1	2	1	1	1	3	3	2	2	2	2	2	4	3	1	2	1	3	1	1	1	2	2	3	2	2	1	1	1	1	1	3	1	1	2	2	2	1	1	3	3	2	3	4	3	2	1	1	2	4	1	2	1	5	1	2	1	12	9	3	2	12	13	3	1	16	16	2	15	4	6	19	15	18	1	9	16	15	21	18	14	18	2	3	14	19	12	13	15	9	1	14	18	13	20	21	16
3000	-2227.826300719392748	-2225.654723853306677	-2.171576866085915	0.000010905199976	0.000030522413167	2.798886149224267	0.179544958035684	1	2	0	2	3	4	3	5	5	6	4	6	8	8	10	11	13	11	13	10	13	12	13	14	13	12	10	16	15	16	15	18	18	17	17	18	19	18	20	18	21	19	20	19	19	24	23	23	24	25	24	22	25	25	26	25	25	25	27	26	24	29	27	23	26	28	30	28	29	29	30	29	32	31	31	36	34	32	33	34	33	33	33	35	34	37	36	36	36	36	36	36	38	38	37	36	37	37	37	36	38	39	42	0	1	0	1	2	4	4	5	4	5	7	11	11	12	11	14	12	13	14	12	27	20	18	18	27	18	14	24	23	26	26	28	28	28	31	31	28	26	28	35	35	26	32	40	40	38	39	45	44	38	33	32	0	0	46	28	48	44	44	34	52	56	56	3	28	51	49	3	3	39	66	3	3	66	3	65	83	3	3	3	74	74	3	3	3	3	64	3	82	65	64	3	64	52	64	64	89	52	3	64	3	3	64	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	1	5	2	3	2	2	1	1	2	2	1	2	1	2	2	3	2	1	1	1	1	2	3	2	1	2	3	2	1	1	3	2	2	3	3	4	2	1	1	1	4	1	2	4	3	1	2	1	11	5	3	3	13	14	4	1	17	16	1	16	5	1	19	16	20	2	1	16	15	21	18	10	17	2	5	10	18	12	14	11	10	1	9	16	11	20	20	16
3500	-2142.181843819768801	-2139.890521896379596	-2.291321923389339	0.000012147243526	0.000038085128806	3.135289806661162	0.169003145108095	0	1	2	2	2	4	3	5	5	6	5	7	9	10	8	10	10	12	11	12	12	12	13	14	12	13	13	15	16	17	15	17	17	17	17	17	19	20	19	18	20	19	20	19	19	24	22	23	24	22	23	24	23	25	26	25	24	26	28	26	24	27	26	23	25	28	30	29	28	29	30	31	31	32	31	36	34	32	32	35	33	33	34	35	36	36	35	36	36	35	35	36	37	37	38	36	38	39	35	36	37	40	42	0	1	0	1	2	4	1	5	7	8	4	11	11	15	12	13	11	16	15	12	19	17	18	18	17	18	21	18	18	26	26	28	28	28	31	31	28	30	18	35	35	30	34	40	40	50	32	45	44	38	32	32	0	0	38	47	48	44	44	32	51	56	56	3	51	61	49	3	3	65	66	3	3	66	3	70	68	3	3	3	74	74	3	3	3	3	64	3	82	65	64	3	64	52	64	64	89	47	3	64	3	3	64	1	1	1	1	1	1	3	2	1	1	2	1	2	1	1	1	2	2	2	2	1	1	1	2	2	1	1	2	3	2	1	2	1	2	1	1	2	2	3	1	2	1	2	1	1	1	3	2	4	1	4	4	1	1	3	2	1	4	5	5	1	1	1	11	2	2	3	13	12	3	2	17	13	3	16	5	3	19	16	18	1	1	17	16	22	19	10	14	2	5	8	18	13	10	11	8	1	9	16	10	21	18	15
4000	-2053.930904776815623	-2051.912020074106749	-2.018884702708691	0.000014383277305	0.000034383837266	2.390542609837911	0.196501324506044	0	1	1	2	2	5	3	5	6	3	5	7	7	10	10	10	13	11	12	12	12	12	14	15	14	14	14	15	15	17	15	16	18	18	17	18	19	19	19	17	21	20	20	19	20	23	20	23	23	24	22	23	25	24	26	25	24	27	27	23	26	29	26	23	27	26	30	30	29	28	30	30	31	30	32	36	35	33	33	35	33	32	34	34	35	36	36	36	35	36	35	36	37	38	37	36	37	39	36	37	37	39	42	0	1	0	1	2	4	4	5	7	5	4	11	11	12	12	13	19	16	12	13	14	14	18	18	21	18	21	18	23	26	26	28	32	24	31	31	32	26	28	31	35	26	34	40	40	30	28	45	44	38	39	32	0	0	46	51	48	44	44	32	51	56	56	3	51	60	59	3	3	47	66	3	3	66	3	70	78	3	3	3	74	74	3	3	3	3	64	3	82	65	64	3	64	52	64	64	89	74	3	64	3	3	64	1	1	1	1	1	2	1	2	3	1	2	1	1	2	2	1	1	1	3	3	1	1	2	2	1	2	1	2	1	1	1	1	2	1	1	2	2	3	2	1	2	3	1	1	2	3	3	2	2	3	3	3	1	1	2	2	1	5	6	4	2	2	1	11	2	1	2	16	12	4	2	13	14	2	16	5	1	18	15	18	2	1	17	18	20	20	9	15	2	5	8	16	13	8	9	8	1	6	17	9	21	19	11
4500	-1911.261377171482991	-1909.547702381514455	-1.713674789968610	0.000018731342724	0.000030501069548	1.628344000623466	0.206160156591964	0	1	1	3	3	4	2	5	5	6	5	7	8	9	10	10	12	12	12	10	12	12	14	13	13	15	14	16	15	16	16	17	18	16	17	16	18	19	20	19	20	20	21	20	21	23	23	24	24	25	23	24	24	24	26	26	25	26	27	26	26	29	26	23	27	28	29	29	27	28	30	30	28	31	31	35	35	32	32	35	33	32	34	36	35	36	35	34	35	36	36	36	38	38	37	36	38	38	37	37	38	38	42	0	1	0	7	2	7	1	5	4	5	7	11	11	11	11	13	14	16	12	12	20	15	18	18	21	24	21	18	24	24	26	18	18	18	31	26	32	26	28	35	35	38	32	40	40	38	39	45	44	46	32	32	0	0	46	47	48	44	44	51	52	56	51	3	47	52	59	3	3	39	66	3	3	71	3	70	68	3	3	3	74	74	3	3	3	3	64	3	82	70	64	3	64	74	64	69	89	82	3	64	3	3	64	1	1	1	1	2	1	2	2	1	2	2	1	2	2	3	1	1	1	3	2	1	1	2	1	1	1	1	2	1	2	1	3	3	2	1	1	1	2	2	1	2	1	3	1	1	2	2	2	2	1	2	4	1	1	1	2	1	4	3	2	1	1	1	11	3	2	1	14	12	4	1	15	13	1	16	5	3	18	16	18	1	1	19	17	15	18	7	16	2	4	7	17	12	4	9	6	2	4	18	9	20	20	11
