step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95
1	-3418.847550585137469	-3425.703038536096756	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.299920639799452	0	4	5	7	5	8	9	8	9	10	11	13	12	11	12	14	12	14	14	14	15	14	14	15	16	16	18	15	17	18	18	20	18	17	20	19	21	20	21	23	22	23	25	27	28	29	29	30	31	31	33	30	31	32	33	33	33	34	34	35	34	34	34	36	34	34	34	35	35	37	38	36	37	36	38	37	37	38	38	37	37	39	39	40	39	41	40	40	40	42	43	43	43	44	44	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	4	5	4	5	5	6	7	6	6	6	7	6	7	7	7	8	7	7	8	8	8	9	8	9	9	9	10	9	9	10	10	11	10	11	12	11	12	13	14	14	15	15	15	16	16	17	15	16	16	17	17	17	17	17	18	17	17	17	18	17	17	17	18	18	19	19	18	19	18	19	19	19	19	19	19	19	20	20	20	20	21	20	20	20	21	22	22	22	22	22
500	-959.309596381742722	-966.165084332702122	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.123089816244264	0	3	5	7	5	9	10	8	9	10	11	12	12	11	10	15	13	14	14	15	15	13	11	15	16	17	19	15	17	18	18	20	19	17	19	18	21	17	19	21	21	22	25	28	28	27	30	29	30	31	34	30	31	32	33	32	33	34	33	34	35	35	35	36	34	35	33	36	36	37	37	36	38	36	39	37	37	39	37	37	37	40	39	40	39	39	40	40	41	43	43	43	44	44	45	0	1	2	2	1	2	2	2	5	8	9	6	14	8	5	10	23	13	5	14	15	6	8	17	13	9	30	6	6	34	8	30	6	21	8	26	33	15	26	14	39	19	32	39	34	39	35	35	38	15	46	39	21	42	38	42	39	39	30	53	15	21	47	42	35	35	40	40	39	39	49	40	42	40	38	43	30	35	9	21	38	38	38	15	15	38	40	42	39	38	38	38	40	40	19	1	2	1	2	3	4	3	3	2	1	1	1	1	2	3	2	2	2	5	3	2	2	2	1	2	6	1	3	4	1	4	1	4	1	5	1	1	4	1	7	1	7	3	5	5	4	5	4	7	13	5	5	9	6	6	5	8	9	8	3	14	11	3	9	9	10	6	8	7	9	4	8	12	10	14	8	11	10	15	15	13	17	13	19	21	11	16	13	15	18	15	19	12	18	16
1000	-853.621444280992250	-860.476932231951650	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.141696934030659	-1	3	5	7	6	8	9	7	9	10	12	12	12	11	11	14	11	14	14	14	14	13	15	15	16	16	18	16	17	18	18	18	18	17	20	20	22	17	20	23	22	23	22	25	26	28	29	31	31	31	32	30	31	30	34	34	34	34	35	34	35	33	34	35	33	33	33	34	34	37	37	36	38	35	37	38	38	38	39	37	37	39	39	38	39	42	40	40	40	42	44	44	44	44	44	0	1	2	3	3	8	5	5	5	8	6	10	6	6	9	22	9	14	13	13	15	10	17	17	13	20	21	17	17	21	4	15	23	21	38	33	33	21	38	35	39	38	38	39	39	39	44	35	40	38	45	46	42	42	65	42	42	35	46	47	27	43	50	40	42	47	50	54	46	38	60	45	43	35	44	51	32	42	35	43	38	40	27	38	35	62	35	35	35	32	49	43	53	34	38	1	2	1	1	1	1	2	1	1	1	3	2	2	1	1	1	1	2	1	1	1	2	2	3	3	1	2	2	4	2	6	3	2	2	2	1	3	1	2	2	1	3	4	3	3	5	3	5	5	7	3	1	3	3	1	5	7	6	3	3	14	7	1	7	5	2	1	3	5	9	2	6	13	9	8	3	11	8	10	11	11	8	11	12	13	4	10	9	13	16	7	14	8	20	14
1500	-714.763863854773717	-721.619351805733118	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.276352132201723	0	3	5	7	4	8	9	6	8	9	10	12	12	11	11	14	12	13	14	12	14	15	15	14	14	17	17	16	18	19	18	20	17	15	21	19	20	18	22	22	23	23	26	26	26	30	29	28	31	30	32	28	32	30	34	32	33	33	34	35	34	35	35	36	34	34	35	36	36	38	38	36	37	37	38	37	37	39	39	38	37	39	39	40	38	41	38	41	40	42	43	44	44	44	45	0	1	2	2	2	8	2	5	8	8	5	10	10	6	9	12	9	14	13	6	15	16	14	17	8	14	34	24	9	21	6	27	28	21	38	33	24	21	38	38	35	38	38	42	35	43	38	39	50	44	46	35	44	42	46	42	46	50	35	47	39	56	47	56	58	48	42	45	50	42	45	67	45	54	47	55	44	43	51	54	48	74	45	53	39	89	54	77	38	54	58	43	77	45	90	1	2	1	2	1	2	3	2	1	2	2	2	2	2	1	2	2	1	1	2	2	1	3	1	4	4	1	1	6	3	4	1	1	1	2	2	4	2	2	2	1	2	4	1	3	2	5	2	1	2	1	5	3	3	2	5	1	2	7	3	6	1	2	2	1	3	4	4	2	8	5	1	5	4	5	2	7	7	4	3	4	1	7	4	7	1	3	2	12	7	4	10	4	11	2
2000	-638.996920526866234	-645.852408477825634	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.522045405193101	1	4	6	7	5	8	9	7	10	11	11	13	13	12	13	12	12	14	15	15	15	14	13	15	17	14	18	14	18	18	17	21	19	17	19	19	20	20	22	23	23	23	24	28	29	29	29	30	31	31	33	30	30	32	33	33	33	34	35	36	33	33	34	37	33	34	34	35	34	37	37	34	37	35	39	38	38	39	38	36	37	39	39	40	40	41	40	40	41	41	42	44	44	45	44	0	1	2	2	2	8	3	5	6	6	6	10	14	8	9	10	9	14	14	26	9	16	17	23	13	11	21	9	17	9	14	21	17	15	21	30	28	30	38	38	39	35	38	43	41	38	40	44	46	45	50	44	46	53	48	44	54	54	43	69	53	50	50	69	52	48	61	48	43	46	56	46	80	69	77	56	58	52	58	54	74	81	74	78	82	85	59	74	35	53	59	75	64	90	70	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	1	2	2	2	2	4	4	4	5	3	3	2	1	3	1	2	2	1	2	2	3	4	5	2	1	1	1	1	2	1	1	1	2	1	1	7	1	2	1	2	1	2	2	1	2	5	4	2	2	1	1	1	2	2	4	2	2	2	1	2	1	1	1	2	2	11	4	2	5	3	3	2
2500	-567.995788907661790	-574.851276858621191	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.570219671414791	1	3	5	6	6	8	7	7	9	10	11	13	12	11	12	13	12	15	14	14	14	15	14	16	16	17	17	15	18	18	18	18	19	16	19	19	20	21	20	23	22	23	26	27	28	29	29	30	32	31	34	31	28	32	32	33	32	35	35	35	35	33	34	36	34	35	33	35	36	37	39	36	37	37	38	37	38	38	37	38	38	39	37	40	40	41	40	41	38	42	42	42	43	44	44	0	1	2	1	3	8	4	5	6	6	8	10	6	6	9	10	9	6	13	8	15	16	9	28	13	28	21	17	28	34	20	27	28	21	27	23	36	35	35	38	35	39	39	42	38	43	44	39	48	53	55	40	44	53	45	50	53	65	47	56	44	50	52	57	57	45	44	56	65	59	60	48	52	52	72	56	40	65	69	73	52	70	52	61	83	44	75	77	50	75	83	87	72	93	78	1	1	1	3	1	1	1	1	1	1	2	1	2	2	1	2	2	3	1	3	2	1	2	1	2	1	2	2	1	1	2	1	2	1	1	2	1	1	1	2	2	2	3	2	3	2	1	4	1	2	1	3	1	2	2	1	2	1	2	1	3	1	2	2	1	3	2	1	1	1	2	4	4	3	1	3	6	2	1	1	3	1	3	2	1	6	2	2	2	2	2	1	2	1	3
3000	-559.632788980493387	-566.488276931452788	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.633026577548432	0	4	6	6	6	9	9	8	9	11	11	14	12	10	11	15	12	15	15	13	16	15	15	14	14	14	18	16	16	17	19	18	16	18	19	19	20	20	21	23	22	23	25	27	28	29	30	30	31	32	32	31	31	32	31	33	33	34	34	35	35	35	34	36	35	35	34	34	35	38	38	37	36	36	38	37	38	38	38	38	38	39	38	39	38	41	41	40	41	42	44	44	43	44	43	0	1	2	2	2	8	3	5	8	6	6	10	6	8	9	12	9	13	20	6	15	10	24	17	14	14	15	24	17	29	23	30	17	30	30	23	29	35	35	39	39	39	39	42	39	43	44	44	46	35	46	46	45	47	46	46	54	53	43	50	57	53	50	53	59	46	50	56	68	58	60	64	67	59	72	68	58	65	51	73	74	74	74	70	74	83	79	70	84	59	89	87	46	90	79	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	3	2	1	1	2	2	3	1	2	1	2	1	2	1	1	1	2	1	1	2	1	2	2	2	2	2	2	1	2	4	2	1	2	1	1	2	1	2	3	2	1	2	1	3	1	2	1	1	1	2	2	1	1	1	1	2	2	2	4	1	2	2	1	1	1	1	1	1	2	2	2	1	6	1	2
3500	-537.297530660661891	-544.153018611621292	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.577123305996650	0	4	6	7	6	9	9	7	9	10	11	14	12	11	13	13	12	14	15	15	15	12	14	15	17	17	18	16	18	18	19	19	17	17	19	19	19	21	21	23	22	22	24	26	29	27	29	30	31	31	33	31	31	33	33	33	33	35	35	35	34	34	35	36	35	34	35	34	35	38	38	35	36	35	37	37	38	38	38	37	37	40	40	40	39	42	40	40	41	43	40	42	40	45	43	0	1	2	2	2	8	3	2	8	8	8	17	8	6	9	13	9	13	18	14	15	10	17	17	18	13	21	23	24	21	26	27	23	21	30	24	28	35	35	38	35	35	39	38	44	42	40	46	45	43	48	44	47	53	45	50	53	45	68	68	53	50	51	58	61	52	54	48	52	74	60	57	67	52	64	56	65	65	65	73	74	81	48	77	74	81	75	81	79	93	78	87	75	90	77	1	2	1	2	1	1	1	2	1	2	2	1	2	1	2	1	2	1	1	2	1	1	2	1	2	3	2	2	2	2	1	1	2	1	1	2	1	1	2	2	2	1	2	2	2	2	3	2	1	3	2	2	1	1	2	1	1	4	1	1	2	1	1	1	1	2	1	3	2	2	2	1	1	2	1	2	2	1	2	1	1	2	5	1	2	3	1	2	2	1	1	1	1	1	2
4000	-539.595588887670374	-546.451076838629774	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590143003701658	1	3	5	6	6	8	9	9	10	10	12	13	13	11	11	14	13	15	15	15	14	15	15	14	17	16	18	15	17	16	18	20	18	18	19	20	22	20	22	24	23	24	25	27	28	28	29	31	30	30	33	31	31	30	32	33	33	34	35	34	34	33	34	34	34	34	33	35	36	36	38	37	36	37	38	37	35	38	38	38	38	39	40	40	39	42	40	39	40	40	44	43	42	44	44	0	1	2	2	3	5	3	6	6	6	6	10	14	9	9	12	9	14	13	14	15	16	17	17	13	20	30	17	24	21	26	21	23	30	21	28	28	35	38	38	38	38	38	43	44	43	44	45	46	44	50	46	46	45	50	38	54	48	52	56	54	54	55	56	50	48	38	51	77	65	60	64	67	56	64	68	58	69	74	73	70	74	56	79	74	88	64	59	79	64	66	87	90	93	59	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1	1	2	1	1	1	2	1	1	4	1	1	2	2	4	1	2	2	1	2	3	1	1	1	1	2	1	2	2	1	2	1	2	8	2	1	2	1	2	2	1	1	2	1	4	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	4	1	1	1	2	2	1	3	4	2	1	2	4
4500	-558.880362515730440	-565.735850466689840	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.520614336434130	1	3	5	6	5	9	9	7	9	9	12	12	12	11	12	13	12	13	14	14	14	14	14	15	16	16	18	15	18	16	18	20	18	17	21	20	20	20	22	24	22	24	26	26	28	30	29	31	32	32	34	31	30	32	34	33	33	34	34	35	34	34	33	35	34	34	35	36	33	36	38	37	36	36	39	35	37	38	38	38	38	40	40	40	39	42	39	40	39	41	43	43	43	45	44	0	1	2	2	2	8	3	5	8	8	6	10	6	6	9	10	9	13	6	14	15	12	17	23	19	6	21	17	24	21	26	21	23	21	38	33	23	30	35	35	38	35	39	39	39	40	44	42	52	43	50	44	47	44	57	45	53	69	50	56	53	54	48	57	69	54	50	52	50	48	60	54	54	43	64	52	58	57	58	73	58	74	81	68	74	78	72	70	77	47	84	87	90	93	84	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	1	2	2	1	1	2	1	2	3	2	2	2	2	1	3	2	1	1	1	3	2	1	2	1	2	2	2	3	3	2	4	1	2	1	3	1	3	1	2	2	1	1	1	2	1	1	1	1	2	2	3	1	3	2	3	2	3	2	1	1	4	2	1	2	2	1	3	1	3	1	3	1	5	1	2	1	2	2
