step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
1	-38.396620724166290	-45.252108675125662	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.326962438035846	1	3	4	6	6	8	7	7	10	12	14	0	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	3	3	5	6	7
500	-51.448402721383026	-58.303890672342398	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.364524827398027	0	4	4	7	6	6	6	5	9	11	13	0	1	1	3	8	3	2	1	7	1	10	1	2	2	2	1	1	1	4	1	4	1
1000	-43.626691523994218	-50.482179474953590	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.297989800761817	1	2	5	7	6	8	5	7	10	11	14	0	1	1	3	7	1	1	3	8	6	1	1	1	2	2	1	3	2	1	1	1	6
1500	-34.473634760475043	-41.329122711434415	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.808442082293967	1	3	3	6	7	8	8	7	11	12	14	0	1	1	3	3	5	1	3	8	5	10	1	1	1	1	1	1	2	2	1	2	1
2000	-31.654785640059245	-38.510273591018617	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.685252532303435	2	3	4	6	6	7	7	7	10	11	14	0	1	1	3	3	5	3	1	8	7	10	1	1	1	1	1	1	1	2	2	2	1
2500	-30.903001821631804	-37.758489772591176	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.975864291504808	2	4	4	7	5	8	7	7	10	12	14	0	1	1	5	1	2	5	5	5	8	10	1	1	1	1	1	1	1	1	2	2	1
3000	-29.401086177672951	-36.256574128632323	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636700077405377	2	3	4	6	6	8	7	6	10	11	13	0	1	1	3	3	5	3	3	1	3	10	1	1	1	1	1	1	1	1	4	2	1
3500	-46.135015248498618	-52.990503199457990	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711137238120274	1	4	3	7	6	8	7	7	9	10	13	0	1	1	2	2	2	3	3	6	3	9	1	1	1	1	1	2	1	1	1	3	1
4000	-38.497667196650639	-45.353155147610011	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.886587045883575	1	4	3	6	5	7	6	8	10	12	14	0	1	1	1	2	5	3	7	8	1	10	1	1	1	2	1	1	1	1	1	3	1
4500	-43.373378610115729	-50.228866561075101	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.601829593605962	1	3	5	6	6	8	8	8	10	12	13	0	1	1	2	2	3	1	5	8	5	10	1	2	2	1	1	1	2	1	1	2	1
