step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95
1	-918.098779814931277	-927.149623195382674	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.665713312106563	0	0	1	1	2	6	3	13	6	8	4	16	7	5	6	13	7	6	9	6	7	9	10	9	8	8	10	12	9	10	9	10	9	10	13	9	9	11	11	11	11	11	10	10	10	14	14	13	11	11	11	13	12	11	13	12	15	14	13	12	13	13	17	15	17	15	13	13	15	16	16	18	14	15	23	15	17	19	17	17	18	18	19	17	20	20	21	21	29	22	27	27	26	28	30	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-308.072363411148160	-317.123206791599500	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992706323495507	0	-2	2	2	3	5	4	11	7	6	4	17	8	6	5	14	8	7	7	5	6	9	6	7	8	9	9	13	7	9	10	8	10	10	12	10	6	11	11	11	9	11	8	10	10	11	12	13	11	12	10	11	12	11	12	10	14	13	13	13	10	13	12	9	15	13	12	14	14	16	14	18	12	14	23	15	16	17	16	17	18	16	17	15	18	21	19	20	29	23	25	26	26	27	28	2	0	1	1	3	7	3	44	23	5	4	49	21	20	7	54	14	11	23	11	11	29	11	21	11	18	32	42	37	18	23	29	9	20	61	37	6	34	41	24	9	61	23	30	26	37	61	46	18	41	27	41	36	30	27	23	39	44	31	42	29	54	54	19	28	39	46	49	63	65	49	78	61	35	83	61	53	70	48	57	16	71	57	55	62	81	80	85	94	72	75	90	90	90	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-288.411383300136549	-297.462226680587889	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995119925185229	0	-1	1	1	2	7	3	14	7	4	5	14	8	4	6	14	8	7	6	6	8	8	10	9	8	8	11	13	10	6	7	11	10	9	13	9	9	12	9	11	12	10	10	11	9	14	15	13	11	11	12	12	10	8	12	12	13	12	13	13	14	11	15	15	15	16	13	14	13	16	16	19	15	10	23	16	16	17	18	13	17	15	19	16	20	17	22	20	29	12	28	27	25	29	28	2	0	2	1	4	19	3	52	20	2	4	21	20	3	10	42	9	19	11	10	11	6	6	31	19	15	26	33	37	10	14	39	37	22	90	18	25	32	18	21	74	36	25	18	6	28	60	90	25	45	24	39	45	6	27	32	62	40	55	45	67	29	46	46	28	46	32	44	50	12	67	81	27	25	87	65	35	70	63	90	41	56	71	63	86	76	61	72	95	23	92	93	75	92	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-309.135453800838206	-318.186297181289547	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993038593648899	1	0	1	1	3	6	2	14	4	8	1	15	8	5	2	13	5	5	6	7	7	7	10	8	9	6	8	12	8	9	10	11	8	10	13	9	10	9	12	11	10	11	11	9	11	15	15	13	12	11	9	14	13	11	14	9	12	10	12	10	13	14	16	16	13	13	13	11	13	16	16	15	14	14	24	16	16	19	16	16	11	18	19	17	20	19	21	22	28	20	27	21	26	22	26	2	0	2	2	1	7	11	36	11	26	2	32	19	2	3	57	9	15	17	14	19	18	24	6	27	5	19	58	6	9	10	44	22	24	40	27	13	33	26	23	13	31	38	20	56	73	37	26	56	30	20	28	40	25	53	27	44	29	54	29	42	53	8	31	36	81	37	60	25	49	28	65	81	48	92	52	73	84	54	66	31	76	76	49	70	79	80	85	95	79	93	76	94	78	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-302.242101722920211	-311.292945103371551	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993278977632998	1	-1	2	2	3	6	4	13	7	5	5	16	8	5	7	12	7	7	10	6	6	9	11	10	9	9	11	11	10	10	9	10	10	10	14	9	10	12	11	9	10	11	11	9	10	14	12	12	11	8	12	11	12	11	14	13	15	13	14	11	11	14	17	13	17	14	13	14	16	16	17	19	14	15	22	15	18	16	16	17	18	17	17	15	19	20	16	20	27	21	25	25	26	20	29	2	0	2	1	1	14	3	45	11	1	2	35	21	3	6	30	5	6	22	7	1	9	45	13	15	15	41	40	18	9	11	9	13	17	18	6	44	41	37	15	50	36	18	21	9	38	24	61	18	17	61	30	28	33	64	23	39	27	32	24	50	58	56	39	74	48	24	56	28	16	87	68	61	55	53	55	80	35	84	74	69	40	56	38	71	12	66	78	91	69	81	85	91	71	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-308.944904672162579	-317.995748052613919	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996687763167827	0	-3	2	-1	3	6	3	14	6	9	5	17	7	5	7	13	6	6	9	7	7	10	10	9	8	5	8	13	7	10	9	10	8	10	14	6	7	9	11	12	12	12	10	11	7	14	9	12	9	10	8	13	12	10	14	12	13	14	8	13	11	14	18	16	18	15	13	12	15	15	15	15	13	14	18	16	18	20	14	17	16	19	16	17	21	20	16	21	29	18	26	27	25	24	29	2	0	4	2	3	26	3	40	7	27	7	81	9	7	26	27	26	7	21	14	14	25	27	27	21	5	36	25	9	17	20	38	6	24	41	11	11	9	24	27	9	32	6	34	26	39	27	43	17	33	9	34	23	33	21	47	30	56	13	54	47	16	87	74	81	17	40	22	73	67	48	28	32	67	49	41	71	77	57	38	74	74	67	81	76	65	69	86	93	12	93	93	88	12	91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-282.986465700212136	-292.037309080663476	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992458305092253	1	0	2	1	3	6	3	12	6	9	4	17	8	6	6	13	8	6	10	7	8	10	8	9	8	9	9	12	10	11	10	10	9	11	12	10	8	11	11	11	12	12	11	11	9	12	14	13	7	10	12	14	12	11	12	12	16	14	14	12	12	14	17	15	16	15	12	13	15	16	15	17	14	13	24	14	14	19	15	17	19	19	18	17	20	20	21	16	29	21	26	27	26	27	27	2	0	1	2	1	11	3	22	5	5	5	79	9	4	3	49	18	11	27	1	11	23	9	23	7	20	9	14	17	10	13	33	20	33	33	17	14	36	14	36	34	32	29	10	17	38	46	61	9	26	54	40	40	17	54	31	71	51	43	38	32	67	79	40	73	44	34	43	43	67	41	64	51	22	82	56	10	88	59	74	72	70	40	88	72	63	78	77	92	78	75	93	75	61	91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-272.630845489886610	-281.681688870337950	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994586724148606	0	-1	2	2	1	6	3	13	6	9	4	10	7	6	6	10	6	6	9	7	8	8	8	8	6	9	8	13	8	11	8	11	10	11	13	9	4	11	10	12	10	11	10	10	8	13	15	14	12	11	12	14	11	12	10	13	16	15	13	11	14	12	17	14	16	16	11	14	13	17	17	19	13	16	23	16	15	19	17	15	19	18	20	16	20	19	21	21	30	20	26	27	22	28	30	2	0	1	5	2	11	5	42	11	21	4	23	25	37	37	29	7	37	27	6	15	9	7	25	11	25	6	54	6	23	6	29	31	37	51	20	3	19	20	43	23	19	10	22	13	10	52	35	44	10	50	62	41	41	6	39	16	30	39	41	69	55	68	51	46	61	41	67	16	52	74	71	34	51	87	69	69	79	80	56	63	65	82	35	72	70	72	83	94	74	75	85	83	92	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-288.694003992250657	-297.744847372701997	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999351632019180	1	0	1	2	1	5	2	12	7	8	3	17	6	5	6	14	6	7	9	7	7	8	8	10	9	9	8	12	9	11	8	11	9	10	13	9	10	11	10	11	12	10	9	9	11	15	14	13	12	10	11	13	13	10	12	11	13	13	11	10	13	13	17	16	13	15	13	12	15	14	17	17	12	16	24	16	15	19	16	18	16	19	19	14	20	21	21	22	26	20	28	27	23	27	28	2	0	2	5	2	7	2	37	14	15	5	47	6	7	1	73	14	14	6	6	11	13	15	26	21	6	9	37	13	43	15	50	17	10	32	27	27	54	19	36	42	10	17	20	39	59	37	39	22	25	36	28	23	22	54	10	60	34	36	23	40	28	47	84	37	54	50	21	41	61	40	64	60	62	85	52	53	12	62	79	61	58	80	8	78	35	90	71	88	64	89	89	71	75	94	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-286.041314807412959	-295.092158187864300	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989257610669026	1	-3	2	0	-1	2	3	14	7	7	4	14	7	5	6	13	7	6	7	6	8	10	10	8	9	9	11	11	8	9	8	11	9	7	14	9	9	11	12	10	10	10	11	11	9	12	15	13	10	9	12	12	11	12	14	12	12	13	12	10	14	13	17	16	18	14	13	13	15	16	16	15	14	16	22	14	17	18	16	17	18	19	17	17	20	21	18	22	28	23	26	25	21	29	30	4	0	4	5	2	5	4	51	11	11	6	27	18	11	11	26	18	11	20	7	13	14	31	18	13	20	10	33	13	9	15	37	9	7	59	17	21	17	41	9	24	31	40	60	31	30	43	59	17	34	60	40	49	27	57	27	36	44	23	50	22	45	70	61	83	57	39	32	57	58	72	58	27	66	84	28	67	56	62	69	84	63	76	12	78	78	66	85	92	86	75	85	12	89	89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
