step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
7000	-163.355268528076891	-161.823484884250121	-1.531783643826784	0.000080035676421	0.000021956571107	0.274334797794662	0.392606101297875	3	6	10	13	11	14	17	21	19	21	20	23	21	24	22	23	24	26	26	27	32	32	0	0	1	3	0	4	3	6	7	6	7	13	5	11	13	9	8	10	17	7	14	14	1	1	3	2	1	1	4	2	1	3	2	1	5	2	1	2	1	3	1	3	4	5
7500	-167.535064369420894	-165.905638525660265	-1.629425843760624	0.000143375619679	0.000032681345165	0.227942137152918	0.366546708485345	3	8	10	14	11	14	16	21	18	21	21	23	20	21	24	23	25	25	27	27	31	33	0	0	1	3	0	3	3	6	7	4	7	13	5	3	12	9	10	6	17	11	14	20	1	1	3	2	1	2	3	3	1	3	3	2	4	4	1	2	2	5	1	3	4	3
8000	-180.387018857688020	-178.963848429937769	-1.423170427750240	0.000126050186597	0.000046192170257	0.366458563087165	0.348776265891058	2	7	9	12	12	14	16	21	18	21	18	22	20	23	24	24	24	27	26	27	31	33	0	0	1	3	0	3	3	4	7	3	3	13	5	8	12	9	8	6	17	10	16	7	1	1	2	1	1	2	4	4	1	7	4	1	3	2	1	3	1	6	1	3	5	8
8500	-176.768896831390464	-174.975800418606809	-1.793096412783662	0.000139573269505	0.000024874402891	0.178217526746679	0.231472811091659	3	8	10	13	11	14	16	22	18	21	21	23	20	23	22	24	24	26	27	27	31	32	0	0	1	3	0	4	3	7	7	4	7	15	5	7	13	9	8	4	3	14	14	11	1	1	5	2	1	1	3	3	1	5	3	1	5	5	1	2	1	6	8	2	6	5
9000	-184.697047662706581	-183.197941046673833	-1.499106616032749	0.000125566620609	0.000037076646784	0.295274704411971	0.158824107912515	3	8	10	13	11	13	16	22	20	22	21	22	21	23	23	23	24	27	26	27	31	34	0	0	1	3	0	3	3	4	7	6	3	13	5	7	13	11	3	4	3	11	14	11	1	1	5	2	1	2	3	5	2	5	6	1	4	2	1	1	6	6	10	4	4	6
9500	-189.020542802484556	-187.432613217976950	-1.587929584507599	0.000161948974576	0.000039739928126	0.245385487804584	0.354318560239095	2	7	10	12	12	15	16	20	19	22	20	22	21	23	23	22	23	26	27	28	30	33	0	0	1	3	0	4	3	6	3	8	7	5	5	4	13	7	9	3	8	14	9	14	1	1	3	1	1	2	3	2	5	1	2	4	4	5	1	2	3	8	4	4	5	5
10000	-193.994292022441130	-192.429525412225928	-1.564766610215194	0.000114742920431	0.000029426226090	0.256453522183887	0.405152424636882	2	8	10	13	11	14	16	19	18	19	20	21	20	24	24	21	24	27	27	26	31	33	0	0	1	3	0	4	3	4	7	6	3	5	5	11	13	9	8	11	17	11	11	21	1	1	3	2	1	1	3	3	1	2	6	4	6	2	1	2	2	4	1	4	7	2
10500	-180.977896505674835	-178.931497051940852	-2.046399453733974	0.000108543795400	0.000014310026595	0.131836431021425	0.323208643000358	1	6	11	13	11	15	15	21	19	22	18	22	21	24	24	23	25	25	27	26	31	34	0	0	1	3	0	3	3	4	7	8	7	5	5	11	13	9	8	10	17	7	14	11	1	1	4	1	1	2	2	4	1	1	2	7	4	4	1	2	2	2	1	4	2	7
11000	-172.644410236346289	-170.571183481769623	-2.073226754576670	0.000176482768058	0.000022616200610	0.128149625367394	0.320748355971176	2	8	11	13	11	15	17	22	20	22	20	22	22	23	23	23	24	27	26	27	32	34	0	0	1	3	0	3	3	4	7	6	7	5	5	11	12	9	10	6	17	7	14	14	1	1	4	2	1	2	3	4	2	3	2	5	6	2	1	2	1	6	2	4	5	6
11500	-186.264552819689186	-184.315240846392300	-1.949311973296873	0.000182131687835	0.000026739256633	0.146812764714117	0.392384551395111	2	9	11	13	12	15	15	21	18	21	20	21	20	23	23	23	23	24	27	28	32	34	0	0	1	3	0	4	3	4	3	6	3	5	5	10	12	10	10	10	17	7	7	14	1	1	3	1	1	1	3	5	4	5	4	5	5	1	1	1	1	1	2	7	7	5
