step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37
5000	-221.550563628706669	-219.725095855727403	-1.825467772979257	0.000013744261287	0.000026130557418	1.901197661531524	0.704824995544644	-2	1	1	2	3	2	5	4	4	4	5	4	5	6	6	6	7	7	6	6	8	7	7	7	9	8	11	10	9	9	15	11	13	14	14	14	15	0	1	0	2	3	3	9	6	2	4	5	5	5	12	12	10	14	5	10	12	20	12	11	14	19	14	22	23	24	24	33	24	25	28	33	32	33	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	2	1	2	1
5500	-223.339219399123579	-221.866461161053792	-1.472758238069784	0.000017081054305	0.000017582126103	1.029334945557696	0.644629462148401	-1	2	0	3	3	5	5	3	5	4	4	6	5	5	5	6	6	6	6	6	7	7	7	5	9	8	10	9	9	11	15	12	13	14	14	15	16	0	1	0	2	3	3	4	3	4	2	5	11	5	11	11	10	8	15	10	11	15	14	13	5	19	15	22	23	24	29	33	29	25	28	33	5	31	1	1	1	1	2	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	2	2	2	1	6	1
6000	-217.617746372052608	-216.242639831174955	-1.375106540877665	0.000021731946742	0.000015294429418	0.703776316033520	0.786515258933067	0	2	1	3	5	5	5	6	4	4	3	6	5	5	6	6	6	8	7	6	7	7	7	6	9	8	11	10	9	11	13	11	12	14	14	13	16	0	1	0	2	11	3	4	14	4	2	3	11	11	11	11	10	5	20	10	5	14	5	13	14	19	15	13	23	24	24	33	29	25	28	33	6	31	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	1	1	1	2	1	3	2
6500	-201.690798073408558	-200.297403318830874	-1.393394754577684	0.000041299196078	0.000032373457406	0.783876212638747	0.637390796412698	0	2	1	3	4	3	5	4	4	5	3	4	5	6	6	7	6	8	6	6	7	7	7	7	9	7	11	10	9	10	15	12	13	13	14	14	16	0	1	0	2	11	3	4	6	2	4	3	11	5	11	11	10	11	17	10	11	14	6	13	14	19	14	22	23	24	29	33	24	25	28	33	29	31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	3	2	1	1	1	2	1	1	1	2	2	2	2	1	2	1
7000	-178.287323892039240	-176.498149624028798	-1.789174268010453	0.000096720659776	0.000017328654499	0.179161872332470	0.827626476316104	-1	2	2	3	5	4	5	4	4	5	4	5	5	6	7	6	6	7	6	5	8	7	8	7	8	8	10	10	8	9	14	11	13	14	14	14	15	0	1	0	1	11	3	2	3	2	4	3	11	11	11	11	10	11	5	10	11	18	5	13	11	19	20	15	23	24	29	33	29	25	28	33	32	31	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	3	1	1	1
7500	-193.839716116567587	-191.905826353960833	-1.933889762606756	0.000089526301557	0.000013380825351	0.149462505638630	0.633291639267383	0	3	1	3	4	4	5	4	4	5	3	5	5	6	4	6	7	8	6	5	7	7	6	8	9	9	10	10	10	9	15	12	12	14	13	15	15	0	1	0	1	11	3	4	3	2	9	3	11	11	5	11	10	11	22	10	15	11	15	6	14	19	22	23	23	24	14	33	29	25	28	33	27	33	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	3	2	1	1	2	1	2	2	1	1	2	1	1	3	1	3	1
8000	-201.121706317143236	-199.346938325364818	-1.774767991778426	0.000120295145662	0.000021979385730	0.182712158576756	0.658336896434027	-1	3	1	3	4	4	5	6	4	6	3	6	5	6	7	6	6	8	6	6	7	8	7	8	9	8	11	9	9	10	13	11	12	14	14	13	16	0	1	0	1	11	11	1	11	1	9	3	5	11	11	11	4	6	11	2	5	12	12	6	12	19	20	23	23	24	29	33	29	25	27	33	15	31	1	2	1	2	1	1	3	1	2	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	2	2	3	1	1	1	1	1	1	2	1	6	2
8500	-194.599539322202929	-192.819543511784133	-1.779995810418807	0.000133005324868	0.000024128322813	0.181408698010337	0.864666029676870	-1	3	1	2	3	3	5	5	3	4	4	5	5	6	7	6	6	8	6	6	7	8	7	7	8	8	11	10	10	10	13	12	12	15	13	13	16	0	1	0	1	3	3	4	6	1	2	5	11	5	11	8	10	5	20	2	11	12	20	17	14	19	17	29	23	24	24	25	24	25	28	33	17	35	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	3	2
9000	-187.532607110047394	-185.617458400678771	-1.915148709368633	0.000067071432041	0.000010248306995	0.152796901494069	0.899463520952858	0	3	1	4	4	4	5	4	4	5	5	6	5	6	6	6	7	6	6	5	8	7	7	8	9	8	9	11	9	10	14	13	13	13	14	14	15	0	1	0	2	3	3	4	3	2	9	5	11	6	11	11	10	15	20	10	6	12	14	13	12	19	5	15	23	24	29	33	24	25	28	33	30	33	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	1	1	2	1
9500	-195.197752176864043	-193.346183258364675	-1.851568918499357	0.000133226091539	0.000022003041865	0.165155650897792	0.723729152182975	0	2	1	4	5	3	6	6	4	4	5	4	5	6	3	6	6	7	5	6	7	6	8	7	9	8	11	10	9	10	15	11	13	13	13	15	15	0	1	0	1	15	3	10	15	2	1	15	15	15	12	3	10	15	14	2	5	11	15	13	3	19	24	17	23	22	22	35	29	25	28	25	29	33	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	3	2	1	3	1	2	1	1	1	2	1	2	2	1
