step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8
1	-178.650582374320749	-185.506070325280120	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.723938373450128	7	10	11	13	14	15	14	18	0	1	1	1	1	1	1	1	1	2	2	3	4	4	4	6
500	-33.146316886788341	-40.001804837747713	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.763707984318683	7	9	12	13	14	16	14	17	0	1	1	3	3	5	0	3	1	1	2	1	1	1	1	2
1000	-35.405992735944096	-42.261480686903468	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629757135186971	8	10	11	13	13	16	15	18	0	1	1	3	3	5	0	3	1	1	2	1	1	2	1	4
1500	-39.116311369976309	-45.971799320935681	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.637172917187467	8	10	10	11	14	16	14	18	0	1	1	3	3	5	0	3	1	1	1	1	2	1	1	2
2000	-38.036788527403282	-44.892276478362653	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724447553670517	7	10	12	14	14	14	15	18	0	1	1	3	3	3	0	5	1	1	2	1	1	1	1	1
2500	-37.975715851976382	-44.831203802935754	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.643933470758481	7	10	11	13	13	15	14	19	0	1	1	3	3	5	0	4	1	1	3	1	1	1	1	3
3000	-35.428913905515401	-42.284401856474773	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.838682731514910	7	9	12	14	14	16	14	16	0	1	1	3	3	5	0	4	1	1	2	1	1	1	1	1
3500	-43.043603987234697	-49.899091938194069	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.679959258429759	8	10	11	13	15	16	14	17	0	1	1	3	1	3	0	3	1	1	2	1	3	1	1	3
4000	-36.108408300240235	-42.963896251199607	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.639099138071954	8	10	12	14	14	15	15	16	0	1	1	3	3	5	0	3	1	1	2	1	1	1	1	3
4500	-34.132535899305758	-40.988023850265130	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.487365646425225	7	9	11	13	14	15	14	19	0	1	1	3	3	5	0	3	1	1	2	1	1	1	1	4
5000	-40.175627840972879	-47.031115791932251	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.570336437772373	8	10	12	13	14	15	13	19	0	1	1	3	1	3	0	5	1	1	2	1	3	2	1	2
5500	-36.023019547927220	-42.878507498886592	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.704852002204527	6	9	11	13	13	15	15	17	0	1	1	3	3	5	0	3	1	1	2	1	1	1	1	3
6000	-42.912849064949917	-49.768337015909289	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.655259295132225	7	10	11	12	14	15	14	16	0	1	1	1	4	3	0	3	1	1	2	2	1	1	1	3
6500	-40.880157689484093	-47.735645640443465	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.524699244080908	8	10	10	12	13	14	15	18	0	1	1	3	3	5	0	3	1	2	1	1	2	1	1	3
7000	-37.510373003278055	-44.365860954237426	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.757629232399623	8	10	12	13	14	15	14	17	0	1	1	3	3	3	0	3	1	1	1	1	1	1	1	2
7500	-39.426679434816279	-46.282167385775651	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740216462333318	7	10	10	14	14	15	14	19	0	1	1	3	3	5	0	5	1	1	2	1	2	1	1	3
8000	-42.292824469490817	-49.148312420450189	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.751512299675932	7	10	11	13	14	15	13	17	0	1	1	3	3	1	0	6	1	1	2	1	1	3	1	1
8500	-35.878218607547041	-42.733706558506412	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.921055236859350	7	10	11	13	14	16	14	16	0	1	1	3	3	5	0	3	1	1	1	1	1	1	1	2
9000	-36.701908058907186	-43.557396009866558	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740122509347441	7	8	11	13	14	15	14	19	0	1	1	3	3	5	0	3	1	1	2	1	2	1	1	3
9500	-42.277530072818465	-49.133018023777836	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.785809372977061	7	9	9	12	13	15	13	17	0	1	1	1	4	5	0	4	1	1	1	3	1	1	1	2
10000	-45.047771182778419	-51.903259133737791	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.810942286139137	8	9	11	13	11	14	14	19	0	1	1	3	1	5	0	3	1	1	1	1	1	2	1	4
10500	-33.766690387821683	-40.622178338781055	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.959389008729941	8	10	11	13	14	16	14	17	0	1	1	3	3	5	0	3	1	1	1	1	1	1	1	2
