step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80
1	-5784.226813013337960	-5791.082300964297247	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.742575664286661	1	1	4	3	4	6	6	7	9	9	10	12	11	11	11	11	14	12	12	14	12	12	13	13	14	13	14	15	14	14	15	14	15	16	16	16	16	15	17	17	16	17	17	18	19	18	18	17	19	18	19	19	20	20	20	19	21	20	22	22	22	23	24	26	26	24	26	28	26	26	27	29	30	31	32	34	34	33	35	36	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	3	3	4	4	5	6	5	5	5	5	7	6	6	7	6	6	6	6	7	6	7	7	7	7	7	7	7	8	8	8	8	7	8	8	8	8	8	9	9	9	9	8	9	9	9	9	10	10	10	9	10	10	11	11	11	11	12	13	13	12	13	14	13	13	13	14	15	15	16	17	17	16	17	18
500	-796.990472172193904	-803.845960123153304	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.246870855094761	1	0	4	3	4	5	6	7	8	6	11	13	10	10	12	10	15	13	10	14	12	13	13	13	14	13	13	15	13	15	16	13	16	17	17	16	17	14	16	15	17	17	17	19	18	18	19	18	18	18	18	19	19	21	19	19	22	20	23	21	23	24	25	26	26	23	27	28	24	25	28	29	30	31	31	34	33	33	35	37	2	0	1	2	1	2	4	5	3	6	10	16	9	9	14	0	10	8	10	9	14	8	8	15	16	16	11	22	16	16	20	10	24	28	21	20	12	18	15	32	40	9	36	10	36	10	38	26	13	41	18	12	10	21	19	49	19	46	51	19	52	19	18	33	51	58	58	33	24	9	58	15	22	23	9	42	39	22	69	68	1	1	2	2	2	2	2	1	2	1	2	2	1	1	1	1	6	3	2	3	1	3	3	1	2	1	1	1	2	2	1	4	1	1	3	2	2	1	2	1	1	3	1	11	1	8	3	2	3	1	4	3	9	4	4	1	6	1	4	5	1	10	8	5	6	2	4	5	5	10	5	7	8	8	10	9	9	9	7	9
1000	-653.613316684642882	-660.468804635602282	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.331004241195892	2	1	3	2	4	6	6	7	9	8	10	12	11	12	11	10	14	13	12	15	11	12	13	14	14	13	15	14	14	13	15	15	14	17	16	17	16	16	16	17	16	16	17	19	19	18	18	17	19	18	20	19	21	21	21	20	21	19	22	22	22	23	25	25	26	25	26	26	24	27	28	29	29	32	32	34	32	33	35	36	2	0	1	2	3	1	5	4	8	8	10	10	9	9	8	0	11	15	16	8	8	8	9	15	26	10	26	18	16	10	14	26	9	28	21	21	19	28	23	30	17	9	21	10	36	29	38	30	24	40	47	48	10	45	17	47	52	17	51	46	52	17	56	39	47	44	44	36	15	59	62	64	33	64	64	64	42	69	73	64	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	2	1	1	4	2	2	2	2	1	2	1	1	2	3	1	1	2	2	3	3	2	1	2	2	1	4	3	9	1	2	1	2	2	1	1	1	7	1	4	1	1	4	1	2	2	4	3	6	6	3	2	6	5	3	3	2	8	4	3	5	8	4	3	7
1500	-520.672971584436254	-527.528459535395655	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.511852037663108	2	1	3	4	4	6	6	6	10	9	9	11	12	12	10	8	15	12	11	14	12	13	11	14	14	12	14	14	13	13	16	14	16	16	16	15	16	15	17	17	16	15	17	17	20	18	18	17	18	19	19	20	20	21	20	20	21	20	23	21	22	23	21	26	26	25	26	28	25	25	27	29	29	32	32	33	35	34	36	35	2	0	2	1	3	4	4	4	7	16	16	10	15	9	8	0	30	15	11	23	9	23	8	23	30	16	12	18	16	11	18	30	20	28	36	21	19	28	31	29	29	22	36	30	36	30	38	12	24	41	47	48	12	36	48	28	46	46	63	25	44	58	47	49	47	62	58	14	39	63	66	64	39	64	68	72	69	64	77	68	1	1	1	1	1	1	1	1	2	1	1	1	1	2	3	1	1	1	1	2	1	1	3	2	1	2	1	2	3	3	2	1	1	1	1	2	3	1	1	2	2	2	1	2	2	4	2	2	2	2	1	2	4	3	1	3	2	1	1	3	2	2	2	5	4	2	2	7	4	2	1	2	7	3	2	2	6	4	1	4
2000	-465.362307554588028	-472.217795505547429	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583722910094783	2	1	2	3	3	6	4	7	9	10	10	12	12	11	12	9	14	11	11	14	12	13	13	14	14	12	14	13	13	12	15	14	15	15	17	16	15	15	17	17	16	16	18	17	20	17	17	17	19	18	20	19	20	18	20	19	21	21	23	22	22	23	24	26	27	25	26	28	26	26	28	28	30	31	33	33	33	31	34	36	2	0	2	2	3	7	4	2	8	16	16	16	9	9	9	0	12	9	16	14	9	18	9	15	19	10	19	18	10	16	23	29	14	28	36	21	30	18	13	30	30	15	21	29	54	30	38	26	42	41	56	48	48	36	46	47	52	44	56	48	57	58	47	39	59	62	62	49	49	63	66	64	69	68	68	69	68	69	75	75	1	1	1	1	1	1	1	3	2	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	1	1	2	1	1	2	2	2	2	2	2	2	2	3	2	2	2	2	2	1	1	1	1	1	2	1	1	2	2	3	1	1	2	4	2	1	1	5	3	2	2	1	2	1	2	3	3	3	1	1
2500	-464.919727363304219	-471.775215314263619	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629286775553249	2	1	5	3	3	5	6	7	9	10	11	12	11	10	11	9	14	13	12	13	13	11	12	12	14	13	13	15	15	14	14	14	15	16	17	17	16	15	16	18	16	17	17	18	20	17	18	17	19	17	19	18	20	20	19	19	21	20	23	21	22	23	24	25	26	25	26	29	26	27	28	29	30	31	32	35	34	32	35	36	2	0	5	1	1	4	4	7	8	16	16	16	9	9	9	0	26	22	16	14	14	8	14	14	16	16	10	18	10	10	18	16	23	28	21	21	26	18	14	41	30	23	21	30	36	27	28	30	39	41	47	48	44	36	48	47	44	44	47	48	52	58	59	39	59	62	62	15	49	56	66	69	69	69	64	68	68	72	75	77	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	2	1	2	2	2	1	2	1	1	2	2	1	1	3	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	4	2	1	2	7	3	3	2	2	2	2	4	3	2	2	1	1
3000	-479.103533159645167	-485.959021110604567	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542416817852979	2	1	4	4	3	7	6	7	9	10	10	12	12	11	11	9	14	12	12	15	12	13	13	14	14	13	14	14	13	14	15	14	16	16	17	16	16	15	17	18	16	16	17	18	18	15	18	17	19	18	19	20	20	21	19	20	22	21	22	23	22	22	24	25	27	24	26	28	27	27	28	29	30	31	32	35	34	33	35	36	2	0	5	2	1	7	4	5	7	16	16	16	9	9	9	0	11	8	16	14	15	9	14	9	10	16	19	9	19	29	28	26	23	18	36	21	27	28	15	41	26	15	21	29	36	16	38	27	33	41	47	44	26	45	16	47	52	26	47	10	52	55	59	39	59	62	60	9	39	63	66	64	69	68	64	72	68	72	77	77	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	2	3	1	2	1	1	1	1	1	3	1	2	1	1	2	1	2	3	2	2	1	2	2	1	2	1	1	1	3	2	4	1	1	6	2	6	1	1	1	4	3	1	2	8	5	1	2	2	1	2	3	2	3	2	1	1
3500	-479.178529277202983	-486.034017228162384	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.568243780807532	2	1	3	4	3	6	6	8	9	10	11	12	11	12	11	9	15	13	12	15	13	11	13	13	15	14	13	15	14	15	16	14	15	17	17	16	16	16	18	17	16	17	17	19	19	18	17	17	20	18	19	19	19	21	20	19	21	20	22	21	22	23	24	25	27	25	26	28	25	26	28	27	29	31	30	33	34	33	35	36	2	0	2	1	2	4	4	7	6	16	16	10	9	9	9	0	11	9	16	9	15	9	9	15	29	16	12	18	16	29	18	27	15	28	18	20	27	28	24	26	12	23	21	48	36	29	38	17	39	41	47	29	48	45	52	47	44	26	56	44	57	58	59	49	59	62	58	39	14	63	66	64	68	69	69	72	75	68	75	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	2	1	1	2	1	1	2	1	2	1	3	1	3	1	2	1	2	2	2	2	1	1	2	3	1	1	1	1	1	2	1	2	1	2	1	2	2	2	1	2	1	3	3	1	2	4	5	1	2	1	1	2	2	4	3	2	2	1
4000	-486.534298926518943	-493.389786877478343	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.598818616718898	2	0	3	4	3	6	7	7	9	10	11	12	10	12	10	9	14	13	13	15	13	13	13	13	12	13	14	14	13	15	15	15	16	16	17	15	16	15	17	16	17	17	17	16	19	16	18	18	20	19	19	19	21	21	20	19	21	20	23	23	23	24	25	26	26	23	25	28	27	27	27	28	31	32	32	34	34	31	35	37	2	0	1	3	1	1	4	4	6	16	16	10	9	9	9	0	11	9	16	18	14	9	15	15	10	16	25	18	16	12	18	29	15	28	21	21	19	28	23	19	19	15	21	26	36	26	38	29	33	41	47	26	30	45	46	47	46	46	56	55	52	58	59	49	56	58	66	39	49	59	62	69	68	64	69	72	75	68	77	77	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	3	2	1	1	2	2	1	1	2	1	1	2	2	1	1	2	2	2	1	1	1	2	1	2	3	3	1	2	2	1	3	2	1	1	2	2	1	3	1	3	2	2	1	2	2	1	3	2	2	1	5	3	3	3	1	2	2	3	3	1	1	1	2
4500	-512.688515070125163	-519.544003021084563	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.567500067694715	1	0	3	3	4	7	7	8	9	10	10	12	11	11	12	8	14	12	13	15	13	12	14	14	15	13	13	15	14	12	14	13	15	17	16	15	15	16	17	17	15	17	17	19	18	18	16	16	19	19	19	19	19	19	20	19	20	20	22	22	23	23	24	26	26	24	25	28	25	27	28	29	30	30	32	35	35	34	36	35	2	0	1	2	3	5	4	6	6	16	16	10	9	9	9	0	12	9	11	24	14	9	9	9	19	30	30	18	19	11	18	30	9	38	36	21	27	28	9	19	16	33	36	48	33	40	28	25	14	41	47	46	48	45	46	47	48	48	47	17	52	58	59	49	51	48	66	49	33	63	62	64	68	68	69	72	75	68	75	75	1	1	1	1	1	2	2	1	1	1	1	2	2	2	2	1	2	2	1	1	1	1	3	3	1	1	1	2	1	1	1	1	2	1	1	2	1	1	3	3	4	1	1	2	2	1	1	1	2	2	1	1	1	1	1	2	2	2	3	3	2	1	2	3	4	3	1	4	4	1	2	2	1	1	3	2	2	2	1	1
