step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78
1	-11896.244081981274576	-11903.099569932233862	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.064023615928886	0	3	8	10	12	13	15	16	17	18	18	17	18	22	21	20	20	21	23	23	24	24	24	24	27	26	26	26	26	27	27	27	28	28	27	27	28	29	29	29	29	30	29	29	30	32	31	31	32	33	31	32	31	33	33	33	32	36	34	34	34	34	37	35	35	37	37	37	37	40	38	40	42	46	46	48	48	49	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	5	6	7	8	8	9	9	9	9	9	11	11	10	10	11	12	12	12	12	12	12	14	13	13	13	13	14	14	14	14	14	14	14	14	15	15	15	15	15	15	15	15	16	16	16	16	17	16	16	16	17	17	17	16	18	17	17	17	17	19	18	18	19	19	19	19	20	19	20	21	23	23	24	24	25
500	-1652.530705915913359	-1659.386193866872645	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.102620344278455	0	3	8	9	13	12	12	16	16	16	19	17	18	23	21	19	18	21	23	20	25	24	21	21	25	27	26	27	26	27	27	27	28	28	28	27	28	30	26	30	29	30	30	30	31	31	32	32	33	34	32	32	31	34	34	33	33	37	35	35	35	34	37	35	36	38	38	38	38	41	38	41	43	46	47	48	49	48	0	0	2	0	7	4	4	5	6	5	6	6	9	12	5	5	0	16	12	0	17	16	20	7	3	17	13	25	17	23	1	24	24	7	20	24	13	7	23	24	20	11	23	24	7	7	24	20	23	20	20	20	7	3	20	45	23	24	24	24	24	24	24	24	20	23	25	20	25	25	20	24	23	25	24	24	24	0	1	1	4	1	1	2	3	1	2	3	4	3	1	2	6	2	1	1	3	1	5	2	1	5	9	5	4	1	6	4	13	4	3	7	7	4	5	12	2	8	6	7	5	7	13	11	11	10	10	12	9	8	11	18	13	1	10	14	10	14	11	9	14	9	13	11	12	13	9	12	15	17	22	10	20	19	22	1
1000	-1066.822722356328995	-1073.678210307288282	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.227591031249202	1	3	8	10	12	13	13	16	16	18	19	17	18	21	21	20	21	22	24	20	25	22	24	24	24	26	26	24	26	26	27	27	29	28	27	27	28	28	29	28	29	29	28	30	31	32	32	32	33	33	32	32	31	33	34	32	33	35	34	35	34	33	37	35	36	37	38	37	37	40	38	41	42	47	46	49	49	49	0	0	2	0	4	4	4	5	4	6	12	7	9	12	7	9	0	16	15	0	17	16	20	20	3	17	18	20	21	23	9	23	28	16	28	28	27	15	30	36	20	18	23	40	20	8	20	20	23	43	40	38	43	7	43	39	53	45	25	20	47	38	25	23	25	50	62	23	57	25	61	20	25	70	38	25	25	0	1	1	2	1	1	2	2	2	4	2	1	2	2	2	4	2	1	2	2	1	3	1	2	2	9	2	2	2	1	1	8	1	3	5	2	2	1	6	2	1	4	4	3	2	10	8	6	8	8	3	2	2	1	18	3	2	1	3	6	14	1	3	10	6	8	2	3	5	2	7	3	16	16	4	16	14	15	1
1500	-703.048798595128346	-709.904286546087747	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.310837389476349	-1	4	8	11	13	14	15	17	16	18	17	17	19	23	22	21	20	21	23	20	24	25	24	25	25	27	25	26	25	27	28	27	28	29	25	28	28	29	28	29	30	29	30	29	30	32	32	31	32	32	32	32	31	34	34	33	32	36	33	34	34	35	38	35	35	37	37	37	37	39	39	41	43	47	46	49	49	49	0	0	2	0	4	5	6	9	4	5	7	7	5	13	12	10	0	13	12	0	17	16	20	20	20	17	18	35	17	23	20	24	32	22	20	28	27	30	30	28	33	18	30	24	25	18	40	28	30	23	40	24	43	3	53	53	30	30	40	20	33	57	58	53	50	65	55	33	43	49	23	20	25	72	25	50	25	0	1	1	2	1	1	1	1	1	3	3	1	1	3	2	3	2	1	1	2	1	3	3	2	3	4	6	3	1	3	2	5	1	1	2	3	2	2	1	1	1	2	3	1	3	4	5	1	2	2	4	3	4	1	14	2	2	3	5	2	11	3	2	2	2	1	2	2	4	3	3	7	15	11	4	13	11	14	1
2000	-517.596265903576182	-524.451753854535582	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.402878047202312	1	2	6	9	12	13	16	16	17	18	18	18	17	22	22	20	21	22	23	20	25	24	24	25	26	26	24	27	26	26	27	27	29	28	28	27	28	29	29	30	30	28	28	29	31	31	31	30	32	34	31	33	30	34	34	33	33	35	34	34	34	35	38	35	35	37	36	36	35	40	37	40	42	46	46	48	48	49	0	0	2	0	4	4	5	5	6	8	8	7	5	12	12	5	0	16	12	0	17	16	20	20	24	21	16	25	17	23	23	25	32	18	28	23	22	30	30	44	25	22	30	36	48	22	28	25	53	43	44	33	38	20	53	30	53	38	44	20	33	55	50	53	56	60	53	41	50	63	43	20	70	58	58	74	58	0	1	1	2	1	2	2	2	2	2	1	1	1	2	2	2	3	1	1	2	1	2	2	3	2	1	1	2	1	2	2	2	1	1	3	1	2	3	2	1	1	2	2	1	1	1	3	3	2	1	3	2	2	1	12	2	5	1	3	2	6	2	1	2	4	2	1	2	2	1	1	5	12	1	4	7	1	7	1
2500	-434.189103796322684	-441.044591747282084	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.589712017929604	1	4	8	9	13	14	16	16	16	18	19	18	18	22	22	20	21	22	24	22	24	24	24	24	26	25	27	27	27	27	27	28	28	28	26	26	28	29	30	29	30	30	29	28	31	32	32	31	33	33	31	33	32	34	31	33	33	36	33	34	35	35	36	35	36	37	37	37	36	40	38	39	41	47	45	49	49	49	0	0	2	0	4	5	6	6	5	7	7	7	8	12	12	8	0	16	15	0	17	18	20	20	20	21	22	35	26	25	25	25	35	16	24	24	27	30	23	44	32	22	23	36	31	42	40	33	53	38	44	41	55	43	43	55	53	50	44	45	41	56	50	55	54	54	56	61	64	71	65	52	70	73	58	74	54	0	1	1	2	1	3	1	2	1	2	1	2	1	2	1	2	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	4	1	1	1	1	3	1	1	3	2	1	2	1	2	2	1	1	2	2	1	4	1	1	1	2	2	1	2	1	1	2	1	2	3	2	1	1	1	4	1	3	4	1	8	1
3000	-431.088651541219406	-437.944139492178806	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595988711377666	0	3	8	9	12	14	15	17	17	18	18	17	18	22	19	21	20	21	23	23	24	25	25	24	25	26	26	27	27	27	27	27	29	28	26	27	28	28	30	30	27	30	29	29	30	30	32	30	32	33	31	31	30	34	32	33	33	37	34	35	34	33	37	36	34	37	37	37	37	40	38	40	43	46	44	49	48	49	0	0	2	0	4	5	5	5	6	6	6	7	7	7	12	13	0	7	15	0	17	16	20	20	20	21	18	35	26	25	25	25	25	18	24	35	22	30	30	44	20	27	30	36	31	22	51	32	52	38	44	32	43	53	53	53	55	50	51	52	52	55	50	56	50	50	56	61	64	63	65	61	71	73	73	74	71	0	1	1	3	1	1	1	2	2	2	2	2	1	2	3	1	2	1	2	2	1	3	2	1	1	1	1	2	1	1	1	1	1	3	4	1	1	2	1	1	1	2	2	1	1	2	3	1	2	1	3	1	2	1	2	2	2	1	3	1	2	1	1	2	2	1	2	2	1	1	2	2	3	2	1	1	1	4	1
3500	-369.192486021100990	-376.047973972060390	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672188414862586	1	3	9	10	11	13	15	16	17	19	18	18	18	22	21	20	20	21	23	23	24	24	25	24	26	27	25	27	26	27	27	27	28	28	26	27	28	29	28	30	29	30	30	29	31	32	31	31	31	33	31	32	32	33	34	34	33	37	34	34	34	35	37	35	35	37	36	38	37	41	38	38	43	45	47	48	48	50	0	0	2	0	4	5	6	7	7	12	9	7	8	12	7	13	0	16	15	0	17	16	20	20	20	29	18	35	21	23	25	20	25	27	24	24	22	30	30	44	32	27	38	36	31	42	44	32	38	43	44	33	49	53	53	53	53	50	51	41	48	53	50	53	50	50	55	61	62	58	58	61	70	73	74	74	75	0	1	1	3	1	1	1	1	1	1	1	1	1	2	3	2	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	3	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	2	1	3	2	2	2	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1
4000	-417.952531433874128	-424.808019384833528	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611190092942639	0	2	9	11	12	14	15	15	17	17	19	17	18	22	19	21	20	22	24	22	24	24	23	24	27	27	26	26	25	27	28	26	28	29	27	27	29	30	29	30	29	30	29	29	30	32	31	30	31	31	31	33	30	34	33	34	33	36	33	34	35	35	38	36	35	38	36	37	37	41	38	39	42	46	46	48	49	49	0	0	2	0	4	5	5	5	6	8	9	7	8	12	12	13	0	12	15	0	17	16	20	20	20	29	22	24	21	32	32	20	32	27	28	28	27	32	30	44	33	27	30	36	31	18	44	25	43	43	44	25	43	53	53	53	53	50	44	48	41	56	58	53	50	58	62	52	58	58	65	68	58	70	73	74	75	0	1	1	4	1	1	1	2	2	2	1	1	1	2	2	1	1	1	3	2	1	2	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	2	1	1	1	6	2	2	1	1	1	4	1	2	2	2	2	2	2	2	4	1	1	2	3	1	1	1	1	2	1	2	3	2	2	1	2	1
4500	-424.397643498447451	-431.253131449406851	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.628462735783112	0	3	7	10	12	14	15	16	17	18	19	17	18	20	22	20	19	19	23	22	23	24	25	24	27	26	26	26	27	27	28	26	28	28	27	27	28	29	30	30	30	30	29	28	31	32	31	31	32	33	31	32	31	33	33	33	33	36	33	31	35	33	37	35	35	38	37	36	36	39	38	40	43	45	46	48	48	50	0	0	2	0	4	5	6	6	7	9	10	7	8	12	9	18	0	8	14	0	17	18	20	20	32	21	22	24	21	23	25	24	32	18	28	28	27	30	30	44	24	22	30	36	31	42	44	32	39	39	44	33	43	53	53	53	53	50	44	23	20	53	58	56	50	58	62	48	55	50	65	48	50	70	73	74	75	0	1	1	2	1	1	1	1	2	1	1	1	2	2	2	2	1	1	2	2	1	2	2	2	2	1	2	1	1	2	1	1	1	2	5	1	1	2	1	2	2	3	2	1	1	2	2	2	2	1	1	2	3	1	1	1	1	1	2	3	2	6	1	1	1	1	1	2	2	2	2	2	4	5	3	2	2	1	1
