step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69
1	-1441.802160716325261	-1440.340078631806364	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.931746497666374	3	2	4	3	4	5	5	6	6	8	7	10	11	9	8	10	9	11	10	10	12	11	12	11	14	11	13	14	15	14	15	16	16	17	19	18	18	19	20	20	21	23	22	22	23	23	24	23	24	25	23	24	24	26	25	25	26	26	26	26	26	26	26	27	27	30	31	34	37	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	3	3	4	5	4	3	4	4	5	4	4	5	5	5	5	6	5	6	6	7	6	7	7	7	8	9	8	8	9	9	9	10	11	10	10	11	11	11	11	11	12	11	11	11	12	12	12	12	12	12	12	12	12	12	13	13	14	15	16	18
500	-253.563397594225790	-252.101315509706922	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.644128809872505	4	2	5	3	4	6	4	6	5	8	7	10	11	8	8	9	9	10	10	10	12	12	13	12	14	11	13	14	16	15	15	17	16	18	20	18	19	20	19	19	21	22	23	20	22	24	23	22	22	25	24	23	25	26	25	25	27	26	27	27	27	25	27	26	27	30	32	32	36	4	0	1	2	4	5	4	5	1	4	3	17	19	8	6	15	15	16	11	16	12	1	21	10	16	14	20	13	18	23	23	31	22	32	39	33	16	23	23	13	37	38	36	34	29	45	49	44	38	43	42	35	41	48	38	52	56	47	41	55	46	43	46	50	52	61	57	57	67	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3	1	1	3	1	2	4	1	2	1	3	1	1	1	2	1	1	1	5	4	3	4	1	1	2	1	2	1	1	1	1	1	1	1	3	2	3	1	1	2	3	1	1	1	2	1	2	2	2	1	1
1000	-177.138410507735699	-175.676328423216830	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.938151021987378	4	3	4	4	4	6	5	6	6	8	8	10	12	9	8	11	9	12	10	7	13	11	12	12	14	11	13	14	14	12	15	16	17	17	18	17	19	20	20	20	21	23	22	22	24	24	25	23	24	24	23	22	22	26	25	25	26	26	25	26	27	26	24	27	27	30	30	34	36	2	0	2	2	2	3	4	1	5	6	20	17	16	9	8	14	7	19	10	7	22	17	17	12	18	19	26	18	13	10	24	29	31	25	31	31	36	34	33	35	39	53	39	35	52	39	51	52	53	52	41	41	37	47	63	44	50	63	48	50	56	59	48	55	46	54	58	67	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
1500	-178.847799714020141	-177.385717629501272	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.952590167404385	3	2	5	4	4	5	6	6	6	8	7	9	10	8	8	10	9	10	10	10	13	12	12	11	14	11	13	15	15	14	15	17	15	17	20	18	16	19	19	20	20	22	22	23	24	22	25	24	24	24	22	23	24	25	24	26	24	26	26	26	26	25	23	27	26	29	31	34	36	2	0	1	2	2	4	5	4	5	9	4	14	3	7	7	10	10	11	10	12	18	24	13	17	22	17	16	27	30	23	27	25	25	25	32	28	31	31	36	36	32	40	35	46	42	39	55	42	51	51	40	42	41	48	43	45	43	62	50	44	48	57	35	59	47	64	66	67	68	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
2000	-196.067232885447311	-194.605150800928442	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.858608764694997	3	2	5	4	4	5	6	7	6	8	7	11	11	10	8	11	9	12	9	10	13	12	12	12	14	10	13	14	15	12	16	16	16	18	20	19	17	20	19	21	21	23	23	22	23	24	23	23	24	26	23	24	24	26	25	26	26	26	25	26	27	26	25	26	27	30	31	34	38	2	0	1	2	1	1	4	7	5	9	5	10	15	15	3	14	8	20	9	6	18	13	9	26	18	19	12	22	24	26	28	28	12	32	34	34	28	36	34	38	34	40	35	34	40	47	41	35	44	48	41	51	45	41	47	47	59	46	42	53	56	52	52	43	64	55	56	66	68	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1
2500	-190.201138043725905	-188.739055959207036	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.877643163768365	3	2	4	4	4	5	6	4	6	9	7	10	11	8	7	10	9	11	11	11	13	9	12	12	14	11	13	15	15	13	15	16	15	17	20	18	19	19	20	19	21	23	22	22	24	22	24	22	25	24	24	24	23	27	25	26	26	26	26	25	27	27	24	25	27	29	30	34	38	2	0	1	2	1	1	4	2	8	7	1	14	22	7	4	14	11	10	10	16	13	15	20	13	20	22	20	18	30	20	21	29	30	28	40	33	32	34	38	34	34	44	38	39	46	39	44	37	37	43	48	46	44	60	53	52	64	45	63	42	63	52	42	50	60	65	65	66	68	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
3000	-202.361518610528123	-200.899436526009254	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.749432886091441	3	1	4	3	5	5	5	7	6	9	7	10	11	9	8	11	9	12	9	9	12	11	12	11	14	11	13	13	15	14	16	16	16	17	17	18	18	20	20	21	21	23	22	22	23	23	25	23	24	24	22	24	24	26	26	25	27	26	26	27	25	24	26	26	28	30	31	33	37	2	0	1	2	3	4	4	6	3	3	7	15	10	11	6	14	8	12	5	15	12	17	14	11	18	11	17	22	27	18	25	28	12	30	31	32	33	37	34	37	33	41	36	38	51	38	46	40	37	43	37	40	44	45	51	49	55	53	45	56	51	44	56	51	54	55	65	66	68	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	3	1	2	2	1	1	1	1	1	3	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	2	1	1	2	1	2	2	1	2
3500	-206.220359448823359	-204.758277364304490	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.886978838513695	3	1	4	3	5	5	5	5	7	9	7	10	12	9	7	10	10	11	8	11	12	11	10	10	13	12	12	13	15	13	15	14	15	17	20	19	18	18	19	20	22	24	22	22	23	24	25	23	24	24	22	24	23	27	25	25	25	26	27	26	26	25	27	27	26	30	31	35	37	2	0	1	2	1	1	1	3	6	15	3	19	17	6	6	9	10	16	9	12	20	17	7	19	14	17	10	18	21	24	21	17	28	31	36	31	25	25	34	39	39	53	40	40	51	44	44	39	43	43	36	45	39	56	46	48	46	52	57	42	62	45	42	45	50	59	66	67	68	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1
4000	-150.696241717993615	-149.234159633474746	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.981505284403458	4	2	4	3	5	5	5	7	7	8	8	10	11	9	7	11	9	9	8	10	12	10	12	12	14	11	13	14	16	14	16	16	15	17	20	18	18	19	20	20	21	23	23	22	22	24	24	22	24	25	23	24	25	27	25	25	25	27	25	26	26	26	26	28	28	29	32	34	37	4	0	2	2	4	4	4	5	5	5	8	17	20	15	7	14	9	8	15	17	16	8	20	20	27	22	22	23	28	21	28	33	27	32	36	33	32	31	36	36	38	45	39	39	39	43	48	35	48	52	41	51	48	53	42	47	51	42	44	47	43	55	49	62	62	58	65	67	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-211.568000460046221	-210.105918375527352	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.687055928549235	3	1	4	3	4	6	5	7	6	9	7	8	12	10	7	10	9	11	10	9	11	11	12	11	15	12	12	13	14	14	16	15	16	17	19	18	18	20	21	20	21	22	22	22	23	23	24	24	24	25	23	24	24	26	25	25	26	26	25	26	27	26	25	28	28	29	31	34	36	2	0	2	2	1	5	2	9	4	15	1	6	10	8	6	10	8	16	17	15	6	17	24	20	23	14	24	24	26	27	23	29	25	25	37	30	32	35	36	37	38	37	34	31	37	41	41	46	44	53	38	41	40	55	46	46	59	51	46	46	56	47	51	50	59	54	50	66	68	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	2	1	1	1	2	2	2	2	1
