step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17
1	-403.731202544435632	-410.586690495395032	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.940035704120357	3	5	6	8	8	9	10	11	11	12	11	14	13	15	16	23	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	4	4	4	5	4	6	5	6	7	10	13
500	-100.095551442648656	-106.951039393608028	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.482142543353566	2	5	7	8	8	10	10	11	11	13	11	14	13	16	15	20	27	0	1	1	0	1	4	2	3	3	9	6	11	3	15	11	15	16	1	2	2	1	3	2	3	2	2	1	1	2	3	1	2	2	5
1000	-112.119094335542684	-118.974582286502056	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.741350099540913	4	6	6	8	8	9	10	9	11	13	10	15	14	15	17	23	28	0	1	1	0	3	4	3	5	3	5	6	4	5	6	14	14	16	1	1	1	1	1	1	2	1	3	4	1	3	3	3	1	3	1
1500	-100.647730121018895	-107.503218071978267	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.465797757264758	3	5	7	7	8	9	10	9	11	13	11	14	13	16	14	24	27	0	1	1	0	1	4	2	3	5	5	6	6	3	11	11	12	16	1	1	2	1	2	1	3	1	1	2	1	2	3	2	2	6	3
2000	-86.529906326823507	-93.385394277782879	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.712270190304418	3	5	6	8	8	10	9	10	11	12	11	15	12	16	17	23	28	0	1	1	0	3	4	2	5	5	9	6	11	8	11	11	14	16	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	3	2
2500	-101.035243670884384	-107.890731621843756	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583071874508864	2	5	6	8	7	9	11	11	10	12	10	14	14	16	16	24	28	0	1	1	0	1	4	2	3	3	9	6	11	3	11	6	14	16	1	2	2	1	2	1	3	2	1	2	1	2	3	3	4	3	2
3000	-89.930132992513052	-96.785620943472424	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.676990908998703	4	5	5	8	9	9	10	11	11	11	11	14	11	16	17	23	27	0	1	1	0	3	4	2	5	5	5	6	4	5	4	12	14	16	1	1	1	1	2	1	2	1	1	1	1	2	1	3	1	4	1
3500	-90.439253726705118	-97.294741677664490	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.556843380712267	3	5	6	8	9	10	11	12	11	13	12	13	13	14	16	23	26	0	1	1	0	3	4	2	5	5	9	6	4	8	11	6	15	16	1	1	1	1	1	1	3	2	1	1	1	2	1	1	2	3	2
4000	-102.703675142814674	-109.559163093774046	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.524038009576320	3	4	6	7	8	9	10	11	12	13	12	13	13	16	16	23	29	0	1	1	0	3	4	1	5	8	5	6	6	5	11	11	14	16	1	1	1	1	1	1	4	2	1	3	2	2	2	3	2	3	3
4500	-95.901977547295701	-102.757465498255073	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.651450323148007	3	5	6	8	9	10	9	11	10	12	11	15	11	15	16	23	28	0	1	1	0	3	4	2	5	3	13	6	11	3	6	11	15	16	1	1	2	1	1	2	1	1	1	1	1	2	3	2	2	3	2
5000	-102.215531464368652	-109.071019415328024	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.473072679171375	1	6	6	8	8	9	11	12	12	11	12	15	13	16	16	23	28	0	1	1	0	1	4	2	5	10	5	6	6	3	4	6	15	16	1	1	2	1	2	1	3	2	1	2	1	3	3	4	3	4	2
5500	-100.653017052278003	-107.508505003237374	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.558541011960430	3	4	5	6	9	9	10	11	11	13	11	14	12	15	16	24	26	0	1	1	0	1	4	2	5	5	9	6	4	5	6	12	12	16	1	1	1	1	2	2	3	1	1	1	1	4	1	2	1	7	1
6000	-100.023561165690296	-106.879049116649668	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.559708140395274	3	5	6	7	8	9	10	11	11	11	11	14	14	15	15	22	26	0	1	1	0	3	4	2	5	3	3	4	6	3	11	6	15	16	1	1	2	1	2	1	2	2	2	3	3	2	3	2	3	3	2
6500	-106.127064723111417	-112.982552674070789	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.545520387719254	3	5	7	9	6	10	9	10	11	12	12	13	13	15	17	23	27	0	1	5	0	1	4	2	5	5	8	4	6	8	4	11	11	16	1	1	1	1	2	1	3	2	2	1	2	2	2	3	1	3	2
7000	-100.327973599923837	-107.183461550883209	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.693659362711772	3	5	6	8	9	9	10	12	12	12	11	14	13	15	17	22	28	0	1	1	0	3	4	2	3	3	3	6	11	5	6	12	12	16	1	1	2	1	1	1	3	2	3	4	1	2	3	3	1	3	2
7500	-98.070201229917870	-104.925689180877242	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.551601165981744	3	6	6	8	9	10	9	12	11	12	9	15	13	14	17	23	27	0	1	1	0	3	11	2	1	3	9	4	11	5	6	12	14	16	1	1	1	1	1	1	1	4	3	1	1	2	2	3	1	4	2
8000	-103.197835031483820	-110.053322982443191	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591696141982937	4	5	6	8	8	9	10	9	12	12	12	15	13	13	14	23	28	0	1	1	0	3	4	2	3	8	3	6	4	5	6	6	12	16	1	1	1	1	1	1	2	2	1	4	2	2	2	2	2	3	2
8500	-99.326478358219603	-106.181966309178975	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.536011517481595	3	5	7	7	8	9	11	10	12	11	9	14	13	13	15	23	28	0	1	1	0	3	4	2	5	3	8	4	6	3	6	14	15	16	1	1	2	1	1	1	3	2	2	1	1	2	3	2	1	3	2
9000	-90.311008855077901	-97.166496806037273	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.497107240425723	3	5	4	9	9	10	9	11	11	13	12	13	13	14	16	23	28	0	1	1	0	3	4	2	5	5	9	6	6	8	6	6	15	16	1	1	1	1	2	1	2	1	1	1	1	2	2	2	3	2	3
9500	-98.054689887430698	-104.910177838390069	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.683022391711555	3	5	6	9	9	10	10	12	11	9	11	14	14	14	15	22	28	0	1	1	0	3	4	2	5	10	3	6	11	5	4	6	15	16	1	1	1	1	2	1	2	1	1	1	1	2	3	2	3	3	2
10000	-96.097085073564713	-102.952573024524085	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.515514270984320	3	5	6	8	9	9	10	11	10	13	10	14	12	14	16	24	29	0	1	1	0	3	4	2	1	3	8	6	11	3	6	12	15	16	1	1	2	1	2	1	3	3	2	1	1	2	3	2	1	3	3
10500	-96.836903654905043	-103.692391605864415	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.804410644603266	3	5	6	7	9	10	10	12	11	11	12	14	14	16	16	23	26	0	1	1	0	3	4	2	5	5	5	6	11	8	6	12	15	16	1	1	1	1	2	1	2	2	2	1	2	1	1	3	1	2	1
11000	-95.392116188657198	-102.247604139616570	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.370382092272577	3	5	6	8	7	9	10	10	10	12	11	14	14	15	16	22	28	0	1	1	0	1	4	2	5	3	5	6	4	5	6	12	15	16	1	1	2	1	2	1	2	2	2	3	1	3	3	2	1	3	2
11500	-86.112782218950301	-92.968270169909673	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.462394253366696	3	5	5	8	9	9	10	11	11	12	11	15	13	15	16	23	28	0	1	1	0	1	4	2	5	5	5	6	11	5	6	4	12	16	1	1	1	1	3	1	2	1	1	1	1	2	2	3	4	3	3
12000	-88.977287232400855	-95.832775183360226	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629847431178883	3	5	6	8	8	9	10	11	10	13	12	11	13	15	16	23	28	0	1	1	0	3	4	2	5	3	9	6	4	8	11	11	14	16	1	1	1	1	1	1	2	1	2	2	1	2	1	2	2	3	2
12500	-100.806683257381877	-107.662171208341249	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552363563428846	2	5	7	6	9	8	11	11	10	12	10	15	13	14	17	23	27	0	1	1	0	3	4	2	5	3	3	6	11	5	6	12	12	16	1	2	2	1	1	1	3	1	2	3	1	2	2	3	2	4	1
