step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
1	-2189.705277290113827	-2188.243195205594930	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.325681798157367	2	5	6	5	5	6	7	8	9	9	10	11	13	14	16	14	16	17	22	25	23	27	25	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	4	4	4	5	6	6	7	6	7	8	10	12	11	13	12	13
500	-580.257101438566451	-575.710681721185210	-4.546419717381270	0.000009990795030	0.000133528182499	13.365120803958389	0.387729300669012	1	6	5	4	5	5	7	9	9	8	10	11	13	14	17	15	13	18	22	23	22	28	24	29	0	5	0	1	4	4	5	10	10	3	6	10	9	12	9	17	10	16	12	18	11	20	17	15	1	1	1	2	1	1	1	1	1	2	3	2	2	1	3	1	2	1	8	2	7	2	5	9
1000	-343.162090391071501	-340.195518837882616	-2.966571553188911	0.000010000088192	0.000053526072685	5.352560063196363	0.588514381841191	1	6	5	3	5	6	8	9	10	8	11	11	14	14	15	14	15	17	21	25	24	28	23	27	0	5	0	1	4	4	5	10	10	3	6	10	9	12	9	10	16	16	10	19	19	20	17	20	1	1	1	1	1	2	2	1	1	1	2	2	3	2	2	3	1	1	5	2	3	1	3	2
1500	-323.488732238028888	-320.301270368026735	-3.187461870002167	0.000010073958064	0.000062592247543	6.213272593044989	0.630466941999146	2	6	6	4	5	6	7	9	10	8	10	11	14	13	15	14	16	16	21	24	23	27	24	28	0	5	0	1	4	4	5	10	10	3	6	10	9	12	9	10	16	16	10	19	19	20	17	22	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	6	1	2	2	3	1
2000	-317.539375879516115	-314.234713791583260	-3.304662087932844	0.000010017829120	0.000067121885724	6.700242629481725	0.698585126180792	2	5	6	3	4	6	7	9	10	7	10	12	13	13	15	13	16	17	20	24	23	27	26	28	0	5	0	1	4	4	5	10	10	3	6	10	9	12	9	10	16	16	12	19	19	20	17	20	1	1	1	1	1	1	2	1	2	1	2	2	2	1	2	3	2	2	3	2	1	2	6	2
2500	-311.846134035241562	-308.992775394872695	-2.853358640368855	0.000010126071146	0.000050012685366	4.939001972534979	0.580340048042238	2	6	6	4	5	6	7	9	10	8	9	11	13	13	17	14	17	17	22	25	24	27	26	29	0	5	0	1	4	4	2	10	10	3	6	10	9	12	9	10	16	16	16	19	19	19	17	20	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	1	2	5	2	1	3	3	2
3000	-330.878812033200973	-328.536177396660150	-2.342634636540834	0.000010229382225	0.000033594853031	3.284152678252485	0.496050937336566	3	6	6	4	5	6	7	8	9	7	10	10	13	14	15	12	16	16	22	26	23	27	26	28	0	5	0	1	4	4	5	10	10	3	6	10	9	12	9	10	16	16	16	19	19	20	17	20	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	2	2	8	2	1	1	5	1
3500	-314.737536116014894	-311.374344628585902	-3.363191487429015	0.000010341385664	0.000071889345036	6.951616289438372	0.582027474179203	2	6	5	3	5	6	8	9	10	8	10	11	11	15	14	13	17	18	22	25	24	28	23	28	0	5	0	1	4	4	2	10	10	3	6	10	9	12	9	10	16	16	12	19	19	20	17	20	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	2	3	6	2	2	2	3	1
4000	-320.719517156672168	-317.526758316247367	-3.192758840424813	0.000010995153052	0.000068552778379	6.234818019803779	0.517097154708286	3	6	6	4	5	6	8	9	10	7	11	10	14	14	17	14	16	18	21	24	23	26	25	27	0	5	0	1	4	4	2	10	10	3	6	10	9	12	9	10	16	16	9	19	19	20	17	20	1	1	1	1	1	1	1	1	2	1	2	1	2	2	4	3	1	2	6	1	1	2	5	2
4500	-309.228682485659021	-306.477014950821797	-2.751667534837225	0.000011924764566	0.000054647858983	4.582720160059199	0.689522035820745	2	6	6	4	5	7	8	9	10	7	11	12	13	15	15	13	17	17	22	23	24	28	24	27	0	5	0	1	4	4	5	10	10	3	6	10	9	12	9	10	16	16	12	19	20	20	17	20	1	1	1	1	1	2	1	1	2	1	2	2	2	2	3	2	2	2	4	1	1	2	4	2
