step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
1	-1501.649871303075770	-1508.505359254035056	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.856301975782253	2	5	6	5	5	6	7	8	9	9	10	11	13	14	16	14	16	17	22	25	23	27	25	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	4	4	4	5	6	6	7	6	7	8	10	12	11	13	12	13
500	-296.682203152419390	-303.537691103378791	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.353152243947434	2	6	6	5	3	7	7	7	10	9	11	11	13	14	17	11	17	17	19	25	23	28	25	28	0	5	0	5	1	4	2	0	10	8	6	10	9	12	9	10	10	16	0	10	7	19	17	19	1	2	1	1	1	2	1	1	1	2	2	2	2	2	2	1	4	4	1	10	8	9	5	7
1000	-150.747424205581012	-157.602912156540384	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548718578626728	2	5	5	5	4	7	6	6	10	9	10	12	13	15	15	14	17	18	21	25	23	27	25	27	0	5	0	5	1	4	5	0	10	8	6	10	9	12	13	10	16	16	0	19	19	19	17	19	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	3	1	2	1	3	4	4
1500	-147.507690231607086	-154.363178182566458	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.665822848006113	2	6	6	6	4	6	6	7	10	9	10	11	14	15	17	15	17	17	22	26	23	28	25	28	0	5	0	5	1	5	5	0	10	8	6	10	9	12	9	10	16	16	0	19	19	19	17	20	1	1	1	1	1	1	1	1	1	2	2	1	2	2	3	3	1	2	1	2	1	4	4	1
2000	-145.660559215877868	-152.516047166837240	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614466205136262	1	6	6	6	5	7	7	8	10	9	11	11	13	15	15	14	16	17	22	25	24	26	24	28	0	5	0	5	1	4	5	0	10	8	6	10	9	12	9	10	10	16	0	19	19	19	17	20	1	1	1	1	2	1	1	1	1	1	2	1	2	2	3	2	3	2	1	2	1	2	4	2
2500	-142.947925842206985	-149.803413793166357	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.693862867050876	1	3	6	5	5	7	7	7	10	9	10	11	12	14	16	13	17	16	22	25	23	26	25	28	0	1	0	2	2	4	5	0	10	8	6	10	9	12	13	10	16	16	0	19	19	19	17	22	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	1	1	2	1	3	3	1
3000	-152.256710187721808	-159.112198138681180	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609111725401396	2	4	4	5	6	6	8	7	10	9	10	11	11	14	17	13	17	17	22	25	23	27	23	28	0	1	0	2	2	4	5	0	10	8	6	10	9	12	13	10	16	16	0	19	19	19	17	20	1	1	1	1	1	1	1	1	1	1	3	1	1	2	2	2	2	2	1	2	1	2	3	2
3500	-150.846313372904092	-157.701801323863464	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.637056511717422	0	4	5	5	5	7	7	6	10	9	10	12	14	14	16	13	17	18	22	25	23	27	25	28	0	1	0	1	2	2	5	0	10	8	6	10	9	12	13	10	16	16	0	19	19	19	17	22	1	2	1	2	1	2	1	1	1	2	1	1	3	1	2	2	2	2	1	2	1	2	3	1
4000	-142.673491882737210	-149.528979833696582	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.654654708530238	2	4	6	5	6	7	6	6	10	9	10	11	12	15	15	13	16	17	21	25	23	26	25	29	0	1	0	2	2	4	2	0	10	8	6	10	9	12	9	10	16	16	0	19	19	19	17	20	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	1	1	1	2	4	2
4500	-159.898372348498469	-166.753860299457841	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596121614821187	1	2	5	5	5	7	7	7	10	9	11	11	13	15	17	14	16	16	21	26	24	26	24	29	0	1	0	2	2	4	5	0	10	8	6	10	9	12	13	10	16	16	0	19	19	19	17	20	1	1	1	1	2	1	2	1	1	1	2	1	2	2	3	3	1	1	1	2	2	2	4	2
