step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88
1	-1027.116753994574083	-1025.654671910055185	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.704787389384982	0	3	6	8	9	9	11	10	10	12	12	12	11	13	12	13	13	12	14	13	13	13	14	13	14	14	13	15	14	15	14	14	16	15	17	15	18	15	14	14	15	15	15	15	17	14	16	15	15	16	17	15	17	16	16	17	15	18	17	17	17	16	16	16	18	18	18	18	18	18	19	20	19	21	21	20	20	21	23	22	24	27	27	26	27	28	30	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	5	6	5	5	6	6	6	6	7	6	7	7	6	7	7	7	7	7	7	7	7	7	8	7	8	7	7	8	8	9	8	9	8	7	7	8	8	8	8	9	7	8	8	8	8	9	8	9	8	8	9	8	9	9	9	9	8	8	8	9	9	9	9	9	9	10	10	10	11	11	10	10	11	12	11	12	14	14	13	14	14	15	16
500	-485.949027868329665	-484.084356312260070	-1.864671556069603	0.000009950862528	0.000019884676198	1.998286695514039	0.365634878742706	0	3	5	9	9	8	9	9	7	12	12	12	12	13	13	12	13	13	13	11	12	14	14	12	13	15	12	14	14	15	14	14	16	14	16	15	17	16	13	14	13	15	15	15	17	13	16	16	15	16	16	15	17	17	16	16	15	18	17	15	17	16	16	17	18	18	18	18	18	18	19	20	19	19	22	20	20	21	21	22	25	28	27	25	28	27	30	32	0	1	1	9	2	3	6	1	3	5	6	2	6	11	8	3	13	7	5	8	9	14	5	5	8	18	20	15	16	41	8	10	24	39	49	40	36	2	27	21	5	19	14	21	11	12	40	5	27	8	39	25	34	3	8	9	29	1	7	46	14	42	2	57	59	2	50	17	2	27	2	35	37	51	50	49	49	7	66	2	2	84	47	45	8	61	66	43	1	2	3	1	3	3	1	4	1	2	2	3	2	1	2	3	1	3	1	1	2	1	2	1	3	1	1	1	1	2	3	1	3	1	1	1	1	7	1	1	2	1	1	2	1	1	1	3	2	4	2	2	3	6	4	6	1	7	3	1	2	1	5	1	1	9	1	2	8	5	8	2	1	2	4	3	3	6	1	10	12	2	7	3	11	4	6	9
1000	-465.319879438972748	-463.324391264818814	-1.995488174153917	0.000009978732176	0.000023248787705	2.329833820029815	0.441649554569617	0	4	6	9	9	10	11	10	11	12	12	12	12	13	11	11	13	13	14	13	13	10	12	13	14	15	13	16	15	15	14	14	17	15	18	13	18	13	14	12	15	14	14	13	17	14	16	14	14	14	17	15	18	16	16	17	13	17	17	16	15	16	16	15	18	17	18	19	18	16	20	21	18	21	21	18	19	21	23	20	23	27	27	26	27	27	30	33	0	1	2	3	2	4	4	5	5	4	8	6	2	22	1	4	10	10	27	9	7	1	2	2	10	16	22	41	57	14	12	24	48	6	20	15	42	1	44	9	14	23	10	16	70	40	39	40	23	2	5	31	20	50	41	2	23	38	70	42	36	29	24	43	64	32	63	33	2	42	30	44	28	43	33	13	38	2	26	17	66	30	1	28	76	84	71	86	1	2	1	1	3	1	1	1	1	1	1	2	4	1	3	1	1	1	1	1	1	5	2	5	1	2	1	1	1	1	2	1	1	4	2	1	1	6	1	1	1	1	1	1	1	1	1	1	1	3	3	1	2	1	1	6	1	1	1	1	1	1	1	1	2	2	1	1	8	1	3	4	1	5	2	4	3	8	4	3	2	5	12	5	6	1	5	2
1500	-786.869019450955761	-784.739915761966472	-2.129103688989309	0.000010065471746	0.000027006516254	2.683084999370145	0.461837209225688	0	4	6	8	9	10	11	11	10	11	11	12	12	12	12	14	13	13	14	12	13	13	14	14	13	14	14	15	15	13	15	13	15	15	17	16	17	12	14	14	15	15	15	16	17	14	17	15	13	14	16	15	17	16	17	17	16	18	17	17	17	15	16	16	19	16	17	19	18	18	19	19	20	22	21	20	20	21	23	21	24	26	28	27	28	29	30	31	0	1	2	3	1	4	3	3	5	1	2	2	11	10	7	7	9	14	4	5	9	20	20	14	12	38	22	21	20	5	46	15	18	32	34	26	52	5	49	20	17	49	32	40	36	9	6	20	7	10	2	10	20	30	44	34	62	20	54	54	28	26	38	50	37	34	16	58	1	42	45	35	5	29	63	33	61	64	55	51	74	69	51	74	65	85	33	86	1	1	1	1	4	1	2	2	1	5	3	4	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	4	1	1	1	7	2	4	1	1	1	1	3	1	1	1	1	3	1	1	1	1	1	9	1	1	1	5	2	3	2	1	2	3	2	1	4	10	2	7	1	8	1
2000	-491.895737962770113	-490.344296913687799	-1.551441049082316	0.000009952111662	0.000012268933765	1.232797036602432	0.545961777919206	1	3	7	7	9	9	11	10	10	12	12	12	9	11	12	14	14	12	14	13	12	11	14	12	15	14	13	15	12	15	12	14	17	16	17	13	18	15	13	14	14	16	15	13	18	14	16	16	15	16	17	15	17	15	16	15	14	19	17	17	18	16	16	16	17	18	19	17	18	18	18	20	19	20	21	20	21	19	23	21	24	26	26	23	27	28	28	32	0	1	2	2	3	3	5	4	6	6	9	13	2	6	2	22	11	4	12	11	4	6	18	6	22	11	29	12	9	19	6	18	14	32	44	9	26	14	31	9	2	52	15	31	25	10	7	10	46	2	27	2	7	20	16	8	15	18	28	63	62	44	36	54	41	26	57	46	44	19	13	65	20	47	78	59	72	66	75	42	75	75	36	69	2	79	85	87	1	1	2	2	1	1	1	1	1	1	1	1	3	1	4	1	1	3	1	1	2	1	1	2	2	1	1	1	1	1	2	1	4	1	2	1	2	2	1	4	6	1	2	1	2	1	3	1	1	4	2	7	3	1	1	2	1	3	1	1	1	1	2	1	2	2	2	2	2	2	5	2	2	2	1	2	1	1	1	2	1	2	6	2	12	2	1	2
2500	-503.509706025324192	-501.352056557253718	-2.157649468070450	0.000009905250869	0.000027345599063	2.760717464360622	0.537211266533605	1	4	6	8	9	10	11	11	10	13	13	12	12	13	12	12	13	10	13	13	13	13	13	14	14	14	13	16	14	15	14	14	16	15	17	15	19	15	14	12	15	15	16	15	16	15	17	15	15	17	18	16	17	16	17	16	15	18	18	18	16	17	15	16	18	19	18	18	18	18	19	20	19	20	22	20	19	21	23	20	23	26	25	25	28	28	30	32	0	1	2	3	2	5	18	5	3	7	6	2	8	7	9	4	40	5	7	40	15	2	2	8	11	15	9	17	20	10	40	4	30	25	44	6	51	20	16	18	2	14	40	32	26	7	52	27	2	46	15	1	27	20	25	42	16	46	64	53	25	27	24	34	54	52	34	28	14	34	58	26	4	37	62	65	45	66	78	2	26	83	80	76	73	83	85	85	1	2	1	1	2	1	1	1	1	1	2	3	1	2	1	2	1	1	1	1	1	4	4	2	1	1	2	2	1	1	1	3	1	1	1	2	1	1	1	1	6	1	2	1	1	2	1	1	6	1	4	6	1	1	2	1	2	2	1	1	1	1	1	1	1	2	2	1	4	3	1	3	5	1	2	1	2	1	1	7	4	1	2	2	4	1	1	2
3000	-436.811387794410052	-433.994013441002039	-2.817374353408038	0.000009846306518	0.000047373665490	4.811313298494185	0.628511748067096	0	3	6	8	10	9	11	10	11	12	13	10	11	13	12	13	13	12	14	14	13	11	14	13	15	15	14	15	15	15	13	11	16	16	18	15	18	15	12	15	16	15	16	15	17	15	15	16	16	17	17	14	17	16	16	16	16	18	18	17	16	17	16	17	18	18	18	19	19	18	18	21	19	21	20	20	20	21	22	21	22	27	26	27	27	27	31	33	0	1	2	2	4	3	5	3	2	5	7	2	6	10	2	9	9	32	18	14	39	2	2	5	19	31	22	31	4	11	7	6	38	52	57	17	62	7	7	17	14	13	40	19	10	31	18	23	1	6	40	16	28	39	39	2	42	60	50	30	24	24	26	46	43	17	55	25	54	50	29	62	35	51	37	59	59	66	58	54	72	83	35	79	80	83	80	85	1	2	1	2	1	1	1	2	3	1	1	4	1	1	3	1	1	1	1	1	1	4	6	2	1	1	1	1	3	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	4	4	1	1	1	2	3	5	1	1	1	1	2	2	1	1	1	4	1	2	1	1	2	2	1	1	1	1	1	1	2	3	1	1	4	2	3	1	6	2
3500	-422.149484036635442	-419.148162366031386	-3.001321670604044	0.000010117582977	0.000055476470132	5.483174218310535	0.704211369710057	0	4	6	8	9	9	11	10	11	11	13	12	11	13	11	13	13	13	14	14	13	12	14	13	14	15	14	16	14	15	13	14	16	15	18	13	18	15	15	13	15	15	15	15	17	14	16	15	12	13	16	15	17	16	16	17	15	19	18	17	17	15	16	16	17	19	18	18	18	19	20	20	19	21	19	20	21	21	22	21	22	28	26	27	26	29	30	31	0	1	2	2	3	4	6	5	5	5	6	5	5	10	6	5	12	5	12	10	15	2	49	2	7	17	24	43	24	23	2	50	36	31	25	9	44	17	31	10	14	31	22	40	64	24	39	40	4	2	17	14	17	25	40	20	50	37	33	28	55	36	19	14	34	18	51	14	65	39	34	69	39	58	57	47	61	4	70	33	71	83	80	79	2	84	58	85	1	2	1	2	1	1	1	1	1	1	3	1	1	1	2	2	1	2	1	1	1	4	1	3	1	1	1	1	1	1	4	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	3	1	2	1	1	1	1	1	1	1	1	2	1	3	1	2	1	2	2	1	2	1	2	2	2	3	2	2	1	1	2	3	6	1	4	2
4000	-523.785963309292242	-521.691922911450888	-2.094040397841347	0.000010172604875	0.000026334883844	2.588804359079449	0.628658929799679	0	4	7	7	8	8	11	10	11	12	13	12	11	14	13	13	14	12	15	13	13	13	14	12	14	14	14	16	15	14	12	15	15	16	15	15	18	15	14	12	15	15	16	15	17	15	14	16	15	17	17	15	18	16	17	17	16	18	17	18	18	13	14	17	18	16	18	17	17	17	20	19	20	21	21	21	21	20	24	22	23	27	24	26	28	28	30	32	0	1	2	1	4	2	5	3	6	13	9	4	4	8	4	12	12	9	40	40	12	9	21	6	62	9	62	30	63	22	2	63	16	25	9	39	56	6	12	9	2	40	26	16	10	27	31	11	13	39	48	17	42	27	49	13	26	9	38	20	46	13	2	44	33	52	26	42	19	29	19	15	34	51	49	33	55	72	81	61	77	52	44	59	84	83	73	87	1	2	1	3	1	3	1	2	2	1	2	3	2	2	3	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	4	1	1	2	1	1	1	2	1	1	4	2	1	1	2	1	1	1	1	3	1	1	3	1	1	2	1	2	1	3	2	2	3	1	2	1	2	1	1	1	1	2	2	2	3	3	2	1	1	3	1	5	2	4	2	3	4	1
4500	-448.687158975894874	-446.377672095112416	-2.309486880782446	0.000011691483652	0.000037268425019	3.187655744018591	0.603483087005194	1	3	6	6	8	10	10	10	11	12	12	13	11	12	12	13	14	13	14	13	11	14	12	12	14	15	14	16	13	16	14	15	15	15	17	15	18	13	15	14	16	15	16	15	18	14	17	16	15	15	17	15	18	17	16	14	15	18	16	18	16	16	16	16	19	19	17	18	19	18	19	21	20	22	21	21	19	19	23	21	24	27	26	26	28	29	30	31	0	1	2	1	4	5	4	5	7	8	4	14	5	3	7	21	10	4	23	21	8	13	4	8	10	22	13	19	13	19	10	31	22	15	34	24	42	14	8	4	21	17	46	24	44	29	50	17	25	20	33	29	28	26	27	7	27	57	56	64	17	57	46	20	54	48	55	9	40	32	70	71	46	69	46	44	67	27	72	64	69	83	46	60	27	62	84	86	1	1	1	2	1	1	2	1	1	1	3	1	2	3	2	1	1	3	1	1	1	2	3	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	1	1	1	3	1	3	3	1	2	1	3	2	1	5	2	8	6	1	1
