step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10
1	-1632.268343400590538	-1630.806261316071641	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.606377010378810	-1	1	2	4	4	4	9	8	7	11	0	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	5	5	4	6
500	-342.377765556912266	-337.704312835683709	-4.673452721228567	0.000009972060394	0.000141844335424	14.224175327794201	0.482738169270621	-1	2	2	5	3	5	9	8	6	10	0	1	1	2	2	2	6	4	5	6	1	2	2	2	1	2	2	2	1	1
1000	-346.496602885512743	-340.361167006788776	-6.135435878723980	0.000009951254168	0.000269865209561	27.118713382146687	0.472218417308013	-2	1	2	4	4	4	9	9	7	10	0	1	1	2	2	2	4	6	5	6	1	2	2	2	1	2	3	2	2	3
1500	-331.225515855828689	-326.750854484640058	-4.474661371188649	0.000009996754991	0.000128917179969	12.895902728882163	0.524618397669702	-1	2	3	4	3	4	10	8	6	12	0	1	1	2	2	2	2	2	5	7	1	2	2	1	1	1	3	2	1	1
2000	-344.273338148821836	-338.720098309045738	-5.553239839776088	0.000010118697903	0.000215175339571	21.265121425060695	0.540073821268972	-1	1	1	3	5	4	10	8	8	12	0	1	1	2	2	2	6	6	5	7	1	2	1	1	2	1	2	2	1	1
2500	-355.929022406157856	-349.319365869652700	-6.609656536505152	0.000010137046921	0.000331525973751	32.704393727279800	0.575556362969762	-1	1	2	3	4	3	9	7	8	12	0	1	1	2	2	2	6	4	5	4	1	1	1	1	1	1	3	2	2	5
3000	-327.542561168408668	-322.429913203338572	-5.112647965070100	0.000010220154993	0.000178744331053	17.489395334746860	0.366031909791622	-2	1	2	4	5	4	10	8	8	12	0	1	1	2	6	2	6	6	5	7	1	1	2	1	1	2	3	2	2	1
3500	-333.683066067617403	-328.529780939482350	-5.153285128135045	0.000010115196198	0.000180210821029	17.815850280820882	0.612472037911583	-1	1	1	4	4	3	9	8	6	12	0	1	1	2	2	2	2	4	5	4	1	1	1	2	2	1	3	1	1	4
4000	-334.043495551256115	-329.805627418103199	-4.237868133152889	0.000010865481205	0.000124156985895	11.426736059690045	0.610082491509494	-2	1	3	4	5	5	9	7	7	12	0	1	1	2	2	2	4	6	5	4	1	1	2	2	1	1	2	1	1	4
4500	-336.786445080286057	-331.379895597664870	-5.406549482621165	0.000012297464719	0.000245322592793	19.949038147791136	0.821290214650044	0	2	2	4	3	5	9	8	7	11	0	1	1	2	2	2	4	6	5	9	1	1	1	1	1	1	1	1	2	1
5000	-309.152078213101106	-304.973171815531259	-4.178906397569861	0.000015646552463	0.000173351682148	11.079225443603779	0.474613512389263	-1	1	2	4	5	3	8	8	7	12	0	1	1	2	6	2	2	4	4	7	1	2	2	2	1	1	3	3	1	2
5500	-283.328977569541109	-280.721062944166988	-2.607914625374104	0.000025299102610	0.000103791560437	4.102578737099731	0.381002584632339	-1	1	1	4	3	5	10	9	7	11	0	1	1	2	2	2	2	6	5	2	1	2	1	2	1	2	5	2	2	4
6000	-221.442505907802627	-219.275815034343196	-2.166690873459434	0.000063968890819	0.000178183670832	2.785473822508736	0.849593628160518	0	2	1	3	4	5	6	8	7	11	0	1	1	2	2	2	5	7	6	6	1	1	1	1	1	2	1	1	1	2
6500	-137.334222743480439	-135.866220667634508	-1.468002075845932	0.000430093832311	0.000137385737436	0.319432010214300	0.641101648198410	-1	1	2	4	3	4	9	8	6	12	0	1	1	5	2	5	8	5	6	2	1	2	1	1	1	1	1	3	1	5
7000	-154.096786946208084	-152.536321381824251	-1.560465564383845	0.000903360426823	0.000233638940339	0.258633136233634	0.804477401502587	-2	1	2	5	4	4	7	9	7	10	0	1	1	5	3	2	5	9	4	6	1	1	1	1	1	1	1	1	1	2
7500	-123.852594322301755	-122.429945793441135	-1.422648528860616	0.000717510519766	0.000263425145404	0.367137676935457	0.671407486749324	-1	2	0	3	4	5	9	8	7	12	0	1	1	2	2	4	9	5	6	7	1	1	1	1	1	1	2	2	1	3
8000	-155.375656575719944	-153.948722384671214	-1.426934191048735	0.000562312138776	0.000203376387262	0.361678813666094	0.513046134124272	-2	1	3	4	5	5	7	9	8	12	0	1	1	2	4	2	6	7	4	9	1	2	2	1	1	2	1	2	2	2
8500	-141.785785681786251	-140.206504232868099	-1.579281448918150	0.000703524247090	0.000175453386010	0.249392095205481	0.789081530108906	0	1	3	3	4	4	8	9	7	11	0	1	1	2	4	4	9	9	5	5	1	1	1	1	1	1	1	1	2	3
9000	-152.676091819574026	-151.307088534080719	-1.369003285493294	0.000693266221776	0.000336674749199	0.485635587921997	0.656070876191294	-1	1	3	5	3	4	9	8	6	9	0	1	1	5	2	2	5	9	2	3	1	1	2	1	2	1	3	1	2	3
9500	-84.509709733653381	-83.075927942055230	-1.433781791598157	0.003120942847036	0.001103156237427	0.353468900744167	0.603420244324918	-1	0	2	4	5	4	10	6	4	11	0	1	2	3	3	3	3	3	3	9	1	1	1	1	1	1	4	2	1	3
10000	-85.747624433064487	-84.336276313684778	-1.411348119379716	0.003013872257385	0.001154198816470	0.382962089266393	0.769746862481041	0	1	3	4	4	4	10	8	8	10	0	1	2	1	3	3	3	3	3	8	1	1	1	1	1	1	3	1	1	1
10500	-82.248347895039430	-80.733863438736279	-1.514484456303149	0.003348922025029	0.000954278315047	0.284950891037437	0.774121148155471	0	1	3	3	5	5	8	8	6	10	0	1	2	1	3	3	3	3	3	7	1	1	1	1	1	1	1	1	1	1
11000	-83.940388264085996	-82.421955287206856	-1.518432976879139	0.003634455981290	0.001026519556909	0.282441048176969	0.759670754418425	-1	1	3	3	4	4	8	7	7	10	0	1	2	1	3	3	3	3	3	7	1	1	1	1	1	1	1	1	1	1
11500	-81.920064924207480	-80.514103782012555	-1.405961142194921	0.003218315291585	0.001259633324049	0.391395251839670	0.960979774848094	0	1	3	4	4	4	8	7	6	11	0	1	2	1	3	3	3	3	3	7	1	1	1	1	1	1	1	1	1	1
12000	-80.549622655587612	-79.058081952849122	-1.491540702738493	0.003192906769189	0.000960135837723	0.300709011296073	0.978826860775483	-1	1	3	3	4	5	6	8	5	10	0	1	2	1	3	3	3	3	3	8	1	1	1	1	1	1	1	1	1	1
12500	-81.859822392295911	-80.403991755422396	-1.455830636873508	0.003429077538904	0.001133072613291	0.330430735507227	0.950779230007580	0	1	3	3	4	4	7	7	7	11	0	1	2	1	3	3	3	3	3	8	1	1	1	1	1	1	1	1	1	1
13000	-82.664396408411633	-81.205908526846798	-1.458487881564841	0.003065304189992	0.001005234571885	0.327939581059347	0.772685415114697	-1	1	3	4	5	4	6	7	6	10	0	1	2	1	3	3	3	3	3	7	1	1	1	2	1	1	1	1	1	2
13500	-86.259989128248236	-84.662296953388193	-1.597692174860044	0.003513843175512	0.000846935019451	0.241028121389539	0.900257729570803	0	1	3	2	4	4	8	6	5	8	0	1	2	1	3	3	3	3	3	8	1	1	1	1	1	1	1	1	1	1
14000	-80.836629471478361	-79.340720259790203	-1.495909211688152	0.003249204703724	0.000966770343404	0.297540608105215	0.980619308707250	0	2	3	3	4	4	7	6	7	10	0	1	2	1	3	3	3	3	3	9	1	1	1	1	1	1	1	1	1	1
14500	-82.003452037066566	-80.554969589899869	-1.448482447166697	0.003466642707250	0.001170375910240	0.337610768999015	0.964460830248172	-1	1	3	4	4	4	8	6	7	10	0	1	2	1	3	3	3	3	3	7	1	1	1	1	1	1	1	1	1	1
15000	-81.079218429003546	-79.619168948043921	-1.460049480959623	0.003429299479865	0.001119666365181	0.326500024787818	0.805716485664075	-2	1	3	4	5	4	7	8	6	11	0	1	2	3	3	3	3	3	3	8	1	1	1	1	1	1	1	1	1	1
15500	-81.575493469109247	-80.066637202525143	-1.508856266584109	0.003363426754233	0.000970767036228	0.288624402183253	0.946866754388718	-1	1	3	4	5	5	6	6	6	10	0	1	2	3	3	3	3	3	3	6	1	1	1	1	1	1	1	1	1	1
16000	-79.865131808521085	-78.365110577065309	-1.500021231455781	0.003259657939907	0.000960407771786	0.294634525919947	0.992248100396300	-1	0	3	4	4	5	8	8	6	10	0	1	2	3	3	3	3	3	3	7	1	1	1	1	1	1	1	1	1	1
16500	-82.810032467552389	-81.319646566827004	-1.490385900725388	0.003613226974233	0.001089608623433	0.301561078560404	0.761832649268062	0	2	3	5	4	5	6	8	5	10	0	1	2	3	3	3	3	3	3	8	1	1	1	1	1	1	1	1	1	1
17000	-83.862935397898411	-82.429895287050968	-1.433040110847439	0.003084411584589	0.001092899769913	0.354330069104079	0.878119438915112	0	2	3	5	5	4	8	7	5	11	0	1	2	3	3	3	3	3	3	4	1	1	1	1	1	1	1	1	1	2
17500	-80.527242373826169	-79.005169916869590	-1.522072456956580	0.003610053092258	0.001011445127804	0.280174585236303	0.975529242474898	-1	1	3	4	5	4	8	5	6	12	0	1	2	3	3	3	3	3	3	7	1	1	1	1	1	1	1	1	1	1
18000	-80.144941630841231	-78.693551375015048	-1.451390255826190	0.003432641941430	0.001148961094587	0.334716266418418	0.973009920496270	0	1	3	4	5	4	7	7	7	11	0	1	2	3	3	3	3	3	3	8	1	1	1	1	1	1	1	1	1	1
18500	-85.479405058073155	-83.941531713977184	-1.537873344095974	0.003404895993358	0.000922105143928	0.270817418719032	0.750183670806382	0	2	3	5	4	4	8	7	8	11	0	1	2	3	1	3	3	3	3	9	1	1	1	1	1	1	1	1	1	1
19000	-84.855047032069436	-83.455347831005099	-1.399699201064337	0.002748630061751	0.001105272469652	0.402117580329514	0.981045590309364	-1	0	3	4	5	5	8	8	7	10	0	1	2	3	3	3	3	3	3	8	1	1	1	1	1	1	1	1	1	1
19500	-82.359986971969434	-80.893625665152825	-1.466361306816611	0.003150116926811	0.001010733042390	0.320855722461514	0.695881562412424	-1	1	3	5	5	5	8	5	5	11	0	1	2	3	3	3	3	3	3	8	1	1	1	1	1	1	1	1	1	3
20000	-82.074696887174227	-80.644869030338242	-1.429827856835980	0.003345944971853	0.001198306118704	0.358136827946948	0.785990550048305	-1	1	3	4	5	4	8	8	7	10	0	1	2	3	3	3	3	3	3	9	1	1	1	1	1	1	1	1	1	2
20500	-97.013086029528168	-95.523900944268632	-1.489185085259541	0.002956454364302	0.000894190597822	0.302453712331745	0.844273460428707	0	2	3	4	5	4	7	8	7	9	0	1	2	3	3	3	3	3	3	7	1	2	1	1	1	1	1	1	1	1
21000	-80.941886686101768	-79.464731517557681	-1.477155168544093	0.003638900116686	0.001134581506203	0.311792428981532	0.964527829821975	0	1	3	4	5	5	6	6	7	9	0	1	2	3	3	3	3	3	3	9	1	1	1	1	1	1	1	1	1	1
21500	-81.706653952836220	-80.165018621271571	-1.541635331564647	0.003443825588206	0.000925345011582	0.268696827955134	0.948804000915155	-2	1	3	4	4	4	8	7	8	11	0	1	2	3	3	3	3	3	3	9	1	1	1	1	1	1	1	1	1	1
22000	-84.921373872330278	-83.422877008368133	-1.498496863962141	0.003153019430030	0.000932358718598	0.295703448484186	0.839244655821079	0	1	3	2	5	4	9	7	8	12	0	1	2	1	3	3	3	3	3	8	1	1	1	1	1	1	2	1	2	1
22500	-84.878399846678150	-83.423577100870517	-1.454822745807629	0.003371266206637	0.001117203001133	0.331389730936639	0.986992186685959	0	1	3	4	4	5	6	6	7	9	0	1	2	3	3	3	3	3	3	4	1	1	1	1	1	1	1	1	1	1
23000	-81.931346568770550	-80.373434719388300	-1.557911849382254	0.003464289453938	0.000900532501379	0.259947245561562	0.933367293988174	-1	1	3	5	5	5	6	7	6	10	0	1	2	3	3	3	3	3	3	4	1	1	1	1	1	1	1	1	1	2
23500	-81.945965952590768	-80.399803890517347	-1.546162062073415	0.003251346919183	0.000865494926147	0.266195809816643	0.824224253616784	0	2	3	4	4	5	8	8	5	11	0	1	2	3	3	3	3	3	3	8	1	1	1	1	1	1	1	1	1	1
24000	-83.449867737932649	-81.881151526616762	-1.568716211315881	0.003692206436783	0.000939622625436	0.254488106644023	0.938832380400347	-1	1	3	5	2	5	8	5	5	10	0	1	2	3	1	3	3	3	3	7	1	1	1	1	1	1	1	1	1	1
24500	-82.378777829748557	-80.936500348417738	-1.442277481330824	0.003194235507129	0.001098945557618	0.344040242231689	0.918980080208504	-1	1	3	5	2	5	8	6	6	12	0	1	2	3	1	3	3	3	3	7	1	1	1	1	1	1	1	1	1	1
