step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69
1	-4607.404624270486238	-4605.942542185967795	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.709206279918659	1	3	4	3	5	5	8	6	8	8	9	10	11	10	9	9	10	13	13	13	15	14	14	15	16	16	17	15	16	18	19	20	20	21	22	22	21	23	23	24	25	26	29	28	29	29	29	31	28	29	30	32	30	30	32	32	33	33	32	32	34	34	34	36	36	38	41	42	52	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	4	3	4	4	4	5	5	5	4	4	5	6	6	6	7	7	7	7	8	8	8	7	8	9	9	10	10	10	11	11	10	11	11	12	12	13	14	14	14	14	14	15	14	14	15	16	15	15	16	16	16	16	16	16	17	17	17	18	18	19	20	21	26
500	-1308.219233565105469	-1305.633524446968067	-2.585709118137350	0.000010002489394	0.000040317889508	4.030785529451637	0.252396018169175	0	1	4	2	5	5	8	6	8	8	9	10	11	10	9	9	10	13	13	13	14	15	13	16	17	15	16	15	16	19	17	21	20	21	22	22	18	24	24	21	22	26	30	28	29	30	29	32	29	30	31	33	31	30	30	33	32	34	33	33	34	35	35	37	37	39	41	42	52	0	1	4	2	1	3	5	2	1	5	7	5	8	0	9	10	16	17	16	8	17	18	11	17	17	18	22	23	21	26	21	16	29	31	33	31	26	0	33	37	37	41	40	37	37	37	41	41	41	49	37	37	26	37	37	37	30	41	41	37	18	26	0	41	40	41	41	40	20	1	1	1	1	2	1	2	3	5	2	1	2	2	1	1	1	1	2	2	4	2	1	2	2	2	1	1	2	1	2	2	5	3	3	2	3	1	1	2	2	4	2	5	6	8	8	6	9	4	1	9	8	8	7	8	9	7	10	9	8	11	14	1	12	12	11	14	16	18
1000	-1079.484673091541254	-1077.539291189288633	-1.945381902252563	0.000010048206348	0.000022119410624	2.201329258048484	0.262302034323898	1	2	4	3	5	6	8	6	8	8	10	10	11	10	10	9	10	12	13	14	13	13	14	16	16	16	17	16	17	18	20	20	20	22	22	22	19	22	23	24	22	23	30	25	28	29	30	32	27	29	29	33	31	27	31	31	33	34	33	33	34	34	35	37	37	39	41	43	52	0	1	4	2	1	3	5	2	5	5	7	9	8	0	8	10	16	17	17	13	17	18	11	16	16	21	22	23	26	21	21	25	26	30	33	30	26	0	35	37	37	41	40	37	42	41	42	42	44	49	37	41	42	41	41	42	42	41	44	41	41	37	0	44	37	46	54	44	38	1	1	1	1	2	1	3	2	2	2	1	2	3	1	2	1	1	1	2	2	2	1	2	3	5	2	3	1	1	3	3	2	2	2	1	2	2	1	1	3	2	1	3	4	3	4	5	9	2	1	6	7	7	5	4	4	7	8	6	6	7	8	1	9	12	9	10	14	19
1500	-1006.231174350086008	-1003.735952827872325	-2.495221522213682	0.000010082829950	0.000037755918516	3.744575550809697	0.320581573652349	0	2	5	3	6	6	8	5	7	9	9	10	10	10	10	10	11	13	12	14	14	14	13	14	16	17	17	15	16	18	20	21	19	21	20	22	21	21	24	25	22	23	28	26	28	27	28	32	28	29	29	32	30	27	29	32	34	34	33	33	35	35	34	37	37	38	41	42	53	0	1	4	2	1	3	9	2	5	5	7	5	8	0	2	10	16	19	16	13	18	18	11	16	19	21	22	23	21	21	21	17	29	31	33	34	31	0	35	37	37	41	40	41	42	41	42	42	44	44	42	41	42	41	41	51	42	42	54	46	41	54	0	54	46	55	54	44	38	1	1	1	1	3	1	1	2	1	2	1	2	3	1	3	1	1	1	2	2	1	1	2	2	2	2	2	2	1	2	3	5	2	1	1	1	1	1	2	2	1	1	1	4	2	3	3	7	1	2	3	7	5	3	3	2	8	6	3	4	8	8	1	8	8	6	10	10	18
2000	-688.258571780371767	-686.292096801465505	-1.966474978906310	0.000010176602612	0.000022950083885	2.255181297724198	0.419176794350191	0	2	4	3	5	5	8	6	7	8	10	10	11	8	10	10	9	13	13	13	15	15	13	15	17	16	18	15	17	18	19	21	20	20	22	22	21	23	24	24	24	25	28	27	29	29	30	30	29	30	31	32	30	28	32	32	34	33	32	33	31	34	35	37	37	38	42	43	52	0	1	4	2	1	3	5	2	5	5	7	5	8	0	14	17	10	17	16	13	16	18	11	19	17	21	22	11	21	26	26	25	29	30	33	34	26	0	35	37	37	41	37	41	42	41	42	42	44	54	48	41	42	41	46	48	42	53	54	52	46	54	0	54	61	61	62	62	38	1	2	1	1	2	1	1	2	1	2	1	3	3	1	1	1	1	2	2	1	2	1	1	1	4	1	2	3	1	2	2	2	2	1	1	1	2	1	2	2	2	1	3	2	2	2	3	3	1	1	1	5	2	3	3	2	7	2	2	1	1	6	1	5	5	6	4	6	16
2500	-663.087999700307932	-661.174568629120017	-1.913431071187955	0.000010151231491	0.000021524675669	2.120400434875395	0.566472012054419	1	2	4	3	5	6	8	6	8	8	9	10	11	8	10	10	9	14	13	14	14	13	12	16	17	16	16	15	17	16	19	20	19	20	21	22	22	23	23	24	24	25	27	27	27	29	29	31	28	30	31	30	29	29	32	32	34	32	32	32	31	33	34	37	36	38	40	42	53	0	1	4	2	1	3	5	2	5	5	7	5	8	0	14	17	10	16	17	13	22	16	11	19	19	21	22	23	30	21	30	25	29	26	33	34	31	0	35	37	37	41	37	41	42	41	45	42	44	49	42	41	45	44	46	48	45	53	54	52	46	59	0	59	46	61	64	64	38	1	1	1	1	2	1	2	1	1	2	1	2	2	1	1	1	1	2	2	1	1	2	2	1	2	2	1	1	1	1	2	2	1	2	2	1	2	1	2	1	2	1	2	1	2	2	1	3	1	1	2	3	1	1	3	1	5	1	2	1	1	1	1	4	4	5	1	2	14
3000	-639.319528843918420	-637.437564988998702	-1.881963854919665	0.000010193355907	0.000020808831564	2.041411263733147	0.676856364804096	0	2	5	3	4	6	8	6	7	6	10	9	10	9	10	10	8	11	13	13	13	14	12	15	16	16	18	15	16	17	20	20	20	22	22	23	21	24	24	23	25	27	27	29	28	29	30	31	28	30	30	32	30	30	33	32	34	32	32	32	34	33	34	37	36	38	40	43	51	0	1	4	2	1	3	9	2	5	5	7	9	8	0	14	17	10	17	17	13	18	18	7	19	16	21	22	23	19	21	26	25	29	30	33	34	26	0	35	37	37	41	37	41	42	41	42	45	41	49	45	46	42	49	46	51	45	53	54	46	52	59	0	59	61	65	64	67	38	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	2	3	3	1	2	2	1	2	1	2	2	1	2	1	2	2	2	1	1	2	1	1	1	1	1	3	2	1	2	1	2	2	1	2	2	1	1	1	1	3	1	1	1	1	1	1	3	1	2	2	2	12
3500	-591.825859539419753	-589.941615092891652	-1.884244446528109	0.000010763271725	0.000022033636808	2.047113309935880	0.642117429680543	1	2	5	3	6	6	9	6	8	7	10	10	11	9	10	9	8	13	13	13	15	15	13	16	17	14	17	15	17	17	19	20	20	21	22	23	21	24	24	24	24	26	28	28	28	29	28	30	27	28	30	32	30	30	30	32	32	33	32	33	34	34	34	36	35	38	41	42	52	0	1	4	2	1	3	5	2	5	5	7	9	8	0	14	17	10	17	17	13	18	18	11	18	19	18	22	23	26	21	26	25	29	31	33	34	21	0	35	37	37	41	37	41	42	41	42	42	41	49	45	55	42	50	46	51	48	53	54	46	46	59	0	62	61	65	64	67	38	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	3	2	1	1	1	1	2	2	1	1	2	1	1	3	1	2	1	1	1	2	1	1	2	1	1	3	3	2	2	1	2	2	1	1	2	2	1	1	2	1	2	1	2	3	1	1	1	1	1	2	1	13
4000	-609.752002557238143	-607.535690376831553	-2.216312180406637	0.000011274236473	0.000032952466930	2.922811403661157	0.565775682485414	-1	1	4	3	4	6	9	6	9	6	10	11	11	9	10	9	8	14	14	13	16	12	14	15	15	15	16	16	17	17	19	19	19	20	21	22	21	24	24	24	25	27	29	27	28	29	29	30	28	29	29	32	29	31	30	32	32	34	32	33	34	35	34	37	36	37	39	41	53	0	1	4	2	1	3	5	2	5	5	7	9	8	0	14	17	10	22	16	13	26	17	11	22	19	18	22	23	21	26	26	25	29	30	33	34	30	0	33	37	37	41	37	41	42	41	42	45	44	49	42	55	42	50	46	51	48	53	54	46	55	59	0	62	61	65	64	67	38	1	1	1	1	3	1	3	2	2	1	1	1	2	1	1	1	1	1	3	2	1	2	2	2	1	1	2	2	1	1	2	2	1	2	1	1	2	1	3	2	2	2	4	1	1	2	1	2	1	1	1	2	1	1	1	2	1	2	1	2	2	1	1	1	1	1	2	1	14
4500	-598.617903498165560	-596.884792418450616	-1.733111079714989	0.000012450099649	0.000020859840411	1.675475779240497	0.581664787621506	0	1	4	3	5	6	8	6	8	8	10	11	11	9	10	10	9	12	13	13	16	15	12	15	16	14	17	15	15	18	18	20	19	20	21	22	21	23	24	24	25	26	28	27	30	30	29	31	28	29	31	32	31	30	33	33	33	34	32	33	32	34	34	36	37	38	40	43	50	0	1	4	2	1	3	5	2	5	5	7	9	8	0	14	17	10	17	16	13	26	18	11	19	16	19	22	23	26	18	26	25	29	31	33	34	21	0	35	37	37	41	37	41	42	40	42	42	44	49	45	46	45	50	46	42	45	53	54	46	46	59	0	62	61	65	64	67	38	1	1	1	1	3	1	1	2	2	1	1	2	2	1	1	1	1	2	2	1	1	2	1	1	2	1	1	2	1	4	2	2	3	1	1	1	3	1	2	2	2	1	4	1	2	2	1	3	1	1	1	2	1	1	1	3	2	1	2	1	1	1	1	1	1	1	2	1	11
