step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76
1	-2578.998279035547966	-2577.536196951029069	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.162665772222018	4	3	5	6	4	5	9	7	9	9	10	11	12	13	13	16	13	16	15	13	16	13	16	15	16	15	16	17	18	17	17	17	19	19	19	19	21	21	21	20	20	21	22	21	22	22	23	23	23	23	23	23	24	25	25	26	27	26	26	26	28	26	27	28	28	28	28	30	31	30	32	31	33	34	35	39	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	3	2	3	3	4	4	5	5	5	7	5	7	6	5	7	5	7	6	7	6	7	7	8	7	7	7	8	8	8	8	9	9	9	9	9	9	10	9	10	10	10	10	10	10	10	10	11	11	11	12	12	12	12	12	13	12	12	13	13	13	13	14	14	14	15	14	15	16	16	18
500	-825.369156846080728	-823.035433469516306	-2.333723376564460	0.000010002690435	0.000032589673933	3.258090825051359	0.195543521831492	4	2	5	6	4	3	10	7	9	9	9	11	11	10	10	16	12	17	16	13	13	14	14	15	17	14	14	17	19	15	17	18	17	19	17	19	21	21	21	20	21	21	23	21	23	21	24	20	24	21	24	22	24	24	25	27	27	27	27	27	28	25	26	29	27	28	29	31	32	30	32	30	33	34	36	39	2	0	1	5	6	2	8	3	3	3	3	11	11	8	11	27	14	13	11	10	15	21	21	10	24	17	15	26	15	13	17	19	26	27	13	16	31	23	28	34	36	30	23	23	27	35	36	33	20	30	23	0	30	21	23	34	14	30	49	30	44	33	30	30	62	31	38	23	20	54	49	26	33	31	26	57	1	1	1	1	1	1	2	2	2	2	3	1	2	2	1	1	1	3	4	2	2	1	1	3	1	2	2	2	7	2	3	1	2	3	3	2	2	4	2	1	1	3	6	5	7	4	2	2	8	3	5	1	6	6	8	5	10	9	2	6	4	7	6	8	2	9	5	10	12	3	5	8	8	9	11	8
1000	-635.264331617060179	-633.197613516694446	-2.066718100365728	0.000010069522967	0.000025336308914	2.516137953835079	0.395241567960954	2	1	5	7	4	5	10	8	9	9	9	11	11	11	12	16	12	16	13	13	14	13	15	14	16	15	15	18	17	14	17	18	16	19	19	20	21	18	21	20	21	22	22	20	22	23	23	23	23	21	22	24	25	26	25	26	27	27	27	26	28	24	27	28	28	29	28	31	31	30	32	29	34	33	36	40	2	0	1	2	2	2	11	3	8	3	3	11	11	10	11	21	14	19	13	14	15	15	21	8	24	17	15	26	21	11	26	30	26	27	30	29	31	23	33	34	36	30	23	38	40	35	41	37	39	30	44	0	50	51	23	45	37	30	49	42	54	28	50	42	48	49	54	67	62	51	62	39	62	57	26	75	1	1	2	2	1	2	1	2	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1	2	2	2	2	3	1	2	1	2	3	2	2	2	4	1	1	4	4	2	1	2	1	1	1	3	2	1	3	2	6	2	4	7	2	2	1	2	4	4	3	5	1	3	6	4	4	5	5	4	11	2
1500	-582.112974872416544	-580.401642712987382	-1.711332159429201	0.000010143716972	0.000016459888028	1.622668305282353	0.431522920094873	4	2	5	5	4	6	9	7	9	8	10	11	12	10	12	15	14	16	15	14	17	14	16	13	13	15	17	18	17	15	16	17	20	20	19	18	21	22	21	21	21	22	22	21	23	21	24	23	23	23	23	22	25	26	25	25	27	26	26	26	27	24	27	28	28	29	28	31	32	30	29	32	33	34	36	37	2	0	1	2	2	2	10	3	3	3	3	11	11	10	11	15	14	13	13	14	16	15	15	8	10	17	15	26	16	13	17	19	26	27	30	29	31	23	33	34	36	30	23	23	34	35	41	37	39	30	44	0	50	51	51	45	48	30	49	50	55	31	42	58	48	59	61	61	62	51	62	62	71	62	62	75	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	2	3	2	2	2	1	2	2	3	2	1	2	2	1	1	2	2	2	2	1	1	3	3	1	1	2	4	3	2	1	1	1	1	1	4	2	1	1	2	1	1	2	7	1	2	1	4	3	1	2	2	1	2	4	4	2	4	4	5	8	1
2000	-565.642598037748826	-563.807269336410400	-1.835328701338478	0.000010171651633	0.000019585865263	1.925534413599223	0.546748836527953	3	1	4	7	3	5	9	5	9	9	10	12	11	11	12	13	13	17	15	13	15	14	16	15	16	15	16	18	19	17	18	17	20	20	19	20	21	20	22	18	21	21	23	21	22	21	24	24	24	23	23	24	25	26	25	26	27	24	26	26	26	26	25	25	27	29	28	30	31	31	29	31	34	32	36	37	2	0	1	5	2	2	8	3	3	3	3	10	11	10	11	15	14	13	13	14	15	16	21	10	24	20	15	26	21	19	26	19	26	27	30	29	28	23	26	27	36	30	44	23	34	35	41	33	39	30	44	0	50	51	51	45	33	30	49	53	51	39	42	42	62	59	54	61	65	61	62	62	71	62	71	75	1	1	1	2	1	2	2	1	2	3	2	2	1	1	1	1	1	3	2	2	3	1	1	3	1	1	2	2	2	1	2	2	3	2	1	1	2	2	4	1	1	2	2	2	1	1	2	1	1	3	1	1	1	2	1	2	3	6	1	1	1	2	2	2	1	2	1	2	3	3	1	2	3	3	6	1
2500	-543.014070186852678	-541.368670088256522	-1.645400098596114	0.000010244580507	0.000014988191290	1.463036117491918	0.617809410719917	5	2	6	6	5	5	10	7	9	9	9	10	13	12	12	15	14	16	15	13	17	14	17	15	17	16	16	17	17	18	17	17	19	19	19	18	21	22	20	20	19	22	23	21	23	22	23	23	22	24	23	23	25	26	26	25	27	26	25	26	27	26	27	28	28	29	28	28	31	30	30	29	33	34	35	40	2	0	1	6	2	2	3	3	3	8	3	11	11	3	8	15	20	13	13	14	16	15	15	3	24	20	15	26	16	19	14	13	28	21	30	29	31	44	26	27	36	30	23	23	40	35	41	31	39	30	44	0	50	51	51	45	31	30	49	53	51	37	58	58	62	59	61	54	72	61	33	62	71	72	71	75	2	1	1	1	2	2	2	1	2	1	1	1	2	3	2	2	1	2	2	1	1	1	2	4	1	2	2	1	1	2	2	2	1	1	1	1	2	1	2	3	1	2	3	2	1	1	2	2	2	3	1	1	1	2	2	1	5	5	1	1	2	3	1	1	1	2	1	1	1	2	5	2	2	2	5	2
3000	-511.627296098330646	-509.891803454996932	-1.735492643333703	0.000010494422036	0.000017643820063	1.681256957518548	0.609868265951924	4	2	5	7	4	5	10	7	9	7	10	11	11	11	13	15	13	16	15	14	17	14	17	15	16	15	15	16	18	17	17	18	19	18	19	19	22	21	21	20	21	21	22	21	23	23	23	22	23	23	22	24	24	25	25	25	26	26	26	26	27	26	27	28	28	29	29	30	32	31	32	29	33	35	35	38	2	0	1	6	2	5	8	3	10	3	3	11	11	8	11	15	14	24	13	14	16	15	27	3	24	17	15	26	21	11	20	30	26	27	30	29	28	23	31	27	36	30	23	23	34	35	36	26	39	42	38	0	50	51	38	45	37	42	49	53	54	37	42	58	62	59	61	61	72	61	28	62	71	69	71	75	1	1	1	2	2	1	2	1	1	2	3	1	1	2	1	1	1	1	2	2	1	1	1	5	1	1	1	1	1	3	2	1	2	2	1	1	2	2	2	2	2	2	3	2	2	1	2	4	1	1	1	1	1	2	2	1	2	2	1	1	1	2	2	1	1	2	1	2	2	2	7	1	1	1	1	1
3500	-524.997290358202235	-522.897800318480677	-2.099490039721599	0.000010636065857	0.000027689733966	2.603381206691328	0.621835450963013	4	3	5	6	5	5	9	7	10	9	10	10	13	11	12	15	13	16	14	13	15	13	17	16	14	15	16	17	18	16	18	17	20	20	19	19	21	21	21	19	20	21	22	21	23	21	23	23	23	23	23	23	24	26	24	25	27	26	25	26	25	26	26	28	28	27	29	30	30	29	30	31	33	33	36	39	2	0	1	6	2	2	8	3	8	3	3	10	11	10	11	15	14	13	13	14	15	15	21	10	10	20	15	26	21	13	28	30	28	40	30	29	31	23	26	27	36	30	23	23	27	35	41	31	39	42	43	0	50	51	51	45	48	42	49	53	51	37	42	58	62	59	61	61	62	54	17	62	71	72	73	75	1	1	1	1	1	1	1	1	1	3	3	1	2	1	1	1	2	1	1	2	2	1	1	2	2	1	2	1	1	1	1	1	2	1	2	1	2	2	3	1	1	2	4	2	2	1	2	2	1	1	1	1	1	2	1	1	2	2	1	1	2	3	2	2	1	2	2	2	1	1	8	2	2	1	3	1
4000	-526.029200437966665	-524.059502813121753	-1.969697624844917	0.000010889779001	0.000024648358556	2.263439740465505	0.668328559047407	4	3	5	7	4	6	9	7	10	10	10	11	11	12	12	13	13	17	13	13	16	14	16	16	15	15	17	18	18	16	18	17	19	20	18	19	21	21	21	21	20	21	20	20	22	21	23	22	23	23	24	23	23	26	25	27	26	26	26	26	27	25	25	28	28	28	29	31	31	30	31	31	33	33	35	39	2	0	1	6	2	5	8	3	3	8	8	11	11	9	11	15	14	19	13	14	16	16	16	10	9	20	15	26	21	13	26	19	26	27	19	29	31	44	33	34	36	30	23	23	34	35	41	31	39	42	44	0	42	51	51	45	48	42	49	53	54	37	42	58	62	59	61	61	62	61	62	62	71	72	73	75	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	1	2	1	2	2	2	3	1	2	1	1	1	1	2	2	2	2	1	1	2	1	1	2	1	1	2	1	2	2	3	2	2	1	2	1	1	2	1	1	3	3	1	5	2	1	1	2	2
4500	-514.614882068032557	-512.866250442201590	-1.748631625830923	0.000011944563534	0.000020463187337	1.713179998532044	0.603172219429940	4	3	6	6	4	6	9	7	9	9	10	11	12	10	12	13	13	16	15	12	15	14	16	14	17	15	16	18	17	16	17	17	19	18	19	19	22	21	22	21	20	21	21	20	23	23	23	23	24	23	23	22	24	26	25	27	27	26	26	25	28	26	25	29	28	29	29	30	31	31	32	30	33	35	35	38	2	0	1	2	2	2	8	3	8	3	3	11	11	10	10	15	14	13	13	14	16	16	16	9	24	17	15	26	21	11	26	11	26	27	30	29	31	23	26	34	36	30	44	23	40	35	41	37	39	42	38	0	50	51	51	45	37	42	49	53	54	39	42	58	62	59	51	61	57	68	37	62	71	72	71	75	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	2	2	2	2	1	1	1	3	2	1	3	2	1	3	1	4	2	1	3	1	2	2	4	2	1	2	1	2	1	3	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	2	1	2	2	2	4	1	5	2	1	2	1	1
